,user,cat,orderseq,orderjump,orderoutOfOrder,nbVideos,orderbehavior,orderClasses,features,probability,prediction
0,AB,Ordinary - Registered,0.25,0.5,0.0,4.0,Sequential - Jumping forward,0,"[0.25,0.5,0.0]","[0.018663798719682146,0.00444907713381507,0.9768871241465028]",2
1,Albert,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]","[0.31158645421889164,0.44778094172104127,0.24063260406006703]",1
2,Aleksander Valant,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]","[0.0005913903732523226,0.9993433681700903,6.52414566573117e-05]",1
3,alenka dornik,Ordinary - Registered,0.4166666666666667,0.25,0.25,12.0,Sequential - Jumping forward,0,"[0.4166666666666667,0.25,0.25]","[0.11092017029053831,4.5766805975753626e-17,0.8890798297094616]",2
4,Alenka Neudauer,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
5,alesj,Ordinary - Registered,0.0,0.6,0.2,5.0,Sequential - Jumping forward,0,"[0.0,0.6,0.2]","[0.04560905762713621,3.1734898525370167e-16,0.9543909423728635]",2
6,alexhana,Ordinary - Registered,0.6,0.0,0.2,5.0,Sequential - One after the other,1,"[0.6,0.0,0.2]","[0.6599996674294294,1.0983358791524902e-15,0.3400003325705696]",0
7,alja,Ordinary - Registered,0.75,0.125,0.0,8.0,Sequential - One after the other,1,"[0.75,0.125,0.0]","[0.000926020564460106,0.9977513125031693,0.0013226669323705808]",1
8,Aljaž,Ordinary - Registered,0.36363636363636365,0.36363636363636365,0.18181818181818182,11.0,Sequential - Jumping forward,0,"[0.36363636363636365,0.36363636363636365,0.18181818181818182]","[0.11239581282999347,1.3320589055313603e-15,0.8876041871700052]",2
9,amanita.amanita,Ordinary - Registered,0.15384615384615385,0.15384615384615385,0.6153846153846154,13.0,Out of order,3,"[0.15384615384615385,0.15384615384615385,0.6153846153846154]","[1.3289955086199971e-06,9.635755825031287e-17,0.9999986710044914]",2
10,Ana Horvath,Ordinary - Registered,0.2,0.4,0.2,5.0,Sequential - Jumping forward,0,"[0.2,0.4,0.2]","[0.06016539410445986,4.425821541907521e-17,0.93983460589554]",2
11,Ana Stadler,Ordinary - Registered,0.5,0.25,0.0,4.0,Sequential - One after the other,1,"[0.5,0.25,0.0]","[0.015271497472956034,0.9763104937193987,0.008418008807645368]",1
12,AnaPetar,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]","[0.007885703168302172,0.9921037975918143,1.0499239883457583e-05]",1
13,AnBn,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
14,Ando Saina,Ordinary - Registered,0.9090909090909091,0.0,0.0,11.0,Sequential - One after the other,1,"[0.9090909090909091,0.0,0.0]","[0.0005632442791268854,0.9993412155864733,9.554013439984681e-05]",1
15,Andraž Šunkar,Ordinary - Registered,0.6363636363636364,0.18181818181818182,0.09090909090909091,11.0,Sequential - One after the other,1,"[0.6363636363636364,0.18181818181818182,0.09090909090909091]","[0.24197190816840972,0.014720967454649,0.7433071243769412]",2
16,andrea vlastelica,Ordinary - Registered,0.3333333333333333,0.3333333333333333,0.25,12.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.3333333333333333,0.25]","[0.12226238917414524,5.465429923036887e-17,0.8777376108258548]",2
17,andrea zavorovic,Ordinary - Registered,0.125,0.125,0.625,8.0,Out of order,3,"[0.125,0.125,0.625]","[7.701857190670581e-08,5.0349630766133625e-17,0.9999999229814279]",2
18,Andrej_A,Ordinary - Registered,0.6363636363636364,0.18181818181818182,0.09090909090909091,11.0,Sequential - One after the other,1,"[0.6363636363636364,0.18181818181818182,0.09090909090909091]","[0.24197190816840972,0.014720967454649,0.7433071243769412]",2
19,Andro Zuanic,Ordinary - Registered,0.25,0.25,0.25,4.0,Sequential - Jumping forward,0,"[0.25,0.25,0.25]","[0.14971380463923148,1.595533352281715e-16,0.8502861953607684]",2
20,andrzej,Ordinary - Registered,0.0,0.5,0.25,4.0,Sequential - Jumping forward,0,"[0.0,0.5,0.25]","[0.06838720433468014,2.0453689433276104e-16,0.9316127956653197]",2
21,ane,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]","[0.0005913903732523226,0.9993433681700903,6.52414566573117e-05]",1
22,Anela,Ordinary - Registered,0.0,0.5,0.25,4.0,Sequential - Jumping forward,0,"[0.0,0.5,0.25]","[0.06838720433468014,2.0453689433276104e-16,0.9316127956653197]",2
23,Ankica,Ordinary - Registered,0.8181818181818182,0.09090909090909091,0.0,11.0,Sequential - One after the other,1,"[0.8181818181818182,0.09090909090909091,0.0]","[0.00079805663332853,0.998404975417056,0.0007969679496155353]",1
24,Annie,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
25,ante vrataric,Ordinary - Registered,0.6666666666666666,0.16666666666666666,0.0,6.0,Sequential - One after the other,1,"[0.6666666666666666,0.16666666666666666,0.0]","[0.0015925023979620175,0.9959483865705753,0.0024591110314626566]",1
26,anton janeš,Ordinary - Registered,0.9090909090909091,0.0,0.0,11.0,Sequential - One after the other,1,"[0.9090909090909091,0.0,0.0]","[0.0005632442791268854,0.9993412155864733,9.554013439984681e-05]",1
27,Anze-G,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]","[0.007885703168302172,0.9921037975918143,1.0499239883457583e-05]",1
28,Anzze99,Ordinary - Registered,0.2222222222222222,0.5555555555555556,0.1111111111111111,9.0,Sequential - Jumping forward,0,"[0.2222222222222222,0.5555555555555556,0.1111111111111111]","[0.02874544050348807,5.746337226523634e-09,0.9712545537501747]",2
29,Apsirtgirl,Ordinary - Registered,0.8571428571428571,0.0,0.0,7.0,Sequential - One after the other,1,"[0.8571428571428571,0.0,0.0]","[0.0006791035583931072,0.9992685135866715,5.2382854935440036e-05]",1
30,benjamin,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]","[0.0009212284405618919,0.9990404976634049,3.8273896033244846e-05]",1
31,blaz02,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]","[0.0009212284405618919,0.9990404976634049,3.8273896033244846e-05]",1
32,Bojan1825,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
33,BORIS MREVLJE,Ordinary - Registered,0.75,0.125,0.0,8.0,Sequential - One after the other,1,"[0.75,0.125,0.0]","[0.000926020564460106,0.9977513125031693,0.0013226669323705808]",1
