,user,cat,orderseq,orderjump,orderoutOfOrder,nbVideos,orderbehavior,orderClasses,features,prediction
0,AB,Ordinary - Registered,0.25,0.5,0.0,4.0,Sequential - Jumping forward,0,"[0.25,0.5,0.0]",0
1,Albert,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]",3
2,Aleksander Valant,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]",2
3,alenka dornik,Ordinary - Registered,0.4166666666666667,0.25,0.25,12.0,Sequential - Jumping forward,0,"[0.4166666666666667,0.25,0.25]",0
4,Alenka Neudauer,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]",2
5,alesj,Ordinary - Registered,0.0,0.6,0.2,5.0,Sequential - Jumping forward,0,"[0.0,0.6,0.2]",0
6,alexhana,Ordinary - Registered,0.6,0.0,0.2,5.0,Sequential - One after the other,1,"[0.6,0.0,0.2]",3
7,alja,Ordinary - Registered,0.75,0.125,0.0,8.0,Sequential - One after the other,1,"[0.75,0.125,0.0]",3
8,Aljaž,Ordinary - Registered,0.36363636363636365,0.36363636363636365,0.18181818181818182,11.0,Sequential - Jumping forward,0,"[0.36363636363636365,0.36363636363636365,0.18181818181818182]",0
9,amanita.amanita,Ordinary - Registered,0.15384615384615385,0.15384615384615385,0.6153846153846154,13.0,Out of order,3,"[0.15384615384615385,0.15384615384615385,0.6153846153846154]",1
10,Ana Horvath,Ordinary - Registered,0.2,0.4,0.2,5.0,Sequential - Jumping forward,0,"[0.2,0.4,0.2]",0
11,Ana Stadler,Ordinary - Registered,0.5,0.25,0.0,4.0,Sequential - One after the other,1,"[0.5,0.25,0.0]",0
12,AnaPetar,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]",2
13,AnBn,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]",2
14,Ando Saina,Ordinary - Registered,0.9090909090909091,0.0,0.0,11.0,Sequential - One after the other,1,"[0.9090909090909091,0.0,0.0]",2
15,Andraž Šunkar,Ordinary - Registered,0.6363636363636364,0.18181818181818182,0.09090909090909091,11.0,Sequential - One after the other,1,"[0.6363636363636364,0.18181818181818182,0.09090909090909091]",3
16,andrea vlastelica,Ordinary - Registered,0.3333333333333333,0.3333333333333333,0.25,12.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.3333333333333333,0.25]",0
17,andrea zavorovic,Ordinary - Registered,0.125,0.125,0.625,8.0,Out of order,3,"[0.125,0.125,0.625]",1
18,Andrej_A,Ordinary - Registered,0.6363636363636364,0.18181818181818182,0.09090909090909091,11.0,Sequential - One after the other,1,"[0.6363636363636364,0.18181818181818182,0.09090909090909091]",3
19,Andro Zuanic,Ordinary - Registered,0.25,0.25,0.25,4.0,Sequential - Jumping forward,0,"[0.25,0.25,0.25]",0
20,andrzej,Ordinary - Registered,0.0,0.5,0.25,4.0,Sequential - Jumping forward,0,"[0.0,0.5,0.25]",0
21,ane,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]",2
22,Anela,Ordinary - Registered,0.0,0.5,0.25,4.0,Sequential - Jumping forward,0,"[0.0,0.5,0.25]",0
23,Ankica,Ordinary - Registered,0.8181818181818182,0.09090909090909091,0.0,11.0,Sequential - One after the other,1,"[0.8181818181818182,0.09090909090909091,0.0]",2
24,Annie,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]",2
25,ante vrataric,Ordinary - Registered,0.6666666666666666,0.16666666666666666,0.0,6.0,Sequential - One after the other,1,"[0.6666666666666666,0.16666666666666666,0.0]",3
26,anton janeš,Ordinary - Registered,0.9090909090909091,0.0,0.0,11.0,Sequential - One after the other,1,"[0.9090909090909091,0.0,0.0]",2
27,Anze-G,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]",2
28,Anzze99,Ordinary - Registered,0.2222222222222222,0.5555555555555556,0.1111111111111111,9.0,Sequential - Jumping forward,0,"[0.2222222222222222,0.5555555555555556,0.1111111111111111]",0
29,Apsirtgirl,Ordinary - Registered,0.8571428571428571,0.0,0.0,7.0,Sequential - One after the other,1,"[0.8571428571428571,0.0,0.0]",2
30,benjamin,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]",2
31,blaz02,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]",2
32,Bojan1825,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]",2
33,BORIS MREVLJE,Ordinary - Registered,0.75,0.125,0.0,8.0,Sequential - One after the other,1,"[0.75,0.125,0.0]",3
34,Boštjan M.,Ordinary - Registered,0.8571428571428571,0.0,0.0,7.0,Sequential - One after the other,1,"[0.8571428571428571,0.0,0.0]",2
35,BostjanH,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]",3
36,BoštjanK,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]",2
37,Branklo,Ordinary - Registered,0.5,0.25,0.0,4.0,Sequential - One after the other,1,"[0.5,0.25,0.0]",0
38,BrunoB,Ordinary - Registered,0.3333333333333333,0.4444444444444444,0.1111111111111111,9.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.4444444444444444,0.1111111111111111]",0
39,Buda,Ordinary - Registered,0.0,0.3333333333333333,0.5,6.0,Out of order,3,"[0.0,0.3333333333333333,0.5]",1
40,Buki,Ordinary - Registered,0.9,0.0,0.0,10.0,Sequential - One after the other,1,"[0.9,0.0,0.0]",2
41,chibu79,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]",2
42,Cromiza,Ordinary - Registered,0.45454545454545453,0.2727272727272727,0.18181818181818182,11.0,Sequential - Jumping forward,0,"[0.45454545454545453,0.2727272727272727,0.18181818181818182]",0
43,cvjetko,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]",2
44,Dalka,Ordinary - Registered,0.125,0.375,0.375,8.0,Sequential - Jumping forward,0,"[0.125,0.375,0.375]",1
45,Damir Mulalic,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]",2
46,damir.juretic,Ordinary - Registered,0.8181818181818182,0.09090909090909091,0.0,11.0,Sequential - One after the other,1,"[0.8181818181818182,0.09090909090909091,0.0]",2
47,Danilo4783,Ordinary - Registered,0.9090909090909091,0.0,0.0,11.0,Sequential - One after the other,1,"[0.9090909090909091,0.0,0.0]",2
48,Dario,Ordinary - Registered,0.8888888888888888,0.0,0.0,9.0,Sequential - One after the other,1,"[0.8888888888888888,0.0,0.0]",2
49,DarioR,Ordinary - Registered,0.7142857142857143,0.14285714285714285,0.0,7.0,Sequential - One after the other,1,"[0.7142857142857143,0.14285714285714285,0.0]",3
50,Darko Babic,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]",2
51,Dejan Adamic,Ordinary - Registered,0.46153846153846156,0.07692307692307693,0.38461538461538464,13.0,Sequential - One after the other,1,"[0.46153846153846156,0.07692307692307693,0.38461538461538464]",0
52,DejanJ,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]",3
53,delimir,Ordinary - Registered,0.18181818181818182,0.5454545454545454,0.18181818181818182,11.0,Sequential - Jumping forward,0,"[0.18181818181818182,0.5454545454545454,0.18181818181818182]",0
54,demirel,Ordinary - Registered,0.5,0.0,0.25,4.0,Sequential - One after the other,1,"[0.5,0.0,0.25]",0
55,Deni Oreb,Ordinary - Registered,0.9090909090909091,0.0,0.0,11.0,Sequential - One after the other,1,"[0.9090909090909091,0.0,0.0]",2
56,Dimen,Ordinary - Registered,0.0,0.6,0.2,5.0,Sequential - Jumping forward,0,"[0.0,0.6,0.2]",0
57,dkervina,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]",2
58,dmeic,Ordinary - Registered,0.6923076923076923,0.07692307692307693,0.15384615384615385,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.07692307692307693,0.15384615384615385]",3
59,Domen S,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]",2
60,Dorsi,Ordinary - Registered,0.6,0.3,0.0,10.0,Sequential - One after the other,1,"[0.6,0.3,0.0]",3
61,dragana,Ordinary - Registered,0.14285714285714285,0.2857142857142857,0.42857142857142855,7.0,Mix,2,"[0.14285714285714285,0.2857142857142857,0.42857142857142855]",1
62,Dražen,Ordinary - Registered,0.3333333333333333,0.4444444444444444,0.1111111111111111,9.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.4444444444444444,0.1111111111111111]",0
63,drejc,Ordinary - Registered,0.2727272727272727,0.36363636363636365,0.2727272727272727,11.0,Sequential - Jumping forward,0,"[0.2727272727272727,0.36363636363636365,0.2727272727272727]",0
64,Duši,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]",2
65,Edvard,Ordinary - Registered,0.6666666666666666,0.2222222222222222,0.0,9.0,Sequential - One after the other,1,"[0.6666666666666666,0.2222222222222222,0.0]",3
66,Efa i Neno,Ordinary - Registered,0.5384615384615384,0.15384615384615385,0.23076923076923078,13.0,Sequential - One after the other,1,"[0.5384615384615384,0.15384615384615385,0.23076923076923078]",0
67,Elena Nikolovska,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]",2
68,Ferijan Perkovic,Ordinary - Registered,0.4444444444444444,0.3333333333333333,0.1111111111111111,9.0,Sequential - One after the other,1,"[0.4444444444444444,0.3333333333333333,0.1111111111111111]",0
69,filip mestrovic,Ordinary - Registered,0.8571428571428571,0.0,0.0,7.0,Sequential - One after the other,1,"[0.8571428571428571,0.0,0.0]",2
70,Gasper,Ordinary - Registered,0.42857142857142855,0.14285714285714285,0.2857142857142857,7.0,Sequential - Jumping forward,0,"[0.42857142857142855,0.14285714285714285,0.2857142857142857]",0
71,gcampa,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]",2
72,GITA MARINKOVIC,Ordinary - Registered,0.25,0.25,0.25,4.0,Sequential - Jumping forward,0,"[0.25,0.25,0.25]",0
73,Goran Cacic,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]",2
74,Goran Ðurica,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]",3
75,Gordan,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]",3
76,Gordana Genc,Ordinary - Registered,0.4444444444444444,0.4444444444444444,0.0,9.0,Sequential - One after the other,1,"[0.4444444444444444,0.4444444444444444,0.0]",0
77,gpet,Ordinary - Registered,0.6666666666666666,0.16666666666666666,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.6666666666666666,0.16666666666666666,0.08333333333333333]",3
78,Gregor Primc,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]",2
79,greta,Ordinary - Registered,0.0,0.5714285714285714,0.2857142857142857,7.0,Sequential - Jumping forward,0,"[0.0,0.5714285714285714,0.2857142857142857]",0
80,Grozdana Sirotic,Ordinary - Registered,0.25,0.5,0.0,4.0,Sequential - Jumping forward,0,"[0.25,0.5,0.0]",0
81,Grup amor,Ordinary - Registered,0.5555555555555556,0.2222222222222222,0.1111111111111111,9.0,Sequential - One after the other,1,"[0.5555555555555556,0.2222222222222222,0.1111111111111111]",3
82,HanaP,Ordinary - Registered,0.8,0.0,0.0,5.0,Sequential - One after the other,1,"[0.8,0.0,0.0]",2
83,Hrvoje Juvancic,Ordinary - Registered,0.8888888888888888,0.0,0.0,9.0,Sequential - One after the other,1,"[0.8888888888888888,0.0,0.0]",2
84,Igor Šutic,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]",2
85,Igor Žafran,Ordinary - Registered,0.46153846153846156,0.23076923076923078,0.23076923076923078,13.0,Sequential - One after the other,1,"[0.46153846153846156,0.23076923076923078,0.23076923076923078]",0
86,Igor29,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]",2
87,IgorGancevic,Ordinary - Registered,0.625,0.125,0.125,8.0,Sequential - One after the other,1,"[0.625,0.125,0.125]",3
88,igorr,Ordinary - Registered,0.7777777777777778,0.1111111111111111,0.0,9.0,Sequential - One after the other,1,"[0.7777777777777778,0.1111111111111111,0.0]",3
89,iivana,Ordinary - Registered,0.14285714285714285,0.5714285714285714,0.14285714285714285,7.0,Sequential - Jumping forward,0,"[0.14285714285714285,0.5714285714285714,0.14285714285714285]",0
90,Ina,Ordinary - Registered,0.7,0.2,0.0,10.0,Sequential - One after the other,1,"[0.7,0.2,0.0]",3
91,Ines,Ordinary - Registered,0.75,0.125,0.0,8.0,Sequential - One after the other,1,"[0.75,0.125,0.0]",3
92,Ivan Odrljin,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]",3
93,Ivana PR,Ordinary - Registered,0.2,0.6,0.0,5.0,Sequential - Jumping forward,0,"[0.2,0.6,0.0]",0
