,user,cat,orderseq,orderjump,orderoutOfOrder,orderbehavior,orderClasses,prediction
0,AB,Ordinary - Registered,1.0,2.0,0.0,Sequential - Jumping forward,0,2
1,Albert,Ordinary - Registered,10.0,1.0,1.0,Sequential - One after the other,1,1
2,Aleksander Valant,Ordinary - Registered,7.0,0.0,0.0,Sequential - One after the other,1,0
3,alenka dornik,Ordinary - Registered,5.0,3.0,3.0,Sequential - Jumping forward,0,0
4,Alenka Neudauer,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
5,alesj,Ordinary - Registered,0.0,3.0,1.0,Sequential - Jumping forward,0,2
6,alexhana,Ordinary - Registered,3.0,0.0,1.0,Sequential - One after the other,1,0
7,alja,Ordinary - Registered,6.0,1.0,0.0,Sequential - One after the other,1,0
8,Aljaž,Ordinary - Registered,4.0,4.0,2.0,Sequential - Jumping forward,0,2
9,amanita.amanita,Ordinary - Registered,2.0,2.0,8.0,Out of order,3,2
10,Ana Horvath,Ordinary - Registered,1.0,2.0,1.0,Sequential - Jumping forward,0,2
11,Ana Stadler,Ordinary - Registered,2.0,1.0,0.0,Sequential - One after the other,1,2
12,AnaPetar,Ordinary - Registered,3.0,0.0,0.0,Sequential - One after the other,1,0
13,AnBn,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
14,Ando Saina,Ordinary - Registered,10.0,0.0,0.0,Sequential - One after the other,1,1
15,Andraž Šunkar,Ordinary - Registered,7.0,2.0,1.0,Sequential - One after the other,1,0
16,andrea vlastelica,Ordinary - Registered,4.0,4.0,3.0,Sequential - Jumping forward,0,2
17,andrea zavorovic,Ordinary - Registered,1.0,1.0,5.0,Out of order,3,2
18,Andrej_A,Ordinary - Registered,7.0,2.0,1.0,Sequential - One after the other,1,0
19,Andro Zuanic,Ordinary - Registered,1.0,1.0,1.0,Sequential - Jumping forward,0,2
20,andrzej,Ordinary - Registered,0.0,2.0,1.0,Sequential - Jumping forward,0,2
21,ane,Ordinary - Registered,7.0,0.0,0.0,Sequential - One after the other,1,0
22,Anela,Ordinary - Registered,0.0,2.0,1.0,Sequential - Jumping forward,0,2
23,Ankica,Ordinary - Registered,9.0,1.0,0.0,Sequential - One after the other,1,1
24,Annie,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
25,ante vrataric,Ordinary - Registered,4.0,1.0,0.0,Sequential - One after the other,1,0
26,anton janeš,Ordinary - Registered,10.0,0.0,0.0,Sequential - One after the other,1,1
27,Anze-G,Ordinary - Registered,3.0,0.0,0.0,Sequential - One after the other,1,0
28,Anzze99,Ordinary - Registered,2.0,5.0,1.0,Sequential - Jumping forward,0,2
29,Apsirtgirl,Ordinary - Registered,6.0,0.0,0.0,Sequential - One after the other,1,0
30,benjamin,Ordinary - Registered,5.0,0.0,0.0,Sequential - One after the other,1,0
31,blaz02,Ordinary - Registered,5.0,0.0,0.0,Sequential - One after the other,1,0
32,Bojan1825,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
33,BORIS MREVLJE,Ordinary - Registered,6.0,1.0,0.0,Sequential - One after the other,1,0
34,Boštjan M.,Ordinary - Registered,6.0,0.0,0.0,Sequential - One after the other,1,0
35,BostjanH,Ordinary - Registered,10.0,1.0,1.0,Sequential - One after the other,1,1
36,BoštjanK,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
37,Branklo,Ordinary - Registered,2.0,1.0,0.0,Sequential - One after the other,1,2
38,BrunoB,Ordinary - Registered,3.0,4.0,1.0,Sequential - Jumping forward,0,2
39,Buda,Ordinary - Registered,0.0,2.0,3.0,Out of order,3,2
40,Buki,Ordinary - Registered,9.0,0.0,0.0,Sequential - One after the other,1,1
41,chibu79,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
42,Cromiza,Ordinary - Registered,5.0,3.0,2.0,Sequential - Jumping forward,0,0
43,cvjetko,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
44,Dalka,Ordinary - Registered,1.0,3.0,3.0,Sequential - Jumping forward,0,2
45,Damir Mulalic,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
46,damir.juretic,Ordinary - Registered,9.0,1.0,0.0,Sequential - One after the other,1,1
47,Danilo4783,Ordinary - Registered,10.0,0.0,0.0,Sequential - One after the other,1,1
48,Dario,Ordinary - Registered,8.0,0.0,0.0,Sequential - One after the other,1,1
49,DarioR,Ordinary - Registered,5.0,1.0,0.0,Sequential - One after the other,1,0
50,Darko Babic,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
51,Dejan Adamic,Ordinary - Registered,6.0,1.0,5.0,Sequential - One after the other,1,0
52,DejanJ,Ordinary - Registered,9.0,2.0,1.0,Sequential - One after the other,1,1
53,delimir,Ordinary - Registered,2.0,6.0,2.0,Sequential - Jumping forward,0,2
54,demirel,Ordinary - Registered,2.0,0.0,1.0,Sequential - One after the other,1,2
55,Deni Oreb,Ordinary - Registered,10.0,0.0,0.0,Sequential - One after the other,1,1
56,Dimen,Ordinary - Registered,0.0,3.0,1.0,Sequential - Jumping forward,0,2
57,dkervina,Ordinary - Registered,7.0,0.0,0.0,Sequential - One after the other,1,0
58,dmeic,Ordinary - Registered,9.0,1.0,2.0,Sequential - One after the other,1,1
59,Domen S,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
60,Dorsi,Ordinary - Registered,6.0,3.0,0.0,Sequential - One after the other,1,0
61,dragana,Ordinary - Registered,1.0,2.0,3.0,Mix,2,2
62,Dražen,Ordinary - Registered,3.0,4.0,1.0,Sequential - Jumping forward,0,2
63,drejc,Ordinary - Registered,3.0,4.0,3.0,Sequential - Jumping forward,0,2
64,Duši,Ordinary - Registered,7.0,0.0,0.0,Sequential - One after the other,1,0
65,Edvard,Ordinary - Registered,6.0,2.0,0.0,Sequential - One after the other,1,0
66,Efa i Neno,Ordinary - Registered,7.0,2.0,3.0,Sequential - One after the other,1,0
67,Elena Nikolovska,Ordinary - Registered,7.0,0.0,0.0,Sequential - One after the other,1,0
68,Ferijan Perkovic,Ordinary - Registered,4.0,3.0,1.0,Sequential - One after the other,1,0
69,filip mestrovic,Ordinary - Registered,6.0,0.0,0.0,Sequential - One after the other,1,0
70,Gasper,Ordinary - Registered,3.0,1.0,2.0,Sequential - Jumping forward,0,2
71,gcampa,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
72,GITA MARINKOVIC,Ordinary - Registered,1.0,1.0,1.0,Sequential - Jumping forward,0,2
73,Goran Cacic,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
74,Goran Ðurica,Ordinary - Registered,9.0,2.0,1.0,Sequential - One after the other,1,1
75,Gordan,Ordinary - Registered,10.0,1.0,1.0,Sequential - One after the other,1,1
76,Gordana Genc,Ordinary - Registered,4.0,4.0,0.0,Sequential - One after the other,1,0
77,gpet,Ordinary - Registered,8.0,2.0,1.0,Sequential - One after the other,1,1
78,Gregor Primc,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
79,greta,Ordinary - Registered,0.0,4.0,2.0,Sequential - Jumping forward,0,2
80,Grozdana Sirotic,Ordinary - Registered,1.0,2.0,0.0,Sequential - Jumping forward,0,2
81,Grup amor,Ordinary - Registered,5.0,2.0,1.0,Sequential - One after the other,1,0
82,HanaP,Ordinary - Registered,4.0,0.0,0.0,Sequential - One after the other,1,0
83,Hrvoje Juvancic,Ordinary - Registered,8.0,0.0,0.0,Sequential - One after the other,1,1
84,Igor Šutic,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
85,Igor Žafran,Ordinary - Registered,6.0,3.0,3.0,Sequential - One after the other,1,0
86,Igor29,Ordinary - Registered,5.0,0.0,0.0,Sequential - One after the other,1,0
87,IgorGancevic,Ordinary - Registered,5.0,1.0,1.0,Sequential - One after the other,1,0
88,igorr,Ordinary - Registered,7.0,1.0,0.0,Sequential - One after the other,1,0
89,iivana,Ordinary - Registered,1.0,4.0,1.0,Sequential - Jumping forward,0,2
90,Ina,Ordinary - Registered,7.0,2.0,0.0,Sequential - One after the other,1,0
91,Ines,Ordinary - Registered,6.0,1.0,0.0,Sequential - One after the other,1,0
92,Ivan Odrljin,Ordinary - Registered,10.0,1.0,1.0,Sequential - One after the other,1,1
93,Ivana PR,Ordinary - Registered,1.0,3.0,0.0,Sequential - Jumping forward,0,2
94,IvanV,Ordinary - Registered,2.0,2.0,1.0,Sequential - Jumping forward,0,2
