,user,regularitynbFollowing,nbVideos,regularitynbCatchup,regularitynbIndependant,intensitybinge,intensityregular,orderseq,orderjump,orderoutOfOrder,pcaInput,_1,_2,features,prediction
0,AB,0.5,4.0,0.5,0.0,0.0,1.0,0.25,0.5,0.0,"[0.5,0.5,0.0,0.0,1.0,0.25,0.5,0.0]",-0.7031595405594558,-0.3708561751219204,"[-0.7031595405594558,-0.3708561751219204]",1
1,Albert,0.6923076923076923,13.0,0.3076923076923077,0.0,0.3076923076923077,0.6923076923076923,0.7692307692307693,0.07692307692307693,0.07692307692307693,"[0.6923076923076923,0.3076923076923077,0.0,0.3076923076923077,0.6923076923076923,0.7692307692307693,0.07692307692307693,0.07692307692307693]",-0.46585945410282653,-0.346210300381094,"[-0.46585945410282653,-0.346210300381094]",1
2,Aleksander Valant,0.0,8.0,1.0,0.0,1.0,0.0,0.875,0.0,0.0,"(8,[1,3,5],[1.0,1.0,0.875])",0.8365451388163513,-0.7491604582752974,"[0.8365451388163513,-0.7491604582752974]",4
3,alenka dornik,0.25,12.0,0.4166666666666667,0.3333333333333333,0.25,0.75,0.4166666666666667,0.25,0.25,"[0.25,0.4166666666666667,0.3333333333333333,0.25,0.75,0.4166666666666667,0.25,0.25]",-0.24065667676069286,-0.06157287882795084,"[-0.24065667676069286,-0.06157287882795084]",2
4,Alenka Neudauer,0.8333333333333334,12.0,0.16666666666666666,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0,"[0.8333333333333334,0.16666666666666666,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0]",-0.9362741919295368,-0.2766797734997362,"[-0.9362741919295368,-0.2766797734997362]",0
5,alesj,0.4,5.0,0.6,0.0,0.6,0.4,0.0,0.6,0.2,"[0.4,0.6,0.0,0.6,0.4,0.0,0.6,0.2]",0.09316486526251813,-0.3906154645590219,"[0.09316486526251813,-0.3906154645590219]",4
6,alexhana,0.4,5.0,0.0,0.6,0.0,1.0,0.6,0.0,0.2,"[0.4,0.0,0.6,0.0,1.0,0.6,0.0,0.2]",-0.6653314488722339,0.35885698266580396,"[-0.6653314488722339,0.35885698266580396]",2
7,alja,0.75,8.0,0.25,0.0,0.0,1.0,0.75,0.125,0.0,"[0.75,0.25,0.0,0.0,1.0,0.75,0.125,0.0]",-0.8772027907005676,-0.31007118102589615,"[-0.8772027907005676,-0.31007118102589615]",0
8,Aljaž,0.2727272727272727,11.0,0.0,0.7272727272727273,0.0,1.0,0.36363636363636365,0.36363636363636365,0.18181818181818182,"[0.2727272727272727,0.0,0.7272727272727273,0.0,1.0,0.36363636363636365,0.36363636363636365,0.18181818181818182]",-0.596376500919487,0.5093357249055147,"[-0.596376500919487,0.5093357249055147]",2
9,amanita.amanita,0.15384615384615385,13.0,0.15384615384615385,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.6153846153846154,"[0.15384615384615385,0.15384615384615385,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.6153846153846154]",0.3511793603531657,0.42446735702257976,"[0.3511793603531657,0.42446735702257976]",3
10,Ana Horvath,0.6,5.0,0.0,0.4,0.0,1.0,0.2,0.4,0.2,"[0.6,0.0,0.4,0.0,1.0,0.2,0.4,0.2]",-0.7926303264141061,0.251217633720854,"[-0.7926303264141061,0.251217633720854]",2
11,Ana Stadler,0.25,4.0,0.0,0.75,0.75,0.25,0.5,0.25,0.0,"[0.25,0.0,0.75,0.75,0.25,0.5,0.25,0.0]",0.2952915836062702,0.4845743293536352,"[0.2952915836062702,0.4845743293536352]",3
12,AnaPetar,0.0,4.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,"(8,[1,3,5],[1.0,1.0,0.75])",0.8395361749360778,-0.7350568713830419,"[0.8395361749360778,-0.7350568713830419]",4
13,AnBn,0.16666666666666666,12.0,0.75,0.08333333333333333,0.25,0.75,0.8333333333333334,0.08333333333333333,0.0,"[0.16666666666666666,0.75,0.08333333333333333,0.25,0.75,0.8333333333333334,0.08333333333333333,0.0]",-0.17894266192649066,-0.5225422290803552,"[-0.17894266192649066,-0.5225422290803552]",1
14,Ando Saina,1.0,11.0,0.0,0.0,0.0,1.0,0.9090909090909091,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.9090909090909091])",-1.05224169539131,-0.1996398043439576,"[-1.05224169539131,-0.1996398043439576]",0
15,Andraž Šunkar,0.6363636363636364,11.0,0.36363636363636365,0.0,0.0,1.0,0.6363636363636364,0.18181818181818182,0.09090909090909091,"[0.6363636363636364,0.36363636363636365,0.0,0.0,1.0,0.6363636363636364,0.18181818181818182,0.09090909090909091]",-0.7908153461491018,-0.35031577333094854,"[-0.7908153461491018,-0.35031577333094854]",0
16,andrea vlastelica,0.3333333333333333,12.0,0.5833333333333334,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.25,"[0.3333333333333333,0.5833333333333334,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.25]",-0.0798335015976908,-0.353998626933254,"[-0.0798335015976908,-0.353998626933254]",1
17,andrea zavorovic,0.125,8.0,0.0,0.875,0.75,0.25,0.125,0.125,0.625,"[0.125,0.0,0.875,0.75,0.25,0.125,0.125,0.625]",0.42535134454569123,0.6643207577149942,"[0.42535134454569123,0.6643207577149942]",3
18,Andrej_A,0.09090909090909091,11.0,0.9090909090909091,0.0,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.18181818181818182,0.09090909090909091,"[0.09090909090909091,0.9090909090909091,0.0,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.18181818181818182,0.09090909090909091]",0.4543937103920045,-0.6553300737005292,"[0.4543937103920045,-0.6553300737005292]",4
19,Andro Zuanic,0.25,4.0,0.75,0.0,0.75,0.25,0.25,0.25,0.25,"[0.25,0.75,0.0,0.75,0.25,0.25,0.25,0.25]",0.3864022372666074,-0.5145735480518346,"[0.3864022372666074,-0.5145735480518346]",4
20,andrzej,0.25,4.0,0.5,0.25,0.0,1.0,0.0,0.5,0.25,"[0.25,0.5,0.25,0.0,1.0,0.0,0.5,0.25]",-0.5283480605763564,-0.11477620880710426,"[-0.5283480605763564,-0.11477620880710426]",1
21,ane,0.0,8.0,1.0,0.0,1.0,0.0,0.875,0.0,0.0,"(8,[1,3,5],[1.0,1.0,0.875])",0.8365451388163513,-0.7491604582752974,"[0.8365451388163513,-0.7491604582752974]",4
22,Anela,0.0,4.0,0.75,0.25,0.75,0.25,0.0,0.5,0.25,"[0.0,0.75,0.25,0.75,0.25,0.0,0.5,0.25]",0.5360129735565613,-0.26185667642328003,"[0.5360129735565613,-0.26185667642328003]",4
23,Ankica,0.0,11.0,0.5454545454545454,0.45454545454545453,1.0,0.0,0.8181818181818182,0.09090909090909091,0.0,"[0.0,0.5454545454545454,0.45454545454545453,1.0,0.0,0.8181818181818182,0.09090909090909091,0.0]",0.7927091376682657,-0.1072288682376335,"[0.7927091376682657,-0.1072288682376335]",4
