,user,regularitynbFollowing,nbVideos,regularitynbCatchup,regularitynbIndependant,intensitybinge,intensityregular,orderseq,orderjump,orderoutOfOrder,pcaInput,_1,_2,_3,features,probability,prediction
0,AB,0.75,4.0,0.25,0.0,0.0,1.0,0.25,0.5,0.0,"[0.75,0.25,0.0,0.0,1.0,0.25,0.5,0.0]",-0.8975324140641192,-0.15121891214711985,-0.15121891214711985,"[-0.8975324140641192,-0.15121891214711985,-0.15121891214711985]","[0.08165785312268901,0.9171141427460554,0.0012280041312554806]",1
1,Albert,0.7692307692307693,13.0,0.23076923076923078,0.0,0.3076923076923077,0.6923076923076923,0.7692307692307693,0.07692307692307693,0.07692307692307693,"[0.7692307692307693,0.23076923076923078,0.0,0.3076923076923077,0.6923076923076923,0.7692307692307693,0.07692307692307693,0.07692307692307693]",-0.534628740779453,-0.36660986597111817,-0.36660986597111817,"[-0.534628740779453,-0.36660986597111817,-0.36660986597111817]","[0.961228956844059,9.211539323008987e-13,0.03877104315501993]",0
2,Aleksander Valant,0.125,8.0,0.875,0.0,1.0,0.0,0.875,0.0,0.0,"(8,[0,1,3,5],[0.125,0.875,1.0,0.875])",0.692324777687108,-0.8146116391374483,-0.8146116391374483,"[0.692324777687108,-0.8146116391374483,-0.8146116391374483]","[0.9992915334728016,2.979557175186156e-15,0.0007084665271954139]",0
3,alenka dornik,0.4166666666666667,12.0,0.25,0.3333333333333333,0.25,0.75,0.4166666666666667,0.25,0.25,"[0.4166666666666667,0.25,0.3333333333333333,0.25,0.75,0.4166666666666667,0.25,0.25]",-0.3520233245605875,0.0652840275992771,0.0652840275992771,"[-0.3520233245605875,0.0652840275992771,0.0652840275992771]","[0.001212304620485988,6.077036156072537e-09,0.9987876893024779]",2
4,Alenka Neudauer,0.9166666666666666,12.0,0.08333333333333333,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0,"[0.9166666666666666,0.08333333333333333,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0]",-0.9999649723730304,-0.24548258137822543,-0.24548258137822543,"[-0.9999649723730304,-0.24548258137822543,-0.24548258137822543]","[0.05416103331661911,0.9454131676484714,0.00042579903490957743]",1
5,alesj,0.6,5.0,0.4,0.0,0.6,0.4,0.0,0.6,0.2,"[0.6,0.4,0.0,0.6,0.4,0.0,0.6,0.2]",-0.07601962668004089,-0.30519381401195644,-0.30519381401195644,"[-0.07601962668004089,-0.30519381401195644,-0.30519381401195644]","[0.7562858510471266,1.920258374879737e-15,0.24371414895287138]",0
6,alexhana,0.4,5.0,0.0,0.6,0.0,1.0,0.6,0.0,0.2,"[0.4,0.0,0.6,0.0,1.0,0.6,0.0,0.2]",-0.6235807930019953,0.41795072480080775,0.41795072480080775,"[-0.6235807930019953,0.41795072480080775,0.41795072480080775]","[5.459020461288005e-11,0.9939788784601222,0.006021121485287606]",1
7,alja,0.875,8.0,0.125,0.0,0.0,1.0,0.75,0.125,0.0,"[0.875,0.125,0.0,0.0,1.0,0.75,0.125,0.0]",-0.9733002994917619,-0.239302222141274,-0.239302222141274,"[-0.9733002994917619,-0.239302222141274,-0.239302222141274]","[0.06828302667477253,0.9311304085582405,0.0005865647669869827]",1
8,Aljaž,0.2727272727272727,11.0,0.0,0.7272727272727273,0.0,1.0,0.36363636363636365,0.36363636363636365,0.18181818181818182,"[0.2727272727272727,0.0,0.7272727272727273,0.0,1.0,0.36363636363636365,0.36363636363636365,0.18181818181818182]",-0.5468823715561438,0.6165576599374851,0.6165576599374851,"[-0.5468823715561438,0.6165576599374851,0.6165576599374851]","[3.168113408195742e-15,0.9876227635980398,0.01237723640195704]",1
9,amanita.amanita,0.23076923076923078,13.0,0.07692307692307693,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.6153846153846154,"[0.23076923076923078,0.07692307692307693,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.6153846153846154]",0.33961644906592964,0.4102872461517489,0.4102872461517489,"[0.33961644906592964,0.4102872461517489,0.4102872461517489]","[1.6889830677286655e-15,1.6887498656801126e-15,0.9999999999999967]",2
10,Ana Horvath,0.6,5.0,0.0,0.4,0.0,1.0,0.2,0.4,0.2,"[0.6,0.0,0.4,0.0,1.0,0.2,0.4,0.2]",-0.7665465147783141,0.33528821588564434,0.33528821588564434,"[-0.7665465147783141,0.33528821588564434,0.33528821588564434]","[7.647383801973716e-08,0.9962614566510382,0.0037384668751238343]",1
11,Ana Stadler,0.25,4.0,0.0,0.75,0.75,0.25,0.5,0.25,0.0,"[0.25,0.0,0.75,0.75,0.25,0.5,0.25,0.0]",0.34847897527611654,0.3621669783474655,0.3621669783474655,"[0.34847897527611654,0.3621669783474655,0.3621669783474655]","[1.5840544160888617e-15,1.5732480351008364e-15,0.9999999999999969]",2
12,AnaPetar,0.25,4.0,0.75,0.0,1.0,0.0,0.75,0.0,0.0,"(8,[0,1,3,5],[0.25,0.75,1.0,0.75])",0.61547389088723,-0.7505050479414397,-0.7505050479414397,"[0.61547389088723,-0.7505050479414397,-0.7505050479414397]","[0.9985623804912923,1.7294478138688675e-15,0.0014376195087059905]",0
13,AnBn,0.5,12.0,0.4166666666666667,0.08333333333333333,0.25,0.75,0.8333333333333334,0.08333333333333333,0.0,"[0.5,0.4166666666666667,0.08333333333333333,0.25,0.75,0.8333333333333334,0.08333333333333333,0.0]",-0.4346098574374462,-0.34667599030397434,-0.34667599030397434,"[-0.4346098574374462,-0.34667599030397434,-0.34667599030397434]","[0.9501105644250573,1.4586182361149197e-15,0.049889435574941375]",0
14,Ando Saina,1.0,11.0,0.0,0.0,0.0,1.0,0.9090909090909091,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.9090909090909091])",-1.051382973243928,-0.24043364430114172,-0.24043364430114172,"[-1.051382973243928,-0.24043364430114172,-0.24043364430114172]","[0.04921226463593334,0.9504816548050596,0.0003060805590069954]",1
15,Andraž Šunkar,0.8181818181818182,11.0,0.18181818181818182,0.0,0.0,1.0,0.6363636363636364,0.18181818181818182,0.09090909090909091,"[0.8181818181818182,0.18181818181818182,0.0,0.0,1.0,0.6363636363636364,0.18181818181818182,0.09090909090909091]",-0.9311703447814035,-0.22296477839849269,-0.22296477839849269,"[-0.9311703447814035,-0.22296477839849269,-0.22296477839849269]","[0.10814950987718484,0.890755640556228,0.0010948495665872712]",1
16,andrea vlastelica,0.5,12.0,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.25,"[0.5,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.25]",-0.21994192431695564,-0.25742698409706555,-0.25742698409706555,"[-0.21994192431695564,-0.25742698409706555,-0.25742698409706555]","[0.7404779189158981,2.3532523887641173e-15,0.2595220810840995]",0
17,andrea zavorovic,0.125,8.0,0.0,0.875,0.75,0.25,0.125,0.125,0.625,"[0.125,0.0,0.875,0.75,0.25,0.125,0.125,0.625]",0.48589401205407484,0.5987343259767207,0.5987343259767207,"[0.48589401205407484,0.5987343259767207,0.5987343259767207]","[2.5516356358127478e-15,2.551635635812707e-15,0.9999999999999949]",2
18,Andrej_A,0.2727272727272727,11.0,0.7272727272727273,0.0,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.18181818181818182,0.09090909090909091,"[0.2727272727272727,0.7272727272727273,0.0,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.18181818181818182,0.09090909090909091]",0.27865657199735183,-0.6160835426563284,-0.6160835426563284,"[0.27865657199735183,-0.6160835426563284,-0.6160835426563284]","[0.9874431883711975,9.607656202329962e-16,0.012556811628801496]",0
19,Andro Zuanic,0.5,4.0,0.5,0.0,0.75,0.25,0.25,0.25,0.25,"[0.5,0.5,0.0,0.75,0.25,0.25,0.25,0.25]",0.17675131261616678,-0.45611590711851363,-0.45611590711851363,"[0.17675131261616678,-0.45611590711851363,-0.45611590711851363]","[0.942415123373685,1.0087418972721253e-15,0.05758487662631394]",0
20,andrzej,0.5,4.0,0.25,0.25,0.0,1.0,0.0,0.5,0.25,"[0.5,0.25,0.25,0.0,1.0,0.0,0.5,0.25]",-0.7061564776753084,0.16082186448272842,0.16082186448272842,"[-0.7061564776753084,0.16082186448272842,0.16082186448272842]","[5.328821962930454e-05,0.9943704740507082,0.005576237729662425]",1
