,user,regularitynbFollowing,nbVideos,regularitynbCatchup,regularitynbIndependant,intensitybinge,intensityregular,orderseq,orderjump,orderoutOfOrder,pcaInput,_1,_2,_3,prediction
0,AB,0.75,4.0,0.25,0.0,0.0,1.0,0.25,0.5,0.0,"[0.75,0.25,0.0,0.0,1.0,0.25,0.5,0.0]",-0.8975324140641192,-0.15121891214711985,-0.15121891214711985,1
1,Albert,0.7692307692307693,13.0,0.23076923076923078,0.0,0.3076923076923077,0.6923076923076923,0.7692307692307693,0.07692307692307693,0.07692307692307693,"[0.7692307692307693,0.23076923076923078,0.0,0.3076923076923077,0.6923076923076923,0.7692307692307693,0.07692307692307693,0.07692307692307693]",-0.534628740779453,-0.36660986597111817,-0.36660986597111817,1
2,Aleksander Valant,0.125,8.0,0.875,0.0,1.0,0.0,0.875,0.0,0.0,"(8,[0,1,3,5],[0.125,0.875,1.0,0.875])",0.692324777687108,-0.8146116391374483,-0.8146116391374483,0
3,alenka dornik,0.4166666666666667,12.0,0.25,0.3333333333333333,0.25,0.75,0.4166666666666667,0.25,0.25,"[0.4166666666666667,0.25,0.3333333333333333,0.25,0.75,0.4166666666666667,0.25,0.25]",-0.3520233245605875,0.0652840275992771,0.0652840275992771,1
4,Alenka Neudauer,0.9166666666666666,12.0,0.08333333333333333,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0,"[0.9166666666666666,0.08333333333333333,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0]",-0.9999649723730304,-0.24548258137822543,-0.24548258137822543,1
5,alesj,0.6,5.0,0.4,0.0,0.6,0.4,0.0,0.6,0.2,"[0.6,0.4,0.0,0.6,0.4,0.0,0.6,0.2]",-0.07601962668004089,-0.30519381401195644,-0.30519381401195644,0
6,alexhana,0.4,5.0,0.0,0.6,0.0,1.0,0.6,0.0,0.2,"[0.4,0.0,0.6,0.0,1.0,0.6,0.0,0.2]",-0.6235807930019953,0.41795072480080775,0.41795072480080775,1
7,alja,0.875,8.0,0.125,0.0,0.0,1.0,0.75,0.125,0.0,"[0.875,0.125,0.0,0.0,1.0,0.75,0.125,0.0]",-0.9733002994917619,-0.239302222141274,-0.239302222141274,1
8,Aljaž,0.2727272727272727,11.0,0.0,0.7272727272727273,0.0,1.0,0.36363636363636365,0.36363636363636365,0.18181818181818182,"[0.2727272727272727,0.0,0.7272727272727273,0.0,1.0,0.36363636363636365,0.36363636363636365,0.18181818181818182]",-0.5468823715561438,0.6165576599374851,0.6165576599374851,2
9,amanita.amanita,0.23076923076923078,13.0,0.07692307692307693,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.6153846153846154,"[0.23076923076923078,0.07692307692307693,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.6153846153846154]",0.33961644906592964,0.4102872461517489,0.4102872461517489,2
10,Ana Horvath,0.6,5.0,0.0,0.4,0.0,1.0,0.2,0.4,0.2,"[0.6,0.0,0.4,0.0,1.0,0.2,0.4,0.2]",-0.7665465147783141,0.33528821588564434,0.33528821588564434,1
11,Ana Stadler,0.25,4.0,0.0,0.75,0.75,0.25,0.5,0.25,0.0,"[0.25,0.0,0.75,0.75,0.25,0.5,0.25,0.0]",0.34847897527611654,0.3621669783474655,0.3621669783474655,2
12,AnaPetar,0.25,4.0,0.75,0.0,1.0,0.0,0.75,0.0,0.0,"(8,[0,1,3,5],[0.25,0.75,1.0,0.75])",0.61547389088723,-0.7505050479414397,-0.7505050479414397,0
13,AnBn,0.5,12.0,0.4166666666666667,0.08333333333333333,0.25,0.75,0.8333333333333334,0.08333333333333333,0.0,"[0.5,0.4166666666666667,0.08333333333333333,0.25,0.75,0.8333333333333334,0.08333333333333333,0.0]",-0.4346098574374462,-0.34667599030397434,-0.34667599030397434,1
14,Ando Saina,1.0,11.0,0.0,0.0,0.0,1.0,0.9090909090909091,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.9090909090909091])",-1.051382973243928,-0.24043364430114172,-0.24043364430114172,1
15,Andraž Šunkar,0.8181818181818182,11.0,0.18181818181818182,0.0,0.0,1.0,0.6363636363636364,0.18181818181818182,0.09090909090909091,"[0.8181818181818182,0.18181818181818182,0.0,0.0,1.0,0.6363636363636364,0.18181818181818182,0.09090909090909091]",-0.9311703447814035,-0.22296477839849269,-0.22296477839849269,1
16,andrea vlastelica,0.5,12.0,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.25,"[0.5,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.25]",-0.21994192431695564,-0.25742698409706555,-0.25742698409706555,1
17,andrea zavorovic,0.125,8.0,0.0,0.875,0.75,0.25,0.125,0.125,0.625,"[0.125,0.0,0.875,0.75,0.25,0.125,0.125,0.625]",0.48589401205407484,0.5987343259767207,0.5987343259767207,2
18,Andrej_A,0.2727272727272727,11.0,0.7272727272727273,0.0,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.18181818181818182,0.09090909090909091,"[0.2727272727272727,0.7272727272727273,0.0,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.18181818181818182,0.09090909090909091]",0.27865657199735183,-0.6160835426563284,-0.6160835426563284,0
19,Andro Zuanic,0.5,4.0,0.5,0.0,0.75,0.25,0.25,0.25,0.25,"[0.5,0.5,0.0,0.75,0.25,0.25,0.25,0.25]",0.17675131261616678,-0.45611590711851363,-0.45611590711851363,0
