,user,regularitynbFollowing,nbVideos,regularitynbCatchup,regularitynbIndependant,intensitybinge,intensityregular,orderseq,orderjump,orderoutOfOrder,pcaInput,_1,_2,features,prediction
0,AB,0.75,4.0,0.25,0.0,0.0,1.0,0.25,0.5,0.0,"[0.75,0.25,0.0,0.0,1.0,0.25,0.5,0.0]",-0.8975324140641192,-0.15121891214711985,"[-0.8975324140641192,-0.15121891214711985]",3
1,Albert,0.7692307692307693,13.0,0.23076923076923078,0.0,0.3076923076923077,0.6923076923076923,0.7692307692307693,0.07692307692307693,0.07692307692307693,"[0.7692307692307693,0.23076923076923078,0.0,0.3076923076923077,0.6923076923076923,0.7692307692307693,0.07692307692307693,0.07692307692307693]",-0.534628740779453,-0.36660986597111817,"[-0.534628740779453,-0.36660986597111817]",3
2,Aleksander Valant,0.125,8.0,0.875,0.0,1.0,0.0,0.875,0.0,0.0,"(8,[0,1,3,5],[0.125,0.875,1.0,0.875])",0.692324777687108,-0.8146116391374483,"[0.692324777687108,-0.8146116391374483]",1
3,alenka dornik,0.4166666666666667,12.0,0.25,0.3333333333333333,0.25,0.75,0.4166666666666667,0.25,0.25,"[0.4166666666666667,0.25,0.3333333333333333,0.25,0.75,0.4166666666666667,0.25,0.25]",-0.3520233245605875,0.0652840275992771,"[-0.3520233245605875,0.0652840275992771]",0
4,Alenka Neudauer,0.9166666666666666,12.0,0.08333333333333333,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0,"[0.9166666666666666,0.08333333333333333,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0]",-0.9999649723730304,-0.24548258137822543,"[-0.9999649723730304,-0.24548258137822543]",3
5,alesj,0.6,5.0,0.4,0.0,0.6,0.4,0.0,0.6,0.2,"[0.6,0.4,0.0,0.6,0.4,0.0,0.6,0.2]",-0.07601962668004089,-0.30519381401195644,"[-0.07601962668004089,-0.30519381401195644]",4
6,alexhana,0.4,5.0,0.0,0.6,0.0,1.0,0.6,0.0,0.2,"[0.4,0.0,0.6,0.0,1.0,0.6,0.0,0.2]",-0.6235807930019953,0.41795072480080775,"[-0.6235807930019953,0.41795072480080775]",0
7,alja,0.875,8.0,0.125,0.0,0.0,1.0,0.75,0.125,0.0,"[0.875,0.125,0.0,0.0,1.0,0.75,0.125,0.0]",-0.9733002994917619,-0.239302222141274,"[-0.9733002994917619,-0.239302222141274]",3
8,Aljaž,0.2727272727272727,11.0,0.0,0.7272727272727273,0.0,1.0,0.36363636363636365,0.36363636363636365,0.18181818181818182,"[0.2727272727272727,0.0,0.7272727272727273,0.0,1.0,0.36363636363636365,0.36363636363636365,0.18181818181818182]",-0.5468823715561438,0.6165576599374851,"[-0.5468823715561438,0.6165576599374851]",0
9,amanita.amanita,0.23076923076923078,13.0,0.07692307692307693,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.6153846153846154,"[0.23076923076923078,0.07692307692307693,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.6153846153846154]",0.33961644906592964,0.4102872461517489,"[0.33961644906592964,0.4102872461517489]",2
10,Ana Horvath,0.6,5.0,0.0,0.4,0.0,1.0,0.2,0.4,0.2,"[0.6,0.0,0.4,0.0,1.0,0.2,0.4,0.2]",-0.7665465147783141,0.33528821588564434,"[-0.7665465147783141,0.33528821588564434]",0
11,Ana Stadler,0.25,4.0,0.0,0.75,0.75,0.25,0.5,0.25,0.0,"[0.25,0.0,0.75,0.75,0.25,0.5,0.25,0.0]",0.34847897527611654,0.3621669783474655,"[0.34847897527611654,0.3621669783474655]",2
12,AnaPetar,0.25,4.0,0.75,0.0,1.0,0.0,0.75,0.0,0.0,"(8,[0,1,3,5],[0.25,0.75,1.0,0.75])",0.61547389088723,-0.7505050479414397,"[0.61547389088723,-0.7505050479414397]",1
13,AnBn,0.5,12.0,0.4166666666666667,0.08333333333333333,0.25,0.75,0.8333333333333334,0.08333333333333333,0.0,"[0.5,0.4166666666666667,0.08333333333333333,0.25,0.75,0.8333333333333334,0.08333333333333333,0.0]",-0.4346098574374462,-0.34667599030397434,"[-0.4346098574374462,-0.34667599030397434]",4
14,Ando Saina,1.0,11.0,0.0,0.0,0.0,1.0,0.9090909090909091,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.9090909090909091])",-1.051382973243928,-0.24043364430114172,"[-1.051382973243928,-0.24043364430114172]",3
15,Andraž Šunkar,0.8181818181818182,11.0,0.18181818181818182,0.0,0.0,1.0,0.6363636363636364,0.18181818181818182,0.09090909090909091,"[0.8181818181818182,0.18181818181818182,0.0,0.0,1.0,0.6363636363636364,0.18181818181818182,0.09090909090909091]",-0.9311703447814035,-0.22296477839849269,"[-0.9311703447814035,-0.22296477839849269]",3
16,andrea vlastelica,0.5,12.0,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.25,"[0.5,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.25]",-0.21994192431695564,-0.25742698409706555,"[-0.21994192431695564,-0.25742698409706555]",4
17,andrea zavorovic,0.125,8.0,0.0,0.875,0.75,0.25,0.125,0.125,0.625,"[0.125,0.0,0.875,0.75,0.25,0.125,0.125,0.625]",0.48589401205407484,0.5987343259767207,"[0.48589401205407484,0.5987343259767207]",2
18,Andrej_A,0.2727272727272727,11.0,0.7272727272727273,0.0,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.18181818181818182,0.09090909090909091,"[0.2727272727272727,0.7272727272727273,0.0,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.18181818181818182,0.09090909090909091]",0.27865657199735183,-0.6160835426563284,"[0.27865657199735183,-0.6160835426563284]",1
19,Andro Zuanic,0.5,4.0,0.5,0.0,0.75,0.25,0.25,0.25,0.25,"[0.5,0.5,0.0,0.75,0.25,0.25,0.25,0.25]",0.17675131261616678,-0.45611590711851363,"[0.17675131261616678,-0.45611590711851363]",4
20,andrzej,0.5,4.0,0.25,0.25,0.0,1.0,0.0,0.5,0.25,"[0.5,0.25,0.25,0.0,1.0,0.0,0.5,0.25]",-0.7061564776753084,0.16082186448272842,"[-0.7061564776753084,0.16082186448272842]",0
21,ane,0.125,8.0,0.875,0.0,1.0,0.0,0.875,0.0,0.0,"(8,[0,1,3,5],[0.125,0.875,1.0,0.875])",0.692324777687108,-0.8146116391374483,"[0.692324777687108,-0.8146116391374483]",1
22,Anela,0.25,4.0,0.5,0.25,0.75,0.25,0.0,0.5,0.25,"[0.25,0.5,0.25,0.75,0.25,0.0,0.5,0.25]",0.34278006518807647,-0.14416107412465898,"[0.34278006518807647,-0.14416107412465898]",4
23,Ankica,0.09090909090909091,11.0,0.45454545454545453,0.45454545454545453,1.0,0.0,0.8181818181818182,0.09090909090909091,0.0,"[0.09090909090909091,0.45454545454545453,0.45454545454545453,1.0,0.0,0.8181818181818182,0.09090909090909091,0.0]",0.7322871778926654,-0.21999038801996132,"[0.7322871778926654,-0.21999038801996132]",1
24,Annie,1.0,13.0,0.0,0.0,0.0,1.0,0.9230769230769231,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.9230769230769231])",-1.0516770263041801,-0.24311205284744736,"[-1.0516770263041801,-0.24311205284744736]",3
25,ante vrataric,0.3333333333333333,6.0,0.16666666666666666,0.5,0.5,0.5,0.6666666666666666,0.16666666666666666,0.0,"[0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.6666666666666666,0.16666666666666666,0.0]",-0.012806807826601456,0.10193913252973118,"[-0.012806807826601456,0.10193913252973118]",4
26,anton janeš,0.36363636363636365,11.0,0.2727272727272727,0.36363636363636365,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.0,0.0,"[0.36363636363636365,0.2727272727272727,0.36363636363636365,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.0,0.0]",0.23267871698828022,-0.19331230247802045,"[0.23267871698828022,-0.19331230247802045]",4
27,Anze-G,0.25,4.0,0.75,0.0,1.0,0.0,0.75,0.0,0.0,"(8,[0,1,3,5],[0.25,0.75,1.0,0.75])",0.61547389088723,-0.7505050479414397,"[0.61547389088723,-0.7505050479414397]",1
28,Anzze99,0.6666666666666666,9.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5555555555555556,0.1111111111111111,"[0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5555555555555556,0.1111111111111111]",-0.4434725092738576,-0.25803899218990123,"[-0.4434725092738576,-0.25803899218990123]",4
29,Apsirtgirl,0.7142857142857143,7.0,0.2857142857142857,0.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.0,0.0,"[0.7142857142857143,0.2857142857142857,0.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.0,0.0]",-0.3600653390686195,-0.45066788012011627,"[-0.3600653390686195,-0.45066788012011627]",4
30,benjamin,0.16666666666666666,6.0,0.8333333333333334,0.0,1.0,0.0,0.8333333333333334,0.0,0.0,"(8,[0,1,3,5],[0.16666666666666666,0.8333333333333334,1.0,0.8333333333333334])",0.666707815420482,-0.7932427754054454,"[0.666707815420482,-0.7932427754054454]",1
31,blaz02,0.16666666666666666,6.0,0.8333333333333334,0.0,1.0,0.0,0.8333333333333334,0.0,0.0,"(8,[0,1,3,5],[0.16666666666666666,0.8333333333333334,1.0,0.8333333333333334])",0.666707815420482,-0.7932427754054454,"[0.666707815420482,-0.7932427754054454]",1
