,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,prediction
0,AB,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,3
1,Albert,Ordinary - Registered,0.6923076923076923,0.3076923076923077,0.0,13.0,Follower,0,3
2,Aleksander Valant,Ordinary - Registered,0.0,1.0,0.0,8.0,Catch-upper,2,1
3,alenka dornik,Ordinary - Registered,0.25,0.4166666666666667,0.3333333333333333,12.0,Mixed - No predominent behavior,3,4
4,Alenka Neudauer,Ordinary - Registered,0.8333333333333334,0.16666666666666666,0.0,12.0,Follower,0,0
5,alesj,Ordinary - Registered,0.4,0.6,0.0,5.0,Catch-upper,2,3
6,alexhana,Ordinary - Registered,0.4,0.0,0.6,5.0,Independant,1,4
7,alja,Ordinary - Registered,0.75,0.25,0.0,8.0,Follower,0,0
8,Aljaž,Ordinary - Registered,0.2727272727272727,0.0,0.7272727272727273,11.0,Independant,1,2
9,amanita.amanita,Ordinary - Registered,0.15384615384615385,0.15384615384615385,0.6923076923076923,13.0,Independant,1,2
10,Ana Horvath,Ordinary - Registered,0.6,0.0,0.4,5.0,Follower,0,0
11,Ana Stadler,Ordinary - Registered,0.25,0.0,0.75,4.0,Independant,1,2
12,AnaPetar,Ordinary - Registered,0.0,1.0,0.0,4.0,Catch-upper,2,1
13,AnBn,Ordinary - Registered,0.16666666666666666,0.75,0.08333333333333333,12.0,Catch-upper,2,1
14,Ando Saina,Ordinary - Registered,1.0,0.0,0.0,11.0,Follower,0,0
15,Andraž Šunkar,Ordinary - Registered,0.6363636363636364,0.36363636363636365,0.0,11.0,Follower,0,3
16,andrea vlastelica,Ordinary - Registered,0.3333333333333333,0.5833333333333334,0.08333333333333333,12.0,Catch-upper,2,3
17,andrea zavorovic,Ordinary - Registered,0.125,0.0,0.875,8.0,Independant,1,2
18,Andrej_A,Ordinary - Registered,0.09090909090909091,0.9090909090909091,0.0,11.0,Catch-upper,2,1
19,Andro Zuanic,Ordinary - Registered,0.25,0.75,0.0,4.0,Catch-upper,2,1
20,andrzej,Ordinary - Registered,0.25,0.5,0.25,4.0,Catch-upper,2,4
21,ane,Ordinary - Registered,0.0,1.0,0.0,8.0,Catch-upper,2,1
22,Anela,Ordinary - Registered,0.0,0.75,0.25,4.0,Catch-upper,2,1
23,Ankica,Ordinary - Registered,0.0,0.5454545454545454,0.45454545454545453,11.0,Catch-upper,2,4
24,Annie,Ordinary - Registered,1.0,0.0,0.0,13.0,Follower,0,0
25,ante vrataric,Ordinary - Registered,0.16666666666666666,0.3333333333333333,0.5,6.0,Mixed - No predominent behavior,3,4
26,anton janeš,Ordinary - Registered,0.2727272727272727,0.36363636363636365,0.36363636363636365,11.0,Mixed - No predominent behavior,3,4
27,Anze-G,Ordinary - Registered,0.0,1.0,0.0,4.0,Catch-upper,2,1
28,Anzze99,Ordinary - Registered,0.4444444444444444,0.5555555555555556,0.0,9.0,Catch-upper,2,3
29,Apsirtgirl,Ordinary - Registered,0.5714285714285714,0.42857142857142855,0.0,7.0,Follower,0,3
30,benjamin,Ordinary - Registered,0.0,1.0,0.0,6.0,Catch-upper,2,1
31,blaz02,Ordinary - Registered,0.0,1.0,0.0,6.0,Catch-upper,2,1
32,Bojan1825,Ordinary - Registered,0.5,0.5,0.0,12.0,Follower,0,3
33,BORIS MREVLJE,Ordinary - Registered,0.0,0.0,1.0,8.0,Independant,1,2
34,Boštjan M.,Ordinary - Registered,0.5714285714285714,0.2857142857142857,0.14285714285714285,7.0,Follower,0,3
35,BostjanH,Ordinary - Registered,0.0,0.0,1.0,13.0,Independant,1,2
36,BoštjanK,Ordinary - Registered,0.8461538461538461,0.15384615384615385,0.0,13.0,Follower,0,0
37,Branklo,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,3
38,BrunoB,Ordinary - Registered,0.4444444444444444,0.4444444444444444,0.1111111111111111,9.0,Mixed - No predominent behavior,3,3
39,Buda,Ordinary - Registered,0.0,1.0,0.0,6.0,Catch-upper,2,1
40,Buki,Ordinary - Registered,1.0,0.0,0.0,10.0,Follower,0,0
41,chibu79,Ordinary - Registered,0.8333333333333334,0.16666666666666666,0.0,12.0,Follower,0,0
42,Cromiza,Ordinary - Registered,0.09090909090909091,0.45454545454545453,0.45454545454545453,11.0,Mixed - No predominent behavior,3,4
43,cvjetko,Ordinary - Registered,0.4166666666666667,0.5,0.08333333333333333,12.0,Catch-upper,2,3
44,Dalka,Ordinary - Registered,0.5,0.0,0.5,8.0,Follower,0,4
45,Damir Mulalic,Ordinary - Registered,0.0,0.4166666666666667,0.5833333333333334,12.0,Independant,1,4
46,damir.juretic,Ordinary - Registered,1.0,0.0,0.0,11.0,Follower,0,0
47,Danilo4783,Ordinary - Registered,0.0,0.36363636363636365,0.6363636363636364,11.0,Independant,1,4
48,Dario,Ordinary - Registered,0.1111111111111111,0.2222222222222222,0.6666666666666666,9.0,Independant,1,4
49,DarioR,Ordinary - Registered,0.0,0.2857142857142857,0.7142857142857143,7.0,Independant,1,4
50,Darko Babic,Ordinary - Registered,0.5384615384615384,0.3076923076923077,0.15384615384615385,13.0,Follower,0,3
51,Dejan Adamic,Ordinary - Registered,0.5384615384615384,0.23076923076923078,0.23076923076923078,13.0,Follower,0,3
52,DejanJ,Ordinary - Registered,0.7692307692307693,0.15384615384615385,0.07692307692307693,13.0,Follower,0,0
53,delimir,Ordinary - Registered,0.0,0.0,1.0,11.0,Independant,1,2
54,demirel,Ordinary - Registered,0.0,1.0,0.0,4.0,Catch-upper,2,1
55,Deni Oreb,Ordinary - Registered,0.0,1.0,0.0,11.0,Catch-upper,2,1
56,Dimen,Ordinary - Registered,0.2,0.4,0.4,5.0,Mixed - No predominent behavior,3,4
57,dkervina,Ordinary - Registered,0.25,0.75,0.0,8.0,Catch-upper,2,1
58,dmeic,Ordinary - Registered,0.07692307692307693,0.6923076923076923,0.23076923076923078,13.0,Catch-upper,2,1
59,Domen S,Ordinary - Registered,1.0,0.0,0.0,12.0,Follower,0,0
60,Dorsi,Ordinary - Registered,0.2,0.8,0.0,10.0,Catch-upper,2,1
61,dragana,Ordinary - Registered,0.14285714285714285,0.8571428571428571,0.0,7.0,Catch-upper,2,1
62,Dražen,Ordinary - Registered,0.4444444444444444,0.4444444444444444,0.1111111111111111,9.0,Mixed - No predominent behavior,3,3
63,drejc,Ordinary - Registered,0.09090909090909091,0.18181818181818182,0.7272727272727273,11.0,Independant,1,2
64,Duši,Ordinary - Registered,0.0,0.5,0.5,8.0,Catch-upper,2,4
65,Edvard,Ordinary - Registered,0.6666666666666666,0.2222222222222222,0.1111111111111111,9.0,Follower,0,3
66,Efa i Neno,Ordinary - Registered,0.23076923076923078,0.5384615384615384,0.23076923076923078,13.0,Catch-upper,2,4
67,Elena Nikolovska,Ordinary - Registered,0.0,0.625,0.375,8.0,Catch-upper,2,4
68,Ferijan Perkovic,Ordinary - Registered,0.4444444444444444,0.4444444444444444,0.1111111111111111,9.0,Mixed - No predominent behavior,3,3
69,filip mestrovic,Ordinary - Registered,0.5714285714285714,0.42857142857142855,0.0,7.0,Follower,0,3
70,Gasper,Ordinary - Registered,0.2857142857142857,0.2857142857142857,0.42857142857142855,7.0,Mixed - No predominent behavior,3,4
71,gcampa,Ordinary - Registered,0.25,0.4166666666666667,0.3333333333333333,12.0,Mixed - No predominent behavior,3,4
72,GITA MARINKOVIC,Ordinary - Registered,0.0,1.0,0.0,4.0,Catch-upper,2,1
73,Goran Cacic,Ordinary - Registered,0.0,0.25,0.75,12.0,Independant,1,2
74,Goran Ðurica,Ordinary - Registered,0.23076923076923078,0.5384615384615384,0.23076923076923078,13.0,Catch-upper,2,4
75,Gordan,Ordinary - Registered,0.07692307692307693,0.0,0.9230769230769231,13.0,Independant,1,2
76,Gordana Genc,Ordinary - Registered,0.7777777777777778,0.2222222222222222,0.0,9.0,Follower,0,0
77,gpet,Ordinary - Registered,0.75,0.25,0.0,12.0,Follower,0,0
78,Gregor Primc,Ordinary - Registered,0.3333333333333333,0.16666666666666666,0.5,12.0,Independant,1,4
79,greta,Ordinary - Registered,0.14285714285714285,0.5714285714285714,0.2857142857142857,7.0,Catch-upper,2,4
80,Grozdana Sirotic,Ordinary - Registered,0.5,0.0,0.5,4.0,Follower,0,4
81,Grup amor,Ordinary - Registered,0.1111111111111111,0.0,0.8888888888888888,9.0,Independant,1,2
82,HanaP,Ordinary - Registered,0.0,0.0,1.0,5.0,Independant,1,2
83,Hrvoje Juvancic,Ordinary - Registered,0.2222222222222222,0.7777777777777778,0.0,9.0,Catch-upper,2,1
84,Igor Šutic,Ordinary - Registered,0.7692307692307693,0.15384615384615385,0.07692307692307693,13.0,Follower,0,0
85,Igor Žafran,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.15384615384615385,13.0,Follower,0,0
86,Igor29,Ordinary - Registered,0.16666666666666666,0.8333333333333334,0.0,6.0,Catch-upper,2,1
87,IgorGancevic,Ordinary - Registered,0.0,0.375,0.625,8.0,Independant,1,4
88,igorr,Ordinary - Registered,0.1111111111111111,0.2222222222222222,0.6666666666666666,9.0,Independant,1,4
89,iivana,Ordinary - Registered,0.14285714285714285,0.2857142857142857,0.5714285714285714,7.0,Independant,1,4
90,Ina,Ordinary - Registered,0.9,0.0,0.1,10.0,Follower,0,0
91,Ines,Ordinary - Registered,0.0,1.0,0.0,8.0,Catch-upper,2,1
92,Ivan Odrljin,Ordinary - Registered,0.6153846153846154,0.15384615384615385,0.23076923076923078,13.0,Follower,0,0
93,Ivana PR,Ordinary - Registered,1.0,0.0,0.0,5.0,Follower,0,0
94,IvanV,Ordinary - Registered,0.0,1.0,0.0,6.0,Catch-upper,2,1
95,Ivica Komljenovic,Ordinary - Registered,0.07692307692307693,0.9230769230769231,0.0,13.0,Catch-upper,2,1
96,Iztok3,Ordinary - Registered,0.1,0.5,0.4,10.0,Mixed - No predominent behavior,3,4
97,jadralec Jaro,Ordinary - Registered,0.5,0.25,0.25,8.0,Follower,0,3
98,Jadran,Ordinary - Registered,0.6666666666666666,0.3333333333333333,0.0,12.0,Follower,0,3
99,Janez  stupica,Ordinary - Registered,0.625,0.0,0.375,8.0,Follower,0,0
100,Jani Pristavec,Ordinary - Registered,0.8461538461538461,0.15384615384615385,0.0,13.0,Follower,0,0
101,Jaroš,Ordinary - Registered,0.5,0.3333333333333333,0.16666666666666666,6.0,Mixed - No predominent behavior,3,3
102,Jasminka,Ordinary - Registered,0.5714285714285714,0.42857142857142855,0.0,7.0,Follower,0,3
103,jelena,Ordinary - Registered,0.8181818181818182,0.18181818181818182,0.0,11.0,Follower,0,0
104,Jelena-Marija,Ordinary - Registered,0.09090909090909091,0.8181818181818182,0.09090909090909091,11.0,Catch-upper,2,1
105,Jelena Cutura,Ordinary - Registered,0.4,0.4,0.2,5.0,Mixed - No predominent behavior,3,3
106,jerko,Ordinary - Registered,0.16666666666666666,0.8333333333333334,0.0,12.0,Catch-upper,2,1
