,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,featuresForScaler,features,prediction
0,AB,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
1,Albert,Ordinary - Registered,0.6923076923076923,0.3076923076923077,0.0,13.0,Follower,0,"[0.6923076923076923,0.3076923076923077,0.0]","[1.270586180468445,-0.24100692940041232,-0.8729859492405728]",0
2,Aleksander Valant,Ordinary - Registered,0.0,1.0,0.0,8.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
3,alenka dornik,Ordinary - Registered,0.25,0.4166666666666667,0.3333333333333333,12.0,Mixed - No predominent behavior,3,"[0.25,0.4166666666666667,0.3333333333333333]","[-0.10583917485759342,0.06360974646797045,0.030506409020451927]",0
4,Alenka Neudauer,Ordinary - Registered,0.8333333333333334,0.16666666666666666,0.0,12.0,Follower,0,"[0.8333333333333334,0.16666666666666666,0.0]","[1.7094464386883415,-0.6352167452300842,-0.8729859492405728]",0
5,alesj,Ordinary - Registered,0.4,0.6,0.0,5.0,Catch-upper,2,"[0.4,0.6,0.0]","[0.3609485543399327,0.5760825070465436,-0.8729859492405728]",0
6,alexhana,Ordinary - Registered,0.4,0.0,0.6,5.0,Independant,1,"[0.4,0.0,0.6]","[0.3609485543399327,-1.1011010730287871,0.7533002956292718]",0
7,alja,Ordinary - Registered,0.75,0.25,0.0,8.0,Follower,0,"[0.75,0.25,0.0]","[1.4501199224674934,-0.40227458133073263,-0.8729859492405728]",0
8,Aljaž,Ordinary - Registered,0.2727272727272727,0.0,0.7272727272727273,11.0,Independant,1,"[0.2727272727272727,0.0,0.7272727272727273]","[-0.03511376134281681,-1.1011010730287871,1.0982701051471178]",0
9,amanita.amanita,Ordinary - Registered,0.15384615384615385,0.15384615384615385,0.6923076923076923,13.0,Independant,1,"[0.15384615384615385,0.15384615384615385,0.6923076923076923]","[-0.40506207818934087,-0.6710540012145998,1.0034981794554017]",0
10,Ana Horvath,Ordinary - Registered,0.6,0.0,0.4,5.0,Follower,0,"[0.6,0.0,0.4]","[0.9833321932699673,-1.1011010730287871,0.211204880672657]",0
11,Ana Stadler,Ordinary - Registered,0.25,0.0,0.75,4.0,Independant,1,"[0.25,0.0,0.75]","[-0.10583917485759342,-1.1011010730287871,1.159871856846733]",0
12,AnaPetar,Ordinary - Registered,0.0,1.0,0.0,4.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
13,AnBn,Ordinary - Registered,0.16666666666666666,0.75,0.08333333333333333,12.0,Catch-upper,2,"[0.16666666666666666,0.75,0.08333333333333333]","[-0.36516569107844127,0.9953784020653764,-0.6471128596753167]",0
14,Ando Saina,Ordinary - Registered,1.0,0.0,0.0,11.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
15,Andraž Šunkar,Ordinary - Registered,0.6363636363636364,0.36363636363636365,0.0,11.0,Follower,0,"[0.6363636363636364,0.36363636363636365,0.0]","[1.0964928548936101,-0.0846261760134351,-0.8729859492405728]",0
16,andrea vlastelica,Ordinary - Registered,0.3333333333333333,0.5833333333333334,0.08333333333333333,12.0,Catch-upper,2,"[0.3333333333333333,0.5833333333333334,0.08333333333333333]","[0.15348734136325434,0.5294940742666735,-0.6471128596753167]",0
17,andrea zavorovic,Ordinary - Registered,0.125,0.0,0.875,8.0,Independant,1,"[0.125,0.0,0.875]","[-0.49482894918886516,-1.1011010730287871,1.4986814911946171]",0
