,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,features,prediction
0,AB,Ordinary - Registered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
1,Albert,Ordinary - Registered,0.0591715976331361,0.23076923076923078,0.0,13.0,Follower,0,"[0.0591715976331361,0.23076923076923078,0.0]",2
2,Aleksander Valant,Ordinary - Registered,0.015625,0.875,0.0,8.0,Catch-upper,2,"[0.015625,0.875,0.0]",1
3,alenka dornik,Ordinary - Registered,0.034722222222222224,0.25,0.3333333333333333,12.0,Mixed - No predominent behavior,3,"[0.034722222222222224,0.25,0.3333333333333333]",2
4,Alenka Neudauer,Ordinary - Registered,0.07638888888888888,0.08333333333333333,0.0,12.0,Follower,0,"[0.07638888888888888,0.08333333333333333,0.0]",2
5,alesj,Ordinary - Registered,0.12,0.4,0.0,5.0,Follower,0,"[0.12,0.4,0.0]",2
6,alexhana,Ordinary - Registered,0.08,0.0,0.6,5.0,Independant,1,"[0.08,0.0,0.6]",0
7,alja,Ordinary - Registered,0.109375,0.125,0.0,8.0,Follower,0,"[0.109375,0.125,0.0]",2
8,Aljaž,Ordinary - Registered,0.024793388429752063,0.0,0.7272727272727273,11.0,Independant,1,"[0.024793388429752063,0.0,0.7272727272727273]",0
9,amanita.amanita,Ordinary - Registered,0.01775147928994083,0.07692307692307693,0.6923076923076923,13.0,Independant,1,"[0.01775147928994083,0.07692307692307693,0.6923076923076923]",0
10,Ana Horvath,Ordinary - Registered,0.12,0.0,0.4,5.0,Follower,0,"[0.12,0.0,0.4]",2
11,Ana Stadler,Ordinary - Registered,0.0625,0.0,0.75,4.0,Independant,1,"[0.0625,0.0,0.75]",0
12,AnaPetar,Ordinary - Registered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
13,AnBn,Ordinary - Registered,0.041666666666666664,0.4166666666666667,0.08333333333333333,12.0,Follower,0,"[0.041666666666666664,0.4166666666666667,0.08333333333333333]",2
14,Ando Saina,Ordinary - Registered,0.09090909090909091,0.0,0.0,11.0,Follower,0,"[0.09090909090909091,0.0,0.0]",2
15,Andraž Šunkar,Ordinary - Registered,0.0743801652892562,0.18181818181818182,0.0,11.0,Follower,0,"[0.0743801652892562,0.18181818181818182,0.0]",2
16,andrea vlastelica,Ordinary - Registered,0.041666666666666664,0.4166666666666667,0.08333333333333333,12.0,Follower,0,"[0.041666666666666664,0.4166666666666667,0.08333333333333333]",2
17,andrea zavorovic,Ordinary - Registered,0.015625,0.0,0.875,8.0,Independant,1,"[0.015625,0.0,0.875]",0
18,Andrej_A,Ordinary - Registered,0.024793388429752063,0.7272727272727273,0.0,11.0,Catch-upper,2,"[0.024793388429752063,0.7272727272727273,0.0]",1
19,Andro Zuanic,Ordinary - Registered,0.125,0.5,0.0,4.0,Follower,0,"[0.125,0.5,0.0]",1
20,andrzej,Ordinary - Registered,0.125,0.25,0.25,4.0,Follower,0,"[0.125,0.25,0.25]",2
21,ane,Ordinary - Registered,0.015625,0.875,0.0,8.0,Catch-upper,2,"[0.015625,0.875,0.0]",1
22,Anela,Ordinary - Registered,0.0625,0.5,0.25,4.0,Catch-upper,2,"[0.0625,0.5,0.25]",1
23,Ankica,Ordinary - Registered,0.008264462809917356,0.45454545454545453,0.45454545454545453,11.0,Mixed - No predominent behavior,3,"[0.008264462809917356,0.45454545454545453,0.45454545454545453]",2
24,Annie,Ordinary - Registered,0.07692307692307693,0.0,0.0,13.0,Follower,0,"[0.07692307692307693,0.0,0.0]",2
25,ante vrataric,Ordinary - Registered,0.05555555555555555,0.16666666666666666,0.5,6.0,Mixed - No predominent behavior,3,"[0.05555555555555555,0.16666666666666666,0.5]",2
26,anton janeš,Ordinary - Registered,0.03305785123966942,0.2727272727272727,0.36363636363636365,11.0,Mixed - No predominent behavior,3,"[0.03305785123966942,0.2727272727272727,0.36363636363636365]",2
27,Anze-G,Ordinary - Registered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
28,Anzze99,Ordinary - Registered,0.07407407407407407,0.3333333333333333,0.0,9.0,Follower,0,"[0.07407407407407407,0.3333333333333333,0.0]",2
29,Apsirtgirl,Ordinary - Registered,0.10204081632653061,0.2857142857142857,0.0,7.0,Follower,0,"[0.10204081632653061,0.2857142857142857,0.0]",2
30,benjamin,Ordinary - Registered,0.027777777777777776,0.8333333333333334,0.0,6.0,Catch-upper,2,"[0.027777777777777776,0.8333333333333334,0.0]",1
31,blaz02,Ordinary - Registered,0.027777777777777776,0.8333333333333334,0.0,6.0,Catch-upper,2,"[0.027777777777777776,0.8333333333333334,0.0]",1
32,Bojan1825,Ordinary - Registered,0.05555555555555555,0.3333333333333333,0.0,12.0,Follower,0,"[0.05555555555555555,0.3333333333333333,0.0]",2
33,BORIS MREVLJE,Ordinary - Registered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]",0
34,Boštjan M.,Ordinary - Registered,0.10204081632653061,0.14285714285714285,0.14285714285714285,7.0,Follower,0,"[0.10204081632653061,0.14285714285714285,0.14285714285714285]",2
35,BostjanH,Ordinary - Registered,0.0,0.0,1.0,13.0,Independant,1,"[0.0,0.0,1.0]",0
36,BoštjanK,Ordinary - Registered,0.07100591715976332,0.07692307692307693,0.0,13.0,Follower,0,"[0.07100591715976332,0.07692307692307693,0.0]",2
37,Branklo,Ordinary - Registered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
38,BrunoB,Ordinary - Registered,0.07407407407407407,0.2222222222222222,0.1111111111111111,9.0,Follower,0,"[0.07407407407407407,0.2222222222222222,0.1111111111111111]",2
39,Buda,Ordinary - Registered,0.05555555555555555,0.6666666666666666,0.0,6.0,Catch-upper,2,"[0.05555555555555555,0.6666666666666666,0.0]",1
40,Buki,Ordinary - Registered,0.1,0.0,0.0,10.0,Follower,0,"[0.1,0.0,0.0]",2
41,chibu79,Ordinary - Registered,0.07638888888888888,0.08333333333333333,0.0,12.0,Follower,0,"[0.07638888888888888,0.08333333333333333,0.0]",2
42,Cromiza,Ordinary - Registered,0.024793388429752063,0.2727272727272727,0.45454545454545453,11.0,Mixed - No predominent behavior,3,"[0.024793388429752063,0.2727272727272727,0.45454545454545453]",2
43,cvjetko,Ordinary - Registered,0.05555555555555555,0.25,0.08333333333333333,12.0,Follower,0,"[0.05555555555555555,0.25,0.08333333333333333]",2
44,Dalka,Ordinary - Registered,0.0625,0.0,0.5,8.0,Follower,0,"[0.0625,0.0,0.5]",0
