,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,regularitybehavior,regularityClasses,features,probability,prediction
0,AB,Ordinary - Registered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[0.525635355073385,0.47436464488712055,3.949442939404069e-11]",0
1,Albert,Ordinary - Registered,10.0,3.0,0.0,Follower,0,"[10.0,3.0,0.0]","[0.9999992869001283,7.130995104013338e-07,3.613795104549284e-13]",0
2,Aleksander Valant,Ordinary - Registered,1.0,7.0,0.0,Catch-upper,2,"[1.0,7.0,0.0]","[0.05451815094247088,5.47300456062943e-14,0.9454818490574745]",2
3,alenka dornik,Ordinary - Registered,5.0,3.0,4.0,Mixed - No predominent behavior,3,"[5.0,3.0,4.0]","[0.9999490245761867,5.09754228686967e-05,9.44548210428272e-13]",0
4,Alenka Neudauer,Ordinary - Registered,11.0,1.0,0.0,Follower,0,"[11.0,1.0,0.0]","[0.999999999544231,4.5527926342189546e-10,4.897343717605409e-13]",0
5,alesj,Ordinary - Registered,3.0,2.0,0.0,Follower,0,"[3.0,2.0,0.0]","[0.9943796958679857,0.0056203038065516285,3.254627601504991e-10]",0
6,alexhana,Ordinary - Registered,2.0,0.0,3.0,Independant,1,"[2.0,0.0,3.0]","[0.0669849461427612,0.9305881246308141,0.0024269292264246884]",1
7,alja,Ordinary - Registered,7.0,1.0,0.0,Follower,0,"[7.0,1.0,0.0]","[0.9981469868044458,0.001853013195466638,8.766538814690641e-14]",0
8,Aljaž,Ordinary - Registered,3.0,0.0,8.0,Independant,1,"[3.0,0.0,8.0]","[9.661631597598176e-07,0.999998559801431,4.7403540918316833e-07]",1
9,amanita.amanita,Ordinary - Registered,3.0,1.0,9.0,Independant,1,"[3.0,1.0,9.0]","[1.1369055322426703e-08,0.9999993163840217,6.722469229808416e-07]",1
10,Ana Horvath,Ordinary - Registered,3.0,0.0,2.0,Follower,0,"[3.0,0.0,2.0]","[0.5227872781022918,0.47721272137621457,5.214936071016749e-10]",0
11,Ana Stadler,Ordinary - Registered,1.0,0.0,3.0,Independant,1,"[1.0,0.0,3.0]","[0.020556444860231865,0.7733554243896157,0.20608813075015242]",1
12,AnaPetar,Ordinary - Registered,1.0,3.0,0.0,Catch-upper,2,"[1.0,3.0,0.0]","[0.30238341263303053,9.163354236012502e-11,0.6976165872753359]",2
