,users,catchingUpRatio,order,freq,ordinary-late,pcaInput,_1,_2,prediction
0,AB,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",0.7246038192098008,-0.7377664355712706,1
1,Albert,0.23076923076923078,0.9166666666666666,0.7692307692307693,ordinary,"[0.23076923076923078,0.9166666666666666,0.7692307692307693]",0.7360311780741416,-0.7097459211499626,1
2,Aleksander Valant,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",-0.09881997661701797,-1.0510837005511346,2
3,alenka dornik,0.25,0.7272727272727273,0.4166666666666667,ordinary,"[0.25,0.7272727272727273,0.4166666666666667]",0.38339483367592575,-0.5469871862141563,0
4,Alenka Neudauer,0.08333333333333333,1.0,0.9166666666666666,ordinary,"[0.08333333333333333,1.0,0.9166666666666666]",0.9441834980969526,-0.6542151649099734,1
5,alesj,0.4,0.75,0.6,ordinary,"[0.4,0.75,0.6]",0.48525583442037246,-0.7578226295929626,2
6,alexhana,0.0,0.75,0.4,ordinary,"[0.0,0.75,0.4]",0.48000611832359985,-0.3221717412345955,0
7,alja,0.125,1.0,0.875,ordinary,"[0.125,1.0,0.875]",0.8892885783751646,-0.6751029825752979,1
8,Alja��,0.0,0.8,0.2727272727272727,ordinary,"[0.0,0.8,0.2727272727272727]",0.37545177859750856,-0.2833241289856912,0
9,amanita.amanita,0.07692307692307693,0.3333333333333333,0.2307692307692308,ordinary,"[0.07692307692307693,0.3333333333333333,0.2307692307692308]",0.22723463912004047,-0.2326604365422859,0
10,Ana Horvath,0.0,0.75,0.6,ordinary,"[0.0,0.75,0.6]",0.657419766798912,-0.40054768749168024,1
11,Ana Stadler,0.0,1.0,0.25,ordinary,"[0.0,1.0,0.25]",0.38867215575810743,-0.31852973111525734,0
12,AnaPetar,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",0.06586478254834577,-0.988420247555162,2
13,AnBn,0.4166666666666667,1.0,0.5,ordinary,"[0.4166666666666667,1.0,0.5]",0.43110178679126904,-0.7886610619587825,2
14,Ando Saina,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",1.0539733375405285,-0.612439529579325,1
15,Andra�� ��unkar,0.0,0.9,0.8181818181818182,ordinary,"[0.0,0.9,0.8181818181818182]",0.875997693046575,-0.5191326895162215,1
16,andrea vlastelica,0.4166666666666667,0.7272727272727273,0.5,ordinary,"[0.4166666666666667,0.7272727272727273,0.5]",0.3855822153829144,-0.7285083896968094,2
17,andrea zavorovic,0.0,0.2857142857142857,0.125,ordinary,"[0.0,0.2857142857142857,0.125]",0.1585707003439179,-0.11200205163750693,0
18,Andrej_A,0.7272727272727273,0.9,0.2727272727272727,ordinary,"[0.7272727272727273,0.9,0.2727272727272727]",0.07911695651656064,-0.954970912635595,2
19,Andro Zuanic,0.5,0.6666666666666666,0.5,ordinary,"[0.5,0.6666666666666666,0.5]",0.3395992691577509,-0.7895734087985825,2
20,andrzej,0.25,0.6666666666666666,0.5,ordinary,"[0.25,0.6666666666666666,0.5]",0.4472017268943381,-0.566276569985281,0
21,ane,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",-0.09881997661701797,-1.0510837005511346,2
22,Anela,0.5,0.6666666666666666,0.25,ordinary,"[0.5,0.6666666666666666,0.25]",0.11783220856361061,-0.6916034759772266,2
23,Ankica,0.45454545454545453,1.0,0.09090909090909093,ordinary,"[0.45454545454545453,1.0,0.09090909090909093]",0.05190683040440504,-0.6621794807985791,2
24,Annie,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",1.0539733375405285,-0.612439529579325,1
25,ante vrataric,0.16666666666666666,1.0,0.3333333333333333,ordinary,"[0.16666666666666666,1.0,0.3333333333333333]",0.39085953746509605,-0.5000509345979103,0
26,anton jane��,0.0,1.0,0.3636363636363637,ordinary,"[0.0,1.0,0.3636363636363637]",0.48947536511908035,-0.3630615187613282,0
27,Anze-G,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",0.06586478254834577,-0.988420247555162,2
28,Anzze99,0.3333333333333333,0.875,0.6666666666666666,ordinary,"[0.3333333333333333,0.875,0.6666666666666666]",0.5939508428707291,-0.7519720961151815,1
29,Apsirtgirl,0.2857142857142857,1.0,0.7142857142857143,ordinary,"[0.2857142857142857,1.0,0.7142857142857143]",0.6775510308768398,-0.7556702792844057,1
30,benjamin,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]",-0.043925056895230075,-1.0301958828858107,2
31,blaz02,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]",-0.043925056895230075,-1.0301958828858107,2
32,Bojan1825,0.3333333333333333,1.0,0.6666666666666666,ordinary,"[0.3333333333333333,1.0,0.6666666666666666]",0.614813979766225,-0.7795420709019192,1
33,BORIS MREVLJE,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0.16690509516396712,-0.22055979829390143,0
34,Bo��tjan M.,0.0,1.0,0.7142857142857143,ordinary,"[0.0,1.0,0.7142857142857143]",0.8005252682900823,-0.500473892069204,1
35,BostjanH,0.0,0.9166666666666666,0.0,ordinary,"[0.0,0.9166666666666666,0.0]",0.1529963372336365,-0.20217981510274297,0
36,Bo��tjanK,0.0,1.0,0.6153846153846154,ordinary,"[0.0,1.0,0.6153846153846154]",0.7127932443187741,-0.46171655600800826,1
37,Branklo,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",0.7246038192098008,-0.7377664355712706,1
