,users,catchingUpRatio,order,freq,ordinary-late,features,prediction
0,AB,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",2
1,Albert,0.23076923076923078,0.9166666666666666,0.7692307692307693,ordinary,"[0.23076923076923078,0.9166666666666666,0.7692307692307693]",2
2,Aleksander Valant,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",1
3,alenka dornik,0.25,0.7272727272727273,0.4166666666666667,ordinary,"[0.25,0.7272727272727273,0.4166666666666667]",0
4,Alenka Neudauer,0.08333333333333333,1.0,0.9166666666666666,ordinary,"[0.08333333333333333,1.0,0.9166666666666666]",2
5,alesj,0.4,0.75,0.6,ordinary,"[0.4,0.75,0.6]",1
6,alexhana,0.0,0.75,0.4,ordinary,"[0.0,0.75,0.4]",0
7,alja,0.125,1.0,0.875,ordinary,"[0.125,1.0,0.875]",2
8,Alja��,0.0,0.8,0.2727272727272727,ordinary,"[0.0,0.8,0.2727272727272727]",0
9,amanita.amanita,0.07692307692307693,0.3333333333333333,0.2307692307692308,ordinary,"[0.07692307692307693,0.3333333333333333,0.2307692307692308]",0
10,Ana Horvath,0.0,0.75,0.6,ordinary,"[0.0,0.75,0.6]",2
11,Ana Stadler,0.0,1.0,0.25,ordinary,"[0.0,1.0,0.25]",0
12,AnaPetar,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",1
13,AnBn,0.4166666666666667,1.0,0.5,ordinary,"[0.4166666666666667,1.0,0.5]",1
14,Ando Saina,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",2
15,Andra�� ��unkar,0.0,0.9,0.8181818181818182,ordinary,"[0.0,0.9,0.8181818181818182]",2
16,andrea vlastelica,0.4166666666666667,0.7272727272727273,0.5,ordinary,"[0.4166666666666667,0.7272727272727273,0.5]",1
17,andrea zavorovic,0.0,0.2857142857142857,0.125,ordinary,"[0.0,0.2857142857142857,0.125]",0
18,Andrej_A,0.7272727272727273,0.9,0.2727272727272727,ordinary,"[0.7272727272727273,0.9,0.2727272727272727]",1
19,Andro Zuanic,0.5,0.6666666666666666,0.5,ordinary,"[0.5,0.6666666666666666,0.5]",1
20,andrzej,0.25,0.6666666666666666,0.5,ordinary,"[0.25,0.6666666666666666,0.5]",2
21,ane,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",1
