,users,catchingUpRatio,order,freq,ordinary-late,features,prediction
0,AB,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",1
1,Albert,0.23076923076923078,0.9166666666666666,0.7692307692307693,ordinary,"[0.23076923076923078,0.9166666666666666,0.7692307692307693]",1
2,Aleksander Valant,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",3
3,alenka dornik,0.25,0.7272727272727273,0.4166666666666667,ordinary,"[0.25,0.7272727272727273,0.4166666666666667]",2
4,Alenka Neudauer,0.08333333333333333,1.0,0.9166666666666666,ordinary,"[0.08333333333333333,1.0,0.9166666666666666]",1
5,alesj,0.4,0.75,0.6,ordinary,"[0.4,0.75,0.6]",0
6,alja,0.125,1.0,0.875,ordinary,"[0.125,1.0,0.875]",1
7,amanita.amanita,0.07692307692307693,0.3333333333333333,0.2307692307692308,ordinary,"[0.07692307692307693,0.3333333333333333,0.2307692307692308]",2
8,AnaPetar,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",3
9,AnBn,0.4166666666666667,1.0,0.5,ordinary,"[0.4166666666666667,1.0,0.5]",3
10,andrea vlastelica,0.4166666666666667,0.7272727272727273,0.5,ordinary,"[0.4166666666666667,0.7272727272727273,0.5]",3
11,Andrej_A,0.7272727272727273,0.9,0.2727272727272727,ordinary,"[0.7272727272727273,0.9,0.2727272727272727]",3
12,Andro Zuanic,0.5,0.6666666666666666,0.5,ordinary,"[0.5,0.6666666666666666,0.5]",3
13,andrzej,0.25,0.6666666666666666,0.5,ordinary,"[0.25,0.6666666666666666,0.5]",0
14,ane,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",3
15,Anela,0.5,0.6666666666666666,0.25,ordinary,"[0.5,0.6666666666666666,0.25]",3
16,Ankica,0.45454545454545453,1.0,0.09090909090909093,ordinary,"[0.45454545454545453,1.0,0.09090909090909093]",3
17,ante vrataric,0.16666666666666666,1.0,0.3333333333333333,ordinary,"[0.16666666666666666,1.0,0.3333333333333333]",2
18,Anze-G,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",3
19,Anzze99,0.3333333333333333,0.875,0.6666666666666666,ordinary,"[0.3333333333333333,0.875,0.6666666666666666]",1
20,Apsirtgirl,0.2857142857142857,1.0,0.7142857142857143,ordinary,"[0.2857142857142857,1.0,0.7142857142857143]",1
21,benjamin,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]",3
