,users,catchingUpRatio,order,freq,ordinary-late,features,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.6,0.25,0.4,ordinary,"[0.6,0.25,0.4]",2
1,0064c3fd-7e6e-425c-f754-34b889c8,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
2,037820a7-a143-422c-3ebd-3553d373,0.8571428571428571,0.5,0.14285714285714285,ordinary,"[0.8571428571428571,0.5,0.14285714285714285]",1
3,04745589-295d-158e-c6c0-ef24f730,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
4,04a7d779-f053-b1a3-386e-82d69979,0.0,0.8333333333333334,0.0,ordinary,"[0.0,0.8333333333333334,0.0]",0
5,068616a9-816f-e8e4-d737-6ddba1df,0.0,0.6666666666666666,0.0,ordinary,"[0.0,0.6666666666666666,0.0]",0
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]",1
7,0781bbba-c179-f93c-1116-8d684911,0.0,0.75,0.0,ordinary,"[0.0,0.75,0.0]",0
8,08ee9ac0-7656-2b25-ce41-b44d758e,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
9,0a84077c-d3fa-56fc-803c-a863ca7e,0.0,0.6666666666666666,0.0,ordinary,"[0.0,0.6666666666666666,0.0]",0
10,0c9621b0-ff94-77e8-727f-5420882d,0.0,1.0,0.5,ordinary,"[0.0,1.0,0.5]",3
11,0e59235e-e51a-a5cd-e0ba-0fffe847,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]",1
12,101c246c-3f77-d919-ca38-8d19141e,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
13,10355f7a-f86a-830c-cbf1-fb3c40b6,0.0,0.6666666666666666,0.0,ordinary,"[0.0,0.6666666666666666,0.0]",0
14,135b42ab-ac52-d14a-c37c-6ffeca28,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
15,1459b8fd-ecab-4e30-1fc9-3d649648,0.8571428571428571,0.3333333333333333,0.14285714285714285,ordinary,"[0.8571428571428571,0.3333333333333333,0.14285714285714285]",1
