,users,followingRatio,order,freq,catchingUpRatio,pcaInput,_1,_2,features,probability,prediction
0,AB,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",0.11576765969846395,1.1776510733460523,"[0.11576765969846395,1.1776510733460523]","[4.890047883054975e-14,2.3989919970812325e-16,7.361143467346504e-05,0.9999263885652774]",3
1,Albert,0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078,"[0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078]",0.2779049360532504,1.0778684305178219,"[0.2779049360532504,1.0778684305178219]","[0.19339303293315227,1.0290889222070608e-16,2.1263733269242275e-05,0.8065857033335783]",3
2,Aleksander Valant,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",-0.9882534173939501,1.1745229203681018,"[-0.9882534173939501,1.1745229203681018]","[8.259305099722441e-17,0.9999995614715222,8.615653610370349e-17,4.385284775328794e-07]",1
3,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,0.25,"[0.125,0.7272727272727273,0.4166666666666667,0.25]",0.0505926120673896,0.751550489909416,"[0.0505926120673896,0.751550489909416]","[0.0030031959399641965,1.0872022418718684e-16,0.9947519106294271,0.002244893430608615]",2
4,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333,"[0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333]",0.450724025320449,1.1584265360052857,"[0.450724025320449,1.1584265360052857]","[0.5013995902407059,1.6071665244136263e-16,1.9162700309210966e-09,0.4986004078430239]",0
5,alesj,0.33333333333333337,0.75,0.6,0.4,"[0.33333333333333337,0.75,0.6,0.4]",-0.06481945997474747,1.025722209457108,"[-0.06481945997474747,1.025722209457108]","[6.434121464537682e-17,6.434121219654634e-17,0.024093461152816534,0.9759065388471834]",3
6,alja,0.14285714285714285,1.0,0.875,0.125,"[0.14285714285714285,1.0,0.875,0.125]",0.3724158372717395,1.1605462357688408,"[0.3724158372717395,1.1605462357688408]","[0.5951907750987826,9.45974532633263e-17,3.0618725927132234e-08,0.40480919428249135]",0
7,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693,"[0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693]",-0.0238582293870344,0.40300051791808983,"[-0.0238582293870344,0.40300051791808983]","[0.013326279984786703,6.154821372837975e-15,0.9866737200067527,8.4543369795345e-12]",2
8,AnaPetar,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",-0.8510851136699836,1.2165196433668957,"[-0.8510851136699836,1.2165196433668957]","[3.056271197221687e-16,0.9999966417577282,2.7603352929761885e-14,3.358242243757178e-06]",1
9,AnBn,0.14285714285714285,1.0,0.5,0.4166666666666667,"[0.14285714285714285,1.0,0.5,0.4166666666666667]",0.00775200978541099,0.9998800818404832,"[0.00775200978541099,0.9998800818404832]","[7.65045640877932e-15,7.068064970077953e-17,0.0333103346634321,0.9666896653365602]",3
