,users,followingRatio,order,freq,catchingUpRatio,features,probability,prediction
0,AB,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]","[1.905679613879211e-22,8.070725123801202e-23,4.329381740216186e-08,0.9999999567061826,8.070725123801202e-23]",3
1,Albert,0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078,"[0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078]","[5.063253954829766e-08,0.9857889591362907,0.014210990231169895,3.214454582866961e-18,3.214454582866961e-18]",1
2,Aleksander Valant,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]","[4.9958970413102495e-21,4.9958970413102495e-21,6.591813795976417e-14,0.999999999999934,7.297834405673672e-21]",3
3,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,0.25,"[0.125,0.7272727272727273,0.4166666666666667,0.25]","[0.9137799694813271,1.482221341898368e-17,0.08622002885007787,1.482221341898368e-17,1.6685950350304493e-09]",0
4,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333,"[0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333]","[3.5193510563863024e-22,1.0761617287187899e-14,5.3893070285591347e-08,0.999999946106919,1.1173319085176996e-22]",3
5,alesj,0.33333333333333337,0.75,0.6,0.4,"[0.33333333333333337,0.75,0.6,0.4]","[9.362151631940565e-08,1.2015021440792713e-06,0.9999987048761994,1.2091580984843311e-16,1.4009309300655825e-13]",2
6,alexhana,0.25,0.75,0.4,0.0,"[0.25,0.75,0.4,0.0]","[5.936832304617474e-07,0.0002228483982038607,0.9997765458821227,1.3028774783519778e-16,1.2036442830747324e-08]",2
7,alja,0.14285714285714285,1.0,0.875,0.125,"[0.14285714285714285,1.0,0.875,0.125]","[1.9917541523095024e-21,9.287566029175434e-23,6.465520316443685e-08,0.9999999353447969,9.27795409179175e-23]",3
8,Alja��,0.1,0.8,0.2727272727272727,0.0,"[0.1,0.8,0.2727272727272727,0.0]","[0.9277362305441499,4.7630042423958057e-17,0.07221965790397034,4.7629426519498805e-17,4.4111551879705555e-05]",0
9,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693,"[0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693]","[2.9090243344291416e-16,2.859737753201637e-16,0.9999999999999989,2.859737753201637e-16,2.859737753201637e-16]",2
10,Ana Horvath,0.2,0.75,0.6,0.0,"[0.2,0.75,0.6,0.0]","[6.816687457110957e-13,4.158905818499155e-06,0.9999958410934995,1.621756843526895e-16,1.6218303030560706e-16]",2
11,Ana Stadler,0.5,1.0,0.25,0.0,"[0.5,1.0,0.25,0.0]","[1.4507970732448344e-16,2.239428546509169e-22,1.2454464706633725e-09,0.9999999987545534,2.239428599752754e-22]",3
12,AnaPetar,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]","[4.7247050918368786e-21,4.7247050918368786e-21,1.2358013307316403e-12,0.9999999999987642,4.724705092138278e-21]",3
13,AnBn,0.14285714285714285,1.0,0.5,0.4166666666666667,"[0.14285714285714285,1.0,0.5,0.4166666666666667]","[2.411255649378462e-11,4.6700072516841155e-15,3.0854998369895185e-08,0.9999999691208845,1.1172820061434364e-22]",3
14,Ando Saina,0.09090909090909091,1.0,1.0,0.0,"[0.09090909090909091,1.0,1.0,0.0]","[2.0712475634310585e-22,5.5450742430651794e-17,1.1188371602082775e-08,0.9999999888116282,2.0712475385495198e-22]",3
15,Andra�� ��unkar,0.11111111111111112,0.9,0.8181818181818182,0.0,"[0.11111111111111112,0.9,0.8181818181818182,0.0]","[3.0880413613606136e-17,0.9965027454953033,0.003497254504696832,3.4163877584696205e-18,3.4163877584696205e-18]",1
16,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667,"[0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667]","[0.9363722753837117,2.0382568970035833e-17,0.06362772431663524,2.0382568970035833e-17,2.996528705397572e-10]",0
17,andrea zavorovic,0.3333333333333333,0.2857142857142857,0.125,0.0,"[0.3333333333333333,0.2857142857142857,0.125,0.0]","[2.876000372710024e-16,2.876000372709855e-16,0.9999999999999989,2.876000372709855e-16,2.876000372709855e-16]",2
18,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273,"[0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273]","[1.4738792185643094e-10,8.07000197782209e-17,7.952124043867694e-05,8.070001462669646e-17,0.9999204786121733]",4
19,Andro Zuanic,0.5,0.6666666666666666,0.5,0.5,"[0.5,0.6666666666666666,0.5,0.5]","[2.2800082869748474e-14,2.266019368003429e-16,0.9999998514951007,2.2660193680034267e-16,1.4850487599861626e-07]",2
20,andrzej,0.3333333333333333,0.6666666666666666,0.5,0.25,"[0.3333333333333333,0.6666666666666666,0.5,0.25]","[2.8533256665547527e-10,2.9854292823079297e-09,0.9999999966943649,5.876552617467242e-17,3.487314891952428e-11]",2
21,ane,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]","[4.9958970413102495e-21,4.9958970413102495e-21,6.591813795976417e-14,0.999999999999934,7.297834405673672e-21]",3
22,Anela,0.5,0.6666666666666666,0.25,0.5,"[0.5,0.6666666666666666,0.25,0.5]","[4.883298472580413e-06,7.489532628833587e-16,0.9999776680279071,7.48953261736863e-16,1.74486736189831e-05]",2
23,Ankica,0.5,1.0,0.09090909090909093,0.45454545454545453,"[0.5,1.0,0.09090909090909093,0.45454545454545453]","[6.03342942936389e-14,9.324646319056224e-23,2.1600680950960175e-11,0.9999999999670209,1.1317995413640529e-11]",3
24,Annie,0.07692307692307693,1.0,1.0,0.0,"[0.07692307692307693,1.0,1.0,0.0]","[2.0040209494609522e-22,3.16857919490819e-14,1.283378135497444e-08,0.9999999871661869,2.0040207732044857e-22]",3
25,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,"[0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666]","[2.202649869145047e-09,4.8992027017357155e-23,9.795555287237822e-09,0.9999999880017948,4.981586814209697e-23]",3
26,anton jane��,0.2,1.0,0.3636363636363637,0.0,"[0.2,1.0,0.3636363636363637,0.0]","[4.790061310453569e-08,8.618500889582024e-23,3.4763146810348386e-08,0.9999999173362402,8.619062022158087e-23]",3
27,Anze-G,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]","[4.7247050918368786e-21,4.7247050918368786e-21,1.2358013307316403e-12,0.9999999999987642,4.724705092138278e-21]",3
28,Anzze99,0.16666666666666666,0.875,0.6666666666666666,0.3333333333333333,"[0.16666666666666666,0.875,0.6666666666666666,0.3333333333333333]","[2.5926034417652134e-05,0.9863711771739944,0.013602896791588125,2.2476669623894755e-18,2.247667037037192e-18]",1
29,Apsirtgirl,0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857,"[0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857]","[5.1502127351248425e-14,5.705690663895627e-23,1.322844942586477e-07,0.9999998677154542,5.705690663895604e-23]",3
30,benjamin,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]","[4.5948202171918706e-21,4.5948202171918706e-21,2.0387658562007589e-13,0.9999999999997962,4.5997464429928216e-21]",3
31,blaz02,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]","[4.5948202171918706e-21,4.5948202171918706e-21,2.0387658562007589e-13,0.9999999999997962,4.5997464429928216e-21]",3
32,Bojan1825,0.125,1.0,0.6666666666666666,0.3333333333333333,"[0.125,1.0,0.6666666666666666,0.3333333333333333]","[2.5446153127256363e-11,6.648487772704192e-15,1.5019888725791827e-07,0.9999998497756599,7.1461518976987e-23]",3
