,users,followingRatio,order,freq,catchingUpRatio,pcaInput,_1,_2,prediction
0,AB,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",0.35670653470147184,0.8842434735245928,1
1,Albert,0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078,"[0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078]",0.5015906429168736,0.8239172865214592,0
2,Aleksander Valant,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",-0.717014898146286,1.1428584094476175,3
3,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,0.25,"[0.125,0.7272727272727273,0.4166666666666667,0.25]",0.20884323006213112,0.608038363492133,2
4,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333,"[0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333]",0.6801154244034308,0.8050340371077197,0
5,alesj,0.33333333333333337,0.75,0.6,0.4,"[0.33333333333333337,0.75,0.6,0.4]",0.1600929070522144,0.8650333152451661,1
6,alexhana,0.25,0.75,0.4,0.0,"[0.25,0.75,0.4,0.0]",0.2293491406430637,0.42600218348422614,2
7,alja,0.14285714285714285,1.0,0.875,0.125,"[0.14285714285714285,1.0,0.875,0.125]",0.6042296985327478,0.8234642372605006,0
8,Alja��,0.1,0.8,0.2727272727272727,0.0,"[0.1,0.8,0.2727272727272727,0.0]",0.23223537244887618,0.34385255596060704,2
9,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693,"[0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693]",0.05701252407455083,0.2932523904613993,4
10,Ana Horvath,0.2,0.75,0.6,0.0,"[0.2,0.75,0.6,0.0]",0.3983570124306908,0.5273881442028271,2
11,Ana Stadler,0.5,1.0,0.25,0.0,"[0.5,1.0,0.25,0.0]",0.011398127083929482,0.4395608846880069,4
12,AnaPetar,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",-0.5787546585207581,1.1122666701151496,3
13,AnBn,0.14285714285714285,1.0,0.5,0.4166666666666667,"[0.14285714285714285,1.0,0.5,0.4166666666666667]",0.22315315849667505,0.8492990545932787,1
14,Ando Saina,0.09090909090909091,1.0,1.0,0.0,"[0.09090909090909091,1.0,1.0,0.0]",0.772288917487116,0.7846395442194078,0
15,Andra�� ��unkar,0.11111111111111112,0.9,0.8181818181818182,0.0,"[0.11111111111111112,0.9,0.8181818181818182,0.0]",0.6208504765922525,0.6661002605542985,0
16,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667,"[0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667]",0.18966078747999449,0.7882951504350372,1
17,andrea zavorovic,0.3333333333333333,0.2857142857142857,0.125,0.0,"[0.3333333333333333,0.2857142857142857,0.125,0.0]",-0.06841890016829907,0.18505583327011366,4
18,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273,"[0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273]",-0.18347673445362972,0.9786801982390239,6
19,Andro Zuanic,0.5,0.6666666666666666,0.5,0.5,"[0.5,0.6666666666666666,0.5,0.5]",-0.05635412336111212,0.8972806847001824,6
20,andrzej,0.3333333333333333,0.6666666666666666,0.5,0.25,"[0.3333333333333333,0.6666666666666666,0.5,0.25]",0.14036347184045045,0.6730454228911349,2
21,ane,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",-0.717014898146286,1.1428584094476175,3
22,Anela,0.5,0.6666666666666666,0.25,0.5,"[0.5,0.6666666666666666,0.25,0.5]",-0.23176206609063493,0.7606429613712419,6
23,Ankica,0.5,1.0,0.09090909090909093,0.45454545454545453,"[0.5,1.0,0.09090909090909093,0.45454545454545453]",-0.2840660846921904,0.7122845189220923,6
24,Annie,0.07692307692307693,1.0,1.0,0.0,"[0.07692307692307693,1.0,1.0,0.0]",0.7803117196141115,0.7824229797593935,0
25,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,"[0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666]",0.09806414232611138,0.5905735339783997,2
26,anton jane��,0.2,1.0,0.3636363636363637,0.0,"[0.2,1.0,0.3636363636363637,0.0]",0.2632181157668568,0.4541236330793078,2
27,Anze-G,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",-0.5787546585207581,1.1122666701151496,3
28,Anzze99,0.16666666666666666,0.875,0.6666666666666666,0.3333333333333333,"[0.16666666666666666,0.875,0.6666666666666666,0.3333333333333333]",0.34478743024850417,0.8502637838585393,1
29,Apsirtgirl,0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857,"[0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857]",0.3936876560382018,0.8718527226245893,1
30,benjamin,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]",-0.6709281516044435,1.1326611630034615,3
31,blaz02,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]",-0.6709281516044435,1.1326611630034615,3
