,users,followingRatio,order,freq,catchingUpRatio,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.5,0.25,0.4,0.6,"[0.5,0.25,0.4,0.6]","[8.925192346182098e-16,0.0030510676768832515,0.9969489323231159]",2
1,037820a7-a143-422c-3ebd-3553d373,1.0,0.5,0.14285714285714285,0.8571428571428571,"[1.0,0.5,0.14285714285714285,0.8571428571428571]","[1.0,1.805875044222453e-17,2.926673957899088e-22]",0
2,06f2e041-7a2d-a0ab-5f48-fd01f0a2,1.0,1.0,0.09090909090909093,0.9090909090909091,"[1.0,1.0,0.09090909090909093,0.9090909090909091]","[0.9999999999999999,1.510383191145839e-16,5.149863948144721e-25]",0
3,0e59235e-e51a-a5cd-e0ba-0fffe847,1.0,1.0,0.09090909090909093,0.9090909090909091,"[1.0,1.0,0.09090909090909093,0.9090909090909091]","[0.9999999999999999,1.510383191145839e-16,5.149863948144721e-25]",0
4,1459b8fd-ecab-4e30-1fc9-3d649648,1.0,0.3333333333333333,0.14285714285714285,0.8571428571428571,"[1.0,0.3333333333333333,0.14285714285714285,0.8571428571428571]","[1.0,4.719966834706602e-18,5.652272814416984e-21]",0
5,1496b095-5b5f-4c47-5066-49bcf5d6,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]","[0.9999999999999999,1.1831621253748633e-16,9.578533392279258e-25]",0
6,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.5,0.6666666666666666,0.25,0.5,"[0.5,0.6666666666666666,0.25,0.5]","[2.949880701104476e-17,0.9153208897785842,0.08467911022141585]",1
7,16ba8f74-d9b7-c724-98c5-f31f43be,0.19999999999999998,0.8,0.8333333333333334,0.16666666666666666,"[0.19999999999999998,0.8,0.8333333333333334,0.16666666666666666]","[5.0193452901716985e-17,5.0193452901716985e-17,1.0]",2
8,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,1.0,0.8571428571428571,0.125,0.875,"[1.0,0.8571428571428571,0.125,0.875]","[0.9999999999999999,1.2431243775815342e-16,3.2862408877385583e-25]",0
9,1c09a110-d9c3-2442-9f5d-aee802c0,1.0,0.6666666666666666,0.25,0.75,"[1.0,0.6666666666666666,0.25,0.75]","[1.0,2.9022632854834635e-17,2.7483294265476725e-24]",0
10,1cb07e56-7b73-0087-0a17-3e9c1f88,0.25,0.8571428571428571,0.5,0.5,"[0.25,0.8571428571428571,0.5,0.5]","[3.9224984195643804e-17,1.1774135430101061e-08,0.9999999882258646]",2
11,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.5,0.75,0.4,0.6,"[0.5,0.75,0.4,0.6]","[2.022542612784113e-16,0.002320892554153851,0.9976791074458459]",2
12,1f7f3fd7-7087-1461-cf43-9add2172,0.3333333333333333,0.6666666666666666,0.75,0.25,"[0.3333333333333333,0.6666666666666666,0.75,0.25]","[3.8175537083408775e-17,3.8175537087887656e-17,0.9999999999999999]",2
13,20e2fc85-7d0f-8a2c-b651-4b811a97,0.3333333333333333,0.4,0.3333333333333333,0.16666666666666666,"[0.3333333333333333,0.4,0.3333333333333333,0.16666666666666666]","[1.9448539516859964e-16,0.018098946317021154,0.9819010536829786]",2
14,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,1.0,0.9090909090909092,0.08333333333333333,0.9166666666666666,"[1.0,0.9090909090909092,0.08333333333333333,0.9166666666666666]","[0.9999999999999999,1.0614013753076626e-16,5.926362375746455e-25]",0
15,258d2e1f-e3e8-2612-8285-895fb96d,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]","[1.3817121647353013e-16,1.3817121647395471e-16,0.9999999999999998]",2
16,269144fa-ef0e-c81e-52ff-df9a348a,0.25,0.8333333333333334,0.2307692307692308,0.6923076923076923,"[0.25,0.8333333333333334,0.2307692307692308,0.6923076923076923]","[1.0631361020727376e-16,0.8830852920045733,0.11691470799542658]",1
17,31a88be4-13ad-06c2-119c-3551a490,0.5,1.0,0.1,0.2,"[0.5,1.0,0.1,0.2]","[2.9990075703728873e-17,0.9999999659275977,3.407240226125657e-08]",1
18,3447bacb-f54d-55c2-592f-3a3ff765,0.5,1.0,0.25,0.75,"[0.5,1.0,0.25,0.75]","[7.958698746531111e-17,0.9872390798612323,0.012760920138767718]",1
19,35813a40-7aa6-5336-237b-c93f1759,1.0,0.8571428571428571,0.0,0.875,"[1.0,0.8571428571428571,0.0,0.875]","[0.9999999999999937,6.255522581609129e-15,7.132775481314222e-22]",0
20,35ce5334-aefb-9a61-d1c3-7f01a776,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]","[0.9999999999999998,1.9740733690569643e-16,3.1719283660764247e-25]",0
21,367365a7-8d2a-3b00-f3e3-f877be3c,0.5,0.8333333333333334,0.2857142857142857,0.7142857142857143,"[0.5,0.8333333333333334,0.2857142857142857,0.7142857142857143]","[9.622514521415303e-17,0.8497343110674509,0.15026568893254894]",1
22,3681eecc-7864-c1c1-0024-4d4234be,1.0,1.0,0.1,0.9,"[1.0,1.0,0.1,0.9]","[0.9999999999999999,1.6500892278136698e-16,4.378874542823805e-25]",0
23,37ada581-75c2-560e-2eb3-3db3a231,1.0,0.5,0.2,0.8,"[1.0,0.5,0.2,0.8]","[1.0,1.6088102199728906e-17,1.0247950024598133e-22]",0
