,users,followingRatio,order,freq,catchingUpRatio,pcaInput,_1,_2,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.5,0.25,0.4,0.6,"[0.5,0.25,0.4,0.6]",-0.5882575088102852,0.23113579561416742,"[-0.5882575088102852,0.23113579561416742]","[2.8623563489168515e-16,0.9900810506695243,2.862361743697632e-16,0.009918949330475053]",1
1,037820a7-a143-422c-3ebd-3553d373,1.0,0.5,0.14285714285714285,0.8571428571428571,"[1.0,0.5,0.14285714285714285,0.8571428571428571]",-1.1891421509963023,0.4931419494883944,"[-1.1891421509963023,0.4931419494883944]","[1.2368034149254752e-16,1.2368034149254752e-16,0.9997813460885416,0.00021865391145806936]",2
2,06f2e041-7a2d-a0ab-5f48-fd01f0a2,1.0,1.0,0.09090909090909093,0.9090909090909091,"[1.0,1.0,0.09090909090909093,0.9090909090909091]",-1.2295820103156965,0.9946769510409094,"[-1.2295820103156965,0.9946769510409094]","[0.0002913439738111052,1.594197999778013e-16,0.9996501481074963,5.850791869244291e-05]",2
3,0e59235e-e51a-a5cd-e0ba-0fffe847,1.0,1.0,0.09090909090909093,0.9090909090909091,"[1.0,1.0,0.09090909090909093,0.9090909090909091]",-1.2295820103156965,0.9946769510409094,"[-1.2295820103156965,0.9946769510409094]","[0.0002913439738111052,1.594197999778013e-16,0.9996501481074963,5.850791869244291e-05]",2
4,1459b8fd-ecab-4e30-1fc9-3d649648,1.0,0.3333333333333333,0.14285714285714285,0.8571428571428571,"[1.0,0.3333333333333333,0.14285714285714285,0.8571428571428571]",-1.191598272857501,0.3266427753297768,"[-1.191598272857501,0.3266427753297768]","[2.444181441165925e-16,2.444181441165925e-16,0.9999686250077207,3.137499227876897e-05]",2
5,1496b095-5b5f-4c47-5066-49bcf5d6,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",-1.0831693215502882,0.9884371713686317,"[-1.0831693215502882,0.9884371713686317]","[0.0048114184022814786,3.834048044342575e-16,0.99335155047682,0.001837031120898238]",2
6,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.5,0.6666666666666666,0.25,0.5,"[0.5,0.6666666666666666,0.25,0.5]",-0.572126725652899,0.6545410138296442,"[-0.572126725652899,0.6545410138296442]","[1.599040527650096e-16,1.599040527650096e-16,1.5990405467608262e-16,0.9999999999999996]",3
7,16ba8f74-d9b7-c724-98c5-f31f43be,0.19999999999999998,0.8,0.8333333333333334,0.16666666666666666,"[0.19999999999999998,0.8,0.8333333333333334,0.16666666666666666]",0.039398836422257,0.7622839763156888,"[0.039398836422257,0.7622839763156888]","[7.218625065194086e-17,0.9496469067300024,7.218625065194086e-17,0.050353093269997554]",1
8,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,1.0,0.8571428571428571,0.125,0.875,"[1.0,0.8571428571428571,0.125,0.875]",-1.200313110032708,0.8506262775466061,"[-1.200313110032708,0.8506262775466061]","[9.073641667906892e-17,9.073641667906892e-17,0.9997301390364894,0.0002698609635103649]",2
9,1c09a110-d9c3-2442-9f5d-aee802c0,1.0,0.6666666666666666,0.25,0.75,"[1.0,0.6666666666666666,0.25,0.75]",-1.0880815652726858,0.6554388230513964,"[-1.0880815652726858,0.6554388230513964]","[1.7812001095244652e-16,1.7812001095244652e-16,0.9942525220653301,0.005747477934669455]",2
10,1cb07e56-7b73-0087-0a17-3e9c1f88,0.25,0.8571428571428571,0.5,0.5,"[0.25,0.8571428571428571,0.5,0.5]",-0.303320318952227,0.8326604186517168,"[-0.303320318952227,0.8326604186517168]","[2.5375039052941694e-16,2.5375039052941694e-16,2.5375039052941694e-16,0.9999999999999992]",3
11,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.5,0.75,0.4,0.6,"[0.5,0.75,0.4,0.6]",-0.5808891432266889,0.7306333180900203,"[-0.5808891432266889,0.7306333180900203]","[1.7541673278319495e-16,1.7541673278319495e-16,1.754167388041298e-16,0.9999999999999994]",3
12,1f7f3fd7-7087-1461-cf43-9add2172,0.3333333333333333,0.6666666666666666,0.75,0.25,"[0.3333333333333333,0.6666666666666666,0.75,0.25]",-0.13736991830405254,0.6329322586627595,"[-0.13736991830405254,0.6329322586627595]","[6.441291886672024e-17,0.7353523413587504,6.441291886672024e-17,0.2646476586412496]",1
13,20e2fc85-7d0f-8a2c-b651-4b811a97,0.3333333333333333,0.4,0.3333333333333333,0.16666666666666666,"[0.3333333333333333,0.4,0.3333333333333333,0.16666666666666666]",-0.2286880613678245,0.3854239840731741,"[-0.2286880613678245,0.3854239840731741]","[1.0466932302172e-15,1.0466932302172e-15,1.0466932302172e-15,0.9999999999999969]",3
14,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,1.0,0.9090909090909092,0.08333333333333333,0.9166666666666666,"[1.0,0.9090909090909092,0.08333333333333333,0.9166666666666666]",-1.2378937459474306,0.9041563520470101,"[-1.2378937459474306,0.9041563520470101]","[1.6793893568631993e-16,1.6793893568631993e-16,0.9998426300014844,0.00015736999851528332]",2
15,258d2e1f-e3e8-2612-8285-895fb96d,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",-0.13245767458165508,0.9659306069799949,"[-0.13245767458165508,0.9659306069799949]","[0.9781015146092729,6.563998535206476e-17,6.563998535206476e-17,0.02189848539072712]",0
16,269144fa-ef0e-c81e-52ff-df9a348a,0.25,0.8333333333333334,0.2307692307692308,0.6923076923076923,"[0.25,0.8333333333333334,0.2307692307692308,0.6923076923076923]",-0.5058967505185873,0.8198264685533732,"[-0.5058967505185873,0.8198264685533732]","[2.176633079528903e-16,2.176633079528903e-16,2.176633079528914e-16,0.9999999999999993]",3
17,31a88be4-13ad-06c2-119c-3551a490,0.5,1.0,0.1,0.2,"[0.5,1.0,0.1,0.2]",-0.4387946210966926,0.9957158945538692,"[-0.4387946210966926,0.9957158945538692]","[0.9856647081902143,2.4168355561788376e-17,2.4168355561788376e-17,0.014335291809785588]",0
18,3447bacb-f54d-55c2-592f-3a3ff765,0.5,1.0,0.25,0.75,"[0.5,1.0,0.25,0.75]",-0.7152512098422759,0.9862653001618085,"[-0.7152512098422759,0.9862653001618085]","[0.979047586237957,7.645779171516328e-17,1.6822853900316939e-15,0.020952413762041357]",0
19,35813a40-7aa6-5336-237b-c93f1759,1.0,0.8571428571428571,0.0,0.875,"[1.0,0.8571428571428571,0.0,0.875]",-1.2413332872496416,0.8561659925673598,"[-1.2413332872496416,0.8561659925673598]","[1.7791833416858056e-16,1.7791833416858056e-16,0.9997651078256152,0.0002348921743843662]",2
20,35ce5334-aefb-9a61-d1c3-7f01a776,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",-1.198207862723109,0.9933398553968499,"[-1.198207862723109,0.9933398553968499]","[0.0003125892602863637,1.0849249105452724e-16,0.9996153924578008,7.201828191259308e-05]",2
21,367365a7-8d2a-3b00-f3e3-f877be3c,0.5,0.8333333333333334,0.2857142857142857,0.7142857142857143,"[0.5,0.8333333333333334,0.2857142857142857,0.7142857142857143]",-0.6848391770826687,0.8183653591379857,"[-0.6848391770826687,0.8183653591379857]","[4.607221731781977e-16,4.607221731781977e-16,8.513261310994445e-16,0.9999999999999982]",3
22,3681eecc-7864-c1c1-0024-4d4234be,1.0,1.0,0.1,0.9,"[1.0,1.0,0.1,0.9]",-1.2212155709576733,0.9943203922024936,"[-1.2212155709576733,0.9943203922024936]","[0.00028856476019245206,1.395323800058034e-16,0.9996513242105344,6.0111029272998265e-05]",2
23,37ada581-75c2-560e-2eb3-3db3a231,1.0,0.5,0.2,0.8,"[1.0,0.5,0.2,0.8]",-1.1365531036030128,0.49090072250406613,"[-1.1365531036030128,0.49090072250406613]","[1.0669619258731806e-16,1.0669619258731806e-16,0.999514088751323,0.00048591124867692704]",2
