,users,followingRatio,order,freq,catchingUpRatio,features,prediction
0,AB,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",1
1,Albert,0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078,"[0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078]",1
2,Aleksander Valant,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",3
3,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,0.25,"[0.125,0.7272727272727273,0.4166666666666667,0.25]",0
4,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333,"[0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333]",1
5,alesj,0.33333333333333337,0.75,0.6,0.4,"[0.33333333333333337,0.75,0.6,0.4]",0
6,alja,0.14285714285714285,1.0,0.875,0.125,"[0.14285714285714285,1.0,0.875,0.125]",1
7,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693,"[0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693]",0
8,AnaPetar,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",3
9,AnBn,0.14285714285714285,1.0,0.5,0.4166666666666667,"[0.14285714285714285,1.0,0.5,0.4166666666666667]",0
10,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667,"[0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667]",0
11,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273,"[0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273]",2
12,Andro Zuanic,0.5,0.6666666666666666,0.5,0.5,"[0.5,0.6666666666666666,0.5,0.5]",2
13,andrzej,0.3333333333333333,0.6666666666666666,0.5,0.25,"[0.3333333333333333,0.6666666666666666,0.5,0.25]",0
14,ane,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",3
15,Anela,0.5,0.6666666666666666,0.25,0.5,"[0.5,0.6666666666666666,0.25,0.5]",2
16,Ankica,0.5,1.0,0.09090909090909093,0.45454545454545453,"[0.5,1.0,0.09090909090909093,0.45454545454545453]",2
17,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,"[0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666]",0
18,Anze-G,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",3
19,Anzze99,0.16666666666666666,0.875,0.6666666666666666,0.3333333333333333,"[0.16666666666666666,0.875,0.6666666666666666,0.3333333333333333]",1
20,Apsirtgirl,0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857,"[0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857]",1
21,benjamin,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]",3
22,blaz02,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]",3
23,Bojan1825,0.125,1.0,0.6666666666666666,0.3333333333333333,"[0.125,1.0,0.6666666666666666,0.3333333333333333]",1
24,Branklo,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",1
25,BrunoB,0.14285714285714288,0.875,0.6666666666666666,0.2222222222222222,"[0.14285714285714288,0.875,0.6666666666666666,0.2222222222222222]",1
26,Buda,0.5,0.4,0.3333333333333333,0.6666666666666666,"[0.5,0.4,0.3333333333333333,0.6666666666666666]",2
27,chibu79,0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333,"[0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333]",1
28,Cromiza,0.25,0.8,0.2727272727272727,0.2727272727272727,"[0.25,0.8,0.2727272727272727,0.2727272727272727]",0
29,cvjetko,0.1111111111111111,1.0,0.6666666666666666,0.25,"[0.1111111111111111,1.0,0.6666666666666666,0.25]",1
30,Damir Mulalic,0.25,1.0,0.16666666666666666,0.25,"[0.25,1.0,0.16666666666666666,0.25]",0
31,Danilo4783,0.3333333333333333,1.0,0.09090909090909093,0.2727272727272727,"[0.3333333333333333,1.0,0.09090909090909093,0.2727272727272727]",0
32,Dario,0.3333333333333333,1.0,0.2222222222222222,0.1111111111111111,"[0.3333333333333333,1.0,0.2222222222222222,0.1111111111111111]",0
33,DarioR,0.3333333333333333,1.0,0.14285714285714285,0.14285714285714285,"[0.3333333333333333,1.0,0.14285714285714285,0.14285714285714285]",0
34,Darko Babic,0.1,1.0,0.6923076923076923,0.15384615384615385,"[0.1,1.0,0.6923076923076923,0.15384615384615385]",1
35,Dejan Adamic,0.1,0.5833333333333334,0.6153846153846154,0.15384615384615385,"[0.1,0.5833333333333334,0.6153846153846154,0.15384615384615385]",1
36,DejanJ,0.08333333333333333,0.9166666666666666,0.8461538461538461,0.07692307692307693,"[0.08333333333333333,0.9166666666666666,0.8461538461538461,0.07692307692307693]",1
37,demirel,1.0,0.6666666666666666,0.25,0.75,"[1.0,0.6666666666666666,0.25,0.75]",3
38,Deni Oreb,1.0,1.0,0.09090909090909093,0.9090909090909091,"[1.0,1.0,0.09090909090909093,0.9090909090909091]",3
39,Dimen,0.33333333333333337,0.75,0.4,0.2,"[0.33333333333333337,0.75,0.4,0.2]",0
40,dkervina,0.25,1.0,0.5,0.5,"[0.25,1.0,0.5,0.5]",0
41,dmeic,0.2,0.8333333333333334,0.3076923076923077,0.46153846153846156,"[0.2,0.8333333333333334,0.3076923076923077,0.46153846153846156]",0
42,Dorsi,0.25,1.0,0.4,0.6,"[0.25,1.0,0.4,0.6]",0
43,dragana,0.3333333333333333,0.5,0.42857142857142855,0.5714285714285714,"[0.3333333333333333,0.5,0.42857142857142855,0.5714285714285714]",2
44,drejc,0.125,0.7,0.18181818181818185,0.09090909090909091,"[0.125,0.7,0.18181818181818185,0.09090909090909091]",0
45,Edvard,0.125,1.0,0.7777777777777778,0.1111111111111111,"[0.125,1.0,0.7777777777777778,0.1111111111111111]",1
46,Efa i Neno,0.125,0.75,0.38461538461538464,0.38461538461538464,"[0.125,0.75,0.38461538461538464,0.38461538461538464]",0
47,Elena Nikolovska,0.5,1.0,0.125,0.5,"[0.5,1.0,0.125,0.5]",2
48,Ferijan Perkovic,0.16666666666666666,0.875,0.5555555555555556,0.3333333333333333,"[0.16666666666666666,0.875,0.5555555555555556,0.3333333333333333]",1
49,filip mestrovic,0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857,"[0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857]",1
50,Gasper,0.25,0.6666666666666666,0.42857142857142855,0.14285714285714285,"[0.25,0.6666666666666666,0.42857142857142855,0.14285714285714285]",0
51,gcampa,0.125,1.0,0.4166666666666667,0.25,"[0.125,1.0,0.4166666666666667,0.25]",0
52,GITA MARINKOVIC,1.0,0.6666666666666666,0.25,0.75,"[1.0,0.6666666666666666,0.25,0.75]",3
53,Goran Cacic,0.16666666666666666,1.0,0.08333333333333333,0.16666666666666666,"[0.16666666666666666,1.0,0.08333333333333333,0.16666666666666666]",0
54,Gordana Genc,0.125,1.0,0.8888888888888888,0.1111111111111111,"[0.125,1.0,0.8888888888888888,0.1111111111111111]",1
55,gpet,0.09999999999999999,0.9090909090909092,0.8333333333333334,0.16666666666666666,"[0.09999999999999999,0.9090909090909092,0.8333333333333334,0.16666666666666666]",1
56,Gregor Primc,0.09999999999999999,1.0,0.4166666666666667,0.08333333333333333,"[0.09999999999999999,1.0,0.4166666666666667,0.08333333333333333]",0
57,greta,0.25,0.6666666666666666,0.2857142857142857,0.42857142857142855,"[0.25,0.6666666666666666,0.2857142857142857,0.42857142857142855]",0
58,Hrvoje Juvancic,0.2,1.0,0.5555555555555556,0.4444444444444444,"[0.2,1.0,0.5555555555555556,0.4444444444444444]",1
59,Igor29,0.5,1.0,0.3333333333333333,0.6666666666666666,"[0.5,1.0,0.3333333333333333,0.6666666666666666]",2
60,IgorGancevic,0.3333333333333333,0.8571428571428571,0.125,0.25,"[0.3333333333333333,0.8571428571428571,0.125,0.25]",0
61,igorr,0.3333333333333333,1.0,0.2222222222222222,0.1111111111111111,"[0.3333333333333333,1.0,0.2222222222222222,0.1111111111111111]",0
62,iivana,0.25,0.8333333333333334,0.2857142857142857,0.14285714285714285,"[0.25,0.8333333333333334,0.2857142857142857,0.14285714285714285]",0
63,Ines,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",3
64,Ivan Odrljin,0.09090909090909093,0.9166666666666666,0.6923076923076923,0.07692307692307693,"[0.09090909090909093,0.9166666666666666,0.6923076923076923,0.07692307692307693]",1
65,IvanV,0.5,0.8,0.3333333333333333,0.3333333333333333,"[0.5,0.8,0.3333333333333333,0.3333333333333333]",2
66,Ivica Komljenovic,0.5,0.9166666666666666,0.15384615384615385,0.8461538461538461,"[0.5,0.9166666666666666,0.15384615384615385,0.8461538461538461]",2
67,Iztok3,0.25,1.0,0.2,0.4,"[0.25,1.0,0.2,0.4]",0
68,jadralec Jaro,0.14285714285714285,0.7142857142857143,0.625,0.125,"[0.14285714285714285,0.7142857142857143,0.625,0.125]",1
69,Jadran,0.09999999999999999,1.0,0.8333333333333334,0.16666666666666666,"[0.09999999999999999,1.0,0.8333333333333334,0.16666666666666666]",1
70,Jani Pristavec,0.08333333333333333,1.0,0.6923076923076923,0.07692307692307693,"[0.08333333333333333,1.0,0.6923076923076923,0.07692307692307693]",1
71,Jasminka,0.19999999999999998,0.8333333333333334,0.5714285714285714,0.2857142857142857,"[0.19999999999999998,0.8333333333333334,0.5714285714285714,0.2857142857142857]",1
72,jelena,0.1,1.0,0.9090909090909092,0.09090909090909091,"[0.1,1.0,0.9090909090909092,0.09090909090909091]",1
73,Jelena-Marija,0.25,0.8,0.2727272727272727,0.6363636363636364,"[0.25,0.8,0.2727272727272727,0.6363636363636364]",2
74,Jelena Cutura,0.25,1.0,0.6,0.2,"[0.25,1.0,0.6,0.2]",1
75,jerko,0.16666666666666666,0.9090909090909092,0.5,0.5,"[0.16666666666666666,0.9090909090909092,0.5,0.5]",0
76,Jerko. Marinkovic,0.125,0.9090909090909092,0.6666666666666666,0.3333333333333333,"[0.125,0.9090909090909092,0.6666666666666666,0.3333333333333333]",1
77,Josip Rabanasic,0.25,0.8333333333333334,0.42857142857142855,0.42857142857142855,"[0.25,0.8333333333333334,0.42857142857142855,0.42857142857142855]",0
