,users,followingRatio,order,freq,pcaInput,_1,_2,features,probability,prediction
0,Aleksandra,0.5,0.9090909090909092,0.0,"[0.5,0.9090909090909092,0.0]",-0.5282517321764486,0.8929705417561755,"[-0.5282517321764486,0.8929705417561755]","[4.3054619117280564e-17,1.0]",1
1,alma,0.5,1.0,0.0,"[0.5,1.0,0.0]",-0.5311014776052818,0.9838349559176512,"[-0.5311014776052818,0.9838349559176512]","[1.2814962553471582e-16,0.9999999999999999]",1
2,AndrejaN,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
3,anja menih,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
4,anja.r,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",-0.36451671830924276,0.9890594892038453,"[-0.36451671830924276,0.9890594892038453]","[5.903582075215769e-17,1.0]",1
5,Annie Cornu,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
6,babao,0.16666666666666666,0.5833333333333334,0.0,"[0.16666666666666666,0.5833333333333334,0.0]",-0.18487062579771846,0.5778221242499423,"[-0.18487062579771846,0.5778221242499423]","[0.9999999999999685,3.154288792732313e-14]",0
7,Bor,1.0,0.8571428571428571,0.0,"[1.0,0.8571428571428571,0.0]",-1.0263775841052323,0.8253744195196069,"[-1.0263775841052323,0.8253744195196069]","[1.8007058487671575e-15,0.9999999999999982]",1
8,BorutKolar,0.5,1.0,0.0,"[0.5,1.0,0.0]",-0.5311014776052818,0.9838349559176512,"[-0.5311014776052818,0.9838349559176512]","[1.2814962553471582e-16,0.9999999999999999]",1
9,David Sirk,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",-0.36451671830924276,0.9890594892038453,"[-0.36451671830924276,0.9890594892038453]","[5.903582075215769e-17,1.0]",1
