,users,followingRatio,order,freq,features,probability,prediction
0,Aleksandra,0.5,0.9090909090909092,0.0,"[0.5,0.9090909090909092,0.0]","[6.231776501982499e-13,1.815172766014049e-08,2.551416841733841e-22,0.9999999818476492]",3
1,alma,0.5,1.0,0.0,"[0.5,1.0,0.0]","[7.819348164250182e-21,1.036117487810019e-08,3.7032749780947766e-22,0.9999999896388251]",3
2,AndrejaN,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
3,anja menih,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
4,anja.r,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[6.7930068133485e-17,0.9999999999999998,6.79300681282703e-17,6.79300681282703e-17]",1
5,Annie Cornu,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
6,babao,0.16666666666666666,0.5833333333333334,0.0,"[0.16666666666666666,0.5833333333333334,0.0]","[0.9999999990496008,9.496389873047733e-10,3.800902895405357e-13,3.800902895405357e-13]",0
7,Bor,1.0,0.8571428571428571,0.0,"[1.0,0.8571428571428571,0.0]","[0.9999999999988597,3.8009347405796335e-13,3.8009347405794184e-13,3.8009347405794184e-13]",0
8,BorutKolar,0.5,1.0,0.0,"[0.5,1.0,0.0]","[7.819348164250182e-21,1.036117487810019e-08,3.7032749780947766e-22,0.9999999896388251]",3
9,David Sirk,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[6.7930068133485e-17,0.9999999999999998,6.79300681282703e-17,6.79300681282703e-17]",1
10,Dra��en Kralj,0.3333333333333333,0.9090909090909092,0.0,"[0.3333333333333333,0.9090909090909092,0.0]","[9.135457027243574e-16,0.999999999999999,6.027086103012751e-17,6.027086103012751e-17]",1
11,Gaja,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
12,Hrvoje Petek,0.3333333333333333,0.9090909090909092,0.0,"[0.3333333333333333,0.9090909090909092,0.0]","[9.135457027243574e-16,0.999999999999999,6.027086103012751e-17,6.027086103012751e-17]",1
13,Ivana Kozina,0.3333333333333333,0.9166666666666666,0.0,"[0.3333333333333333,0.9166666666666666,0.0]","[1.7498980143982404e-16,0.9999999999999998,5.426298444535087e-17,5.426298444535087e-17]",1
14,Jelenaa,0.5,0.9090909090909092,0.0,"[0.5,0.9090909090909092,0.0]","[6.231776501982499e-13,1.815172766014049e-08,2.551416841733841e-22,0.9999999818476492]",3
15,Jolanda,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
16,Katja De Faveri,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
17,Kopacin,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
18,Ksenija,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
19,Lejla,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
20,Marco,0.3333333333333333,0.8333333333333334,0.0,"[0.3333333333333333,0.8333333333333334,0.0]","[3.731722074260842e-08,0.9999999626827782,5.438477289127651e-16,5.438477289127651e-16]",1
21,Maru��aaaa,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
22,Matea Pavicic,0.25,1.0,0.0,"[0.25,1.0,0.0]","[5.456686518987536e-17,1.0,5.456686518987536e-17,5.456686518987536e-17]",1
23,miranF,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
24,Nada,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
25,Nikolaj,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
26,Nina1,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
27,NinaP,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]","[1.0202625827974472e-27,1.0202621251977039e-27,1.0,1.0202621251977039e-27]",2
