,users,followingRatio,order,freq,features,prediction
0,Aleksandra,0.5,0.9090909090909092,0.0,"[0.5,0.9090909090909092,0.0]",1
1,alma,0.5,1.0,0.0,"[0.5,1.0,0.0]",1
2,AndrejaN,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
3,anja menih,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
4,anja.r,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",1
5,Annie Cornu,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
6,babao,0.16666666666666666,0.5833333333333334,0.0,"[0.16666666666666666,0.5833333333333334,0.0]",0
7,Bor,1.0,0.8571428571428571,0.0,"[1.0,0.8571428571428571,0.0]",2
8,BorutKolar,0.5,1.0,0.0,"[0.5,1.0,0.0]",1
9,David Sirk,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",1
10,Dra��en Kralj,0.3333333333333333,0.9090909090909092,0.0,"[0.3333333333333333,0.9090909090909092,0.0]",0
11,Gaja,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
12,Hrvoje Petek,0.3333333333333333,0.9090909090909092,0.0,"[0.3333333333333333,0.9090909090909092,0.0]",0
13,Ivana Kozina,0.3333333333333333,0.9166666666666666,0.0,"[0.3333333333333333,0.9166666666666666,0.0]",0
14,Jelenaa,0.5,0.9090909090909092,0.0,"[0.5,0.9090909090909092,0.0]",1
15,Jolanda,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
16,Katja De Faveri,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
17,Kopacin,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
18,Ksenija,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
19,Lejla,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
20,Marco,0.3333333333333333,0.8333333333333334,0.0,"[0.3333333333333333,0.8333333333333334,0.0]",0
21,Maru��aaaa,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
22,Matea Pavicic,0.25,1.0,0.0,"[0.25,1.0,0.0]",0
23,miranF,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
24,Nada,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
25,Nikolaj,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
26,Nina1,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
27,NinaP,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]",2
28,noordung,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
29,p2035e,0.5,1.0,0.0,"[0.5,1.0,0.0]",1
30,Paval,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",1
31,poppy,0.25,0.9166666666666666,0.0,"[0.25,0.9166666666666666,0.0]",0
32,roman113,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
33,Safet,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",1
34,Spasic Vladimir,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",1
35,stinfio,0.2,0.9166666666666666,0.0,"[0.2,0.9166666666666666,0.0]",0
36,Tone,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]",2
37,Toni Petkovic,0.16666666666666666,1.0,0.0,"[0.16666666666666666,1.0,0.0]",0
38,Valentin,0.5,0.9166666666666666,0.0,"[0.5,0.9166666666666666,0.0]",1
39,Vanda,0.5,0.75,0.0,"[0.5,0.75,0.0]",1
40,varga,0.19999999999999998,1.0,0.0,"[0.19999999999999998,1.0,0.0]",0
41,Vedran Nikolic,1.0,1.0,0.0,"[1.0,1.0,0.0]",3
42,��S,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]",2
