,users,followingRatio,order,freq,pcaInput,_1,_2,features,probability,prediction
0,AB,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]",0.5963421601596044,1.0957026701787582,"[0.5963421601596044,1.0957026701787582]","[0.9143132460480387,2.117095442202859e-16,0.0856867539519609,2.1171004484539114e-16]",0
1,Albert,0.1,0.9166666666666666,0.7692307692307693,"[0.1,0.9166666666666666,0.7692307692307693]",0.7264670563223052,0.9335987239943639,"[0.7264670563223052,0.9335987239943639]","[0.7966012125352583,1.665537577526856e-16,0.20339878746474144,1.676236868564782e-16]",0
2,Aleksander Valant,1.0,1.0,0.125,"[1.0,1.0,0.125]",-0.281793073021564,1.303623715981527,"[-0.281793073021564,1.303623715981527]","[0.0009162726161535626,2.6310722515062427e-16,2.8012673766241406e-10,0.9990837271037194]",3
3,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,"[0.125,0.7272727272727273,0.4166666666666667]",0.39263527142636756,0.7458601012429179,"[0.39263527142636756,0.7458601012429179]","[0.021541891526721337,1.5957608983570903e-16,0.5277636069112133,0.45069450156206525]",2
4,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,"[0.0909090909090909,1.0,0.9166666666666666]",0.8660016705471275,1.0164435003825745,"[0.8660016705471275,1.0164435003825745]","[0.033699026338313974,0.9580481804018701,0.008252793259815885,1.5518424255978113e-17]",1
5,alesj,0.33333333333333337,0.75,0.6,"[0.33333333333333337,0.75,0.6]",0.43223624933029675,0.8547335427105253,"[0.43223624933029675,0.8547335427105253]","[0.5607932950768444,1.6907433955675995e-16,0.4287553111366149,0.010451393786540511]",0
6,alexhana,0.25,0.75,0.4,"[0.25,0.75,0.4]",0.3140993299946101,0.811986373275751,"[0.3140993299946101,0.811986373275751]","[0.1302261268318339,1.2223401846416444e-16,0.31429940585924626,0.5554744673089197]",3
7,alja,0.14285714285714285,1.0,0.875,"[0.14285714285714285,1.0,0.875]",0.8033399333349625,1.0330689770840162,"[0.8033399333349625,1.0330689770840162]","[0.1357673780421573,0.8343194696524587,0.029913152305384036,4.523600494128772e-17]",1
8,Alja��,0.1,0.8,0.2727272727272727,"[0.1,0.8,0.2727272727272727]",0.30039476056124703,0.7954496174058518,"[0.30039476056124703,0.7954496174058518]","[0.08257390543546948,1.2931168015235992e-16,0.3497209952221148,0.5677050993424156]",3
9,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,"[0.2,0.3333333333333333,0.2307692307692308]",0.134223552917051,0.3968192107063921,"[0.134223552917051,0.3968192107063921]","[1.0960022639265366e-11,1.2571082967798786e-15,0.9999999999890374,1.2571083268817343e-15]",2
