,users,followingRatio,order,freq,features,probability,prediction
0,AB,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]","[7.009111656092878e-13,1.5771778041785145e-17,0.9999999986365412,1.3627578729537716e-09]",2
1,Albert,0.1,0.9166666666666666,0.7692307692307693,"[0.1,0.9166666666666666,0.7692307692307693]","[0.0019070901614138263,0.9968160571276816,1.9507513606988854e-17,0.0012768527109046474]",1
2,Aleksander Valant,1.0,1.0,0.125,"[1.0,1.0,0.125]","[8.566878433289367e-22,8.566878433288754e-22,0.9999999543923188,4.5607681141613216e-08]",2
3,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,"[0.125,0.7272727272727273,0.4166666666666667]","[0.7836889523043713,0.13547703929038327,8.897593882192779e-17,0.08083400840524549]",0
4,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,"[0.0909090909090909,1.0,0.9166666666666666]","[3.79574284404457e-12,4.95471214851108e-07,0.9999995043251516,1.9983783998065948e-10]",2
5,alesj,0.33333333333333337,0.75,0.6,"[0.33333333333333337,0.75,0.6]","[0.166745358297682,6.097860689293836e-07,1.273573864884179e-15,0.8332540319162478]",3
6,alexhana,0.25,0.75,0.4,"[0.25,0.75,0.4]","[0.8213288112825166,0.11096404574663776,4.768787817339441e-17,0.0677071429708455]",0
7,alja,0.14285714285714285,1.0,0.875,"[0.14285714285714285,1.0,0.875]","[7.17948331350406e-12,1.4182538745112452e-07,0.9999998578429027,3.2453028772791225e-10]",2
8,Alja��,0.1,0.8,0.2727272727272727,"[0.1,0.8,0.2727272727272727]","[0.9567474553663176,2.4950058304524977e-07,8.802001201059396e-17,0.04325229513309932]",0
9,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,"[0.2,0.3333333333333333,0.2307692307692308]","[1.029983405009541e-10,0.7812083721945368,3.1501042844032697e-16,0.21879162770246452]",1
10,Ana Horvath,0.2,0.75,0.6,"[0.2,0.75,0.6]","[0.16333865975292633,0.8133196651897049,4.145862024616087e-17,0.023341675057368748]",1
11,Ana Stadler,0.5,1.0,0.25,"[0.5,1.0,0.25]","[6.539752276977932e-12,1.5534025556927497e-23,0.999999992596655,7.396805186814608e-09]",2
12,AnaPetar,1.0,1.0,0.25,"[1.0,1.0,0.25]","[1.360893584879906e-21,1.360893584879905e-21,0.9999999158556544,8.414434554875654e-08]",2
13,AnBn,0.14285714285714285,1.0,0.5,"[0.14285714285714285,1.0,0.5]","[1.1471887271690937e-08,8.599422078988443e-10,0.9999999837719266,3.896243964524107e-09]",2
14,Ando Saina,0.09090909090909091,1.0,1.0,"[0.09090909090909091,1.0,1.0]","[4.032772798620697e-13,1.3555568295169433e-07,0.9999998643644338,7.947998290052797e-11]",2
15,Andra�� ��unkar,0.11111111111111112,0.9,0.8181818181818182,"[0.11111111111111112,0.9,0.8181818181818182]","[0.0011667885425786257,0.997847499910553,2.473511448815439e-17,0.0009857115468682605]",1
16,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,"[0.14285714285714285,0.7272727272727273,0.5]","[0.17388685104904736,0.8085924510062018,2.120350266243541e-17,0.017520697944750904]",1
17,andrea zavorovic,0.3333333333333333,0.2857142857142857,0.125,"[0.3333333333333333,0.2857142857142857,0.125]","[7.502476439962141e-13,0.011866542891516013,1.3867484676778873e-15,0.9881334571077323]",3
18,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,"[0.3333333333333333,0.9,0.2727272727272727]","[0.9123463900203828,1.166627999363367e-06,1.0511838227423326e-16,0.08765244335161772]",0
19,Andro Zuanic,0.5,0.6666666666666666,0.5,"[0.5,0.6666666666666666,0.5]","[1.4686830933589106e-05,7.657561105765927e-16,7.657561103046765e-16,0.9999853131690649]",3
20,andrzej,0.3333333333333333,0.6666666666666666,0.5,"[0.3333333333333333,0.6666666666666666,0.5]","[0.09937013992893837,1.3853936059846083e-05,6.469352792612156e-16,0.9006160061350011]",3
21,ane,1.0,1.0,0.125,"[1.0,1.0,0.125]","[8.566878433289367e-22,8.566878433288754e-22,0.9999999543923188,4.5607681141613216e-08]",2
22,Anela,0.5,0.6666666666666666,0.25,"[0.5,0.6666666666666666,0.25]","[0.0003357125200293889,4.145950878038931e-16,4.108221339919073e-16,0.9996642874799698]",3
23,Ankica,0.5,1.0,0.09090909090909093,"[0.5,1.0,0.09090909090909093]","[6.90973057181413e-11,2.3482672969677407e-23,0.9999999953212952,4.609607295567197e-09]",2
24,Annie,0.07692307692307693,1.0,1.0,"[0.07692307692307693,1.0,1.0]","[4.342917881351609e-13,1.983358606500383e-07,0.9999998015858264,7.787881090612388e-11]",2
25,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,"[0.3333333333333333,1.0,0.3333333333333333]","[5.266388970920168e-09,7.905529203726741e-15,0.9999999888103339,5.923269208680356e-09]",2
