,users,followingRatio,order,freq,features,prediction
0,AB,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]",1
1,Albert,0.1,0.9166666666666666,0.7692307692307693,"[0.1,0.9166666666666666,0.7692307692307693]",1
2,Aleksander Valant,1.0,1.0,0.125,"[1.0,1.0,0.125]",3
3,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,"[0.125,0.7272727272727273,0.4166666666666667]",0
4,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,"[0.0909090909090909,1.0,0.9166666666666666]",1
5,alesj,0.33333333333333337,0.75,0.6,"[0.33333333333333337,0.75,0.6]",0
6,alexhana,0.25,0.75,0.4,"[0.25,0.75,0.4]",2
7,alja,0.14285714285714285,1.0,0.875,"[0.14285714285714285,1.0,0.875]",1
8,Alja��,0.1,0.8,0.2727272727272727,"[0.1,0.8,0.2727272727272727]",2
9,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,"[0.2,0.3333333333333333,0.2307692307692308]",2
10,Ana Horvath,0.2,0.75,0.6,"[0.2,0.75,0.6]",0
11,Ana Stadler,0.5,1.0,0.25,"[0.5,1.0,0.25]",3
12,AnaPetar,1.0,1.0,0.25,"[1.0,1.0,0.25]",3
13,AnBn,0.14285714285714285,1.0,0.5,"[0.14285714285714285,1.0,0.5]",0
14,Ando Saina,0.09090909090909091,1.0,1.0,"[0.09090909090909091,1.0,1.0]",1
15,Andra�� ��unkar,0.11111111111111112,0.9,0.8181818181818182,"[0.11111111111111112,0.9,0.8181818181818182]",1
16,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,"[0.14285714285714285,0.7272727272727273,0.5]",0
17,andrea zavorovic,0.3333333333333333,0.2857142857142857,0.125,"[0.3333333333333333,0.2857142857142857,0.125]",2
18,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,"[0.3333333333333333,0.9,0.2727272727272727]",3
19,Andro Zuanic,0.5,0.6666666666666666,0.5,"[0.5,0.6666666666666666,0.5]",2
20,andrzej,0.3333333333333333,0.6666666666666666,0.5,"[0.3333333333333333,0.6666666666666666,0.5]",2
21,ane,1.0,1.0,0.125,"[1.0,1.0,0.125]",3
22,Anela,0.5,0.6666666666666666,0.25,"[0.5,0.6666666666666666,0.25]",2
23,Ankica,0.5,1.0,0.09090909090909093,"[0.5,1.0,0.09090909090909093]",3
24,Annie,0.07692307692307693,1.0,1.0,"[0.07692307692307693,1.0,1.0]",1
25,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,"[0.3333333333333333,1.0,0.3333333333333333]",3
26,anton jane��,0.2,1.0,0.3636363636363637,"[0.2,1.0,0.3636363636363637]",3
27,Anze-G,1.0,1.0,0.25,"[1.0,1.0,0.25]",3
28,Anzze99,0.16666666666666666,0.875,0.6666666666666666,"[0.16666666666666666,0.875,0.6666666666666666]",0
29,Apsirtgirl,0.19999999999999998,1.0,0.7142857142857143,"[0.19999999999999998,1.0,0.7142857142857143]",1
30,benjamin,1.0,1.0,0.16666666666666666,"[1.0,1.0,0.16666666666666666]",3
31,blaz02,1.0,1.0,0.16666666666666666,"[1.0,1.0,0.16666666666666666]",3
32,Bojan1825,0.125,1.0,0.6666666666666666,"[0.125,1.0,0.6666666666666666]",1
33,BORIS MREVLJE,0.5,1.0,0.0,"[0.5,1.0,0.0]",3
34,Bo��tjan M.,0.16666666666666669,1.0,0.7142857142857143,"[0.16666666666666669,1.0,0.7142857142857143]",1
35,BostjanH,0.25,0.9166666666666666,0.0,"[0.25,0.9166666666666666,0.0]",3
36,Bo��tjanK,0.08333333333333333,1.0,0.6153846153846154,"[0.08333333333333333,1.0,0.6153846153846154]",0
37,Branklo,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]",1
38,BrunoB,0.14285714285714288,0.875,0.6666666666666666,"[0.14285714285714288,0.875,0.6666666666666666]",0
39,Buda,0.5,0.4,0.3333333333333333,"[0.5,0.4,0.3333333333333333]",2
40,Buki,0.1,1.0,0.8,"[0.1,1.0,0.8]",1
41,chibu79,0.0909090909090909,1.0,0.9166666666666666,"[0.0909090909090909,1.0,0.9166666666666666]",1
42,Cromiza,0.25,0.8,0.2727272727272727,"[0.25,0.8,0.2727272727272727]",3
43,cvjetko,0.1111111111111111,1.0,0.6666666666666666,"[0.1111111111111111,1.0,0.6666666666666666]",1
44,Dalka,0.14285714285714285,0.5714285714285714,0.5,"[0.14285714285714285,0.5714285714285714,0.5]",0
45,Damir Mulalic,0.25,1.0,0.16666666666666666,"[0.25,1.0,0.16666666666666666]",3
46,damir.juretic,0.09090909090909091,1.0,1.0,"[0.09090909090909091,1.0,1.0]",1
47,Danilo4783,0.3333333333333333,1.0,0.09090909090909093,"[0.3333333333333333,1.0,0.09090909090909093]",3
48,Dario,0.3333333333333333,1.0,0.2222222222222222,"[0.3333333333333333,1.0,0.2222222222222222]",3
49,DarioR,0.3333333333333333,1.0,0.14285714285714285,"[0.3333333333333333,1.0,0.14285714285714285]",3
50,Darko Babic,0.1,1.0,0.6923076923076923,"[0.1,1.0,0.6923076923076923]",1
51,Dejan Adamic,0.1,0.5833333333333334,0.6153846153846154,"[0.1,0.5833333333333334,0.6153846153846154]",0
52,DejanJ,0.08333333333333333,0.9166666666666666,0.8461538461538461,"[0.08333333333333333,0.9166666666666666,0.8461538461538461]",1
53,delimir,0.3333333333333333,0.8,0.0,"[0.3333333333333333,0.8,0.0]",3
54,demirel,1.0,0.6666666666666666,0.25,"[1.0,0.6666666666666666,0.25]",3
55,Deni Oreb,1.0,1.0,0.09090909090909093,"[1.0,1.0,0.09090909090909093]",3
56,Dimen,0.33333333333333337,0.75,0.4,"[0.33333333333333337,0.75,0.4]",2
57,dkervina,0.25,1.0,0.5,"[0.25,1.0,0.5]",0
58,dmeic,0.2,0.8333333333333334,0.3076923076923077,"[0.2,0.8333333333333334,0.3076923076923077]",3
59,Domen S,0.08333333333333333,1.0,0.9166666666666666,"[0.08333333333333333,1.0,0.9166666666666666]",1
60,Dorsi,0.25,1.0,0.4,"[0.25,1.0,0.4]",3
61,dragana,0.3333333333333333,0.5,0.42857142857142855,"[0.3333333333333333,0.5,0.42857142857142855]",2
62,Dra��en,0.16666666666666666,0.875,0.5555555555555556,"[0.16666666666666666,0.875,0.5555555555555556]",0
63,drejc,0.125,0.7,0.18181818181818185,"[0.125,0.7,0.18181818181818185]",2
64,Du��i,0.3333333333333333,1.0,0.125,"[0.3333333333333333,1.0,0.125]",3
65,Edvard,0.125,1.0,0.7777777777777778,"[0.125,1.0,0.7777777777777778]",1
66,Efa i Neno,0.125,0.75,0.38461538461538464,"[0.125,0.75,0.38461538461538464]",2
67,Elena Nikolovska,0.5,1.0,0.125,"[0.5,1.0,0.125]",3
68,Ferijan Perkovic,0.16666666666666666,0.875,0.5555555555555556,"[0.16666666666666666,0.875,0.5555555555555556]",0
69,filip mestrovic,0.19999999999999998,1.0,0.7142857142857143,"[0.19999999999999998,1.0,0.7142857142857143]",1
70,Gasper,0.25,0.6666666666666666,0.42857142857142855,"[0.25,0.6666666666666666,0.42857142857142855]",2
71,gcampa,0.125,1.0,0.4166666666666667,"[0.125,1.0,0.4166666666666667]",0
72,GITA MARINKOVIC,1.0,0.6666666666666666,0.25,"[1.0,0.6666666666666666,0.25]",3
73,Goran Cacic,0.16666666666666666,1.0,0.08333333333333333,"[0.16666666666666666,1.0,0.08333333333333333]",3
74,Goran ��urica,0.16666666666666666,0.9166666666666666,0.3076923076923077,"[0.16666666666666666,0.9166666666666666,0.3076923076923077]",3
75,Gordan,0.25,0.9166666666666666,0.07692307692307693,"[0.25,0.9166666666666666,0.07692307692307693]",3
76,Gordana Genc,0.125,1.0,0.8888888888888888,"[0.125,1.0,0.8888888888888888]",1
77,gpet,0.09999999999999999,0.9090909090909092,0.8333333333333334,"[0.09999999999999999,0.9090909090909092,0.8333333333333334]",1
78,Gregor Primc,0.09999999999999999,1.0,0.4166666666666667,"[0.09999999999999999,1.0,0.4166666666666667]",0
79,greta,0.25,0.6666666666666666,0.2857142857142857,"[0.25,0.6666666666666666,0.2857142857142857]",2
80,Grozdana Sirotic,0.3333333333333333,1.0,0.5,"[0.3333333333333333,1.0,0.5]",0
81,Grup amor,0.16666666666666666,0.875,0.1111111111111111,"[0.16666666666666666,0.875,0.1111111111111111]",3
82,HanaP,0.33333333333333337,1.0,0.0,"[0.33333333333333337,1.0,0.0]",3
83,Hrvoje Juvancic,0.2,1.0,0.5555555555555556,"[0.2,1.0,0.5555555555555556]",0
84,Igor ��utic,0.08333333333333333,1.0,0.8461538461538461,"[0.08333333333333333,1.0,0.8461538461538461]",1
85,Igor ��afran,0.08333333333333333,0.75,0.7692307692307693,"[0.08333333333333333,0.75,0.7692307692307693]",1
86,Igor29,0.5,1.0,0.3333333333333333,"[0.5,1.0,0.3333333333333333]",3
87,IgorGancevic,0.3333333333333333,0.8571428571428571,0.125,"[0.3333333333333333,0.8571428571428571,0.125]",3
88,igorr,0.3333333333333333,1.0,0.2222222222222222,"[0.3333333333333333,1.0,0.2222222222222222]",3
89,iivana,0.25,0.8333333333333334,0.2857142857142857,"[0.25,0.8333333333333334,0.2857142857142857]",3
90,Ina,0.1,1.0,0.9,"[0.1,1.0,0.9]",1
91,Ines,1.0,1.0,0.125,"[1.0,1.0,0.125]",3
92,Ivan Odrljin,0.09090909090909093,0.9166666666666666,0.6923076923076923,"[0.09090909090909093,0.9166666666666666,0.6923076923076923]",1
93,Ivana PR,0.2,1.0,1.0,"[0.2,1.0,1.0]",1
94,IvanV,0.5,0.8,0.3333333333333333,"[0.5,0.8,0.3333333333333333]",3
95,Ivica Komljenovic,0.5,0.9166666666666666,0.15384615384615385,"[0.5,0.9166666666666666,0.15384615384615385]",3
96,Iztok3,0.25,1.0,0.2,"[0.25,1.0,0.2]",3
97,jadralec Jaro,0.14285714285714285,0.7142857142857143,0.625,"[0.14285714285714285,0.7142857142857143,0.625]",0
98,Jadran,0.09999999999999999,1.0,0.8333333333333334,"[0.09999999999999999,1.0,0.8333333333333334]",1
99,Janez  stupica,0.16666666666666666,0.8571428571428571,0.625,"[0.16666666666666666,0.8571428571428571,0.625]",0
