,users,followingRatio,order,freq,pcaInput,_1,_2,features,probability,prediction
0,AB,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]",0.4044122183978098,-1.0916329773756699,"[0.4044122183978098,-1.0916329773756699]","[0.004373757952864843,2.2057248328159055e-14,0.9956262420471125,6.07149134456145e-16]",2
1,Albert,0.1,0.9166666666666666,0.7692307692307693,"[0.1,0.9166666666666666,0.7692307692307693]",0.5669412983057477,-0.9041366390515475,"[0.5669412983057477,-0.9041366390515475]","[0.0001817022921620032,0.8918785144303281,0.1079397832775098,4.299712633157649e-17]",1
2,Aleksander Valant,1.0,1.0,0.125,"[1.0,1.0,0.125]",-0.5031522801815536,-1.1981183997382878,"[-0.5031522801815536,-1.1981183997382878]","[3.87766395190815e-06,5.801841638883744e-17,5.816657812316861e-17,0.999996122336048]",3
3,Aleksandra,0.5,0.9090909090909092,0.0,"[0.5,0.9090909090909092,0.0]",-0.275019474600976,-0.7385181699447896,"[-0.275019474600976,-0.7385181699447896]","[0.9994650386380255,2.0336880506526528e-16,0.0005349613619741957,2.0336880506526528e-16]",0
4,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,"[0.125,0.7272727272727273,0.4166666666666667]",0.27402375638156856,-0.6380612797786773,"[0.27402375638156856,-0.6380612797786773]","[0.12976747372641576,0.0005715597278133389,0.8696609665457707,1.6733526188994254e-16]",2
5,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,"[0.0909090909090909,1.0,0.9166666666666666]",0.6887795487575475,-1.0181270607190087,"[0.6887795487575475,-1.0181270607190087]","[2.974805734275876e-06,0.9546559766467393,0.045341048547526505,4.962225691551792e-17]",1
6,alesj,0.33333333333333337,0.75,0.6,"[0.33333333333333337,0.75,0.6]",0.2769669249134331,-0.8983966556845502,"[0.2769669249134331,-0.8983966556845502]","[0.0906399235089372,5.939328425769357e-06,0.9093541371626369,1.2726486729573584e-16]",2
7,alexhana,0.25,0.75,0.4,"[0.25,0.75,0.4]",0.18089368221052482,-0.7254602807996318,"[0.18089368221052482,-0.7254602807996318]","[0.25233022502952923,0.009631166455515166,0.7380386085149556,7.090490604471322e-17]",2
8,alja,0.14285714285714285,1.0,0.875,"[0.14285714285714285,1.0,0.875]",0.6233596086772435,-1.0304620482724647,"[0.6233596086772435,-1.0304620482724647]","[3.077355733501505e-05,0.7596179658067466,0.24035126063591833,1.1455467275746885e-16]",1
9,Alja��,0.1,0.8,0.2727272727272727,"[0.1,0.8,0.2727272727272727]",0.18617063771537715,-0.5691743659968231,"[0.18617063771537715,-0.5691743659968231]","[0.1951207475883672,1.6516768606149083e-05,0.8048627356430265,1.7727460370387523e-16]",2
10,alma,0.5,1.0,0.0,"[0.5,1.0,0.0]",-0.26976624281795764,-0.777480372887422,"[-0.26976624281795764,-0.777480372887422]","[0.999762671224215,2.1896563659739236e-16,0.00023732877578453582,2.1896563659739236e-16]",0
11,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,"[0.2,0.3333333333333333,0.2307692307692308]",0.06208560379256689,-0.41486642637993165,"[0.06208560379256689,-0.41486642637993165]","[0.16445005316067485,5.2001991535632016e-12,0.8355499468341242,6.934334915506503e-16]",2
12,Ana Horvath,0.2,0.75,0.6,"[0.2,0.75,0.6]",0.36431406956174234,-0.805357684879626,"[0.36431406956174234,-0.805357684879626]","[0.017065878133145272,0.5247939039897561,0.45814021787709863,4.919107392681628e-17]",1
13,Ana Stadler,0.5,1.0,0.25,"[0.5,1.0,0.25]",-0.08143473268283064,-0.9209641455522231,"[-0.08143473268283064,-0.9209641455522231]","[0.9978067527311822,2.8555120381178063e-16,0.0021932472688172343,2.8555120381178063e-16]",0
14,AnaPetar,1.0,1.0,0.25,"[1.0,1.0,0.25]",-0.4089865251139901,-1.2698602860706885,"[-0.4089865251139901,-1.2698602860706885]","[1.215796769493879e-05,4.195738827496309e-16,4.244483602797609e-16,0.9999878420323043]",3
15,AnBn,0.14285714285714285,1.0,0.5,"[0.14285714285714285,1.0,0.5]",0.3408623434745531,-0.815236389275263,"[0.3408623434745531,-0.815236389275263]","[0.028708883204085833,0.3546937022644501,0.6165974145314641,5.90098996206585e-17]",2
16,Ando Saina,0.09090909090909091,1.0,1.0,"[0.09090909090909091,1.0,1.0]",0.7515567188025899,-1.065954984940609,"[0.7515567188025899,-1.065954984940609]","[5.571691661807281e-07,0.9509638146391288,0.04903562819170492,1.1230413150467742e-16]",1
17,Andra�� ��unkar,0.11111111111111112,0.9,0.8181818181818182,"[0.11111111111111112,0.9,0.8181818181818182]",0.5955753769781003,-0.9328415407967253,"[0.5955753769781003,-0.9328415407967253]","[5.959901716546899e-05,0.927261619054133,0.07267878192870163,3.487614211645076e-17]",1
18,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,"[0.14285714285714285,0.7272727272727273,0.5]",0.32510264812549805,-0.6983497804473657,"[0.32510264812549805,-0.6983497804473657]","[0.07971950303337784,0.020623527896655565,0.8996569690699664,1.4414161594050375e-16]",2
19,andrea zavorovic,0.3333333333333333,0.2857142857142857,0.125,"[0.3333333333333333,0.2857142857142857,0.125]",-0.10769194952086608,-0.42679195116441265,"[-0.10769194952086608,-0.42679195116441265]","[0.27456736496860945,8.815289646221926e-08,0.7254325468784935,4.910473813899353e-16]",2
20,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,"[0.3333333333333333,0.9,0.2727272727272727]",0.03909168954215628,-0.7748509881423359,"[0.03909168954215628,-0.7748509881423359]","[0.799415229908948,3.5405371177340654e-11,0.2005847700556465,8.855625189403091e-17]",0
21,AndrejaN,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5973180352491171,-1.1263765134058874,"[-0.5973180352491171,-1.1263765134058874]","[4.580247308774341e-06,5.3628143217614924e-17,5.3651990835804834e-17,0.9999954197526911]",3
22,Andro Zuanic,0.5,0.6666666666666666,0.5,"[0.5,0.6666666666666666,0.5]",0.0876349275812291,-0.9215865074273719,"[0.0876349275812291,-0.9215865074273719]","[0.848044467704536,3.108645991243895e-16,0.15195553229546332,3.1086380473731833e-16]",0
23,andrzej,0.3333333333333333,0.6666666666666666,0.5,"[0.3333333333333333,0.6666666666666666,0.5]",0.19681885839161556,-0.8052877939212166,"[0.19681885839161556,-0.8052877939212166]","[0.253234638842749,0.00012963091177232346,0.7466357302454786,8.643623901485845e-17]",2
24,ane,1.0,1.0,0.125,"[1.0,1.0,0.125]",-0.5031522801815536,-1.1981183997382878,"[-0.5031522801815536,-1.1981183997382878]","[3.87766395190815e-06,5.801841638883744e-17,5.816657812316861e-17,0.999996122336048]",3
25,Anela,0.5,0.6666666666666666,0.25,"[0.5,0.6666666666666666,0.25]",-0.1006965825538979,-0.7781027347625709,"[-0.1006965825538979,-0.7781027347625709]","[0.9858312086270682,9.521707820001829e-17,0.014168791372931385,9.521701050463699e-17]",0
26,anja menih,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5973180352491171,-1.1263765134058874,"[-0.5973180352491171,-1.1263765134058874]","[4.580247308774341e-06,5.3628143217614924e-17,5.3651990835804834e-17,0.9999954197526911]",3
27,anja.r,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",-0.16058231200757117,-0.6611816593812668,"[-0.16058231200757117,-0.6611816593812668]","[0.9683807746407485,4.896877234919882e-16,0.031619225359251,1.1370450866511391e-16]",0
28,Ankica,0.5,1.0,0.09090909090909093,"[0.5,1.0,0.09090909090909093]",-0.20128205731427506,-0.8296562902200769,"[-0.20128205731427506,-0.8296562902200769]","[0.9995482758771738,1.83582000548368e-16,0.0004517241228257693,1.83582000548368e-16]",0
29,Annie,0.07692307692307693,1.0,1.0,"[0.07692307692307693,1.0,1.0]",0.7607190067027622,-1.0561956523386937,"[0.7607190067027622,-1.0561956523386937]","[5.688166882656503e-07,0.9545502543844782,0.04544917679883334,1.2778309174611353e-16]",1
30,Annie Cornu,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5973180352491171,-1.1263765134058874,"[-0.5973180352491171,-1.1263765134058874]","[4.580247308774341e-06,5.3628143217614924e-17,5.3651990835804834e-17,0.9999954197526911]",3
31,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,"[0.3333333333333333,1.0,0.3333333333333333]",0.09052636817259813,-0.8524933562676682,"[0.09052636817259813,-0.8524933562676682]","[0.7460978348668152,4.578626900671165e-14,0.2539021651331387,1.4735132961923432e-16]",0
32,anton jane��,0.2,1.0,0.3636363636363637,"[0.2,1.0,0.3636363636363637]",0.20070157465546823,-0.7768463579069624,"[0.20070157465546823,-0.7768463579069624]","[0.22987343110780312,0.0020977227239618325,0.768028846168235,7.660779241900112e-17]",2
33,Anze-G,1.0,1.0,0.25,"[1.0,1.0,0.25]",-0.4089865251139901,-1.2698602860706885,"[-0.4089865251139901,-1.2698602860706885]","[1.215796769493879e-05,4.195738827496309e-16,4.244483602797609e-16,0.9999878420323043]",3
34,Anzze99,0.16666666666666666,0.875,0.6666666666666666,"[0.16666666666666666,0.875,0.6666666666666666]",0.44359578546150363,-0.8739333106017948,"[0.44359578546150363,-0.8739333106017948]","[0.002227991511487353,0.7589524566116641,0.23881955187684847,3.323595524254206e-17]",1
35,Apsirtgirl,0.19999999999999998,1.0,0.7142857142857143,"[0.19999999999999998,1.0,0.7142857142857143]",0.4648548615982437,-0.9780963247614886,"[0.4648548615982437,-0.9780963247614886]","[0.0027734127550595724,0.017479980848659326,0.9797466063962809,1.636465617180609e-16]",2
36,babao,0.16666666666666666,0.5833333333333334,0.0,"[0.16666666666666666,0.5833333333333334,0.0]",-0.07547569353601878,-0.36630618238804646,"[-0.07547569353601878,-0.36630618238804646]","[0.13338319289771247,3.696843268869968e-11,0.8666168070653182,9.294158240408735e-16]",2
37,benjamin,1.0,1.0,0.16666666666666666,"[1.0,1.0,0.16666666666666666]",-0.47176369515903244,-1.222032361849088,"[-0.47176369515903244,-1.222032361849088]","[4.907066209101916e-06,9.08460388758421e-17,9.124052669941988e-17,0.9999950929337907]",3
