,users,followingRatio,order,freq,features,probability,prediction
0,AB,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]","[5.1262431540120475e-23,3.923101869979592e-10,3.0749618955148853e-14,0.9999999996076591]",3
1,Albert,0.1,0.9166666666666666,0.7692307692307693,"[0.1,0.9166666666666666,0.7692307692307693]","[0.9997099916867447,0.00026127797933518264,2.8730333920107396e-05,1.1129426692212316e-17]",0
2,Aleksander Valant,1.0,1.0,0.125,"[1.0,1.0,0.125]","[1.2694196778780819e-22,1.587561330603588e-08,6.358485624343193e-20,0.9999999841243867]",3
3,Aleksandra,0.5,0.9090909090909092,0.0,"[0.5,0.9090909090909092,0.0]","[3.114961329806767e-16,0.03967219236845989,0.9603278076315396,3.075476607849622e-16]",2
4,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,"[0.125,0.7272727272727273,0.4166666666666667]","[0.00016128817149302713,0.04308556394466809,0.9567531478838388,5.52493223856547e-17]",2
5,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,"[0.0909090909090909,1.0,0.9166666666666666]","[4.503962163791985e-08,5.777048627400309e-11,5.914566602828081e-15,0.999999954902602]",3
6,alesj,0.33333333333333337,0.75,0.6,"[0.33333333333333337,0.75,0.6]","[2.1633359209245554e-08,0.34318804096110256,0.6568119374055373,9.187356280716889e-16]",2
7,alexhana,0.25,0.75,0.4,"[0.25,0.75,0.4]","[0.03300049898284981,0.0362857406412803,0.9307137603758698,3.466503016518725e-17]",2
8,alja,0.14285714285714285,1.0,0.875,"[0.14285714285714285,1.0,0.875]","[3.479378813412684e-09,9.480870430060213e-11,1.5405526298965215e-14,0.9999999964257971]",3
9,Alja��,0.1,0.8,0.2727272727272727,"[0.1,0.8,0.2727272727272727]","[3.7877601672632e-10,0.02633169524924749,0.9736683043719765,7.521284770788973e-17]",2
10,alma,0.5,1.0,0.0,"[0.5,1.0,0.0]","[2.7951937507762385e-23,1.421442526456693e-09,2.9382505395609934e-08,0.9999999691960522]",3
11,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,"[0.2,0.3333333333333333,0.2307692307692308]","[8.94848897169586e-16,0.9999998575212343,1.4247876380978145e-07,8.948471568965536e-16]",1
12,Ana Horvath,0.2,0.75,0.6,"[0.2,0.75,0.6]","[0.6438965423665548,0.02603611879118018,0.3300673388422649,7.05566630004089e-17]",0
13,Ana Stadler,0.5,1.0,0.25,"[0.5,1.0,0.25]","[1.3471179939872122e-23,3.3903973808118125e-09,5.686498029774772e-10,0.9999999960409528]",3
14,AnaPetar,1.0,1.0,0.25,"[1.0,1.0,0.25]","[1.979835699081564e-22,2.1945507709104314e-08,1.3402015962866775e-21,0.9999999780544923]",3
