,users,followingRatio,order,freq,prediction
0,AB,0.3333333333333333,1.0,0.75,3
1,Albert,0.1,0.9166666666666666,0.7692307692307693,3
2,Aleksander Valant,1.0,1.0,0.125,2
3,Aleksandra,0.5,0.9090909090909092,0.0,1
4,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,0
5,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,3
6,alesj,0.33333333333333337,0.75,0.6,0
7,alexhana,0.25,0.75,0.4,0
8,alja,0.14285714285714285,1.0,0.875,3
9,Alja��,0.1,0.8,0.2727272727272727,0
10,alma,0.5,1.0,0.0,1
11,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,0
12,Ana Horvath,0.2,0.75,0.6,3
13,Ana Stadler,0.5,1.0,0.25,1
14,AnaPetar,1.0,1.0,0.25,2
15,AnBn,0.14285714285714285,1.0,0.5,3
16,Ando Saina,0.09090909090909091,1.0,1.0,3
17,Andra�� ��unkar,0.11111111111111112,0.9,0.8181818181818182,3
18,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,0
19,andrea zavorovic,0.3333333333333333,0.2857142857142857,0.125,0
20,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,1
21,AndrejaN,1.0,1.0,0.0,2
22,Andro Zuanic,0.5,0.6666666666666666,0.5,0
23,andrzej,0.3333333333333333,0.6666666666666666,0.5,0
24,ane,1.0,1.0,0.125,2
25,Anela,0.5,0.6666666666666666,0.25,0
26,anja menih,1.0,1.0,0.0,2
27,anja.r,0.3333333333333333,1.0,0.0,1
28,Ankica,0.5,1.0,0.09090909090909093,1
29,Annie,0.07692307692307693,1.0,1.0,3
30,Annie Cornu,1.0,1.0,0.0,2
31,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,1
32,anton jane��,0.2,1.0,0.3636363636363637,1
33,Anze-G,1.0,1.0,0.25,2
34,Anzze99,0.16666666666666666,0.875,0.6666666666666666,3
35,Apsirtgirl,0.19999999999999998,1.0,0.7142857142857143,3
36,babao,0.16666666666666666,0.5833333333333334,0.0,0
37,benjamin,1.0,1.0,0.16666666666666666,2
38,blaz02,1.0,1.0,0.16666666666666666,2
39,Bojan1825,0.125,1.0,0.6666666666666666,3
40,Bor,1.0,0.8571428571428571,0.0,2
41,BORIS MREVLJE,0.5,1.0,0.0,1
42,BorutKolar,0.5,1.0,0.0,1
43,Bo��tjan M.,0.16666666666666669,1.0,0.7142857142857143,3
44,BostjanH,0.25,0.9166666666666666,0.0,1
45,Bo��tjanK,0.08333333333333333,1.0,0.6153846153846154,3
46,Branklo,0.3333333333333333,1.0,0.75,3
47,BrunoB,0.14285714285714288,0.875,0.6666666666666666,3
48,Buda,0.5,0.4,0.3333333333333333,0
49,Buki,0.1,1.0,0.8,3
50,chibu79,0.0909090909090909,1.0,0.9166666666666666,3
51,Cromiza,0.25,0.8,0.2727272727272727,1
52,cvjetko,0.1111111111111111,1.0,0.6666666666666666,3
53,Dalka,0.14285714285714285,0.5714285714285714,0.5,0
54,Damir Mulalic,0.25,1.0,0.16666666666666666,1
55,damir.juretic,0.09090909090909091,1.0,1.0,3
56,Danilo4783,0.3333333333333333,1.0,0.09090909090909093,1
57,Dario,0.3333333333333333,1.0,0.2222222222222222,1
58,DarioR,0.3333333333333333,1.0,0.14285714285714285,1
59,Darko Babic,0.1,1.0,0.6923076923076923,3
60,David Sirk,0.3333333333333333,1.0,0.0,1
61,Dejan Adamic,0.1,0.5833333333333334,0.6153846153846154,0
62,DejanJ,0.08333333333333333,0.9166666666666666,0.8461538461538461,3
63,delimir,0.3333333333333333,0.8,0.0,1
64,demirel,1.0,0.6666666666666666,0.25,2
65,Deni Oreb,1.0,1.0,0.09090909090909093,2
66,Dimen,0.33333333333333337,0.75,0.4,0
67,dkervina,0.25,1.0,0.5,3
68,dmeic,0.2,0.8333333333333334,0.3076923076923077,1
69,Domen S,0.08333333333333333,1.0,0.9166666666666666,3
70,Dorsi,0.25,1.0,0.4,1
71,dragana,0.3333333333333333,0.5,0.42857142857142855,0
72,Dra��en,0.16666666666666666,0.875,0.5555555555555556,3
73,Dra��en Kralj,0.3333333333333333,0.9090909090909092,0.0,1
74,drejc,0.125,0.7,0.18181818181818185,0
75,Du��i,0.3333333333333333,1.0,0.125,1
76,Edvard,0.125,1.0,0.7777777777777778,3
77,Efa i Neno,0.125,0.75,0.38461538461538464,0
78,Elena Nikolovska,0.5,1.0,0.125,1
79,Ferijan Perkovic,0.16666666666666666,0.875,0.5555555555555556,3
80,filip mestrovic,0.19999999999999998,1.0,0.7142857142857143,3
81,Gaja,1.0,1.0,0.0,2
82,Gasper,0.25,0.6666666666666666,0.42857142857142855,0
83,gcampa,0.125,1.0,0.4166666666666667,3
84,GITA MARINKOVIC,1.0,0.6666666666666666,0.25,2
85,Goran Cacic,0.16666666666666666,1.0,0.08333333333333333,1
86,Goran ��urica,0.16666666666666666,0.9166666666666666,0.3076923076923077,1
87,Gordan,0.25,0.9166666666666666,0.07692307692307693,1
88,Gordana Genc,0.125,1.0,0.8888888888888888,3
89,gpet,0.09999999999999999,0.9090909090909092,0.8333333333333334,3
90,Gregor Primc,0.09999999999999999,1.0,0.4166666666666667,3
91,greta,0.25,0.6666666666666666,0.2857142857142857,0
92,Grozdana Sirotic,0.3333333333333333,1.0,0.5,3
93,Grup amor,0.16666666666666666,0.875,0.1111111111111111,1
94,HanaP,0.33333333333333337,1.0,0.0,1
95,Hrvoje Juvancic,0.2,1.0,0.5555555555555556,3
96,Hrvoje Petek,0.3333333333333333,0.9090909090909092,0.0,1
97,Igor ��utic,0.08333333333333333,1.0,0.8461538461538461,3
98,Igor ��afran,0.08333333333333333,0.75,0.7692307692307693,3
99,Igor29,0.5,1.0,0.3333333333333333,1
100,IgorGancevic,0.3333333333333333,0.8571428571428571,0.125,1
