,users,followingRatio,order,freq,pcaInput,_1,_2,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.5,0.25,0.4,"[0.5,0.25,0.4]",-0.02830650745121205,0.4728518293423786,"[-0.02830650745121205,0.4728518293423786]","[6.226399546515059e-16,0.013717830254945641,6.226399546515059e-16,0.9862821697450531]",3
1,0064c3fd-7e6e-425c-f754-34b889c8,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5402240115038325,1.2810683788796473,"[-0.5402240115038325,1.2810683788796473]","[0.9673377968185414,1.7273944041941692e-09,7.665183915946364e-17,0.032662201454064]",0
2,037820a7-a143-422c-3ebd-3553d373,1.0,0.5,0.14285714285714285,"[1.0,0.5,0.14285714285714285]",-0.5176359366451287,0.8436512484855243,"[-0.5176359366451287,0.8436512484855243]","[5.018228468729588e-16,0.0023120902760399224,5.018228361581132e-16,0.997687909723959]",3
3,04745589-295d-158e-c6c0-ef24f730,0.25,1.0,1.0,"[0.25,1.0,1.0]",0.682952066317071,1.1649678961140266,"[0.682952066317071,1.1649678961140266]","[4.1505815771665987e-23,4.8652913837210887e-08,0.9999999513413147,5.771448105504523e-12]",2
4,04a7d779-f053-b1a3-386e-82d69979,1.0,0.8333333333333334,0.0,"[1.0,0.8333333333333334,0.0]",-0.5661021113148953,1.1278675665599227,"[-0.5661021113148953,1.1278675665599227]","[0.0016146190907534456,3.902015303746373e-06,1.1649008386982676e-15,0.9983814788939417]",3
5,068616a9-816f-e8e4-d737-6ddba1df,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]",-0.5919802111259582,0.9746667542401981,"[-0.5919802111259582,0.9746667542401981]","[5.604815799484289e-14,8.868568058592129e-05,8.300545264257316e-16,0.9999113143193573]",3
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,1.0,1.0,0.09090909090909093,"[1.0,1.0,0.09090909090909093]",-0.4764461369544465,1.295186301239225,"[-0.4764461369544465,1.295186301239225]","[0.9716915365270393,4.8114564406110814e-09,6.133985782596985e-17,0.02830845866150424]",0
7,0781bbba-c179-f93c-1116-8d684911,0.5,0.75,0.0,"[0.5,0.75,0.0]",-0.2312948560353219,0.8703354079194104,"[-0.2312948560353219,0.8703354079194104]","[1.9878665433525668e-11,0.10572838736710251,2.8212520941886953e-16,0.8942716126130186]",3
8,08ee9ac0-7656-2b25-ce41-b44d758e,0.25,1.0,1.0,"[0.25,1.0,1.0]",0.682952066317071,1.1649678961140266,"[0.682952066317071,1.1649678961140266]","[4.1505815771665987e-23,4.8652913837210887e-08,0.9999999513413147,5.771448105504523e-12]",2
9,0a84077c-d3fa-56fc-803c-a863ca7e,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]",-0.5919802111259582,0.9746667542401981,"[-0.5919802111259582,0.9746667542401981]","[5.604815799484289e-14,8.868568058592129e-05,8.300545264257316e-16,0.9999113143193573]",3
