,users,followingRatio,order,freq,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.5,0.25,0.4,"[0.5,0.25,0.4]","[0.02627780513942982,0.9737221948605665,1.7983460935144692e-15,1.7983460935144692e-15]",1
1,0064c3fd-7e6e-425c-f754-34b889c8,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.941131872349883,6.269533312150846e-07,5.254557190774148e-16,0.05886750069678519]",0
2,037820a7-a143-422c-3ebd-3553d373,1.0,0.5,0.14285714285714285,"[1.0,0.5,0.14285714285714285]","[0.9999953168759929,4.68312400605949e-06,5.318797086447368e-16,5.318797086447368e-16]",0
3,04745589-295d-158e-c6c0-ef24f730,0.25,1.0,1.0,"[0.25,1.0,1.0]","[1.3226419429174479e-23,2.0298543210359626e-11,1.3226417308906432e-23,0.9999999999797015]",3
4,04a7d779-f053-b1a3-386e-82d69979,1.0,0.8333333333333334,0.0,"[1.0,0.8333333333333334,0.0]","[0.9999962317259834,3.768274015499023e-06,5.313120142700388e-16,5.313120142700388e-16]",0
5,068616a9-816f-e8e4-d737-6ddba1df,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]","[0.9999834581583906,1.6541841607931352e-05,7.210309580069643e-16,7.210309580069643e-16]",0
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,1.0,1.0,0.09090909090909093,"[1.0,1.0,0.09090909090909093]","[0.9894715692103809,2.708236857855469e-07,3.937271040933111e-16,0.010528159965932938]",0
7,0781bbba-c179-f93c-1116-8d684911,0.5,0.75,0.0,"[0.5,0.75,0.0]","[0.29225002593209365,0.707749974067906,1.7303849090761457e-16,1.7303849090761457e-16]",1
8,08ee9ac0-7656-2b25-ce41-b44d758e,0.25,1.0,1.0,"[0.25,1.0,1.0]","[1.3226419429174479e-23,2.0298543210359626e-11,1.3226417308906432e-23,0.9999999999797015]",3
9,0a84077c-d3fa-56fc-803c-a863ca7e,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]","[0.9999834581583906,1.6541841607931352e-05,7.210309580069643e-16,7.210309580069643e-16]",0
10,0c9621b0-ff94-77e8-727f-5420882d,0.19999999999999998,1.0,0.5,"[0.19999999999999998,1.0,0.5]","[8.515652625105184e-13,5.1999916962135674e-08,1.5594900110635723e-23,0.9999999479992315]",3
11,0e59235e-e51a-a5cd-e0ba-0fffe847,1.0,1.0,0.09090909090909093,"[1.0,1.0,0.09090909090909093]","[0.9894715692103809,2.708236857855469e-07,3.937271040933111e-16,0.010528159965932938]",0
12,101c246c-3f77-d919-ca38-8d19141e,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.941131872349883,6.269533312150846e-07,5.254557190774148e-16,0.05886750069678519]",0
13,10355f7a-f86a-830c-cbf1-fb3c40b6,0.5,0.6666666666666666,0.0,"[0.5,0.6666666666666666,0.0]","[0.19259783145858317,0.8074021685414166,1.3887129611362438e-16,1.3887129611362438e-16]",1
14,135b42ab-ac52-d14a-c37c-6ffeca28,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.941131872349883,6.269533312150846e-07,5.254557190774148e-16,0.05886750069678519]",0
15,1459b8fd-ecab-4e30-1fc9-3d649648,1.0,0.3333333333333333,0.14285714285714285,"[1.0,0.3333333333333333,0.14285714285714285]","[0.9999921875079484,7.812492049465193e-06,1.0957924240310841e-15,1.0957924240310841e-15]",0
16,1496b095-5b5f-4c47-5066-49bcf5d6,1.0,1.0,0.25,"[1.0,1.0,0.25]","[0.9961921724049267,2.7407403293869984e-07,2.3774823648938648e-15,0.0038075535210378994]",0
17,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.5,0.6666666666666666,0.25,"[0.5,0.6666666666666666,0.25]","[0.09827434826051837,0.9017256517394814,1.0885612988938373e-16,1.0885612988938373e-16]",1
18,16ba8f74-d9b7-c724-98c5-f31f43be,0.19999999999999998,0.8,0.8333333333333334,"[0.19999999999999998,0.8,0.8333333333333334]","[4.4396092324953625e-18,2.1122818167762027e-05,0.9999788771818322,1.73194318860408e-19]",2
19,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,1.0,0.8571428571428571,0.125,"[1.0,0.8571428571428571,0.125]","[0.9999992639470388,7.360529605010104e-07,3.4074927158926634e-16,3.4074927158926634e-16]",0
20,195b9f52-3731-37a7-2c74-19d11cb6,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.941131872349883,6.269533312150846e-07,5.254557190774148e-16,0.05886750069678519]",0
21,196bc15c-4aac-31e9-7c5d-3599ce10,0.5,0.0,0.2,"[0.5,0.0,0.2]","[0.23205513969033054,0.7679448603096635,2.972812875770662e-15,2.972812875770662e-15]",1
22,1acb1c12-47e9-e408-eaf9-8167947a,0.25,1.0,1.0,"[0.25,1.0,1.0]","[1.3226419429174479e-23,2.0298543210359626e-11,1.3226417308906432e-23,0.9999999999797015]",3
23,1b1cd7ac-2f24-1493-5d7e-d7873af1,0.25,1.0,0.75,"[0.25,1.0,0.75]","[2.5277237061515397e-20,1.7236075252608938e-09,6.374955278438015e-24,0.9999999982763924]",3
24,1beb31a1-0aea-018e-a7e1-82085ffa,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.941131872349883,6.269533312150846e-07,5.254557190774148e-16,0.05886750069678519]",0
25,1c09a110-d9c3-2442-9f5d-aee802c0,1.0,0.6666666666666666,0.25,"[1.0,0.6666666666666666,0.25]","[0.9999986365259186,1.3634740792149393e-06,1.1076744175224278e-15,1.1076744175224278e-15]",0
26,1cb07e56-7b73-0087-0a17-3e9c1f88,0.25,0.8571428571428571,0.5,"[0.25,0.8571428571428571,0.5]","[2.030666546337293e-05,0.9999796933345364,1.450647576143437e-16,1.450647576143437e-16]",1
27,1d3ed189-1162-0dd0-bcb2-fda83a50,0.16666666666666666,0.8,0.8333333333333334,"[0.16666666666666666,0.8,0.8333333333333334]","[6.358699560606632e-18,3.3713575260274014e-05,0.9999662864247397,2.4806026421795484e-19]",2
28,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.5,0.75,0.4,"[0.5,0.75,0.4]","[0.005832444072821397,0.9941675559271779,3.769684791261297e-16,3.769684791261297e-16]",1
29,1d90b45b-4d8d-42a1-43cd-38e1a241,0.2,0.75,0.8,"[0.2,0.75,0.8]","[2.4671665347661943e-15,0.0007918037733488126,0.9992081962266488,3.720187518711374e-18]",2
30,1e81aa64-c3c9-ee4f-ce3c-c4248be0,1.0,0.0,0.0,"[1.0,0.0,0.0]","[0.9995135446887696,0.0004864553110603953,8.50415150251184e-14,8.50415150251184e-14]",0
31,1f7f3fd7-7087-1461-cf43-9add2172,0.3333333333333333,0.6666666666666666,0.75,"[0.3333333333333333,0.6666666666666666,0.75]","[2.1213815432888772e-14,5.204840297763647e-05,0.9999479515970011,3.207997415715119e-19]",2
32,1f96865d-62d4-b049-1788-cfccf324,0.25,1.0,1.0,"[0.25,1.0,1.0]","[1.3226419429174479e-23,2.0298543210359626e-11,1.3226417308906432e-23,0.9999999999797015]",3
33,20e2fc85-7d0f-8a2c-b651-4b811a97,0.3333333333333333,0.4,0.3333333333333333,"[0.3333333333333333,0.4,0.3333333333333333]","[0.013384872028569984,0.9866151279714301,1.0352395103452615e-16,1.0352395103452615e-16]",1
34,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,1.0,0.9090909090909092,0.08333333333333333,"[1.0,0.9090909090909092,0.08333333333333333]","[0.9999993404919427,6.595080566314425e-07,3.3446947811337474e-16,3.3446947811337474e-16]",0
35,258d2e1f-e3e8-2612-8285-895fb96d,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]","[3.6350449263312185e-20,1.0558922470836542e-09,9.167635206363093e-24,0.9999999989441077]",3
36,269144fa-ef0e-c81e-52ff-df9a348a,0.25,0.8333333333333334,0.2307692307692308,"[0.25,0.8333333333333334,0.2307692307692308]","[0.10171087683365959,0.8982891231663402,9.872390932071967e-17,9.872390932071967e-17]",1
37,270174bf-baf8-aab4-48e3-139fcf47,0.5,0.3333333333333333,0.0,"[0.5,0.3333333333333333,0.0]","[0.0476838063399176,0.952316193660082,1.8364716670898923e-16,1.8364716670898923e-16]",1
38,27080783-250a-3521-f816-6e7b29cf,0.2,1.0,1.0,"[0.2,1.0,1.0]","[1.0825269297732709e-23,2.970359729766346e-11,1.0825267562382283e-23,0.9999999999702964]",3
39,2c1d08f2-a1ba-6915-db46-1a7721b9,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.941131872349883,6.269533312150846e-07,5.254557190774148e-16,0.05886750069678519]",0
40,2ee1d86b-74ed-47f3-5733-61cc4821,0.5,1.0,0.0,"[0.5,1.0,0.0]","[3.342012704947762e-08,1.0666577208237537e-08,1.8659230875471536e-23,0.9999999559132957]",3
41,2f7f0e40-1234-75db-2bcf-bdfbdfbc,0.16666666666666666,1.0,1.0,"[0.16666666666666666,1.0,1.0]","[1.1405526873179191e-23,4.138791544559586e-11,1.1405525044810272e-23,0.9999999999586121]",3
42,31a88be4-13ad-06c2-119c-3551a490,0.5,1.0,0.1,"[0.5,1.0,0.1]","[4.0340693779349385e-08,1.8620348556947995e-08,1.6386725793422542e-23,0.9999999410389576]",3
43,3244a4c0-3f85-3017-5694-2f5647cb,0.14285714285714285,0.8333333333333334,0.8571428571428571,"[0.14285714285714285,0.8333333333333334,0.8571428571428571]","[7.162413290778633e-18,0.00021396560401474665,0.9997860343959852,2.2975543992696395e-18]",2
44,3447bacb-f54d-55c2-592f-3a3ff765,0.5,1.0,0.25,"[0.5,1.0,0.25]","[7.555772142189907e-09,2.644692381658974e-08,1.803237921238382e-23,0.999999965997304]",3
45,34a3d1d8-74eb-8a4e-0506-b9ca1551,0.5,1.0,0.25,"[0.5,1.0,0.25]","[7.555772142189907e-09,2.644692381658974e-08,1.803237921238382e-23,0.999999965997304]",3
46,35813a40-7aa6-5336-237b-c93f1759,1.0,0.8571428571428571,0.0,"[1.0,0.8571428571428571,0.0]","[0.9999970120322176,2.987967781361299e-06,5.235870714210343e-16,5.235870714210343e-16]",0
47,35ce5334-aefb-9a61-d1c3-7f01a776,1.0,1.0,0.125,"[1.0,1.0,0.125]","[0.9932060349663381,2.3021377917444997e-07,4.49372526665022e-16,0.006793734819882244]",0
48,35daa597-4591-5a82-57a9-1fba2635,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]","[3.6350449263312185e-20,1.0558922470836542e-09,9.167635206363093e-24,0.9999999989441077]",3
49,367365a7-8d2a-3b00-f3e3-f877be3c,0.5,0.8333333333333334,0.2857142857142857,"[0.5,0.8333333333333334,0.2857142857142857]","[0.07662150233333133,0.9233784976666681,2.1998568976534118e-16,2.1998568976534118e-16]",1
