,users,followingRatio,order,freq,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.5,0.25,0.4,"[0.5,0.25,0.4]","[3.9670857970210354e-16,0.0004585482142754144,0.008087351252302413,3.9670857970207396e-16,0.9914541005334213]",4
1,0064c3fd-7e6e-425c-f754-34b889c8,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
2,0126c792-ca6a-61a6-a96a-42bf5fc1,0.5,0.75,0.0,"[0.5,0.75,0.0]","[1.3725797320245723e-23,1.6308926236689201e-09,3.5580062435940506e-08,0.9999999627882435,8.014997900232581e-13]",3
3,012d8099-01c6-f99f-55ef-151df7a5,0.3333333333333333,0.4,0.0,"[0.3333333333333333,0.4,0.0]","[6.001724504689872e-23,3.5763026960503227e-10,3.2568550722629672e-09,0.9999999963855107,3.899039786403172e-15]",3
4,01d960ae-5d88-45e9-e235-6f68599c,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
5,037820a7-a143-422c-3ebd-3553d373,1.0,0.5,0.14285714285714285,"[1.0,0.5,0.14285714285714285]","[1.8065634098343663e-16,0.9999999439703463,5.6029653180725006e-08,1.8065634098343663e-16,1.8065634098343663e-16]",1
6,04745589-295d-158e-c6c0-ef24f730,0.25,1.0,1.0,"[0.25,1.0,1.0]","[0.9783637345794316,2.2324939020291707e-17,2.2335599836838095e-10,2.2324939020291707e-17,0.021636265197212436]",0
7,04a7d779-f053-b1a3-386e-82d69979,1.0,0.8333333333333334,0.0,"[1.0,0.8333333333333334,0.0]","[1.697788654967847e-23,3.3770549694183184e-09,5.127541001129162e-13,0.9999999966224322,1.697788654967847e-23]",3
8,068616a9-816f-e8e4-d737-6ddba1df,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]","[2.1768371870100903e-23,2.6911148616970677e-09,2.8290669342275567e-13,0.9999999973086022,2.1768371870100903e-23]",3
9,06f2e041-7a2d-a0ab-5f48-fd01f0a2,1.0,1.0,0.09090909090909093,"[1.0,1.0,0.09090909090909093]","[2.555567276455976e-16,0.9999974647620702,2.535237929072963e-06,2.555567276455976e-16,2.555567276455976e-16]",1
10,0781bbba-c179-f93c-1116-8d684911,0.5,0.75,0.0,"[0.5,0.75,0.0]","[1.3725797320245723e-23,1.6308926236689201e-09,3.5580062435940506e-08,0.9999999627882435,8.014997900232581e-13]",3
11,08ee9ac0-7656-2b25-ce41-b44d758e,0.25,1.0,1.0,"[0.25,1.0,1.0]","[0.9783637345794316,2.2324939020291707e-17,2.2335599836838095e-10,2.2324939020291707e-17,0.021636265197212436]",0
12,0a84077c-d3fa-56fc-803c-a863ca7e,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]","[2.1768371870100903e-23,2.6911148616970677e-09,2.8290669342275567e-13,0.9999999973086022,2.1768371870100903e-23]",3
13,0c9621b0-ff94-77e8-727f-5420882d,0.19999999999999998,1.0,0.5,"[0.19999999999999998,1.0,0.5]","[0.023833647837937993,3.6444778356685244e-10,0.9761381697388457,4.1956067093106426e-16,2.8182058768187215e-05]",2
14,0e59235e-e51a-a5cd-e0ba-0fffe847,1.0,1.0,0.09090909090909093,"[1.0,1.0,0.09090909090909093]","[2.555567276455976e-16,0.9999974647620702,2.535237929072963e-06,2.555567276455976e-16,2.555567276455976e-16]",1
15,0f165b85-0670-e6ac-bf14-cf00655a,0.16666666666666666,1.0,0.0,"[0.16666666666666666,1.0,0.0]","[2.108246019271509e-20,1.4098380662208223e-09,5.939315689005312e-10,0.9999999979962303,8.779829188433092e-23]",3
16,101c246c-3f77-d919-ca38-8d19141e,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
17,10355f7a-f86a-830c-cbf1-fb3c40b6,0.5,0.6666666666666666,0.0,"[0.5,0.6666666666666666,0.0]","[1.444589723685698e-23,1.3090309637939726e-09,2.804403336417796e-08,0.9999999706413262,5.609497139178388e-12]",3
18,135b42ab-ac52-d14a-c37c-6ffeca28,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
19,1459b8fd-ecab-4e30-1fc9-3d649648,1.0,0.3333333333333333,0.14285714285714285,"[1.0,0.3333333333333333,0.14285714285714285]","[3.723407838179546e-16,0.9999999892404557,1.0759543150383392e-08,3.723407838179546e-16,3.723407838179546e-16]",1
20,1496b095-5b5f-4c47-5066-49bcf5d6,1.0,1.0,0.25,"[1.0,1.0,0.25]","[5.754933097637908e-16,0.9999998820992982,1.179006999735365e-07,5.754933097637908e-16,5.754933097637908e-16]",1
21,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.5,0.6666666666666666,0.25,"[0.5,0.6666666666666666,0.25]","[1.0272649666922933e-16,0.1174873250860751,0.8763079716827811,1.0272644037558322e-16,0.00620470323114366]",2
22,14b19a02-38a5-992d-2f4f-aebd2315,1.0,0.0,0.0,"[1.0,0.0,0.0]","[1.6365021765891191e-21,1.1241484411474848e-09,3.052615283395232e-16,0.9999999988758513,1.6365021765891191e-21]",3
23,16ba8f74-d9b7-c724-98c5-f31f43be,0.19999999999999998,0.8,0.8333333333333334,"[0.19999999999999998,0.8,0.8333333333333334]","[0.9996333127794296,3.484266363956832e-17,1.4965207633062638e-05,3.484266363956831e-17,0.00035172201293726503]",0
24,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,1.0,0.8571428571428571,0.125,"[1.0,0.8571428571428571,0.125]","[1.3387723087566267e-16,0.9999992897204858,7.102795137749498e-07,1.3387723087566267e-16,1.3387723087566267e-16]",1
25,195b9f52-3731-37a7-2c74-19d11cb6,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
26,196bc15c-4aac-31e9-7c5d-3599ce10,0.5,0.0,0.2,"[0.5,0.0,0.2]","[6.718136863364404e-16,0.1164055599798903,0.0007006465571323103,6.718136863364404e-16,0.882893793462976]",4
27,1acb1c12-47e9-e408-eaf9-8167947a,0.25,1.0,1.0,"[0.25,1.0,1.0]","[0.9783637345794316,2.2324939020291707e-17,2.2335599836838095e-10,2.2324939020291707e-17,0.021636265197212436]",0
28,1b1cd7ac-2f24-1493-5d7e-d7873af1,0.25,1.0,0.75,"[0.25,1.0,0.75]","[0.8577066761193073,1.1026746677068116e-16,0.0003020139631941597,1.1026746671089376e-16,0.1419913099174983]",0
29,1beb31a1-0aea-018e-a7e1-82085ffa,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
30,1c09a110-d9c3-2442-9f5d-aee802c0,1.0,0.6666666666666666,0.25,"[1.0,0.6666666666666666,0.25]","[2.548700156406457e-16,0.9999999769748829,2.3025116426633466e-08,2.548700156406457e-16,2.548700156406457e-16]",1
31,1cb07e56-7b73-0087-0a17-3e9c1f88,0.25,0.8571428571428571,0.5,"[0.25,0.8571428571428571,0.5]","[0.032360949998358195,1.0176953802950318e-09,0.9658332278903421,2.0146423512655624e-16,0.0018058210936040908]",2
