,users,intensityNormalized,order,freq,catchingUpRatio,pcaInput,_1,_2,features,probability,prediction
0,AB,0.027777777777777773,1.0,0.75,0.25,"[0.027777777777777773,1.0,0.75,0.25]",0.6628321960342038,0.7444638579981329,"[0.6628321960342038,0.7444638579981329]","[0.012883691701760052,0.9870892166249075,2.7091673332544498e-05]",1
1,Albert,0.025000000000000005,0.9166666666666666,0.7692307692307693,0.23076923076923078,"[0.025000000000000005,0.9166666666666666,0.7692307692307693,0.23076923076923078]",0.6758338025531674,0.7175117684374895,"[0.6758338025531674,0.7175117684374895]","[0.011567495542267657,0.988171366825304,0.000261137632428233]",1
2,Aleksander Valant,0.5833333333333334,1.0,0.125,0.875,"[0.5833333333333334,1.0,0.125,0.875]",-0.2993906748754838,1.0774709433379508,"[-0.2993906748754838,1.0774709433379508]","[0.0015320415609514394,0.9984679584390482,3.786428234670902e-16]",1
3,alenka dornik,0.04166666666666666,0.7272727272727273,0.4166666666666667,0.25,"[0.04166666666666666,0.7272727272727273,0.4166666666666667,0.25]",0.3392767302290478,0.5500319197907988,"[0.3392767302290478,0.5500319197907988]","[0.9981414360824444,1.4429720928528813e-16,0.0018585639175553827]",0
4,Alenka Neudauer,0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333,"[0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333]",0.8764486634549419,0.6645925805118911,"[0.8764486634549419,0.6645925805118911]","[0.0007642864995012935,0.8238848994782766,0.17535081402222205]",1
5,alesj,0.05555555555555556,0.75,0.6,0.4,"[0.05555555555555556,0.75,0.6,0.4]",0.43196460357933597,0.7639028393356364,"[0.43196460357933597,0.7639028393356364]","[0.1982168171677746,0.801783182689544,1.4268158062606387e-10]",1
6,alexhana,0.02083333333333333,0.75,0.4,0.0,"[0.02083333333333333,0.75,0.4,0.0]",0.4355110560917334,0.32574839369338754,"[0.4355110560917334,0.32574839369338754]","[0.0987138894554648,1.0574639428058131e-16,0.9012861105445351]",2
7,alja,0.0119047619047619,1.0,0.875,0.125,"[0.0119047619047619,1.0,0.875,0.125]",0.8232868941457452,0.6845100392898178,"[0.8232868941457452,0.6845100392898178]","[0.0018738219689406076,0.9412817553686196,0.05684442266243985]",1
8,Alja��,0.00833333333333334,0.8,0.2727272727272727,0.0,"[0.00833333333333334,0.8,0.2727272727272727,0.0]",0.3397703029966559,0.2830150087831715,"[0.3397703029966559,0.2830150087831715]","[0.06370511038059395,1.0651963712309135e-16,0.936294889619406]",2
9,amanita.amanita,0.13333333333333333,0.3333333333333333,0.2307692307692308,0.07692307692307693,"[0.13333333333333333,0.3333333333333333,0.2307692307692308,0.07692307692307693]",0.16566312520183246,0.24322354947018987,"[0.16566312520183246,0.24322354947018987]","[0.015710152066607315,8.935277681961991e-17,0.9842898479333926]",2
10,Ana Horvath,0.0,0.75,0.6,0.0,"[0.0,0.75,0.6,0.0]",0.6106789381013511,0.4067689008851582,"[0.6106789381013511,0.4067689008851582]","[0.0876022917804501,1.3768099912199435e-16,0.9123977082195498]",2
11,Ana Stadler,0.08333333333333333,1.0,0.25,0.0,"[0.08333333333333333,1.0,0.25,0.0]",0.32377967687068715,0.32136984241264127,"[0.32377967687068715,0.32136984241264127]","[0.06971112416902199,6.4993830122185e-17,0.9302888758309779]",2
12,AnaPetar,0.25,1.0,0.25,0.75,"[0.25,1.0,0.25,0.75]",-0.032303056529288665,0.9953584634308071,"[-0.032303056529288665,0.9953584634308071]","[0.026145080839652484,0.9738549191603474,1.4299284062992776e-16]",1
13,AnBn,0.05952380952380953,1.0,0.5,0.4166666666666667,"[0.05952380952380953,1.0,0.5,0.4166666666666667]",0.375267294286319,0.7907764594271205,"[0.375267294286319,0.7907764594271205]","[0.18126000168288203,0.8187399983170024,1.1563946578264815e-13]",1
14,Ando Saina,0.0,1.0,1.0,0.0,"[0.0,1.0,1.0,0.0]",0.9824086807543534,0.6248332038464881,"[0.9824086807543534,0.6248332038464881]","[0.00011881544729071648,0.7226656692474486,0.27721551530526073]",1
15,Andra�� ��unkar,0.018518518518518528,0.9,0.8181818181818182,0.0,"[0.018518518518518528,0.9,0.8181818181818182,0.0]",0.8091507012907011,0.5299028345773849,"[0.8091507012907011,0.5299028345773849]","[0.010895037441944332,0.00011570874716986711,0.9889892538108858]",2
16,andrea vlastelica,0.05952380952380953,0.7272727272727273,0.5,0.4166666666666667,"[0.05952380952380953,0.7272727272727273,0.5,0.4166666666666667]",0.33666051310679346,0.7328328620139108,"[0.33666051310679346,0.7328328620139108]","[0.9865934298227859,0.013406570118693914,5.852018919710408e-11]",0
17,andrea zavorovic,0.13888888888888887,0.2857142857142857,0.125,0.0,"[0.13888888888888887,0.2857142857142857,0.125,0.0]",0.09889960711528217,0.12194389894522564,"[0.09889960711528217,0.12194389894522564]","[0.003851961751081967,6.178023965474534e-16,0.9961480382489174]",2
18,Andrej_A,0.2222222222222222,0.9,0.2727272727272727,0.7272727272727273,"[0.2222222222222222,0.9,0.2727272727272727,0.7272727272727273]",-0.008924304483708179,0.9614743429216649,"[-0.008924304483708179,0.9614743429216649]","[0.03572926234588869,0.9642707376541113,1.0118285941172817e-16]",1
19,Andro Zuanic,0.08333333333333333,0.6666666666666666,0.5,0.5,"[0.08333333333333333,0.6666666666666666,0.5,0.5]",0.2867392649074352,0.795213442610752,"[0.2867392649074352,0.795213442610752]","[0.5673397028579843,0.43266029714201526,4.730311586656448e-16]",0
20,andrzej,0.027777777777777773,0.6666666666666666,0.5,0.25,"[0.027777777777777773,0.6666666666666666,0.5,0.25]",0.4054335093740938,0.5705505689380301,"[0.4054335093740938,0.5705505689380301]","[0.9953842250488898,4.593174660755928e-13,0.004615774950650929]",0
