,users,intensityNormalized,order,freq,catchingUpRatio,features,prediction
0,AB,0.027777777777777773,1.0,0.75,0.25,"[0.027777777777777773,1.0,0.75,0.25]",1
1,Albert,0.025000000000000005,0.9166666666666666,0.7692307692307693,0.23076923076923078,"[0.025000000000000005,0.9166666666666666,0.7692307692307693,0.23076923076923078]",1
2,Aleksander Valant,0.5833333333333334,1.0,0.125,0.875,"[0.5833333333333334,1.0,0.125,0.875]",3
3,alenka dornik,0.04166666666666666,0.7272727272727273,0.4166666666666667,0.25,"[0.04166666666666666,0.7272727272727273,0.4166666666666667,0.25]",0
4,Alenka Neudauer,0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333,"[0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333]",1
5,alesj,0.05555555555555556,0.75,0.6,0.4,"[0.05555555555555556,0.75,0.6,0.4]",1
6,alexhana,0.02083333333333333,0.75,0.4,0.0,"[0.02083333333333333,0.75,0.4,0.0]",0
7,alja,0.0119047619047619,1.0,0.875,0.125,"[0.0119047619047619,1.0,0.875,0.125]",1
8,Alja��,0.00833333333333334,0.8,0.2727272727272727,0.0,"[0.00833333333333334,0.8,0.2727272727272727,0.0]",0
9,amanita.amanita,0.13333333333333333,0.3333333333333333,0.2307692307692308,0.07692307692307693,"[0.13333333333333333,0.3333333333333333,0.2307692307692308,0.07692307692307693]",0
10,Ana Horvath,0.0,0.75,0.6,0.0,"[0.0,0.75,0.6,0.0]",1
11,Ana Stadler,0.08333333333333333,1.0,0.25,0.0,"[0.08333333333333333,1.0,0.25,0.0]",0
12,AnaPetar,0.25,1.0,0.25,0.75,"[0.25,1.0,0.25,0.75]",3
13,AnBn,0.05952380952380953,1.0,0.5,0.4166666666666667,"[0.05952380952380953,1.0,0.5,0.4166666666666667]",2
14,Ando Saina,0.0,1.0,1.0,0.0,"[0.0,1.0,1.0,0.0]",1
15,Andra�� ��unkar,0.018518518518518528,0.9,0.8181818181818182,0.0,"[0.018518518518518528,0.9,0.8181818181818182,0.0]",1
