,users,intensityNormalized,order,freq,catchingUpRatio,pcaInput,_1,_2,features,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.125,0.25,0.4,0.6,"[0.125,0.25,0.4,0.6]",-0.14418778652260028,0.7555363862349607,"[-0.14418778652260028,0.7555363862349607]",1
1,0064c3fd-7e6e-425c-f754-34b889c8,0.4166666666666667,1.0,0.0,0.0,"[0.4166666666666667,1.0,0.0,0.0]",0.021372285204789288,0.2929453588555274,"[0.021372285204789288,0.2929453588555274]",0
2,037820a7-a143-422c-3ebd-3553d373,0.5,0.5,0.14285714285714285,0.8571428571428571,"[0.5,0.5,0.14285714285714285,0.8571428571428571]",-0.5741572306850531,0.8461803160227234,"[-0.5741572306850531,0.8461803160227234]",1
3,04745589-295d-158e-c6c0-ef24f730,0.0,1.0,1.0,0.0,"[0.0,1.0,1.0,0.0]",0.8074972332918323,0.9420299769067071,"[0.8074972332918323,0.9420299769067071]",2
4,04a7d779-f053-b1a3-386e-82d69979,0.5,0.8333333333333334,0.0,0.0,"[0.5,0.8333333333333334,0.0,0.0]",-0.0451045741303735,0.2499372108601335,"[-0.0451045741303735,0.2499372108601335]",0
5,068616a9-816f-e8e4-d737-6ddba1df,0.25,0.6666666666666666,0.0,0.0,"[0.25,0.6666666666666666,0.0,0.0]",0.025687246827622773,0.1942394370890436,"[0.025687246827622773,0.1942394370890436]",0
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091,"[0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091]",-0.6803572902078372,0.9988453968600353,"[-0.6803572902078372,0.9988453968600353]",1
7,0781bbba-c179-f93c-1116-8d684911,0.125,0.75,0.0,0.0,"[0.125,0.75,0.0,0.0]",0.09324284656849398,0.21257110464281656,"[0.09324284656849398,0.21257110464281656]",0
8,08ee9ac0-7656-2b25-ce41-b44d758e,0.0,1.0,1.0,0.0,"[0.0,1.0,1.0,0.0]",0.8074972332918323,0.9420299769067071,"[0.8074972332918323,0.9420299769067071]",2
9,0a84077c-d3fa-56fc-803c-a863ca7e,0.25,0.6666666666666666,0.0,0.0,"[0.25,0.6666666666666666,0.0,0.0]",0.025687246827622773,0.1942394370890436,"[0.025687246827622773,0.1942394370890436]",0
10,0c9621b0-ff94-77e8-727f-5420882d,0.016666666666666663,1.0,0.5,0.0,"[0.016666666666666663,1.0,0.5,0.0]",0.4933642504168773,0.610191133060092,"[0.4933642504168773,0.610191133060092]",2
11,0e59235e-e51a-a5cd-e0ba-0fffe847,0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091,"[0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091]",-0.6803572902078372,0.9988453968600353,"[-0.6803572902078372,0.9988453968600353]",1
12,101c246c-3f77-d919-ca38-8d19141e,0.25,1.0,0.0,0.0,"[0.25,1.0,0.0,0.0]",0.09000662535136886,0.2866005459676794,"[0.09000662535136886,0.2866005459676794]",0
13,10355f7a-f86a-830c-cbf1-fb3c40b6,0.08333333333333333,0.6666666666666666,0.0,0.0,"[0.08333333333333333,0.6666666666666666,0.0,0.0]",0.09432158697420234,0.1878946242011956,"[0.09432158697420234,0.1878946242011956]",0
14,135b42ab-ac52-d14a-c37c-6ffeca28,0.5833333333333334,1.0,0.0,0.0,"[0.5833333333333334,1.0,0.0,0.0]",-0.04726205494179028,0.2992901717433754,"[-0.04726205494179028,0.2992901717433754]",0
15,1459b8fd-ecab-4e30-1fc9-3d649648,0.5,0.3333333333333333,0.14285714285714285,0.8571428571428571,"[0.5,0.3333333333333333,0.14285714285714285,0.8571428571428571]",-0.606316919946926,0.7999997615834055,"[-0.606316919946926,0.7999997615834055]",1
16,1496b095-5b5f-4c47-5066-49bcf5d6,0.25,1.0,0.25,0.75,"[0.25,1.0,0.25,0.75]",-0.23981760571062366,0.9722475645376019,"[-0.23981760571062366,0.9722475645376019]",1
17,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.08333333333333333,0.6666666666666666,0.25,0.5,"[0.08333333333333333,0.6666666666666666,0.25,0.5]",-0.07434964225707649,0.7004048574370438,"[-0.07434964225707649,0.7004048574370438]",1
18,16ba8f74-d9b7-c724-98c5-f31f43be,0.016666666666666663,0.8,0.8333333333333334,0.16666666666666666,"[0.016666666666666663,0.8,0.8333333333333334,0.16666666666666666]",0.5521836546556852,0.8918478747125599,"[0.5521836546556852,0.8918478747125599]",2
19,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.5833333333333334,0.8571428571428571,0.125,0.875,"[0.5833333333333334,0.8571428571428571,0.125,0.875]",-0.5620456220729623,0.9488039193199268,"[-0.5620456220729623,0.9488039193199268]",1
20,195b9f52-3731-37a7-2c74-19d11cb6,0.5,1.0,0.0,0.0,"[0.5,1.0,0.0,0.0]",-0.012944884868500484,0.2961177652994514,"[-0.012944884868500484,0.2961177652994514]",0
21,196bc15c-4aac-31e9-7c5d-3599ce10,0.125,0.0,0.2,0.0,"[0.125,0.0,0.2,0.0]",0.07143206443418416,0.13774793972004595,"[0.07143206443418416,0.13774793972004595]",0
22,1acb1c12-47e9-e408-eaf9-8167947a,0.0,1.0,1.0,0.0,"[0.0,1.0,1.0,0.0]",0.8074972332918323,0.9420299769067071,"[0.8074972332918323,0.9420299769067071]",2
23,1b1cd7ac-2f24-1493-5d7e-d7873af1,0.0,1.0,0.75,0.0,"[0.0,1.0,0.75,0.0]",0.6538624588616838,0.7757933143390072,"[0.6538624588616838,0.7757933143390072]",2
24,1beb31a1-0aea-018e-a7e1-82085ffa,0.25,1.0,0.0,0.0,"[0.25,1.0,0.0,0.0]",0.09000662535136886,0.2866005459676794,"[0.09000662535136886,0.2866005459676794]",0
25,1c09a110-d9c3-2442-9f5d-aee802c0,0.25,0.6666666666666666,0.25,0.75,"[0.25,0.6666666666666666,0.25,0.75]",-0.30413698423436974,0.8798864556589661,"[-0.30413698423436974,0.8798864556589661]",1
26,1cb07e56-7b73-0087-0a17-3e9c1f88,0.08333333333333333,0.8571428571428571,0.5,0.5,"[0.08333333333333333,0.8571428571428571,0.5,0.5]",0.1160390627580698,0.9194192965068214,"[0.1160390627580698,0.9194192965068214]",1
27,1d3ed189-1162-0dd0-bcb2-fda83a50,0.0,0.8,0.8333333333333334,0.0,"[0.0,0.8,0.8333333333333334,0.0]",0.6664824232241524,0.7757888698677257,"[0.6664824232241524,0.7757888698677257]",2
28,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.125,0.75,0.4,0.6,"[0.125,0.75,0.4,0.6]",-0.04770871873698118,0.8940780495529144,"[-0.04770871873698118,0.8940780495529144]",1
