,users,intensityNormalized,order,freq,catchingUpRatio,pcaInput,_1,_2,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.125,0.25,0.4,0.6,"[0.125,0.25,0.4,0.6]",-0.3321858973560018,0.18535113678727885,"[-0.3321858973560018,0.18535113678727885]","[8.00098586096147e-06,0.9999919990141377,6.808306114609759e-16,6.80830611460975e-16]",1
1,037820a7-a143-422c-3ebd-3553d373,0.5,0.5,0.14285714285714285,0.8571428571428571,"[0.5,0.5,0.14285714285714285,0.8571428571428571]",-0.8548584596821058,0.41499484498756556,"[-0.8548584596821058,0.41499484498756556]","[0.21646067451120773,0.7835393254886208,1.7043251385788902e-13,1.0031510655522604e-15]",1
2,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091,"[0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091]",-1.1419961710221356,0.9249165010432264,"[-1.1419961710221356,0.9249165010432264]","[8.613794396650307e-07,8.386920066235976e-06,0.9994842272484697,0.0005065244520242893]",2
3,0e59235e-e51a-a5cd-e0ba-0fffe847,0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091,"[0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091]",-1.1419961710221356,0.9249165010432264,"[-1.1419961710221356,0.9249165010432264]","[8.613794396650307e-07,8.386920066235976e-06,0.9994842272484697,0.0005065244520242893]",2
4,1459b8fd-ecab-4e30-1fc9-3d649648,0.5,0.3333333333333333,0.14285714285714285,0.8571428571428571,"[0.5,0.3333333333333333,0.14285714285714285,0.8571428571428571]",-0.8433146929976301,0.2507012814386884,"[-0.8433146929976301,0.2507012814386884]","[0.0014486565610093121,0.9985513434389891,8.135602816862747e-16,8.135602816329251e-16]",1
5,1496b095-5b5f-4c47-5066-49bcf5d6,0.25,1.0,0.25,0.75,"[0.25,1.0,0.25,0.75]",-0.6241780690542215,0.9074366773841558,"[-0.6241780690542215,0.9074366773841558]","[0.001135432301265898,0.0017255355456931888,5.388810570495e-07,0.9971384932719839]",3
6,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.08333333333333333,0.6666666666666666,0.25,0.5,"[0.08333333333333333,0.6666666666666666,0.25,0.5]",-0.3319282091316923,0.6014802620850669,"[-0.3319282091316923,0.6014802620850669]","[0.7841283058318878,0.21587169416800084,1.1124243323815266e-13,1.1114211514746648e-16]",0
7,16ba8f74-d9b7-c724-98c5-f31f43be,0.016666666666666663,0.8,0.8333333333333334,0.16666666666666666,"[0.016666666666666663,0.8,0.8333333333333334,0.16666666666666666]",0.17557137175901238,0.7973649154776238,"[0.17557137175901238,0.7973649154776238]","[0.9292329377922617,0.07076706220773761,3.8119924078875535e-16,3.811992407887585e-16]",0
8,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.5833333333333334,0.8571428571428571,0.125,0.875,"[0.5833333333333334,0.8571428571428571,0.125,0.875]",-0.9481454112716587,0.7704311606726503,"[-0.9481454112716587,0.7704311606726503]","[0.012288132939905475,0.004164763178802295,0.9835471035483279,3.3296433782087664e-10]",2
9,1c09a110-d9c3-2442-9f5d-aee802c0,0.25,0.6666666666666666,0.25,0.75,"[0.25,0.6666666666666666,0.25,0.75]",-0.60109053568527,0.5788495502864015,"[-0.60109053568527,0.5788495502864015]","[0.7645011607385935,0.235498641108254,1.9815315215584767e-07,1.875791516677739e-16]",0
10,1cb07e56-7b73-0087-0a17-3e9c1f88,0.08333333333333333,0.8571428571428571,0.5,0.5,"[0.08333333333333333,0.8571428571428571,0.5,0.5]",-0.23853973611333054,0.7986449850027193,"[-0.23853973611333054,0.7986449850027193]","[0.8672581837128971,0.13274181628710252,2.29573888876938e-16,2.3092181175360114e-16]",0
11,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.125,0.75,0.4,0.6,"[0.125,0.75,0.4,0.6]",-0.366817197409429,0.6782318274339103,"[-0.366817197409429,0.6782318274339103]","[0.8680010216816698,0.13199897831407081,4.259245399826108e-12,1.0496913030039654e-16]",0
12,1f7f3fd7-7087-1461-cf43-9add2172,0.027777777777777773,0.6666666666666666,0.75,0.25,"[0.027777777777777773,0.6666666666666666,0.75,0.25]",0.08551229966507881,0.6517270383771164,"[0.08551229966507881,0.6517270383771164]","[0.8599135040628082,0.14008649593719125,2.7806996082135853e-16,2.7806996082135853e-16]",0
13,20e2fc85-7d0f-8a2c-b651-4b811a97,0.08333333333333333,0.4,0.3333333333333333,0.16666666666666666,"[0.08333333333333333,0.4,0.3333333333333333,0.16666666666666666]",-0.04881699638574151,0.3895479207271834,"[-0.04881699638574151,0.3895479207271834]","[0.017720027727404216,0.9822799722725937,1.0472639668379545e-15,1.0472639668369063e-15]",1
14,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,0.9166666666666666,0.9090909090909092,0.08333333333333333,0.9166666666666666,"[0.9166666666666666,0.9090909090909092,0.08333333333333333,0.9166666666666666]",-1.192799833975631,0.8405415845280878,"[-1.192799833975631,0.8405415845280878]","[8.069642759799504e-05,0.0001195838627689872,0.7992932013397295,0.20050651836990352]",2
15,258d2e1f-e3e8-2612-8285-895fb96d,0.027777777777777773,1.0,0.75,0.25,"[0.027777777777777773,1.0,0.75,0.25]",0.06242476629612734,0.9803141654748708,"[0.06242476629612734,0.9803141654748708]","[0.013076582836565166,0.01016722101168861,1.2650145681637905e-16,0.9767561961517461]",3
16,269144fa-ef0e-c81e-52ff-df9a348a,0.1875,0.8333333333333334,0.2307692307692308,0.6923076923076923,"[0.1875,0.8333333333333334,0.2307692307692308,0.6923076923076923]",-0.5446809691169179,0.7457354185738393,"[-0.5446809691169179,0.7457354185738393]","[0.8506183164381471,0.14937858502504664,3.0985368060521823e-06,3.4379772116214673e-16]",0
17,31a88be4-13ad-06c2-119c-3551a490,0.3333333333333333,1.0,0.1,0.2,"[0.3333333333333333,1.0,0.1,0.2]",-0.3587520508453801,0.9872836470132567,"[-0.3587520508453801,0.9872836470132567]","[0.004697182943772619,0.01928381402422908,3.3632695536345547e-16,0.9760190030319981]",3
18,3447bacb-f54d-55c2-592f-3a3ff765,0.25,1.0,0.25,0.75,"[0.25,1.0,0.25,0.75]",-0.6241780690542215,0.9074366773841558,"[-0.6241780690542215,0.9074366773841558]","[0.001135432301265898,0.0017255355456931888,5.388810570495e-07,0.9971384932719839]",3
19,35813a40-7aa6-5336-237b-c93f1759,0.5833333333333334,0.8571428571428571,0.0,0.875,"[0.5833333333333334,0.8571428571428571,0.0,0.875]",-1.0014360858862543,0.7657308355274681,"[-1.0014360858862543,0.7657308355274681]","[0.009421595956324831,0.0032408426198794935,0.9873375610315788,3.922169013536535e-10]",2
20,35ce5334-aefb-9a61-d1c3-7f01a776,0.5833333333333334,1.0,0.125,0.875,"[0.5833333333333334,1.0,0.125,0.875]",-0.9580400684297808,0.9112542151431163,"[-0.9580400684297808,0.9112542151431163]","[3.5035461299925876e-05,0.00014375405048261492,0.7983050706449392,0.20151613984327818]",2
21,367365a7-8d2a-3b00-f3e3-f877be3c,0.20833333333333331,0.8333333333333334,0.2857142857142857,0.7142857142857143,"[0.20833333333333331,0.8333333333333334,0.2857142857142857,0.7142857142857143]",-0.5485287657233376,0.7463023642191775,"[-0.5485287657233376,0.7463023642191775]","[0.8497780782007718,0.15021791678590146,4.0050133263801145e-06,3.538525603517385e-16]",0
22,3681eecc-7864-c1c1-0024-4d4234be,0.75,1.0,0.1,0.9,"[0.75,1.0,0.1,0.9]",-1.0832085328985626,0.9199510102162988,"[-1.0832085328985626,0.9199510102162988]","[1.994880536638939e-06,1.4402486059357443e-05,0.9962869266970039,0.0036966759364000985]",2
23,37ada581-75c2-560e-2eb3-3db3a231,0.3333333333333333,0.5,0.2,0.8,"[0.3333333333333333,0.5,0.2,0.8]",-0.693893536454183,0.4121163580804135,"[-0.693893536454183,0.4121163580804135]","[0.14898905603724624,0.8510109439624822,2.7105281945935413e-13,4.650924371326729e-16]",1
24,37d73652-37e1-cc5f-6c84-3b9a528c,0.016666666666666663,0.8,0.8333333333333334,0.16666666666666666,"[0.016666666666666663,0.8,0.8333333333333334,0.16666666666666666]",0.17557137175901238,0.7973649154776238,"[0.17557137175901238,0.7973649154776238]","[0.9292329377922617,0.07076706220773761,3.8119924078875535e-16,3.811992407887585e-16]",0
25,380773a6-f975-22c8-187e-e40fe702,0.027777777777777773,0.6666666666666666,0.75,0.25,"[0.027777777777777773,0.6666666666666666,0.75,0.25]",0.08551229966507881,0.6517270383771164,"[0.08551229966507881,0.6517270383771164]","[0.8599135040628082,0.14008649593719125,2.7806996082135853e-16,2.7806996082135853e-16]",0
26,3c370e25-1bd5-c34b-ec40-31117752,0.25,0.3333333333333333,0.25,0.75,"[0.25,0.3333333333333333,0.25,0.75]",-0.5780030023163185,0.2502624231886473,"[-0.5780030023163185,0.2502624231886473]","[0.00048475365883337467,0.9995152463411657,3.831571896917228e-16,3.831571869066595e-16]",1
27,3d524e1d-934c-6d53-022b-983c91c3,0.05555555555555556,1.0,0.4,0.2,"[0.05555555555555556,1.0,0.4,0.2]",-0.06864314123237855,0.9765275175800543,"[-0.06864314123237855,0.9765275175800543]","[0.004859091605041966,0.005550409718998738,5.345455993664882e-17,0.9895904986759594]",3
28,3d7d0f75-dda5-644d-e527-018ff340,0.14583333333333334,0.7,0.09090909090909093,0.09090909090909091,"[0.14583333333333334,0.7,0.09090909090909093,0.09090909090909091]",-0.15737354869872555,0.6919833600398138,"[-0.15737354869872555,0.6919833600398138]","[0.8852639508018192,0.11473604919818069,1.0372144302617823e-16,1.0371508298537878e-16]",0
29,3dc06a27-afe4-b105-1f3c-997851c7,0.2222222222222222,0.7,0.18181818181818185,0.7272727272727273,"[0.2222222222222222,0.7,0.18181818181818185,0.7272727272727273]",-0.6006243868280751,0.610200108999518,"[-0.6006243868280751,0.610200108999518]","[0.8135642409188534,0.18643467165981012,1.0874213363760173e-06,1.8136956581304182e-16]",0
30,3fc2e2fe-697a-3255-1a17-4204819d,0.08333333333333333,0.7142857142857143,0.5,0.5,"[0.08333333333333333,0.7142857142857143,0.5,0.5]",-0.2286450789552085,0.6578219305322532,"[-0.2286450789552085,0.6578219305322532]","[0.8594099850194139,0.14059001498058565,1.1701497548102344e-16,9.765598728868846e-17]",0
31,4196e8ee-e405-a1e1-4a7f-7d9149a5,0.25,1.0,0.25,0.75,"[0.25,1.0,0.25,0.75]",-0.6241780690542215,0.9074366773841558,"[-0.6241780690542215,0.9074366773841558]","[0.001135432301265898,0.0017255355456931888,5.388810570495e-07,0.9971384932719839]",3
32,42779e7e-90bc-7eac-5aa8-a9874f90,0.047619047619047616,1.0,0.3636363636363637,0.2727272727272727,"[0.047619047619047616,1.0,0.3636363636363637,0.2727272727272727]",-0.1294997989226798,0.9641006020407424,"[-0.1294997989226798,0.9641006020407424]","[0.004951219815317225,0.005367612552600931,4.4351523243121184e-17,0.9896811676320818]",3
