,users,intensityNormalized,order,freq,features,probability,prediction
0,Aleksandra,0.4166666666666667,0.9090909090909092,0.0,"[0.4166666666666667,0.9090909090909092,0.0]","[1.6914067857688216e-17,0.9995580936198438,0.00044190638015621244,1.6914067857688216e-17]",1
1,alma,0.2916666666666667,1.0,0.0,"[0.2916666666666667,1.0,0.0]","[0.9999999998835463,2.873835654037801e-23,1.1645368979312057e-10,2.873835654037801e-23]",0
2,AndrejaN,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.9999999999292734,2.9842366377881477e-23,7.072664830047985e-11,2.9842366377881477e-23]",0
3,anja menih,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.9999999999292734,2.9842366377881477e-23,7.072664830047985e-11,2.9842366377881477e-23]",0
4,anja.r,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.9999999999292734,2.9842366377881477e-23,7.072664830047985e-11,2.9842366377881477e-23]",0
5,Annie Cornu,0.9166666666666666,1.0,0.0,"[0.9166666666666666,1.0,0.0]","[1.0,2.8180322795125286e-22,2.8180333838721223e-22,2.8180322795125286e-22]",0
6,babao,0.0972222222222222,0.5833333333333334,0.0,"[0.0972222222222222,0.5833333333333334,0.0]","[6.187842891334952e-16,6.187842891334952e-16,0.9999999999999981,6.187842891334952e-16]",2
7,Bor,0.5833333333333334,0.8571428571428571,0.0,"[0.5833333333333334,0.8571428571428571,0.0]","[6.465979791120817e-29,6.465979791120817e-29,2.9021818505455034e-19,1.0]",3
8,BorutKolar,0.08333333333333333,1.0,0.0,"[0.08333333333333333,1.0,0.0]","[0.9999999999998376,4.39953125076646e-23,1.6243118960470647e-13,4.39953125076646e-23]",0
9,David Sirk,0.2222222222222222,1.0,0.0,"[0.2222222222222222,1.0,0.0]","[0.9999999999595682,3.100805882767532e-23,4.043182566676555e-11,3.100805882767532e-23]",0
10,Dra��en Kralj,0.25,0.9090909090909092,0.0,"[0.25,0.9090909090909092,0.0]","[1.6898996370135482e-17,0.9971762734462776,0.002823726553722433,1.6898996370135482e-17]",1
11,Gaja,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.9999999999292734,2.9842366377881477e-23,7.072664830047985e-11,2.9842366377881477e-23]",0
12,Hrvoje Petek,0.25,0.9090909090909092,0.0,"[0.25,0.9090909090909092,0.0]","[1.6898996370135482e-17,0.9971762734462776,0.002823726553722433,1.6898996370135482e-17]",1
13,Ivana Kozina,0.2777777777777777,0.9166666666666666,0.0,"[0.2777777777777777,0.9166666666666666,0.0]","[1.2449610615635676e-17,0.9981230638987844,0.0018769361012157296,1.2449610615635676e-17]",1
14,Jelenaa,0.4166666666666667,0.9090909090909092,0.0,"[0.4166666666666667,0.9090909090909092,0.0]","[1.6914067857688216e-17,0.9995580936198438,0.00044190638015621244,1.6914067857688216e-17]",1
15,Jolanda,0.6666666666666666,1.0,0.0,"[0.6666666666666666,1.0,0.0]","[0.9999999999999999,5.956829983990286e-23,1.0925386380570234e-16,5.956829983990286e-23]",0
16,Katja De Faveri,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.9999999999292734,2.9842366377881477e-23,7.072664830047985e-11,2.9842366377881477e-23]",0
17,Kopacin,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.9999999999292734,2.9842366377881477e-23,7.072664830047985e-11,2.9842366377881477e-23]",0
18,Ksenija,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.9999999999292734,2.9842366377881477e-23,7.072664830047985e-11,2.9842366377881477e-23]",0
19,Lejla,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.9999999999292734,2.9842366377881477e-23,7.072664830047985e-11,2.9842366377881477e-23]",0
20,Marco,0.2777777777777777,0.8333333333333334,0.0,"[0.2777777777777777,0.8333333333333334,0.0]","[6.063475948107172e-16,6.063475948107172e-16,0.9999999999999982,6.063475948107172e-16]",2
21,Maru��aaaa,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.9999999999292734,2.9842366377881477e-23,7.072664830047985e-11,2.9842366377881477e-23]",0
22,Matea Pavicic,0.08333333333333333,1.0,0.0,"[0.08333333333333333,1.0,0.0]","[0.9999999999998376,4.39953125076646e-23,1.6243118960470647e-13,4.39953125076646e-23]",0
23,miranF,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,5.7199620587386645e-22,5.719962058742896e-22,5.7199620587386645e-22]",0
24,Nada,0.9166666666666666,1.0,0.0,"[0.9166666666666666,1.0,0.0]","[1.0,2.8180322795125286e-22,2.8180333838721223e-22,2.8180322795125286e-22]",0
25,Nikolaj,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.9999999999292734,2.9842366377881477e-23,7.072664830047985e-11,2.9842366377881477e-23]",0
26,Nina1,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.9999999999292734,2.9842366377881477e-23,7.072664830047985e-11,2.9842366377881477e-23]",0
27,NinaP,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]","[1.8708056836638046e-16,1.8708056836638046e-16,0.9999999999999994,1.8708056836638046e-16]",2
28,noordung,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[0.9999999998725146,2.833996974333426e-23,1.2748530715722501e-10,2.833996974333426e-23]",0
