,users,intensityNormalized,order,freq,features,prediction
0,Aleksandra,0.4166666666666667,0.9090909090909092,0.0,"[0.4166666666666667,0.9090909090909092,0.0]",2
1,alma,0.2916666666666667,1.0,0.0,"[0.2916666666666667,1.0,0.0]",0
2,AndrejaN,0.25,1.0,0.0,"[0.25,1.0,0.0]",0
3,anja menih,0.25,1.0,0.0,"[0.25,1.0,0.0]",0
4,anja.r,0.25,1.0,0.0,"[0.25,1.0,0.0]",0
5,Annie Cornu,0.9166666666666666,1.0,0.0,"[0.9166666666666666,1.0,0.0]",1
6,babao,0.0972222222222222,0.5833333333333334,0.0,"[0.0972222222222222,0.5833333333333334,0.0]",3
7,Bor,0.5833333333333334,0.8571428571428571,0.0,"[0.5833333333333334,0.8571428571428571,0.0]",2
8,BorutKolar,0.08333333333333333,1.0,0.0,"[0.08333333333333333,1.0,0.0]",0
9,David Sirk,0.2222222222222222,1.0,0.0,"[0.2222222222222222,1.0,0.0]",0
10,Dra��en Kralj,0.25,0.9090909090909092,0.0,"[0.25,0.9090909090909092,0.0]",0
11,Gaja,0.25,1.0,0.0,"[0.25,1.0,0.0]",0
12,Hrvoje Petek,0.25,0.9090909090909092,0.0,"[0.25,0.9090909090909092,0.0]",0
13,Ivana Kozina,0.2777777777777777,0.9166666666666666,0.0,"[0.2777777777777777,0.9166666666666666,0.0]",0
14,Jelenaa,0.4166666666666667,0.9090909090909092,0.0,"[0.4166666666666667,0.9090909090909092,0.0]",2
15,Jolanda,0.6666666666666666,1.0,0.0,"[0.6666666666666666,1.0,0.0]",2
16,Katja De Faveri,0.25,1.0,0.0,"[0.25,1.0,0.0]",0
17,Kopacin,0.25,1.0,0.0,"[0.25,1.0,0.0]",0
18,Ksenija,0.25,1.0,0.0,"[0.25,1.0,0.0]",0
19,Lejla,0.25,1.0,0.0,"[0.25,1.0,0.0]",0
20,Marco,0.2777777777777777,0.8333333333333334,0.0,"[0.2777777777777777,0.8333333333333334,0.0]",0
21,Maru��aaaa,0.25,1.0,0.0,"[0.25,1.0,0.0]",0
22,Matea Pavicic,0.08333333333333333,1.0,0.0,"[0.08333333333333333,1.0,0.0]",0
23,miranF,1.0,1.0,0.0,"[1.0,1.0,0.0]",1
24,Nada,0.9166666666666666,1.0,0.0,"[0.9166666666666666,1.0,0.0]",1
25,Nikolaj,0.25,1.0,0.0,"[0.25,1.0,0.0]",0
26,Nina1,0.25,1.0,0.0,"[0.25,1.0,0.0]",0
27,NinaP,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]",3
28,noordung,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",0
29,p2035e,0.125,1.0,0.0,"[0.125,1.0,0.0]",0
30,Paval,0.2777777777777777,1.0,0.0,"[0.2777777777777777,1.0,0.0]",0
31,poppy,0.1875,0.9166666666666666,0.0,"[0.1875,0.9166666666666666,0.0]",0
32,roman113,0.4166666666666667,1.0,0.0,"[0.4166666666666667,1.0,0.0]",2
33,Safet,0.13888888888888887,1.0,0.0,"[0.13888888888888887,1.0,0.0]",0
34,Spasic Vladimir,0.08333333333333333,1.0,0.0,"[0.08333333333333333,1.0,0.0]",0
35,stinfio,0.13333333333333333,0.9166666666666666,0.0,"[0.13333333333333333,0.9166666666666666,0.0]",0
36,Tone,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]",3
37,Toni Petkovic,0.0972222222222222,1.0,0.0,"[0.0972222222222222,1.0,0.0]",0
38,Valentin,0.4583333333333333,0.9166666666666666,0.0,"[0.4583333333333333,0.9166666666666666,0.0]",2
39,Vanda,0.125,0.75,0.0,"[0.125,0.75,0.0]",3
40,varga,0.11666666666666665,1.0,0.0,"[0.11666666666666665,1.0,0.0]",0
41,Vedran Nikolic,0.9166666666666666,1.0,0.0,"[0.9166666666666666,1.0,0.0]",1
42,��S,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]",3
