,users,intensityNormalized,order,freq,features,probability,prediction
0,AB,0.027777777777777773,1.0,0.75,"[0.027777777777777773,1.0,0.75]","[1.4341778116030739e-11,5.013409022720944e-07,0.9999994986357813,8.974541293024695e-12]",2
1,Albert,0.025000000000000005,0.9166666666666666,0.7692307692307693,"[0.025000000000000005,0.9166666666666666,0.7692307692307693]","[0.00010855409471181145,0.9998845289102758,1.4216054799269407e-17,6.916995012422657e-06]",1
2,Aleksander Valant,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]","[1.2426663703721035e-16,1.890239231003414e-21,0.9999999271002756,7.289972415509964e-08]",2
3,alenka dornik,0.04166666666666666,0.7272727272727273,0.4166666666666667,"[0.04166666666666666,0.7272727272727273,0.4166666666666667]","[0.00879845550410759,0.9786478128137207,1.0350622237729527e-17,0.012553731682171625]",1
4,Alenka Neudauer,0.007575757575757569,1.0,0.9166666666666666,"[0.007575757575757569,1.0,0.9166666666666666]","[7.564914063358842e-14,6.588714316341789e-07,0.9999993411284454,4.7355552395148435e-14]",2
5,alesj,0.05555555555555556,0.75,0.6,"[0.05555555555555556,0.75,0.6]","[0.0007887587457993726,0.9984661417450189,1.0541268296399233e-17,0.0007450995091818008]",1
6,alexhana,0.02083333333333333,0.75,0.4,"[0.02083333333333333,0.75,0.4]","[0.13619612203357395,0.79370622020289,5.5096003976956487e-17,0.07009765776353588]",1
7,alja,0.0119047619047619,1.0,0.875,"[0.0119047619047619,1.0,0.875]","[3.194863812691139e-13,6.856558199503543e-07,0.999999314343658,2.026671057263564e-13]",2
8,Alja��,0.00833333333333334,0.8,0.2727272727272727,"[0.00833333333333334,0.8,0.2727272727272727]","[0.8932293180719691,0.004038586469054084,8.169774797149013e-17,0.10273209545897662]",0
9,amanita.amanita,0.13333333333333333,0.3333333333333333,0.2307692307692308,"[0.13333333333333333,0.3333333333333333,0.2307692307692308]","[3.8722707958191084e-16,0.01427234538610015,3.872268977376538e-16,0.9857276546138991]",3
10,Ana Horvath,0.0,0.75,0.6,"[0.0,0.75,0.6]","[0.004966938473767433,0.9912832850296585,4.052481440084354e-17,0.0037497764965741106]",1
11,Ana Stadler,0.08333333333333333,1.0,0.25,"[0.08333333333333333,1.0,0.25]","[3.846117526443656e-08,8.72810166850686e-10,0.9999999495581359,1.1107878633086275e-08]",2
