,users,intensityNormalized,order,freq,features,prediction
0,AB,0.027777777777777773,1.0,0.75,"[0.027777777777777773,1.0,0.75]",0
1,Albert,0.025000000000000005,0.9166666666666666,0.7692307692307693,"[0.025000000000000005,0.9166666666666666,0.7692307692307693]",0
2,Aleksander Valant,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]",3
3,alenka dornik,0.04166666666666666,0.7272727272727273,0.4166666666666667,"[0.04166666666666666,0.7272727272727273,0.4166666666666667]",1
4,Alenka Neudauer,0.007575757575757569,1.0,0.9166666666666666,"[0.007575757575757569,1.0,0.9166666666666666]",0
5,alesj,0.05555555555555556,0.75,0.6,"[0.05555555555555556,0.75,0.6]",1
6,alexhana,0.02083333333333333,0.75,0.4,"[0.02083333333333333,0.75,0.4]",1
7,alja,0.0119047619047619,1.0,0.875,"[0.0119047619047619,1.0,0.875]",0
8,Alja��,0.00833333333333334,0.8,0.2727272727272727,"[0.00833333333333334,0.8,0.2727272727272727]",1
9,amanita.amanita,0.13333333333333333,0.3333333333333333,0.2307692307692308,"[0.13333333333333333,0.3333333333333333,0.2307692307692308]",2
10,Ana Horvath,0.0,0.75,0.6,"[0.0,0.75,0.6]",1
11,Ana Stadler,0.08333333333333333,1.0,0.25,"[0.08333333333333333,1.0,0.25]",1
12,AnaPetar,0.25,1.0,0.25,"[0.25,1.0,0.25]",3
13,AnBn,0.05952380952380953,1.0,0.5,"[0.05952380952380953,1.0,0.5]",1
14,Ando Saina,0.0,1.0,1.0,"[0.0,1.0,1.0]",0
15,Andra�� ��unkar,0.018518518518518528,0.9,0.8181818181818182,"[0.018518518518518528,0.9,0.8181818181818182]",0
16,andrea vlastelica,0.05952380952380953,0.7272727272727273,0.5,"[0.05952380952380953,0.7272727272727273,0.5]",1
17,andrea zavorovic,0.13888888888888887,0.2857142857142857,0.125,"[0.13888888888888887,0.2857142857142857,0.125]",2
18,Andrej_A,0.2222222222222222,0.9,0.2727272727272727,"[0.2222222222222222,0.9,0.2727272727272727]",3
19,Andro Zuanic,0.08333333333333333,0.6666666666666666,0.5,"[0.08333333333333333,0.6666666666666666,0.5]",2
20,andrzej,0.027777777777777773,0.6666666666666666,0.5,"[0.027777777777777773,0.6666666666666666,0.5]",2
21,ane,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]",3
22,Anela,0.08333333333333333,0.6666666666666666,0.25,"[0.08333333333333333,0.6666666666666666,0.25]",2
23,Ankica,0.375,1.0,0.09090909090909093,"[0.375,1.0,0.09090909090909093]",3
24,Annie,0.0,1.0,1.0,"[0.0,1.0,1.0]",0
25,ante vrataric,0.08333333333333333,1.0,0.3333333333333333,"[0.08333333333333333,1.0,0.3333333333333333]",1
26,anton jane��,0.10000000000000002,1.0,0.3636363636363637,"[0.10000000000000002,1.0,0.3636363636363637]",1
27,Anze-G,0.25,1.0,0.25,"[0.25,1.0,0.25]",3
28,Anzze99,0.04166666666666666,0.875,0.6666666666666666,"[0.04166666666666666,0.875,0.6666666666666666]",0
29,Apsirtgirl,0.033333333333333326,1.0,0.7142857142857143,"[0.033333333333333326,1.0,0.7142857142857143]",0
30,benjamin,0.4166666666666667,1.0,0.16666666666666666,"[0.4166666666666667,1.0,0.16666666666666666]",3
31,blaz02,0.4166666666666667,1.0,0.16666666666666666,"[0.4166666666666667,1.0,0.16666666666666666]",3
32,Bojan1825,0.04166666666666666,1.0,0.6666666666666666,"[0.04166666666666666,1.0,0.6666666666666666]",0
33,BORIS MREVLJE,0.25,1.0,0.0,"[0.25,1.0,0.0]",3
34,Bo��tjan M.,0.013888888888888895,1.0,0.7142857142857143,"[0.013888888888888895,1.0,0.7142857142857143]",0
35,BostjanH,0.1875,0.9166666666666666,0.0,"[0.1875,0.9166666666666666,0.0]",3
36,Bo��tjanK,0.006944444444444438,1.0,0.6153846153846154,"[0.006944444444444438,1.0,0.6153846153846154]",0
37,Branklo,0.027777777777777773,1.0,0.75,"[0.027777777777777773,1.0,0.75]",0
38,BrunoB,0.02380952380952382,0.875,0.6666666666666666,"[0.02380952380952382,0.875,0.6666666666666666]",0
39,Buda,0.16666666666666666,0.4,0.3333333333333333,"[0.16666666666666666,0.4,0.3333333333333333]",2
40,Buki,0.0,1.0,0.8,"[0.0,1.0,0.8]",0
41,chibu79,0.007575757575757569,1.0,0.9166666666666666,"[0.007575757575757569,1.0,0.9166666666666666]",0
42,Cromiza,0.14583333333333334,0.8,0.2727272727272727,"[0.14583333333333334,0.8,0.2727272727272727]",1
43,cvjetko,0.027777777777777773,1.0,0.6666666666666666,"[0.027777777777777773,1.0,0.6666666666666666]",0
44,Dalka,0.0119047619047619,0.5714285714285714,0.5,"[0.0119047619047619,0.5714285714285714,0.5]",2
45,Damir Mulalic,0.16666666666666666,1.0,0.16666666666666666,"[0.16666666666666666,1.0,0.16666666666666666]",3
46,damir.juretic,0.0,1.0,1.0,"[0.0,1.0,1.0]",0
47,Danilo4783,0.2222222222222222,1.0,0.09090909090909093,"[0.2222222222222222,1.0,0.09090909090909093]",3
48,Dario,0.16666666666666666,1.0,0.2222222222222222,"[0.16666666666666666,1.0,0.2222222222222222]",3
49,DarioR,0.11111111111111112,1.0,0.14285714285714285,"[0.11111111111111112,1.0,0.14285714285714285]",3
50,Darko Babic,0.025000000000000005,1.0,0.6923076923076923,"[0.025000000000000005,1.0,0.6923076923076923]",0
51,Dejan Adamic,0.025000000000000005,0.5833333333333334,0.6153846153846154,"[0.025000000000000005,0.5833333333333334,0.6153846153846154]",2
52,DejanJ,0.006944444444444438,0.9166666666666666,0.8461538461538461,"[0.006944444444444438,0.9166666666666666,0.8461538461538461]",0
53,delimir,0.2222222222222222,0.8,0.0,"[0.2222222222222222,0.8,0.0]",3
54,demirel,0.25,0.6666666666666666,0.25,"[0.25,0.6666666666666666,0.25]",2
