,users,intensityNormalized,order,freq,features,probability,prediction
0,0126c792-ca6a-61a6-a96a-42bf5fc1,0.125,0.75,0.0,"[0.125,0.75,0.0]","[3.7710887062832183e-16,0.9995391683455591,0.0004608316544404002]",1
1,012d8099-01c6-f99f-55ef-151df7a5,0.08333333333333333,0.4,0.0,"[0.08333333333333333,0.4,0.0]","[5.692994488808325e-16,0.0004556754684138061,0.9995443245315857]",2
2,01d960ae-5d88-45e9-e235-6f68599c,0.9166666666666666,1.0,0.0,"[0.9166666666666666,1.0,0.0]","[0.9999999987564235,1.2435762430682908e-09,1.2845921620686453e-16]",0
3,0f165b85-0670-e6ac-bf14-cf00655a,0.0972222222222222,1.0,0.0,"[0.0972222222222222,1.0,0.0]","[0.9717380717580331,0.028261918278699893,9.963267036480965e-09]",0
4,14b19a02-38a5-992d-2f4f-aebd2315,0.3333333333333333,0.0,0.0,"[0.3333333333333333,0.0,0.0]","[1.0020757475691881e-15,3.302256498492693e-11,0.9999999999669764]",2
5,25a03b67-3ce1-77fc-c715-72ba385a,0.08333333333333333,0.9090909090909092,0.0,"[0.08333333333333333,0.9090909090909092,0.0]","[5.957682930093653e-10,0.9999816208931089,1.8378511122718222e-05]",1
6,2888b741-780e-2c51-0772-617d7c33,0.4583333333333333,0.5833333333333334,0.0,"[0.4583333333333333,0.5833333333333334,0.0]","[2.2619281287118757e-15,0.9999999999994542,5.4351405601458e-13]",1
7,2c89fe15-af0e-a900-7384-29f556d1,0.4583333333333333,1.0,0.0,"[0.4583333333333333,1.0,0.0]","[0.9985635292256423,0.0014364707743576696,2.350718571146802e-17]",0
8,2fba9116-a20d-ea5f-3980-a0c4226c,0.125,1.0,0.0,"[0.125,1.0,0.0]","[0.9712161216502717,0.028783877223214967,1.1265134289651287e-09]",0
9,32c9bec6-bd73-18c6-9611-148b7b0e,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.981105688215287,0.018894311784709496,3.6012408737862846e-15]",0
10,3469f507-2f62-0e43-70e8-0c4bc6e3,0.4166666666666667,0.9090909090909092,0.0,"[0.4166666666666667,0.9090909090909092,0.0]","[5.193699249305616e-08,0.9999999480630061,1.5456318785023958e-15]",1
11,3db3466c-e5e5-3bc2-d72b-8fa46cd2,0.75,1.0,0.0,"[0.75,1.0,0.0]","[0.9999992591086017,7.408913982098227e-07,5.044077643982809e-17]",0
12,427905ff-8519-fc73-90ee-17ecae10,0.3333333333333333,0.75,0.0,"[0.3333333333333333,0.75,0.0]","[2.559359371270479e-16,0.9999999999863544,1.3645360118497921e-11]",1
13,461e7201-9b62-2da4-aca6-9bc7e2aa,0.4166666666666667,1.0,0.0,"[0.4166666666666667,1.0,0.0]","[0.9970928867663235,0.0029071132336765866,2.3052123209782545e-17]",0
14,4fa0f410-5265-9be6-be9d-778ee66d,0.3333333333333333,0.75,0.0,"[0.3333333333333333,0.75,0.0]","[2.559359371270479e-16,0.9999999999863544,1.3645360118497921e-11]",1
15,52656cee-d479-aed9-c14a-94a33208,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.981105688215287,0.018894311784709496,3.6012408737862846e-15]",0
16,54ec8d85-fcb4-2695-6332-e8c53e6e,0.75,1.0,0.0,"[0.75,1.0,0.0]","[0.9999992591086017,7.408913982098227e-07,5.044077643982809e-17]",0
17,57fbd139-416d-e97c-42e1-e3d21786,0.4166666666666667,1.0,0.0,"[0.4166666666666667,1.0,0.0]","[0.9970928867663235,0.0029071132336765866,2.3052123209782545e-17]",0
18,5a064204-6bd4-8b83-adec-4f0196a2,0.02083333333333333,1.0,0.0,"[0.02083333333333333,1.0,0.0]","[0.9782096604266515,0.021789121530779033,1.2180425695369024e-06]",0
19,5bb4be5d-066c-8d6b-ec52-55325830,0.08333333333333333,0.6666666666666666,0.0,"[0.08333333333333333,0.6666666666666666,0.0]","[1.2710118959129104e-15,0.9252930758729525,0.0747069241270463]",1
20,5de63720-f52d-3d98-8315-9cffae99,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[0.9910416278116717,0.008958372188328182,2.3713254367104082e-17]",0
21,6ba67821-cac2-1015-fa83-7a8546b6,0.14583333333333334,0.9,0.0,"[0.14583333333333334,0.9,0.0]","[6.874170875552408e-12,0.9999996880066933,3.119864325593362e-07]",1
22,6cb1567b-ce14-1c63-5c79-2d56cd65,0.6666666666666666,1.0,0.0,"[0.6666666666666666,1.0,0.0]","[0.9999896986899698,1.0301310030136654e-05,3.621854241736047e-17]",0
23,76223a87-2695-2b9d-ac3d-b8a7f469,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.9999999999709772,2.902254165897253e-11,2.3491016472340528e-16]",0
24,8095dea5-2414-2dd8-96a5-94762161,0.05555555555555556,0.5,0.0,"[0.05555555555555556,0.5,0.0]","[1.066535855000364e-15,0.013776589787656227,0.9862234102123427]",2
25,823fb65f-7880-5b1e-2c81-c7fdda61,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[0.9910416278116717,0.008958372188328182,2.3713254367104082e-17]",0
26,889c7103-b73e-f33a-594f-f207a4cd,0.8333333333333334,1.0,0.0,"[0.8333333333333334,1.0,0.0]","[0.9999999633832323,3.661676781996107e-08,7.692343646937624e-17]",0
27,8bdf5cb3-35c1-f6f1-e618-f641fcc2,0.2777777777777777,1.0,0.0,"[0.2777777777777777,1.0,0.0]","[0.9846360819743851,0.015363918025614745,1.3888571001990077e-16]",0
28,921196a3-13fa-e4ce-3af8-6cbdc712,0.19444444444444445,0.2222222222222222,0.0,"[0.19444444444444445,0.2222222222222222,0.0]","[3.1110006579348827e-16,7.177810667409861e-07,0.999999282218933]",2
29,979eea52-4e76-7700-5136-517b6799,0.14583333333333334,0.0,0.0,"[0.14583333333333334,0.0,0.0]","[3.1293027145169226e-15,4.274445984412954e-12,0.9999999999957224]",2
30,9f9f9fdf-92e7-af14-0692-647f88c2,0.5833333333333334,1.0,0.0,"[0.5833333333333334,1.0,0.0]","[0.9999015845120316,9.841548796838544e-05,2.847580581213684e-17]",0
