,users,intensityNormalized,order,freq,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.125,0.25,0.4,"[0.125,0.25,0.4]","[2.6920682155894277e-15,0.6872145309476781,0.31278546905231636,2.692068215589334e-15]",1
1,0064c3fd-7e6e-425c-f754-34b889c8,0.4166666666666667,1.0,0.0,"[0.4166666666666667,1.0,0.0]","[0.9873190103645189,0.012680989635481213,4.8343398021518673e-17,4.834339795621704e-17]",0
2,037820a7-a143-422c-3ebd-3553d373,0.5,0.5,0.14285714285714285,"[0.5,0.5,0.14285714285714285]","[0.22749361516487562,0.7725063848351233,5.078722881554045e-16,5.078722881554045e-16]",1
3,04745589-295d-158e-c6c0-ef24f730,0.0,1.0,1.0,"[0.0,1.0,1.0]","[4.075393879229708e-24,4.075393879229708e-24,9.020374851364287e-09,0.9999999909796251]",3
4,04a7d779-f053-b1a3-386e-82d69979,0.5,0.8333333333333334,0.0,"[0.5,0.8333333333333334,0.0]","[0.9920552879505043,0.007944712049495494,6.741812104332141e-17,6.741812104332141e-17]",0
5,068616a9-816f-e8e4-d737-6ddba1df,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]","[0.995834173140803,0.004150238679137398,1.558818005955247e-05,3.622494682846332e-17]",0
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.8333333333333334,1.0,0.09090909090909093,"[0.8333333333333334,1.0,0.09090909090909093]","[0.9999987602541723,1.239745827394056e-06,1.3386970183399314e-16,1.3386970183399314e-16]",0
7,0781bbba-c179-f93c-1116-8d684911,0.125,0.75,0.0,"[0.125,0.75,0.0]","[0.7901170935020425,0.0008282497515496582,0.20905465674640783,4.227378478938931e-17]",0
8,08ee9ac0-7656-2b25-ce41-b44d758e,0.0,1.0,1.0,"[0.0,1.0,1.0]","[4.075393879229708e-24,4.075393879229708e-24,9.020374851364287e-09,0.9999999909796251]",3
9,0a84077c-d3fa-56fc-803c-a863ca7e,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]","[0.995834173140803,0.004150238679137398,1.558818005955247e-05,3.622494682846332e-17]",0
10,0c9621b0-ff94-77e8-727f-5420882d,0.016666666666666663,1.0,0.5,"[0.016666666666666663,1.0,0.5]","[5.973806023277264e-17,6.158897601706064e-06,0.9999938411023982,5.973806023277264e-17]",2
11,0e59235e-e51a-a5cd-e0ba-0fffe847,0.8333333333333334,1.0,0.09090909090909093,"[0.8333333333333334,1.0,0.09090909090909093]","[0.9999987602541723,1.239745827394056e-06,1.3386970183399314e-16,1.3386970183399314e-16]",0
12,101c246c-3f77-d919-ca38-8d19141e,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.990618299024442,0.009380977540026494,7.234355315337447e-07,4.916362658210821e-17]",0
13,10355f7a-f86a-830c-cbf1-fb3c40b6,0.08333333333333333,0.6666666666666666,0.0,"[0.08333333333333333,0.6666666666666666,0.0]","[0.8812778608660704,0.00032268174829378285,0.11839945738563562,5.976828126873679e-17]",0
14,135b42ab-ac52-d14a-c37c-6ffeca28,0.5833333333333334,1.0,0.0,"[0.5833333333333334,1.0,0.0]","[0.9964819915040138,0.0035180084959858956,1.317276260696752e-16,1.317276260696752e-16]",0
15,1459b8fd-ecab-4e30-1fc9-3d649648,0.5,0.3333333333333333,0.14285714285714285,"[0.5,0.3333333333333333,0.14285714285714285]","[0.22863697502242317,0.7713630249775749,9.804004280077502e-16,9.804004280077502e-16]",1
16,1496b095-5b5f-4c47-5066-49bcf5d6,0.25,1.0,0.25,"[0.25,1.0,0.25]","[1.1051162323824487e-11,0.9999999708090666,2.9179882213740624e-08,6.747896105253403e-17]",1
17,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.08333333333333333,0.6666666666666666,0.25,"[0.08333333333333333,0.6666666666666666,0.25]","[5.98658076983322e-14,0.4204134412299616,0.5795865587699786,1.9604434663670783e-17]",2
18,16ba8f74-d9b7-c724-98c5-f31f43be,0.016666666666666663,0.8,0.8333333333333334,"[0.016666666666666663,0.8,0.8333333333333334]","[5.934929026547124e-24,5.93492947830458e-24,6.097367913802979e-08,0.999999939026321]",3
19,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.5833333333333334,0.8571428571428571,0.125,"[0.5833333333333334,0.8571428571428571,0.125]","[0.9389614782178841,0.06103852178211537,2.5956406008347813e-16,2.5956406008347813e-16]",0
20,195b9f52-3731-37a7-2c74-19d11cb6,0.5,1.0,0.0,"[0.5,1.0,0.0]","[0.9918462263934525,0.008153773606547298,7.036224437483842e-17,7.036224437483842e-17]",0
21,196bc15c-4aac-31e9-7c5d-3599ce10,0.125,0.0,0.2,"[0.125,0.0,0.2]","[1.0196204777895966e-07,0.9976896635416153,0.002310234496336074,9.657752979547998e-16]",1
22,1acb1c12-47e9-e408-eaf9-8167947a,0.0,1.0,1.0,"[0.0,1.0,1.0]","[4.075393879229708e-24,4.075393879229708e-24,9.020374851364287e-09,0.9999999909796251]",3
23,1b1cd7ac-2f24-1493-5d7e-d7873af1,0.0,1.0,0.75,"[0.0,1.0,0.75]","[1.674928749199156e-23,1.7005304205023287e-23,2.852268281955838e-07,0.9999997147731717]",3
24,1beb31a1-0aea-018e-a7e1-82085ffa,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.990618299024442,0.009380977540026494,7.234355315337447e-07,4.916362658210821e-17]",0
25,1c09a110-d9c3-2442-9f5d-aee802c0,0.25,0.6666666666666666,0.25,"[0.25,0.6666666666666666,0.25]","[3.152625301967041e-11,0.9999997481504439,2.5181802982047157e-07,3.2723973269545034e-17]",1
26,1cb07e56-7b73-0087-0a17-3e9c1f88,0.08333333333333333,0.8571428571428571,0.5,"[0.08333333333333333,0.8571428571428571,0.5]","[3.288166246671128e-17,6.7322886962539375e-06,0.9999932677113037,3.288166246671128e-17]",2
27,1d3ed189-1162-0dd0-bcb2-fda83a50,0.0,0.8,0.8333333333333334,"[0.0,0.8,0.8333333333333334]","[9.98336220384818e-17,9.983363285308957e-17,0.9999999999999996,9.98336220384818e-17]",2
28,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.125,0.75,0.4,"[0.125,0.75,0.4]","[1.2404554240711264e-16,0.03203549575526638,0.9679645042447333,1.2404554240711215e-16]",2
29,1d90b45b-4d8d-42a1-43cd-38e1a241,0.0,0.75,0.8,"[0.0,0.75,0.8]","[1.0328728729744908e-16,1.0329296281379154e-16,0.9999999999999996,1.0328728729744908e-16]",2
30,1e81aa64-c3c9-ee4f-ce3c-c4248be0,0.3333333333333333,0.0,0.0,"[0.3333333333333333,0.0,0.0]","[0.9964407258841245,0.0035592741138076203,2.065238396691473e-12,2.657313443585065e-15]",0
31,1f7f3fd7-7087-1461-cf43-9add2172,0.027777777777777773,0.6666666666666666,0.75,"[0.027777777777777773,0.6666666666666666,0.75]","[3.8104872628754066e-23,4.554151470460755e-23,3.7081160614850264e-07,0.9999996291883938]",3
