,users,intensityNormalized,order,freq,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.125,0.25,0.4,"[0.125,0.25,0.4]","[0.9999999999986484,1.3470247330400917e-12,2.2780812368914758e-15,2.2780812365834023e-15]",0
1,0064c3fd-7e6e-425c-f754-34b889c8,0.4166666666666667,1.0,0.0,"[0.4166666666666667,1.0,0.0]","[0.02951252325588314,2.6167096237034594e-17,2.60010065702044e-17,0.970487476744117]",3
2,0126c792-ca6a-61a6-a96a-42bf5fc1,0.125,0.75,0.0,"[0.125,0.75,0.0]","[0.15994137921469395,2.6234894908177022e-17,2.6234895037631198e-17,0.8400586207853059]",3
3,012d8099-01c6-f99f-55ef-151df7a5,0.08333333333333333,0.4,0.0,"[0.08333333333333333,0.4,0.0]","[0.013120876852062016,5.15405157164468e-17,2.2707092941885926e-08,0.9868791004408449]",3
4,01d960ae-5d88-45e9-e235-6f68599c,0.9166666666666666,1.0,0.0,"[0.9166666666666666,1.0,0.0]","[5.927660744925235e-16,0.16869473828474266,5.673729034317795e-16,0.8313052617152562]",3
5,037820a7-a143-422c-3ebd-3553d373,0.5,0.5,0.14285714285714285,"[0.5,0.5,0.14285714285714285]","[1.0251905047737655e-05,0.9999892972441412,4.9335991920655484e-17,4.508508110490692e-07]",1
6,04745589-295d-158e-c6c0-ef24f730,0.0,1.0,1.0,"[0.0,1.0,1.0]","[2.0919413378917108e-08,3.680227271600484e-18,0.9999999790805866,3.680227271600484e-18]",2
7,04a7d779-f053-b1a3-386e-82d69979,0.5,0.8333333333333334,0.0,"[0.5,0.8333333333333334,0.0]","[0.0007376887403993322,5.507414759073616e-15,2.7928545470902433e-17,0.9992623112595952]",3
8,068616a9-816f-e8e4-d737-6ddba1df,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]","[0.15987810723493143,1.8660665466586566e-17,1.8660665466561624e-17,0.8401218927650684]",3
9,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.8333333333333334,1.0,0.09090909090909093,"[0.8333333333333334,1.0,0.09090909090909093]","[4.825237085307701e-15,0.9980132277829283,1.192989833423654e-16,0.001986772217066794]",1
10,0781bbba-c179-f93c-1116-8d684911,0.125,0.75,0.0,"[0.125,0.75,0.0]","[0.15994137921469395,2.6234894908177022e-17,2.6234895037631198e-17,0.8400586207853059]",3
11,08ee9ac0-7656-2b25-ce41-b44d758e,0.0,1.0,1.0,"[0.0,1.0,1.0]","[2.0919413378917108e-08,3.680227271600484e-18,0.9999999790805866,3.680227271600484e-18]",2
