,users,intensityNormalized,order,freq,features,probability,prediction
0,AB,0.027777777777777773,1.0,0.75,"[0.027777777777777773,1.0,0.75]","[2.5959882092562403e-07,1.7254758185419093e-23,1.8511943096770957e-10,0.9999997402160596]",3
1,Albert,0.025000000000000005,0.9166666666666666,0.7692307692307693,"[0.025000000000000005,0.9166666666666666,0.7692307692307693]","[0.999642973833483,9.977249586806192e-18,0.0003570261665170877,8.832023313061761e-18]",0
2,Aleksander Valant,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]","[9.95873572438256e-23,2.788424845805636e-08,6.2405592658363765e-18,0.9999999721157516]",3
3,Aleksandra,0.4166666666666667,0.9090909090909092,0.0,"[0.4166666666666667,0.9090909090909092,0.0]","[7.423326042236517e-16,0.9930671662090852,0.006932833790913345,7.423326042236517e-16]",1
4,alenka dornik,0.04166666666666666,0.7272727272727273,0.4166666666666667,"[0.04166666666666666,0.7272727272727273,0.4166666666666667]","[0.7659200836643163,1.8223917093470252e-06,0.23407809394397447,1.0578196396638553e-17]",0
5,Alenka Neudauer,0.007575757575757569,1.0,0.9166666666666666,"[0.007575757575757569,1.0,0.9166666666666666]","[3.4592590170566715e-07,2.3693670328772422e-23,4.919728698805712e-12,0.9999996540691786]",3
6,alesj,0.05555555555555556,0.75,0.6,"[0.05555555555555556,0.75,0.6]","[0.7967251245725712,7.079035539374889e-11,0.2032748753566384,4.893257451120113e-17]",0
7,alexhana,0.02083333333333333,0.75,0.4,"[0.02083333333333333,0.75,0.4]","[0.2883190244271603,1.5176658981225545e-05,0.7116657989138584,4.5147773666636006e-17]",2
8,alja,0.0119047619047619,1.0,0.875,"[0.0119047619047619,1.0,0.875]","[3.5246930880697523e-07,1.924647018632694e-23,1.3273398214689539e-11,0.9999996475174179]",3
9,Alja��,0.00833333333333334,0.8,0.2727272727272727,"[0.00833333333333334,0.8,0.2727272727272727]","[0.00012763341329238487,0.005432794021854065,0.9944395725648533,1.595898542151359e-16]",2
10,alma,0.2916666666666667,1.0,0.0,"[0.2916666666666667,1.0,0.0]","[1.4244926625421175e-23,1.4996254580927616e-08,3.373929856813961e-08,0.9999999512644469]",3
11,amanita.amanita,0.13333333333333333,0.3333333333333333,0.2307692307692308,"[0.13333333333333333,0.3333333333333333,0.2307692307692308]","[6.688544500648449e-16,0.1504867277831664,0.8495132722168323,6.438667492756828e-16]",2
12,Ana Horvath,0.0,0.75,0.6,"[0.0,0.75,0.6]","[0.7252573699893459,9.286427453216984e-11,0.2747426299177898,6.665376298525499e-17]",0
13,Ana Stadler,0.08333333333333333,1.0,0.25,"[0.08333333333333333,1.0,0.25]","[5.208119626381075e-10,4.4287740569048157e-10,7.039054456201286e-08,0.999999928645766]",3
14,AnaPetar,0.25,1.0,0.25,"[0.25,1.0,0.25]","[7.827796814034896e-24,4.3057734621504145e-10,9.532795661119453e-09,0.999999990036627]",3
15,AnBn,0.05952380952380953,1.0,0.5,"[0.05952380952380953,1.0,0.5]","[2.8059911522115115e-08,3.093747905707858e-15,9.237363013036489e-09,0.9999999627027224]",3
16,Ando Saina,0.0,1.0,1.0,"[0.0,1.0,1.0]","[2.7853081740923644e-07,3.837456986470423e-23,5.656298977954339e-13,0.9999997214686169]",3
17,Andra�� ��unkar,0.018518518518518528,0.9,0.8181818181818182,"[0.018518518518518528,0.9,0.8181818181818182]","[0.9998401216383441,9.539410702415986e-18,0.0001598783616558799,9.531561916962806e-18]",0
18,andrea vlastelica,0.05952380952380953,0.7272727272727273,0.5,"[0.05952380952380953,0.7272727272727273,0.5]","[0.6580508071183325,3.9484232078415735e-08,0.34194915339743537,2.342184536177215e-17]",0
19,andrea zavorovic,0.13888888888888887,0.2857142857142857,0.125,"[0.13888888888888887,0.2857142857142857,0.125]","[9.420419128268443e-16,0.7812160400986108,0.21878395990138738,9.386349863712634e-16]",1
20,Andrej_A,0.2222222222222222,0.9,0.2727272727272727,"[0.2222222222222222,0.9,0.2727272727272727]","[2.0157723041236924e-16,0.00843004275375444,0.9915699572462451,2.015772304123626e-16]",2
21,AndrejaN,0.25,1.0,0.0,"[0.25,1.0,0.0]","[1.4934723589586522e-23,1.4406443965983957e-08,8.649441362499996e-08,0.9999998990991424]",3
22,Andro Zuanic,0.08333333333333333,0.6666666666666666,0.5,"[0.08333333333333333,0.6666666666666666,0.5]","[0.0018579025079503754,1.493099879280595e-07,0.9981419481820617,6.89227044515244e-17]",2
23,andrzej,0.027777777777777773,0.6666666666666666,0.5,"[0.027777777777777773,0.6666666666666666,0.5]","[0.5498908924247398,5.8583255439116466e-08,0.4501090489920049,2.9093877891346974e-17]",0
24,ane,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]","[9.95873572438256e-23,2.788424845805636e-08,6.2405592658363765e-18,0.9999999721157516]",3
25,Anela,0.08333333333333333,0.6666666666666666,0.25,"[0.08333333333333333,0.6666666666666666,0.25]","[0.08083640539864352,0.0034113028854785856,0.9157522917158779,2.883595590835958e-17]",2
26,anja menih,0.25,1.0,0.0,"[0.25,1.0,0.0]","[1.4934723589586522e-23,1.4406443965983957e-08,8.649441362499996e-08,0.9999998990991424]",3
27,anja.r,0.25,1.0,0.0,"[0.25,1.0,0.0]","[1.4934723589586522e-23,1.4406443965983957e-08,8.649441362499996e-08,0.9999998990991424]",3
28,Ankica,0.375,1.0,0.09090909090909093,"[0.375,1.0,0.09090909090909093]","[1.3702555194091947e-23,1.350566400801635e-08,3.9849691849793343e-10,0.9999999860958391]",3
29,Annie,0.0,1.0,1.0,"[0.0,1.0,1.0]","[2.7853081740923644e-07,3.837456986470423e-23,5.656298977954339e-13,0.9999997214686169]",3
30,Annie Cornu,0.9166666666666666,1.0,0.0,"[0.9166666666666666,1.0,0.0]","[4.886206872904203e-20,1.4282883582997004e-06,4.886206872904203e-20,0.9999985717116416]",3
31,ante vrataric,0.08333333333333333,1.0,0.3333333333333333,"[0.08333333333333333,1.0,0.3333333333333333]","[1.5966558919614213e-09,2.0977934709850873e-11,4.62211539961686e-08,0.9999999521612121]",3
32,anton jane��,0.10000000000000002,1.0,0.3636363636363637,"[0.10000000000000002,1.0,0.3636363636363637]","[1.7060807931902071e-10,5.403803733083107e-12,3.6872466684163544e-08,0.9999999629515214]",3
33,Anze-G,0.25,1.0,0.25,"[0.25,1.0,0.25]","[7.827796814034896e-24,4.3057734621504145e-10,9.532795661119453e-09,0.999999990036627]",3
34,Anzze99,0.04166666666666666,0.875,0.6666666666666666,"[0.04166666666666666,0.875,0.6666666666666666]","[0.9959714119477312,2.2746768998716683e-14,0.0040285880522460535,7.70781808763553e-18]",0
35,Apsirtgirl,0.033333333333333326,1.0,0.7142857142857143,"[0.033333333333333326,1.0,0.7142857142857143]","[2.1030641579964762e-07,1.73778253300693e-22,3.5887752389148047e-10,0.9999997893347068]",3
36,babao,0.0972222222222222,0.5833333333333334,0.0,"[0.0972222222222222,0.5833333333333334,0.0]","[0.014183611282769243,0.2835939429813311,0.7022224457358991,4.07317789422311e-16]",2
37,benjamin,0.4166666666666667,1.0,0.16666666666666666,"[0.4166666666666667,1.0,0.16666666666666666]","[1.7396252559351956e-23,5.452102359723636e-09,7.337792070663136e-12,0.9999999945405598]",3
38,blaz02,0.4166666666666667,1.0,0.16666666666666666,"[0.4166666666666667,1.0,0.16666666666666666]","[1.7396252559351956e-23,5.452102359723636e-09,7.337792070663136e-12,0.9999999945405598]",3
39,Bojan1825,0.04166666666666666,1.0,0.6666666666666666,"[0.04166666666666666,1.0,0.6666666666666666]","[1.3940037147079292e-07,1.141799575279545e-20,8.165383188065255e-10,0.9999998597830903]",3
40,Bor,0.5833333333333334,0.8571428571428571,0.0,"[0.5833333333333334,0.8571428571428571,0.0]","[1.1517016862297894e-15,0.9999999973890428,2.610954953468168e-09,1.1517016862297894e-15]",1
41,BORIS MREVLJE,0.25,1.0,0.0,"[0.25,1.0,0.0]","[1.4934723589586522e-23,1.4406443965983957e-08,8.649441362499996e-08,0.9999998990991424]",3
42,BorutKolar,0.08333333333333333,1.0,0.0,"[0.08333333333333333,1.0,0.0]","[2.5789152371069437e-13,1.7059770504848102e-08,4.484329732031402e-08,0.9999999380966743]",3
43,Bo��tjan M.,0.013888888888888895,1.0,0.7142857142857143,"[0.013888888888888895,1.0,0.7142857142857143]","[1.1550106944610485e-07,1.781058070048636e-22,3.966906810568056e-10,0.9999998841022398]",3
44,BostjanH,0.1875,0.9166666666666666,0.0,"[0.1875,0.9166666666666666,0.0]","[1.3940909974631593e-13,0.06600444440977278,0.9339955555900876,6.96003385030311e-17]",2
45,Bo��tjanK,0.006944444444444438,1.0,0.6153846153846154,"[0.006944444444444438,1.0,0.6153846153846154]","[4.775363425329293e-09,8.450352909087077e-19,1.863584517567843e-09,0.9999999933610519]",3
46,Branklo,0.027777777777777773,1.0,0.75,"[0.027777777777777773,1.0,0.75]","[2.5959882092562403e-07,1.7254758185419093e-23,1.8511943096770957e-10,0.9999997402160596]",3
47,BrunoB,0.02380952380952382,0.875,0.6666666666666666,"[0.02380952380952382,0.875,0.6666666666666666]","[0.9973745025151182,1.3617695145846592e-14,0.00262549748486821,4.585129099074841e-18]",0
48,Buda,0.16666666666666666,0.4,0.3333333333333333,"[0.16666666666666666,0.4,0.3333333333333333]","[4.513818417760219e-16,0.006268328754957643,0.9937316712450414,4.513818417585833e-16]",2
49,Buki,0.0,1.0,0.8,"[0.0,1.0,0.8]","[1.0197416928191957e-07,1.3925654213430923e-23,7.971140227997874e-11,0.9999998979461193]",3
50,chibu79,0.007575757575757569,1.0,0.9166666666666666,"[0.007575757575757569,1.0,0.9166666666666666]","[3.4592590170566715e-07,2.3693670328772422e-23,4.919728698805712e-12,0.9999996540691786]",3
51,Cromiza,0.14583333333333334,0.8,0.2727272727272727,"[0.14583333333333334,0.8,0.2727272727272727]","[9.198726409402946e-09,0.0016756583597206515,0.9983243324415529,3.0504940974577856e-17]",2
52,cvjetko,0.027777777777777773,1.0,0.6666666666666666,"[0.027777777777777773,1.0,0.6666666666666666]","[1.4856719991456092e-07,1.1620267677216709e-20,8.746092669986127e-10,0.9999998505581909]",3
53,Dalka,0.0119047619047619,0.5714285714285714,0.5,"[0.0119047619047619,0.5714285714285714,0.5]","[0.011670320285382795,2.020546129619117e-07,0.988329477660004,7.744242881901805e-17]",2
54,Damir Mulalic,0.16666666666666666,1.0,0.16666666666666666,"[0.16666666666666666,1.0,0.16666666666666666]","[9.535848497647814e-19,3.372002844954459e-09,1.1180770926310428e-07,0.9999998848202879]",3
55,damir.juretic,0.0,1.0,1.0,"[0.0,1.0,1.0]","[2.7853081740923644e-07,3.837456986470423e-23,5.656298977954339e-13,0.9999997214686169]",3
