,users,intensityNormalized,order,freq,features,prediction
0,AB,0.027777777777777773,1.0,0.75,"[0.027777777777777773,1.0,0.75]",3
1,Albert,0.025000000000000005,0.9166666666666666,0.7692307692307693,"[0.025000000000000005,0.9166666666666666,0.7692307692307693]",3
2,Aleksander Valant,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]",1
3,Aleksandra,0.4166666666666667,0.9090909090909092,0.0,"[0.4166666666666667,0.9090909090909092,0.0]",1
4,alenka dornik,0.04166666666666666,0.7272727272727273,0.4166666666666667,"[0.04166666666666666,0.7272727272727273,0.4166666666666667]",2
5,Alenka Neudauer,0.007575757575757569,1.0,0.9166666666666666,"[0.007575757575757569,1.0,0.9166666666666666]",3
6,alesj,0.05555555555555556,0.75,0.6,"[0.05555555555555556,0.75,0.6]",2
7,alexhana,0.02083333333333333,0.75,0.4,"[0.02083333333333333,0.75,0.4]",2
8,alja,0.0119047619047619,1.0,0.875,"[0.0119047619047619,1.0,0.875]",3
9,Alja��,0.00833333333333334,0.8,0.2727272727272727,"[0.00833333333333334,0.8,0.2727272727272727]",0
10,alma,0.2916666666666667,1.0,0.0,"[0.2916666666666667,1.0,0.0]",1
11,amanita.amanita,0.13333333333333333,0.3333333333333333,0.2307692307692308,"[0.13333333333333333,0.3333333333333333,0.2307692307692308]",0
12,Ana Horvath,0.0,0.75,0.6,"[0.0,0.75,0.6]",2
13,Ana Stadler,0.08333333333333333,1.0,0.25,"[0.08333333333333333,1.0,0.25]",1
14,AnaPetar,0.25,1.0,0.25,"[0.25,1.0,0.25]",1
15,AnBn,0.05952380952380953,1.0,0.5,"[0.05952380952380953,1.0,0.5]",2
16,Ando Saina,0.0,1.0,1.0,"[0.0,1.0,1.0]",3
17,Andra�� ��unkar,0.018518518518518528,0.9,0.8181818181818182,"[0.018518518518518528,0.9,0.8181818181818182]",3
18,andrea vlastelica,0.05952380952380953,0.7272727272727273,0.5,"[0.05952380952380953,0.7272727272727273,0.5]",2
19,andrea zavorovic,0.13888888888888887,0.2857142857142857,0.125,"[0.13888888888888887,0.2857142857142857,0.125]",0
20,Andrej_A,0.2222222222222222,0.9,0.2727272727272727,"[0.2222222222222222,0.9,0.2727272727272727]",1
21,AndrejaN,0.25,1.0,0.0,"[0.25,1.0,0.0]",1
22,Andro Zuanic,0.08333333333333333,0.6666666666666666,0.5,"[0.08333333333333333,0.6666666666666666,0.5]",2
23,andrzej,0.027777777777777773,0.6666666666666666,0.5,"[0.027777777777777773,0.6666666666666666,0.5]",2
24,ane,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]",1
25,Anela,0.08333333333333333,0.6666666666666666,0.25,"[0.08333333333333333,0.6666666666666666,0.25]",0
26,anja menih,0.25,1.0,0.0,"[0.25,1.0,0.0]",1
27,anja.r,0.25,1.0,0.0,"[0.25,1.0,0.0]",1
28,Ankica,0.375,1.0,0.09090909090909093,"[0.375,1.0,0.09090909090909093]",1
29,Annie,0.0,1.0,1.0,"[0.0,1.0,1.0]",3
30,Annie Cornu,0.9166666666666666,1.0,0.0,"[0.9166666666666666,1.0,0.0]",1
31,ante vrataric,0.08333333333333333,1.0,0.3333333333333333,"[0.08333333333333333,1.0,0.3333333333333333]",1
32,anton jane��,0.10000000000000002,1.0,0.3636363636363637,"[0.10000000000000002,1.0,0.3636363636363637]",1
33,Anze-G,0.25,1.0,0.25,"[0.25,1.0,0.25]",1
34,Anzze99,0.04166666666666666,0.875,0.6666666666666666,"[0.04166666666666666,0.875,0.6666666666666666]",3
35,Apsirtgirl,0.033333333333333326,1.0,0.7142857142857143,"[0.033333333333333326,1.0,0.7142857142857143]",3
36,babao,0.0972222222222222,0.5833333333333334,0.0,"[0.0972222222222222,0.5833333333333334,0.0]",0
37,benjamin,0.4166666666666667,1.0,0.16666666666666666,"[0.4166666666666667,1.0,0.16666666666666666]",1
38,blaz02,0.4166666666666667,1.0,0.16666666666666666,"[0.4166666666666667,1.0,0.16666666666666666]",1
39,Bojan1825,0.04166666666666666,1.0,0.6666666666666666,"[0.04166666666666666,1.0,0.6666666666666666]",3
40,Bor,0.5833333333333334,0.8571428571428571,0.0,"[0.5833333333333334,0.8571428571428571,0.0]",1
41,BORIS MREVLJE,0.25,1.0,0.0,"[0.25,1.0,0.0]",1
42,BorutKolar,0.08333333333333333,1.0,0.0,"[0.08333333333333333,1.0,0.0]",1
43,Bo��tjan M.,0.013888888888888895,1.0,0.7142857142857143,"[0.013888888888888895,1.0,0.7142857142857143]",3
44,BostjanH,0.1875,0.9166666666666666,0.0,"[0.1875,0.9166666666666666,0.0]",1
45,Bo��tjanK,0.006944444444444438,1.0,0.6153846153846154,"[0.006944444444444438,1.0,0.6153846153846154]",3
46,Branklo,0.027777777777777773,1.0,0.75,"[0.027777777777777773,1.0,0.75]",3
47,BrunoB,0.02380952380952382,0.875,0.6666666666666666,"[0.02380952380952382,0.875,0.6666666666666666]",3
48,Buda,0.16666666666666666,0.4,0.3333333333333333,"[0.16666666666666666,0.4,0.3333333333333333]",0
49,Buki,0.0,1.0,0.8,"[0.0,1.0,0.8]",3
50,chibu79,0.007575757575757569,1.0,0.9166666666666666,"[0.007575757575757569,1.0,0.9166666666666666]",3
51,Cromiza,0.14583333333333334,0.8,0.2727272727272727,"[0.14583333333333334,0.8,0.2727272727272727]",0
52,cvjetko,0.027777777777777773,1.0,0.6666666666666666,"[0.027777777777777773,1.0,0.6666666666666666]",3
53,Dalka,0.0119047619047619,0.5714285714285714,0.5,"[0.0119047619047619,0.5714285714285714,0.5]",2
54,Damir Mulalic,0.16666666666666666,1.0,0.16666666666666666,"[0.16666666666666666,1.0,0.16666666666666666]",1
55,damir.juretic,0.0,1.0,1.0,"[0.0,1.0,1.0]",3
56,Danilo4783,0.2222222222222222,1.0,0.09090909090909093,"[0.2222222222222222,1.0,0.09090909090909093]",1
57,Dario,0.16666666666666666,1.0,0.2222222222222222,"[0.16666666666666666,1.0,0.2222222222222222]",1
58,DarioR,0.11111111111111112,1.0,0.14285714285714285,"[0.11111111111111112,1.0,0.14285714285714285]",1
