,users,intensityNormalized,order,freq,pcaInput,_1,_2,features,prediction
0,AB,0.027777777777777773,1.0,0.75,"[0.027777777777777773,1.0,0.75]",0.870485993843185,0.8764208566828258,"[0.870485993843185,0.8764208566828258]",3
1,Albert,0.025000000000000005,0.9166666666666666,0.7692307692307693,"[0.025000000000000005,0.9166666666666666,0.7692307692307693]",0.8741038944759105,0.7916563000427639,"[0.8741038944759105,0.7916563000427639]",3
2,Aleksander Valant,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]",0.11179018855120054,1.0445867108008449,"[0.11179018855120054,1.0445867108008449]",1
3,alenka dornik,0.04166666666666666,0.7272727272727273,0.4166666666666667,"[0.04166666666666666,0.7272727272727273,0.4166666666666667]",0.506450958152716,0.6588273414158196,"[0.506450958152716,0.6588273414158196]",0
4,Alenka Neudauer,0.007575757575757569,1.0,0.9166666666666666,"[0.007575757575757569,1.0,0.9166666666666666]",1.0319401872236993,0.84976436166273,"[1.0319401872236993,0.84976436166273]",3
5,alesj,0.05555555555555556,0.75,0.6,"[0.05555555555555556,0.75,0.6]",0.6766499935204302,0.6568998898993128,"[0.6766499935204302,0.6568998898993128]",2
6,alexhana,0.02083333333333333,0.75,0.4,"[0.02083333333333333,0.75,0.4]",0.5017376680200579,0.6805057715631193,"[0.5017376680200579,0.6805057715631193]",0
7,alja,0.0119047619047619,1.0,0.875,"[0.0119047619047619,1.0,0.875]",0.9918070788486686,0.8563259230150582,"[0.9918070788486686,0.8563259230150582]",3
8,Alja��,0.00833333333333334,0.8,0.2727272727272727,"[0.00833333333333334,0.8,0.2727272727272727]",0.39645744785311804,0.7458669546656128,"[0.39645744785311804,0.7458669546656128]",1
9,amanita.amanita,0.13333333333333333,0.3333333333333333,0.2307692307692308,"[0.13333333333333333,0.3333333333333333,0.2307692307692308]",0.23264917278272604,0.3125219940483833,"[0.23264917278272604,0.3125219940483833]",0
10,Ana Horvath,0.0,0.75,0.6,"[0.0,0.75,0.6]",0.6943938712179629,0.6490025848917417,"[0.6943938712179629,0.6490025848917417]",2
11,Ana Stadler,0.08333333333333333,1.0,0.25,"[0.08333333333333333,1.0,0.25]",0.38773649349232664,0.9556724049242432,"[0.38773649349232664,0.9556724049242432]",1
12,AnaPetar,0.25,1.0,0.25,"[0.25,1.0,0.25]",0.3345048603997284,0.9793643199469566,"[0.3345048603997284,0.9793643199469566]",1
13,AnBn,0.05952380952380953,1.0,0.5,"[0.05952380952380953,1.0,0.5]",0.6278438238322177,0.9166107240183611,"[0.6278438238322177,0.9166107240183611]",2
14,Ando Saina,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.1118607440186141,0.8367950825621171,"[1.1118607440186141,0.8367950825621171]",3
15,Andra�� ��unkar,0.018518518518518528,0.9,0.8181818181818182,"[0.018518518518518528,0.9,0.8181818181818182]",0.9186682145561219,0.7674241582012403,"[0.9186682145561219,0.7674241582012403]",3
16,andrea vlastelica,0.05952380952380953,0.7272727272727273,0.5,"[0.05952380952380953,0.7272727272727273,0.5]",0.5782485060016824,0.6494733870102312,"[0.5782485060016824,0.6494733870102312]",2
17,andrea zavorovic,0.13888888888888887,0.2857142857142857,0.125,"[0.13888888888888887,0.2857142857142857,0.125]",0.12384871105148895,0.28176286429041186,"[0.12384871105148895,0.28176286429041186]",0
18,Andrej_A,0.2222222222222222,0.9,0.2727272727272727,"[0.2222222222222222,0.9,0.2727272727272727]",0.3463284685888133,0.8742219358477425,"[0.3463284685888133,0.8742219358477425]",1
19,Andro Zuanic,0.08333333333333333,0.6666666666666666,0.5,"[0.08333333333333333,0.6666666666666666,0.5]",0.5596228052483351,0.5934940936307168,"[0.5596228052483351,0.5934940936307168]",2
20,andrzej,0.027777777777777773,0.6666666666666666,0.5,"[0.027777777777777773,0.6666666666666666,0.5]",0.5773666829458678,0.5855967886231457,"[0.5773666829458678,0.5855967886231457]",2
