,users,intensityNormalized,order,freq,pcaInput,_1,_2,features,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.125,0.25,0.4,"[0.125,0.25,0.4]",0.3618669088454512,0.22384892096849965,"[0.3618669088454512,0.22384892096849965]",0
1,0064c3fd-7e6e-425c-f754-34b889c8,0.4166666666666667,1.0,0.0,"[0.4166666666666667,1.0,0.0]",0.08552521529296153,1.072047209826335,"[0.08552521529296153,1.072047209826335]",1
2,037820a7-a143-422c-3ebd-3553d373,0.5,0.5,0.14285714285714285,"[0.5,0.5,0.14285714285714285]",0.04662276011254528,0.6106228917176225,"[0.04662276011254528,0.6106228917176225]",0
3,04745589-295d-158e-c6c0-ef24f730,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.1309208118180614,0.8125976002903509,"[1.1309208118180614,0.8125976002903509]",2
4,04a7d779-f053-b1a3-386e-82d69979,0.5,0.8333333333333334,0.0,"[0.5,0.8333333333333334,0.0]",0.007982200191088695,0.9419494589730129,"[0.007982200191088695,0.9419494589730129]",1
5,068616a9-816f-e8e4-d737-6ddba1df,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]",0.06852386702313423,0.7058659973173625,"[0.06852386702313423,0.7058659973173625]",0
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.8333333333333334,1.0,0.09090909090909093,"[0.8333333333333334,1.0,0.09090909090909093]",-0.0077361149328272205,1.1929868509626018,"[-0.0077361149328272205,1.1929868509626018]",1
7,0781bbba-c179-f93c-1116-8d684911,0.125,0.75,0.0,"[0.125,0.75,0.0]",0.14181654505755026,0.7444184450434416,"[0.14181654505755026,0.7444184450434416]",0
8,08ee9ac0-7656-2b25-ce41-b44d758e,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.1309208118180614,0.8125976002903509,"[1.1309208118180614,0.8125976002903509]",2
9,0a84077c-d3fa-56fc-803c-a863ca7e,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]",0.06852386702313423,0.7058659973173625,"[0.06852386702313423,0.7058659973173625]",0
10,0c9621b0-ff94-77e8-727f-5420882d,0.016666666666666663,1.0,0.5,"[0.016666666666666663,1.0,0.5]",0.6876217056675145,0.8813806213470042,"[0.6876217056675145,0.8813806213470042]",2
11,0e59235e-e51a-a5cd-e0ba-0fffe847,0.8333333333333334,1.0,0.09090909090909093,"[0.8333333333333334,1.0,0.09090909090909093]",-0.0077361149328272205,1.1929868509626018,"[-0.0077361149328272205,1.1929868509626018]",1
12,101c246c-3f77-d919-ca38-8d19141e,0.25,1.0,0.0,"[0.25,1.0,0.0]",0.15456755625992075,1.019054354425171,"[0.15456755625992075,1.019054354425171]",1
13,10355f7a-f86a-830c-cbf1-fb3c40b6,0.08333333333333333,0.6666666666666666,0.0,"[0.08333333333333333,0.6666666666666666,0.0]",0.13756620799009345,0.6528731419161985,"[0.13756620799009345,0.6528731419161985]",0
14,135b42ab-ac52-d14a-c37c-6ffeca28,0.5833333333333334,1.0,0.0,"[0.5833333333333334,1.0,0.0]",0.016482874326002345,1.125040065227499,"[0.016482874326002345,1.125040065227499]",1
15,1459b8fd-ecab-4e30-1fc9-3d649648,0.5,0.3333333333333333,0.14285714285714285,"[0.5,0.3333333333333333,0.14285714285714285]",0.003600915494152021,0.45402871316371834,"[0.003600915494152021,0.45402871316371834]",0
16,1496b095-5b5f-4c47-5066-49bcf5d6,0.25,1.0,0.25,"[0.25,1.0,0.25]",0.3727649922868462,0.9873124866669024,"[0.3727649922868462,0.9873124866669024]",1
17,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.08333333333333333,0.6666666666666666,0.25,"[0.08333333333333333,0.6666666666666666,0.25]",0.3557636440170189,0.62113127415793,"[0.3557636440170189,0.62113127415793]",0
18,16ba8f74-d9b7-c724-98c5-f31f43be,0.016666666666666663,0.8,0.8333333333333334,"[0.016666666666666663,0.8,0.8333333333333334]",0.9269254068280098,0.6511451167379614,"[0.9269254068280098,0.6511451167379614]",2
19,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.5833333333333334,0.8571428571428571,0.125,"[0.5833333333333334,0.8571428571428571,0.125]",0.0887057255236994,0.9749455497307324,"[0.0887057255236994,0.9749455497307324]",1
20,195b9f52-3731-37a7-2c74-19d11cb6,0.5,1.0,0.0,"[0.5,1.0,0.0]",0.05100404480948195,1.0985436375269169,"[0.05100404480948195,1.0985436375269169]",1
21,196bc15c-4aac-31e9-7c5d-3599ce10,0.125,0.0,0.2,"[0.125,0.0,0.2]",0.12277619309632096,0.014351147344258238,"[0.12277619309632096,0.014351147344258238]",0
22,1acb1c12-47e9-e408-eaf9-8167947a,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.1309208118180614,0.8125976002903509,"[1.1309208118180614,0.8125976002903509]",2
23,1b1cd7ac-2f24-1493-5d7e-d7873af1,0.0,1.0,0.75,"[0.0,1.0,0.75]",0.9127233757911358,0.8443394680486194,"[0.9127233757911358,0.8443394680486194]",2
24,1beb31a1-0aea-018e-a7e1-82085ffa,0.25,1.0,0.0,"[0.25,1.0,0.0]",0.15456755625992075,1.019054354425171,"[0.15456755625992075,1.019054354425171]",1
25,1c09a110-d9c3-2442-9f5d-aee802c0,0.25,0.6666666666666666,0.25,"[0.25,0.6666666666666666,0.25]",0.28672130305005966,0.6741241295590941,"[0.28672130305005966,0.6741241295590941]",0
26,1cb07e56-7b73-0087-0a17-3e9c1f88,0.08333333333333333,0.8571428571428571,0.5,"[0.08333333333333333,0.8571428571428571,0.5]",0.6231289024649651,0.7683541818898377,"[0.6231289024649651,0.7683541818898377]",2
27,1d3ed189-1162-0dd0-bcb2-fda83a50,0.0,0.8,0.8333333333333334,"[0.0,0.8,0.8333333333333334]",0.9338296409247058,0.645845831197845,"[0.9338296409247058,0.645845831197845]",2
28,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.125,0.75,0.4,"[0.125,0.75,0.4]",0.49093244270063097,0.693631456630212,"[0.49093244270063097,0.693631456630212]",0
29,1d90b45b-4d8d-42a1-43cd-38e1a241,0.0,0.75,0.8,"[0.0,0.75,0.8]",0.891830096068931,0.6030998266661094,"[0.891830096068931,0.6030998266661094]",2
30,1e81aa64-c3c9-ee4f-ce3c-c4248be0,0.3333333333333333,0.0,0.0,"[0.3333333333333333,0.0,0.0]",-0.13808468193391837,0.10598571080232806,"[-0.13808468193391837,0.10598571080232806]",0
31,1f7f3fd7-7087-1461-cf43-9add2172,0.027777777777777773,0.6666666666666666,0.75,"[0.027777777777777773,0.6666666666666666,0.75]",0.8151726297265227,0.5399832535076717,"[0.8151726297265227,0.5399832535076717]",2
32,1f96865d-62d4-b049-1788-cfccf324,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.1309208118180614,0.8125976002903509,"[1.1309208118180614,0.8125976002903509]",2
33,20e2fc85-7d0f-8a2c-b651-4b811a97,0.08333333333333333,0.4,0.3333333333333333,"[0.08333333333333333,0.4,0.3333333333333333]",0.3596611713032315,0.359999965885594,"[0.3596611713032315,0.359999965885594]",0
