,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,probability,prediction
0,Aleksandra,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]",-1.02864558897361,-0.0762325720710756,"[-1.02864558897361,-0.0762325720710756]","[0.9658412932086521,6.117451566101274e-17,0.03415870679134796]",0
1,alma,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",-0.7680854624266846,-0.07889214809969966,"[-0.7680854624266846,-0.07889214809969966]","[2.5761336554702878e-11,2.3407245340622233e-16,0.9999999999742385]",2
2,AndrejaN,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]","[1.0023615439698106e-18,0.9985253826736413,0.0014746173263587002]",1
3,anja menih,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]","[1.0023615439698106e-18,0.9985253826736413,0.0014746173263587002]",1
4,anja.r,0.9230769230769232,0.25,1.0,"[0.9230769230769232,0.25,1.0]",-0.9563151836078881,0.060238653340280834,"[-0.9563151836078881,0.060238653340280834]","[0.9601766245807387,9.170401198012875e-17,0.039823375419261224]",0
5,Annie Cornu,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]",-1.2523242970615223,-0.5316037264951448,"[-1.2523242970615223,-0.5316037264951448]","[0.9974813285835111,1.83119427136697e-16,0.0025186714164886874]",0
6,babao,1.0,0.0972222222222222,0.5833333333333334,"[1.0,0.0972222222222222,0.5833333333333334]",-0.9497271074593845,0.28257569337869615,"[-0.9497271074593845,0.28257569337869615]","[0.9976182003707628,1.1985690509847494e-16,0.00238179962923715]",0
7,Bor,0.6153846153846154,0.5833333333333334,0.8571428571428571,"[0.6153846153846154,0.5833333333333334,0.8571428571428571]",-0.8260521236422664,-0.35381534993647756,"[-0.8260521236422664,-0.35381534993647756]","[6.971801283406006e-16,4.915034472963376e-16,0.9999999999999988]",2
8,BorutKolar,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",-0.33103212985233155,-0.06417582556823959,"[-0.33103212985233155,-0.06417582556823959]","[7.975453256320187e-16,7.975453256320187e-16,0.9999999999999984]",2
9,David Sirk,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]",-0.8750713736233013,0.05085186826666807,"[-0.8750713736233013,0.05085186826666807]","[0.08660720258417225,8.791770514648093e-16,0.9133927974158268]",2
10,Dra��en Kralj,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]",-0.9546433106102015,0.07172802288778081,"[-0.9546433106102015,0.07172802288778081]","[0.9665592959880476,8.507548589193561e-17,0.03344070401195242]",0
11,Gaja,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]","[1.0023615439698106e-18,0.9985253826736413,0.0014746173263587002]",1
12,Hrvoje Petek,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]",-0.9546433106102015,0.07172802288778081,"[-0.9546433106102015,0.07172802288778081]","[0.9665592959880476,8.507548589193561e-17,0.03344070401195242]",0
13,Ivana Kozina,1.0,0.2777777777777777,0.9166666666666666,"[1.0,0.2777777777777777,0.9166666666666666]",-1.036026443344595,0.08015736049910184,"[-1.036026443344595,0.08015736049910184]","[0.991712046537745,6.281814964444183e-17,0.00828795346225495]",0
14,Jelenaa,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]",-1.02864558897361,-0.0762325720710756,"[-1.02864558897361,-0.0762325720710756]","[0.9658412932086521,6.117451566101274e-17,0.03415870679134796]",0
15,Jolanda,0.6923076923076923,0.6666666666666666,1.0,"[0.6923076923076923,0.6666666666666666,1.0]",-0.9345905887443539,-0.4118034867571265,"[-0.9345905887443539,-0.4118034867571265]","[1.8823882998396755e-09,1.1843452377825438e-15,0.9999999981176105]",2
16,Katja De Faveri,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]","[1.0023615439698106e-18,0.9985253826736413,0.0014746173263587002]",1
17,Kopacin,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]","[1.0023615439698106e-18,0.9985253826736413,0.0014746173263587002]",1
18,Ksenija,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]","[1.0023615439698106e-18,0.9985253826736413,0.0014746173263587002]",1
19,Lejla,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]","[1.0023615439698106e-18,0.9985253826736413,0.0014746173263587002]",1
20,Marco,1.0,0.2777777777777777,0.8333333333333334,"[1.0,0.2777777777777777,0.8333333333333334]",-1.0344938930967154,0.09068928258431014,"[-1.0344938930967154,0.09068928258431014]","[0.9918761773321182,6.829461500789887e-17,0.008123822667881808]",0
21,Maru��aaaa,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]","[1.0023615439698106e-18,0.9985253826736413,0.0014746173263587002]",1
22,Matea Pavicic,0.6153846153846154,0.08333333333333333,1.0,"[0.6153846153846154,0.08333333333333333,1.0]",-0.6066725175484055,0.07201171136544879,"[-0.6066725175484055,0.07201171136544879]","[3.5053822864210207e-16,3.5036526110895465e-16,0.9999999999999993]",2
23,miranF,1.0,1.0,1.0,"[1.0,1.0,1.0]",-1.3582355331672449,-0.571537139741151,"[-1.3582355331672449,-0.571537139741151]","[0.9981500395692735,9.969062426217167e-16,0.001849960430725475]",0
24,Nada,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]",-1.2523242970615223,-0.5316037264951448,"[-1.2523242970615223,-0.5316037264951448]","[0.9974813285835111,1.83119427136697e-16,0.0025186714164886874]",0
25,Nikolaj,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]","[1.0023615439698106e-18,0.9985253826736413,0.0014746173263587002]",1
26,Nina1,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]","[1.0023615439698106e-18,0.9985253826736413,0.0014746173263587002]",1
27,NinaP,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",-0.3989042072242223,-0.17000873218626272,"[-0.3989042072242223,-0.17000873218626272]","[4.7776152905068556e-18,0.9917420702537115,0.008257929746288542]",1
28,noordung,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]",-0.5109456443214628,-0.2520698337731021,"[-0.5109456443214628,-0.2520698337731021]","[4.042694674354031e-16,4.042694674354031e-16,0.9999999999999992]",2
29,p2035e,0.38461538461538464,0.125,1.0,"[0.38461538461538464,0.125,1.0]",-0.4184427963672021,-0.06711909007453161,"[-0.4184427963672021,-0.06711909007453161]","[3.94141660635725e-17,0.9005035614815678,0.09949643851843214]",1
30,Paval,1.0,0.2777777777777777,1.0,"[1.0,0.2777777777777777,1.0]",-1.0375589935924743,0.06962543841389351,"[-1.0375589935924743,0.06962543841389351]","[0.9915203800117814,5.817481791424308e-17,0.008479619988218537]",0
31,poppy,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]",-0.9959418758977487,0.1603026827684823,"[-0.9959418758977487,0.1603026827684823]","[0.994558824220568,6.809066766928907e-17,0.005441175779431996]",0
32,roman113,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",-0.6168568804271858,-0.2920032470191082,"[-0.6168568804271858,-0.2920032470191082]","[3.295696471701772e-16,3.295696471701772e-16,0.9999999999999993]",2
33,Safet,0.6153846153846154,0.13888888888888887,1.0,"[0.6153846153846154,0.13888888888888887,1.0]",-0.6313399436695417,0.022691513045830003,"[-0.6313399436695417,0.022691513045830003]","[2.624490140048354e-16,2.621714776357373e-16,0.9999999999999994]",2
34,Spasic Vladimir,0.4615384615384616,0.08333333333333333,1.0,"[0.4615384615384616,0.08333333333333333,1.0]",-0.46885232370036856,0.003917942898604643,"[-0.46885232370036856,0.003917942898604643]","[3.299242451119259e-16,3.299242451119259e-16,0.9999999999999993]",2
35,stinfio,1.0,0.13333333333333333,0.9166666666666666,"[1.0,0.13333333333333333,0.9166666666666666]",-0.9718911354296409,0.20838987613011067,"[-0.9718911354296409,0.20838987613011067]","[0.9960310240298366,7.480239156801785e-17,0.003968975970163525]",0
36,Tone,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",-0.3989042072242223,-0.17000873218626272,"[-0.3989042072242223,-0.17000873218626272]","[4.7776152905068556e-18,0.9917420702537115,0.008257929746288542]",1
37,Toni Petkovic,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]",-0.9573898586987818,0.22991608295265456,"[-0.9573898586987818,0.22991608295265456]","[0.9966210845574219,7.489201409929725e-17,0.0033789154425780915]",0
38,Valentin,1.0,0.4583333333333333,0.9166666666666666,"[1.0,0.4583333333333333,0.9166666666666666]",-1.1161955782382875,-0.08013328403965932,"[-1.1161955782382875,-0.08013328403965932]","[0.9869976945726302,7.129663849271092e-17,0.013002305427369827]",0
39,Vanda,0.38461538461538464,0.125,0.75,"[0.38461538461538464,0.125,0.75]",-0.4138451456235638,-0.035523323818906674,"[-0.4138451456235638,-0.035523323818906674]","[3.94437194273102e-17,0.9045235471802079,0.0954764528197921]",1
40,varga,0.9230769230769232,0.11666666666666665,1.0,"[0.9230769230769232,0.11666666666666665,1.0]",-0.8971133609171612,0.17860712930736597,"[-0.8971133609171612,0.17860712930736597]","[0.9700707546966522,1.5198601124654551e-16,0.029929245303347788]",0
41,Vedran Nikolic,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]",-1.2523242970615223,-0.5316037264951448,"[-1.2523242970615223,-0.5316037264951448]","[0.9974813285835111,1.83119427136697e-16,0.0025186714164886874]",0
