,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,prediction
0,Aleksandra,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]",-1.02864558897361,-0.0762325720710756,"[-1.02864558897361,-0.0762325720710756]",2
1,alma,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",-0.7680854624266846,-0.07889214809969966,"[-0.7680854624266846,-0.07889214809969966]",2
2,AndrejaN,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]",1
3,anja menih,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]",1
4,anja.r,0.9230769230769232,0.25,1.0,"[0.9230769230769232,0.25,1.0]",-0.9563151836078881,0.060238653340280834,"[-0.9563151836078881,0.060238653340280834]",2
5,Annie Cornu,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]",-1.2523242970615223,-0.5316037264951448,"[-1.2523242970615223,-0.5316037264951448]",0
6,babao,1.0,0.0972222222222222,0.5833333333333334,"[1.0,0.0972222222222222,0.5833333333333334]",-0.9497271074593845,0.28257569337869615,"[-0.9497271074593845,0.28257569337869615]",2
7,Bor,0.6153846153846154,0.5833333333333334,0.8571428571428571,"[0.6153846153846154,0.5833333333333334,0.8571428571428571]",-0.8260521236422664,-0.35381534993647756,"[-0.8260521236422664,-0.35381534993647756]",0
8,BorutKolar,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",-0.33103212985233155,-0.06417582556823959,"[-0.33103212985233155,-0.06417582556823959]",1
9,David Sirk,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]",-0.8750713736233013,0.05085186826666807,"[-0.8750713736233013,0.05085186826666807]",2
10,Dra��en Kralj,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]",-0.9546433106102015,0.07172802288778081,"[-0.9546433106102015,0.07172802288778081]",2
11,Gaja,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]",1
12,Hrvoje Petek,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]",-0.9546433106102015,0.07172802288778081,"[-0.9546433106102015,0.07172802288778081]",2
13,Ivana Kozina,1.0,0.2777777777777777,0.9166666666666666,"[1.0,0.2777777777777777,0.9166666666666666]",-1.036026443344595,0.08015736049910184,"[-1.036026443344595,0.08015736049910184]",2
14,Jelenaa,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]",-1.02864558897361,-0.0762325720710756,"[-1.02864558897361,-0.0762325720710756]",2
15,Jolanda,0.6923076923076923,0.6666666666666666,1.0,"[0.6923076923076923,0.6666666666666666,1.0]",-0.9345905887443539,-0.4118034867571265,"[-0.9345905887443539,-0.4118034867571265]",0
16,Katja De Faveri,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]",1
17,Kopacin,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]",1
18,Ksenija,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]",1
19,Lejla,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]",1
20,Marco,1.0,0.2777777777777777,0.8333333333333334,"[1.0,0.2777777777777777,0.8333333333333334]",-1.0344938930967154,0.09068928258431014,"[-1.0344938930967154,0.09068928258431014]",2
21,Maru��aaaa,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]",1
22,Matea Pavicic,0.6153846153846154,0.08333333333333333,1.0,"[0.6153846153846154,0.08333333333333333,1.0]",-0.6066725175484055,0.07201171136544879,"[-0.6066725175484055,0.07201171136544879]",1
