,users,totalVidsRatio,intensityNormalized,order,features,probability,prediction
0,Aleksandra,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]","[8.259599735956707e-18,0.9999564617626618,4.35382373382251e-05,8.259870191073474e-18]",1
1,alma,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]","[2.696096012902542e-16,2.578679878906139e-05,0.9999742130909411,1.1026957378759973e-10]",2
2,AndrejaN,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[1.4954987622688686e-17,1.4954987622688686e-17,4.70991137672199e-06,0.9999952900886232]",3
3,anja menih,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[1.4954987622688686e-17,1.4954987622688686e-17,4.70991137672199e-06,0.9999952900886232]",3
4,anja.r,0.9230769230769232,0.25,1.0,"[0.9230769230769232,0.25,1.0]","[5.7116396214293396e-18,0.9997865844579604,0.00021341554203960046,5.7116396214293396e-18]",1
5,Annie Cornu,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]","[5.293966421963634e-17,7.814156782389385e-12,5.293966421963634e-17,0.9999999999921857]",3
6,babao,1.0,0.0972222222222222,0.5833333333333334,"[1.0,0.0972222222222222,0.5833333333333334]","[2.0052408387715287e-16,3.8032714690168463e-16,0.9999999999999992,2.0052408387715287e-16]",2
7,Bor,0.6153846153846154,0.5833333333333334,0.8571428571428571,"[0.6153846153846154,0.5833333333333334,0.8571428571428571]","[1.798586316027703e-17,3.12126535165875e-14,1.798586316034382e-17,0.9999999999999688]",3
8,BorutKolar,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]","[1.220413448111602e-16,1.220413448111602e-16,0.9164125805739498,0.08358741942604994]",2
9,David Sirk,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]","[3.966893700834163e-17,0.9889785236951504,0.011021476304849558,3.966893700834197e-17]",1
10,Dra��en Kralj,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]","[4.928181652240649e-18,0.9898454616775799,0.0101545383224201,4.928181652240649e-18]",1
11,Gaja,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[1.4954987622688686e-17,1.4954987622688686e-17,4.70991137672199e-06,0.9999952900886232]",3
12,Hrvoje Petek,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]","[4.928181652240649e-18,0.9898454616775799,0.0101545383224201,4.928181652240649e-18]",1
13,Ivana Kozina,1.0,0.2777777777777777,0.9166666666666666,"[1.0,0.2777777777777777,0.9166666666666666]","[3.6721852297314334e-18,0.9989541456179675,0.0010458543820324505,3.6721852297314334e-18]",1
14,Jelenaa,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]","[8.259599735956707e-18,0.9999564617626618,4.35382373382251e-05,8.259870191073474e-18]",1
15,Jolanda,0.6923076923076923,0.6666666666666666,1.0,"[0.6923076923076923,0.6666666666666666,1.0]","[1.5314151031027713e-17,2.121793035652431e-09,1.5314151671091813e-17,0.9999999978782069]",3
16,Katja De Faveri,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[1.4954987622688686e-17,1.4954987622688686e-17,4.70991137672199e-06,0.9999952900886232]",3
17,Kopacin,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[1.4954987622688686e-17,1.4954987622688686e-17,4.70991137672199e-06,0.9999952900886232]",3
18,Ksenija,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[1.4954987622688686e-17,1.4954987622688686e-17,4.70991137672199e-06,0.9999952900886232]",3
19,Lejla,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[1.4954987622688686e-17,1.4954987622688686e-17,4.70991137672199e-06,0.9999952900886232]",3
