,users,totalVidsRatio,intensityNormalized,order,prediction
0,Aleksandra,0.9230769230769232,0.4166666666666667,0.9090909090909092,0
1,alma,0.6923076923076923,0.2916666666666667,1.0,0
2,AndrejaN,0.3076923076923077,0.25,1.0,1
3,anja menih,0.3076923076923077,0.25,1.0,1
4,anja.r,0.9230769230769232,0.25,1.0,0
5,Annie Cornu,0.9230769230769232,0.9166666666666666,1.0,2
6,babao,1.0,0.0972222222222222,0.5833333333333334,0
7,Bor,0.6153846153846154,0.5833333333333334,0.8571428571428571,2
8,BorutKolar,0.3076923076923077,0.08333333333333333,1.0,1
9,David Sirk,0.8461538461538461,0.2222222222222222,1.0,0
10,Dra��en Kralj,0.9230769230769232,0.25,0.9090909090909092,0
11,Gaja,0.3076923076923077,0.25,1.0,1
12,Hrvoje Petek,0.9230769230769232,0.25,0.9090909090909092,0
13,Ivana Kozina,1.0,0.2777777777777777,0.9166666666666666,0
14,Jelenaa,0.9230769230769232,0.4166666666666667,0.9090909090909092,0
15,Jolanda,0.6923076923076923,0.6666666666666666,1.0,2
16,Katja De Faveri,0.3076923076923077,0.25,1.0,1
17,Kopacin,0.3076923076923077,0.25,1.0,1
18,Ksenija,0.3076923076923077,0.25,1.0,1
19,Lejla,0.3076923076923077,0.25,1.0,1
20,Marco,1.0,0.2777777777777777,0.8333333333333334,0
21,Maru��aaaa,0.3076923076923077,0.25,1.0,1
22,Matea Pavicic,0.6153846153846154,0.08333333333333333,1.0,1
23,miranF,1.0,1.0,1.0,2
24,Nada,0.9230769230769232,0.9166666666666666,1.0,2
25,Nikolaj,0.3076923076923077,0.25,1.0,1
26,Nina1,0.3076923076923077,0.25,1.0,1
27,NinaP,0.3076923076923077,0.25,0.6666666666666666,3
28,noordung,0.38461538461538464,0.3333333333333333,1.0,1
29,p2035e,0.38461538461538464,0.125,1.0,1
30,Paval,1.0,0.2777777777777777,1.0,0
31,poppy,1.0,0.1875,0.9166666666666666,0
32,roman113,0.4615384615384616,0.4166666666666667,1.0,1
33,Safet,0.6153846153846154,0.13888888888888887,1.0,1
34,Spasic Vladimir,0.4615384615384616,0.08333333333333333,1.0,1
35,stinfio,1.0,0.13333333333333333,0.9166666666666666,0
36,Tone,0.3076923076923077,0.25,0.6666666666666666,3
37,Toni Petkovic,1.0,0.0972222222222222,1.0,0
38,Valentin,1.0,0.4583333333333333,0.9166666666666666,0
39,Vanda,0.38461538461538464,0.125,0.75,3
40,varga,0.9230769230769232,0.11666666666666665,1.0,0
41,Vedran Nikolic,0.9230769230769232,0.9166666666666666,1.0,2
42,��S,0.3076923076923077,0.25,0.6666666666666666,3
