,users,totalVidsRatio,intensityNormalized,order,features,prediction
0,Aleksandra,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]",1
1,alma,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",1
2,AndrejaN,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0
3,anja menih,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0
4,anja.r,0.9230769230769232,0.25,1.0,"[0.9230769230769232,0.25,1.0]",1
5,Annie Cornu,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]",3
6,babao,1.0,0.0972222222222222,0.5833333333333334,"[1.0,0.0972222222222222,0.5833333333333334]",1
7,Bor,0.6153846153846154,0.5833333333333334,0.8571428571428571,"[0.6153846153846154,0.5833333333333334,0.8571428571428571]",3
8,BorutKolar,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",0
9,David Sirk,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]",1
10,Dra��en Kralj,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]",1
11,Gaja,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0
12,Hrvoje Petek,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]",1
13,Ivana Kozina,1.0,0.2777777777777777,0.9166666666666666,"[1.0,0.2777777777777777,0.9166666666666666]",1
14,Jelenaa,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]",1
15,Jolanda,0.6923076923076923,0.6666666666666666,1.0,"[0.6923076923076923,0.6666666666666666,1.0]",3
16,Katja De Faveri,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0
17,Kopacin,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0
18,Ksenija,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0
19,Lejla,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0
20,Marco,1.0,0.2777777777777777,0.8333333333333334,"[1.0,0.2777777777777777,0.8333333333333334]",1
21,Maru��aaaa,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0
22,Matea Pavicic,0.6153846153846154,0.08333333333333333,1.0,"[0.6153846153846154,0.08333333333333333,1.0]",0
23,miranF,1.0,1.0,1.0,"[1.0,1.0,1.0]",3
24,Nada,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]",3
25,Nikolaj,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0
26,Nina1,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0
27,NinaP,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",2
28,noordung,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]",0
29,p2035e,0.38461538461538464,0.125,1.0,"[0.38461538461538464,0.125,1.0]",0
30,Paval,1.0,0.2777777777777777,1.0,"[1.0,0.2777777777777777,1.0]",1
31,poppy,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]",1
32,roman113,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",0
33,Safet,0.6153846153846154,0.13888888888888887,1.0,"[0.6153846153846154,0.13888888888888887,1.0]",0
34,Spasic Vladimir,0.4615384615384616,0.08333333333333333,1.0,"[0.4615384615384616,0.08333333333333333,1.0]",0
35,stinfio,1.0,0.13333333333333333,0.9166666666666666,"[1.0,0.13333333333333333,0.9166666666666666]",1
36,Tone,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",2
37,Toni Petkovic,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]",1
38,Valentin,1.0,0.4583333333333333,0.9166666666666666,"[1.0,0.4583333333333333,0.9166666666666666]",1
39,Vanda,0.38461538461538464,0.125,0.75,"[0.38461538461538464,0.125,0.75]",2
40,varga,0.9230769230769232,0.11666666666666665,1.0,"[0.9230769230769232,0.11666666666666665,1.0]",1
41,Vedran Nikolic,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]",3
42,��S,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",2
