,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,probability,prediction
0,AB,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,"[-0.5210096656933354,0.8973880925213366]","[0.9896601117442605,1.2243575231859e-17,0.010339888255739506]",0
1,Albert,1.0,0.025000000000000005,0.9166666666666666,"[1.0,0.025000000000000005,0.9166666666666666]",-1.1778128994393753,0.6660573921948356,"[-1.1778128994393753,0.6660573921948356]","[1.8703324724197788e-17,0.9712831581692587,0.02871684183074132]",1
2,Aleksander Valant,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",-0.8251125929311615,0.76116643850239,"[-0.8251125929311615,0.76116643850239]","[2.0441363965647956e-16,1.489812644217337e-14,0.9999999999999849]",2
3,alenka dornik,0.9230769230769232,0.04166666666666666,0.7272727272727273,"[0.9230769230769232,0.04166666666666666,0.7272727272727273]",-1.0611073403025644,0.4974376668179468,"[-1.0611073403025644,0.4974376668179468]","[3.2748187355094693e-16,0.000252054202325035,0.9997479457976747]",2
4,Alenka Neudauer,0.9230769230769232,0.007575757575757569,1.0,"[0.9230769230769232,0.007575757575757569,1.0]",-1.1210559985010824,0.7656673265151781,"[-1.1210559985010824,0.7656673265151781]","[0.8736597299756703,0.11114349833754068,0.015196771686789077]",0
5,alesj,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]",-0.5410556906555756,0.6351636010211597,"[-0.5410556906555756,0.6351636010211597]","[3.0783658464925973e-16,3.0783658464925973e-16,0.9999999999999993]",2
6,alexhana,0.38461538461538464,0.02083333333333333,0.75,"[0.38461538461538464,0.02083333333333333,0.75]",-0.5408052589079557,0.6394826522553926,"[-0.5408052589079557,0.6394826522553926]","[3.1056766302484263e-16,3.1056766302484263e-16,0.9999999999999993]",2
7,alja,0.6153846153846154,0.0119047619047619,1.0,"[0.6153846153846154,0.0119047619047619,1.0]",-0.8209912018846175,0.8322456816714805,"[-0.8209912018846175,0.8322456816714805]","[0.9809305536398047,2.6350680593601512e-17,0.01906944636019532]",0
8,Alja��,0.8461538461538461,0.00833333333333334,0.8,"[0.8461538461538461,0.00833333333333334,0.8]",-1.0018947974436414,0.5887602676818839,"[-1.0018947974436414,0.5887602676818839]","[2.170162824832336e-16,0.00047657321184804577,0.9995234267881518]",2
9,amanita.amanita,1.0,0.13333333333333333,0.3333333333333333,"[1.0,0.13333333333333333,0.3333333333333333]",-1.0498448208973392,0.08793852113906234,"[-1.0498448208973392,0.08793852113906234]","[5.499547285094e-15,5.499547285094e-15,0.999999999999989]",2
10,Ana Horvath,0.38461538461538464,0.0,0.75,"[0.38461538461538464,0.0,0.75]",-0.5406549998593838,0.6420740829959324,"[-0.5406549998593838,0.6420740829959324]","[3.1228239848206895e-16,3.1228239848206895e-16,0.9999999999999993]",2
