,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,prediction
0,AB,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,"[-0.5210096656933354,0.8973880925213366]",2
1,Albert,1.0,0.025000000000000005,0.9166666666666666,"[1.0,0.025000000000000005,0.9166666666666666]",-1.1778128994393753,0.6660573921948356,"[-1.1778128994393753,0.6660573921948356]",0
2,Aleksander Valant,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",-0.8251125929311615,0.76116643850239,"[-0.8251125929311615,0.76116643850239]",2
3,alenka dornik,0.9230769230769232,0.04166666666666666,0.7272727272727273,"[0.9230769230769232,0.04166666666666666,0.7272727272727273]",-1.0611073403025644,0.4974376668179468,"[-1.0611073403025644,0.4974376668179468]",0
4,Alenka Neudauer,0.9230769230769232,0.007575757575757569,1.0,"[0.9230769230769232,0.007575757575757569,1.0]",-1.1210559985010824,0.7656673265151781,"[-1.1210559985010824,0.7656673265151781]",1
5,alesj,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]",-0.5410556906555756,0.6351636010211597,"[-0.5410556906555756,0.6351636010211597]",2
6,alexhana,0.38461538461538464,0.02083333333333333,0.75,"[0.38461538461538464,0.02083333333333333,0.75]",-0.5408052589079557,0.6394826522553926,"[-0.5408052589079557,0.6394826522553926]",2
7,alja,0.6153846153846154,0.0119047619047619,1.0,"[0.6153846153846154,0.0119047619047619,1.0]",-0.8209912018846175,0.8322456816714805,"[-0.8209912018846175,0.8322456816714805]",2
8,Alja��,0.8461538461538461,0.00833333333333334,0.8,"[0.8461538461538461,0.00833333333333334,0.8]",-1.0018947974436414,0.5887602676818839,"[-1.0018947974436414,0.5887602676818839]",0
9,amanita.amanita,1.0,0.13333333333333333,0.3333333333333333,"[1.0,0.13333333333333333,0.3333333333333333]",-1.0498448208973392,0.08793852113906234,"[-1.0498448208973392,0.08793852113906234]",0
10,Ana Horvath,0.38461538461538464,0.0,0.75,"[0.38461538461538464,0.0,0.75]",-0.5406549998593838,0.6420740829959324,"[-0.5406549998593838,0.6420740829959324]",2
11,Ana Stadler,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",-0.5214103564895272,0.8904776105465639,"[-0.5214103564895272,0.8904776105465639]",2
12,AnaPetar,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.5226124288781024,0.8697461646222459,"[-0.5226124288781024,0.8697461646222459]",2
13,AnBn,0.9230769230769232,0.05952380952380953,1.0,"[0.9230769230769232,0.05952380952380953,1.0]",-1.1214306704144046,0.7592055771361699,"[-1.1214306704144046,0.7592055771361699]",1
14,Ando Saina,0.8461538461538461,0.0,1.0,"[0.8461538461538461,0.0,1.0]",-1.045977354028079,0.7833888735340884,"[-1.045977354028079,0.7833888735340884]",1
15,Andra�� ��unkar,0.8461538461538461,0.018518518518518528,0.9,"[0.8461538461538461,0.018518518518518528,0.9]",-1.0240395875248764,0.6842893627645033,"[-1.0240395875248764,0.6842893627645033]",1
16,andrea vlastelica,0.9230769230769232,0.05952380952380953,0.7272727272727273,"[0.9230769230769232,0.05952380952380953,0.7272727272727273]",-1.061236133772769,0.4952164404689128,"[-1.061236133772769,0.4952164404689128]",0
17,andrea zavorovic,0.6153846153846154,0.13888888888888887,0.2857142857142857,"[0.6153846153846154,0.13888888888888887,0.2857142857142857]",-0.6642547086906764,0.1250501744577553,"[-0.6642547086906764,0.1250501744577553]",2
18,Andrej_A,0.8461538461538461,0.2222222222222222,0.9,"[0.8461538461538461,0.2222222222222222,0.9]",-1.025508787110913,0.6589509288570035,"[-1.025508787110913,0.6589509288570035]",1
19,Andro Zuanic,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",-0.44783925614975006,0.567824221286583,"[-0.44783925614975006,0.567824221286583]",2
20,andrzej,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]",-0.4474385653535583,0.5747347032613557,"[-0.4474385653535583,0.5747347032613557]",2
21,ane,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",-0.8251125929311615,0.76116643850239,"[-0.8251125929311615,0.76116643850239]",2
22,Anela,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",-0.44783925614975006,0.567824221286583,"[-0.44783925614975006,0.567824221286583]",2
23,Ankica,0.8461538461538461,0.375,1.0,"[0.8461538461538461,0.375,1.0]",-1.0486820169023734,0.7367431202043728,"[-1.0486820169023734,0.7367431202043728]",1
24,Annie,1.0,0.0,1.0,"[1.0,0.0,1.0]",-1.1960253636660332,0.7498304563984786,"[-1.1960253636660332,0.7498304563984786]",0
25,ante vrataric,0.4615384615384616,0.08333333333333333,1.0,"[0.4615384615384616,0.08333333333333333,1.0]",-0.6714583661274813,0.856919193410954,"[-0.6714583661274813,0.856919193410954]",2
26,anton jane��,0.8461538461538461,0.10000000000000002,1.0,"[0.8461538461538461,0.10000000000000002,1.0]",-1.0466985974612242,0.7709500059794976,"[-1.0466985974612242,0.7709500059794976]",1
27,Anze-G,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.5226124288781024,0.8697461646222459,"[-0.5226124288781024,0.8697461646222459]",2
28,Anzze99,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",-0.8686406998598523,0.690769408216126,"[-0.8686406998598523,0.690769408216126]",1
29,Apsirtgirl,0.5384615384615384,0.033333333333333326,1.0,"[0.5384615384615384,0.033333333333333326,1.0]",-0.7461217492298857,0.8463594186204445,"[-0.7461217492298857,0.8463594186204445]",2
30,benjamin,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",-0.673862510904632,0.815456301562318,"[-0.673862510904632,0.815456301562318]",2
31,blaz02,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",-0.673862510904632,0.815456301562318,"[-0.673862510904632,0.815456301562318]",2
32,Bojan1825,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]",-1.1213018769442,0.7614268034852039,"[-1.1213018769442,0.7614268034852039]",1
33,BORIS MREVLJE,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]",-0.8227084481540109,0.8026293303510261,"[-0.8227084481540109,0.8026293303510261]",2
34,Bo��tjan M.,0.5384615384615384,0.013888888888888895,1.0,"[0.5384615384615384,0.013888888888888895,1.0]",-0.7459815074512186,0.848778087311615,"[-0.7459815074512186,0.848778087311615]",2
35,BostjanH,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]",-1.178984920018236,0.6458442324186255,"[-1.178984920018236,0.6458442324186255]",0
36,Bo��tjanK,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]",-1.196075450015557,0.748966646151632,"[-1.196075450015557,0.748966646151632]",0
37,Branklo,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,"[-0.5210096656933354,0.8973880925213366]",2
38,BrunoB,0.6923076923076923,0.02380952380952382,0.875,"[0.6923076923076923,0.02380952380952382,0.875]",-0.8685119063896478,0.69299063456516,"[-0.8685119063896478,0.69299063456516]",1
39,Buda,0.4615384615384616,0.16666666666666666,0.4,"[0.4615384615384616,0.16666666666666666,0.4]",-0.5396314217101703,0.2657773697808294,"[-0.5396314217101703,0.2657773697808294]",2
40,Buki,0.7692307692307693,0.0,1.0,"[0.7692307692307693,0.0,1.0]",-0.970953349209102,0.8001680821018933,"[-0.970953349209102,0.8001680821018933]",1
41,chibu79,0.9230769230769232,0.007575757575757569,1.0,"[0.9230769230769232,0.007575757575757569,1.0]",-1.1210559985010824,0.7656673265151781,"[-1.1210559985010824,0.7656673265151781]",1
42,Cromiza,0.8461538461538461,0.14583333333333334,0.8,"[0.8461538461538461,0.14583333333333334,0.8]",-1.0028865071642161,0.5716568247943216,"[-1.0028865071642161,0.5716568247943216]",0
43,cvjetko,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]",-1.121201704245152,0.7631544239788971,"[-1.121201704245152,0.7631544239788971]",1
44,Dalka,0.6153846153846154,0.0119047619047619,0.5714285714285714,"[0.6153846153846154,0.0119047619047619,0.5714285714285714]",-0.726399787162047,0.4174056097657908,"[-0.726399787162047,0.4174056097657908]",2
45,Damir Mulalic,0.9230769230769232,0.16666666666666666,1.0,"[0.9230769230769232,0.16666666666666666,1.0]",-1.1222034312356315,0.7458782190419654,"[-1.1222034312356315,0.7458782190419654]",1
46,damir.juretic,0.8461538461538461,0.0,1.0,"[0.8461538461538461,0.0,1.0]",-1.045977354028079,0.7833888735340884,"[-1.045977354028079,0.7833888735340884]",1
47,Danilo4783,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]",-1.047580117212846,0.7557469456349977,"[-1.047580117212846,0.7557469456349977]",1
48,Dario,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]",-0.8971314167787001,0.7962158447453802,"[-0.8971314167787001,0.7962158447453802]",1
49,DarioR,0.5384615384615384,0.11111111111111112,1.0,"[0.5384615384615384,0.11111111111111112,1.0]",-0.7466827163445542,0.8366847438557627,"[-0.7466827163445542,0.8366847438557627]",2
50,Darko Babic,1.0,0.025000000000000005,1.0,"[1.0,0.025000000000000005,1.0]",-1.1962056745243195,0.7467207395098309,"[-1.1962056745243195,0.7467207395098309]",0
51,Dejan Adamic,1.0,0.025000000000000005,0.5833333333333334,"[1.0,0.025000000000000005,0.5833333333333334]",-1.104241799099598,0.34340400293485485,"[-1.104241799099598,0.34340400293485485]",0
52,DejanJ,1.0,0.006944444444444438,0.9166666666666666,"[1.0,0.006944444444444438,0.9166666666666666]",-1.1776826749306128,0.6683032988366366,"[-1.1776826749306128,0.6683032988366366]",0
53,delimir,0.8461538461538461,0.2222222222222222,0.8,"[0.8461538461538461,0.2222222222222222,0.8]",-1.00343745700898,0.5621549120790091,"[-1.00343745700898,0.5621549120790091]",0
54,demirel,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",-0.4490413285383254,0.547092775362265,"[-0.4490413285383254,0.547092775362265]",2
55,Deni Oreb,0.8461538461538461,0.8333333333333334,1.0,"[0.8461538461538461,0.8333333333333334,1.0]",-1.0519877159709556,0.6797316439124981,"[-1.0519877159709556,0.6797316439124981]",1
56,Dimen,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]",-0.5410556906555756,0.6351636010211597,"[-0.5410556906555756,0.6351636010211597]",2
57,dkervina,0.6153846153846154,0.08333333333333333,1.0,"[0.6153846153846154,0.08333333333333333,1.0]",-0.8215063757654355,0.8233607762753442,"[-0.8215063757654355,0.8233607762753442]",2
58,dmeic,1.0,0.13333333333333333,0.8333333333333334,"[1.0,0.13333333333333333,0.8333333333333334]",-1.1602014714070048,0.5719186050290337,"[-1.1602014714070048,0.5719186050290337]",0
59,Domen S,0.9230769230769232,0.0,1.0,"[0.9230769230769232,0.0,1.0]",-1.1210013588470562,0.7666096649662835,"[-1.1210013588470562,0.7666096649662835]",1
60,Dorsi,0.7692307692307693,0.125,1.0,"[0.7692307692307693,0.125,1.0]",-0.9718549035005335,0.7846194976586548,"[-0.9718549035005335,0.7846194976586548]",1
61,dragana,0.5384615384615384,0.11111111111111112,0.5,"[0.5384615384615384,0.11111111111111112,0.5]",-0.6363260658348886,0.3527046599657914,"[-0.6363260658348886,0.3527046599657914]",2
62,Dra��en,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",-0.8686406998598523,0.690769408216126,"[-0.8686406998598523,0.690769408216126]",1
63,drejc,0.8461538461538461,0.03125,0.7,"[0.8461538461538461,0.03125,0.7]",-0.9799887522951376,0.4891136770892959,"[-0.9799887522951376,0.4891136770892959]",0
64,Du��i,0.6153846153846154,0.13888888888888887,1.0,"[0.6153846153846154,0.13888888888888887,1.0]",-0.8219070665616273,0.8164502943005715,"[-0.8219070665616273,0.8164502943005715]",2
65,Edvard,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]",-0.8960044739144108,0.8156515752994284,"[-0.8960044739144108,0.8156515752994284]",1
66,Efa i Neno,1.0,0.052083333333333336,0.75,"[1.0,0.052083333333333336,0.75]",-1.1412226860326302,0.5013618376021435,"[-1.1412226860326302,0.5013618376021435]",0
67,Elena Nikolovska,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]",-0.8227084481540109,0.8026293303510261,"[-0.8227084481540109,0.8026293303510261]",2
68,Ferijan Perkovic,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",-0.8686406998598523,0.690769408216126,"[-0.8686406998598523,0.690769408216126]",1
69,filip mestrovic,0.5384615384615384,0.033333333333333326,1.0,"[0.5384615384615384,0.033333333333333326,1.0]",-0.7461217492298857,0.8463594186204445,"[-0.7461217492298857,0.8463594186204445]",2
70,Gasper,0.5384615384615384,0.0625,0.6666666666666666,"[0.5384615384615384,0.0625,0.6666666666666666]",-0.6727610115581093,0.5200780263237079,"[-0.6727610115581093,0.5200780263237079]",2
71,gcampa,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]",-1.1213018769442,0.7614268034852039,"[-1.1213018769442,0.7614268034852039]",1
72,GITA MARINKOVIC,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",-0.4490413285383254,0.547092775362265,"[-0.4490413285383254,0.547092775362265]",2
73,Goran Cacic,0.9230769230769232,0.08333333333333333,1.0,"[0.9230769230769232,0.08333333333333333,1.0]",-1.1216023950413438,0.7562439420041245,"[-1.1216023950413438,0.7562439420041245]",1
74,Goran ��urica,1.0,0.0972222222222222,0.9166666666666666,"[1.0,0.0972222222222222,0.9166666666666666]",-1.1783337974744246,0.6570737656276311,"[-1.1783337974744246,0.6570737656276311]",0
75,Gordan,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]",-1.178984920018236,0.6458442324186255,"[-1.178984920018236,0.6458442324186255]",0
76,Gordana Genc,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]",-0.8960044739144108,0.8156515752994284,"[-0.8960044739144108,0.8156515752994284]",1
77,gpet,0.9230769230769232,0.016666666666666663,0.9090909090909092,"[0.9230769230769232,0.016666666666666663,0.9090909090909092]",-1.1010567205387018,0.676540141484766,"[-1.1010567205387018,0.676540141484766]",0
78,Gregor Primc,0.9230769230769232,0.016666666666666663,1.0,"[0.9230769230769232,0.016666666666666663,1.0]",-1.1211215660859137,0.7645365203738517,"[-1.1211215660859137,0.7645365203738517]",1
79,greta,0.5384615384615384,0.0625,0.6666666666666666,"[0.5384615384615384,0.0625,0.6666666666666666]",-0.6727610115581093,0.5200780263237079,"[-0.6727610115581093,0.5200780263237079]",2
80,Grozdana Sirotic,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,"[-0.5210096656933354,0.8973880925213366]",2
81,Grup amor,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",-0.8686406998598523,0.690769408216126,"[-0.8686406998598523,0.690769408216126]",1
82,HanaP,0.38461538461538464,0.05555555555555556,1.0,"[0.38461538461538464,0.05555555555555556,1.0]",-0.5962340159104084,0.8771536429661453,"[-0.5962340159104084,0.8771536429661453]",2
83,Hrvoje Juvancic,0.6923076923076923,0.06666666666666668,1.0,"[0.6923076923076923,0.06666666666666668,1.0]",-0.896410173345555,0.808654712299971,"[-0.896410173345555,0.808654712299971]",1
84,Igor ��utic,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]",-1.196075450015557,0.748966646151632,"[-1.196075450015557,0.748966646151632]",0
85,Igor ��afran,1.0,0.006944444444444438,0.75,"[1.0,0.006944444444444438,0.75]",-1.1408971247607242,0.5069766042066464,"[-1.1408971247607242,0.5069766042066464]",0
86,Igor29,0.4615384615384616,0.16666666666666666,1.0,"[0.4615384615384616,0.16666666666666666,1.0]",-0.6720594023217691,0.846553470448795,"[-0.6720594023217691,0.846553470448795]",2
87,IgorGancevic,0.6153846153846154,0.13888888888888887,0.8571428571428571,"[0.6153846153846154,0.13888888888888887,0.8571428571428571]",-0.7903765949874371,0.6781702703320082,"[-0.7903765949874371,0.6781702703320082]",2
88,igorr,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]",-0.8971314167787001,0.7962158447453802,"[-0.8971314167787001,0.7962158447453802]",1
89,iivana,0.5384615384615384,0.0625,0.8333333333333334,"[0.5384615384615384,0.0625,0.8333333333333334]",-0.7095465617279979,0.6814047209536984,"[-0.7095465617279979,0.6814047209536984]",2
90,Ina,0.7692307692307693,0.0,1.0,"[0.7692307692307693,0.0,1.0]",-0.970953349209102,0.8001680821018933,"[-0.970953349209102,0.8001680821018933]",1
91,Ines,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",-0.8251125929311615,0.76116643850239,"[-0.8251125929311615,0.76116643850239]",2
92,Ivan Odrljin,1.0,0.015151515151515155,0.9166666666666666,"[1.0,0.015151515151515155,0.9166666666666666]",-1.1777418678891411,0.6672824321812726,"[-1.1777418678891411,0.6672824321812726]",0
93,Ivana PR,0.38461538461538464,0.0,1.0,"[0.38461538461538464,0.0,1.0]",-0.5958333251142166,0.884064124940918,"[-0.5958333251142166,0.884064124940918]",2
94,IvanV,0.4615384615384616,0.16666666666666666,0.8,"[0.4615384615384616,0.16666666666666666,0.8]",-0.6279167421179028,0.6529614368928065,"[-0.6279167421179028,0.6529614368928065]",2
95,Ivica Komljenovic,1.0,0.4583333333333333,0.9166666666666666,"[1.0,0.4583333333333333,0.9166666666666666]",-1.180938287649671,0.6121556327916087,"[-1.180938287649671,0.6121556327916087]",0
96,Iztok3,0.7692307692307693,0.125,1.0,"[0.7692307692307693,0.125,1.0]",-0.9718549035005335,0.7846194976586548,"[-0.9718549035005335,0.7846194976586548]",1
97,jadralec Jaro,0.6153846153846154,0.0119047619047619,0.7142857142857143,"[0.6153846153846154,0.0119047619047619,0.7142857142857143]",-0.7579302587362371,0.5556856337343541,"[-0.7579302587362371,0.5556856337343541]",2
98,Jadran,0.9230769230769232,0.016666666666666663,1.0,"[0.9230769230769232,0.016666666666666663,1.0]",-1.1211215660859137,0.7645365203738517,"[-1.1211215660859137,0.7645365203738517]",1
99,Janez  stupica,0.6153846153846154,0.027777777777777773,0.8571428571428571,"[0.6153846153846154,0.027777777777777773,0.8571428571428571]",-0.7895752133950535,0.6919912342815535,"[-0.7895752133950535,0.6919912342815535]",2
100,Jani Pristavec,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]",-1.196075450015557,0.748966646151632,"[-1.196075450015557,0.748966646151632]",0
101,Jaro��,0.4615384615384616,0.016666666666666663,0.8,"[0.4615384615384616,0.016666666666666663,0.8]",-0.6268348769681851,0.6716197382246927,"[-0.6268348769681851,0.6716197382246927]",2
102,Jasminka,0.5384615384615384,0.033333333333333326,0.8333333333333334,"[0.5384615384615384,0.033333333333333326,0.8333333333333334]",-0.7093361990599971,0.6850327239904541,"[-0.7093361990599971,0.6850327239904541]",2
