,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,prediction
0,AB,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,1
1,Albert,1.0,0.025000000000000005,0.9166666666666666,"[1.0,0.025000000000000005,0.9166666666666666]",-1.1778128994393753,0.6660573921948356,0
2,Aleksander Valant,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",-0.8251125929311615,0.76116643850239,1
3,alenka dornik,0.9230769230769232,0.04166666666666666,0.7272727272727273,"[0.9230769230769232,0.04166666666666666,0.7272727272727273]",-1.0611073403025644,0.4974376668179468,0
4,Alenka Neudauer,0.9230769230769232,0.007575757575757569,1.0,"[0.9230769230769232,0.007575757575757569,1.0]",-1.1210559985010824,0.7656673265151781,0
5,alesj,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]",-0.5410556906555756,0.6351636010211597,1
6,alexhana,0.38461538461538464,0.02083333333333333,0.75,"[0.38461538461538464,0.02083333333333333,0.75]",-0.5408052589079557,0.6394826522553926,1
7,alja,0.6153846153846154,0.0119047619047619,1.0,"[0.6153846153846154,0.0119047619047619,1.0]",-0.8209912018846175,0.8322456816714805,1
8,Alja��,0.8461538461538461,0.00833333333333334,0.8,"[0.8461538461538461,0.00833333333333334,0.8]",-1.0018947974436414,0.5887602676818839,0
9,amanita.amanita,1.0,0.13333333333333333,0.3333333333333333,"[1.0,0.13333333333333333,0.3333333333333333]",-1.0498448208973392,0.08793852113906234,2
10,Ana Horvath,0.38461538461538464,0.0,0.75,"[0.38461538461538464,0.0,0.75]",-0.5406549998593838,0.6420740829959324,1
11,Ana Stadler,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",-0.5214103564895272,0.8904776105465639,1
12,AnaPetar,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.5226124288781024,0.8697461646222459,1
13,AnBn,0.9230769230769232,0.05952380952380953,1.0,"[0.9230769230769232,0.05952380952380953,1.0]",-1.1214306704144046,0.7592055771361699,0
14,Ando Saina,0.8461538461538461,0.0,1.0,"[0.8461538461538461,0.0,1.0]",-1.045977354028079,0.7833888735340884,0
15,Andra�� ��unkar,0.8461538461538461,0.018518518518518528,0.9,"[0.8461538461538461,0.018518518518518528,0.9]",-1.0240395875248764,0.6842893627645033,0
16,andrea vlastelica,0.9230769230769232,0.05952380952380953,0.7272727272727273,"[0.9230769230769232,0.05952380952380953,0.7272727272727273]",-1.061236133772769,0.4952164404689128,0
17,andrea zavorovic,0.6153846153846154,0.13888888888888887,0.2857142857142857,"[0.6153846153846154,0.13888888888888887,0.2857142857142857]",-0.6642547086906764,0.1250501744577553,2
18,Andrej_A,0.8461538461538461,0.2222222222222222,0.9,"[0.8461538461538461,0.2222222222222222,0.9]",-1.025508787110913,0.6589509288570035,0
19,Andro Zuanic,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",-0.44783925614975006,0.567824221286583,1
20,andrzej,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]",-0.4474385653535583,0.5747347032613557,1
