,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,probability,prediction
0,AB,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.4472724447990536,-0.9278946307275104,"[-0.4472724447990536,-0.9278946307275104]","[4.713772483585496e-17,0.03719131037856366,0.9628086896214363]",2
1,Albert,1.0,0.025000000000000005,0.9166666666666666,"[1.0,0.025000000000000005,0.9166666666666666]",-1.119579469534783,-0.7428668546944306,"[-1.119579469534783,-0.7428668546944306]","[0.9403608203327921,0.05963296256216307,6.217105044768566e-06]",0
2,Aleksander Valant,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",-0.7820737651677296,-0.9922793727625516,"[-0.7820737651677296,-0.9922793727625516]","[3.3154537034716645e-13,0.9999325588701665,6.744112950203063e-05]",1
3,Aleksandra,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]",-1.064110197402637,-0.8249647648034424,"[-1.064110197402637,-0.8249647648034424]","[0.8931252308585553,0.028296714656951747,0.07857805448449286]",0
4,alenka dornik,0.9230769230769232,0.04166666666666666,0.7272727272727273,"[0.9230769230769232,0.04166666666666666,0.7272727272727273]",-1.0176485910829078,-0.5742858812343631,"[-1.0176485910829078,-0.5742858812343631]","[4.644972358903747e-06,0.9999953550276408,3.674924832533395e-16]",1
5,Alenka Neudauer,0.9230769230769232,0.007575757575757569,1.0,"[0.9230769230769232,0.007575757575757569,1.0]",-1.0543897487321126,-0.8316381932962671,"[-1.0543897487321126,-0.8316381932962671]","[0.8422001090884684,0.03443592181488827,0.12336396909664327]",0
6,alesj,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]",-0.4894304097045809,-0.679767931240603,"[-0.4894304097045809,-0.679767931240603]","[3.679778571901977e-16,0.9999999999999992,3.679778571901977e-16]",1
7,alexhana,0.38461538461538464,0.02083333333333333,0.75,"[0.38461538461538464,0.02083333333333333,0.75]",-0.4875126119790027,-0.6728614436945243,"[-0.4875126119790027,-0.6728614436945243]","[3.689437933603866e-16,0.9999999999999992,3.689437933603866e-16]",1
8,alja,0.6153846153846154,0.0119047619047619,1.0,"[0.6153846153846154,0.0119047619047619,1.0]",-0.7505122940267857,-0.8786183205756575,"[-0.7505122940267857,-0.8786183205756575]","[2.3394573892361685e-15,0.08560127329371575,0.914398726706282]",2
9,Alja��,0.8461538461538461,0.00833333333333334,0.8,"[0.8461538461538461,0.00833333333333334,0.8]",-0.9500781224298902,-0.6496209450942538,"[-0.9500781224298902,-0.6496209450942538]","[2.5917493754808262e-05,0.999974082506245,2.371315669752175e-16]",1
10,alma,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",-0.841993403462729,-0.9227351126999369,"[-0.841993403462729,-0.9227351126999369]","[3.2140936515141056e-08,0.4005153061278662,0.5994846617311973]",2
