,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,prediction
0,AB,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.4472724447990536,-0.9278946307275104,"[-0.4472724447990536,-0.9278946307275104]",2
1,Albert,1.0,0.025000000000000005,0.9166666666666666,"[1.0,0.025000000000000005,0.9166666666666666]",-1.119579469534783,-0.7428668546944306,"[-1.119579469534783,-0.7428668546944306]",0
2,Aleksander Valant,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",-0.7820737651677296,-0.9922793727625516,"[-0.7820737651677296,-0.9922793727625516]",2
3,Aleksandra,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]",-1.064110197402637,-0.8249647648034424,"[-1.064110197402637,-0.8249647648034424]",0
4,alenka dornik,0.9230769230769232,0.04166666666666666,0.7272727272727273,"[0.9230769230769232,0.04166666666666666,0.7272727272727273]",-1.0176485910829078,-0.5742858812343631,"[-1.0176485910829078,-0.5742858812343631]",1
5,Alenka Neudauer,0.9230769230769232,0.007575757575757569,1.0,"[0.9230769230769232,0.007575757575757569,1.0]",-1.0543897487321126,-0.8316381932962671,"[-1.0543897487321126,-0.8316381932962671]",0
6,alesj,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]",-0.4894304097045809,-0.679767931240603,"[-0.4894304097045809,-0.679767931240603]",2
7,alexhana,0.38461538461538464,0.02083333333333333,0.75,"[0.38461538461538464,0.02083333333333333,0.75]",-0.4875126119790027,-0.6728614436945243,"[-0.4875126119790027,-0.6728614436945243]",2
8,alja,0.6153846153846154,0.0119047619047619,1.0,"[0.6153846153846154,0.0119047619047619,1.0]",-0.7505122940267857,-0.8786183205756575,"[-0.7505122940267857,-0.8786183205756575]",2
9,Alja��,0.8461538461538461,0.00833333333333334,0.8,"[0.8461538461538461,0.00833333333333334,0.8]",-0.9500781224298902,-0.6496209450942538,"[-0.9500781224298902,-0.6496209450942538]",1
10,alma,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",-0.841993403462729,-0.9227351126999369,"[-0.841993403462729,-0.9227351126999369]",0
11,amanita.amanita,1.0,0.13333333333333333,0.3333333333333333,"[1.0,0.13333333333333333,0.3333333333333333]",-1.0429503693540734,-0.19946347119235827,"[-1.0429503693540734,-0.19946347119235827]",1
12,Ana Horvath,0.38461538461538464,0.0,0.75,"[0.38461538461538464,0.0,0.75]",-0.4863619333436558,-0.6687175511668771,"[-0.4863619333436558,-0.6687175511668771]",2
13,Ana Stadler,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",-0.4503409211599787,-0.9389450108012363,"[-0.4503409211599787,-0.9389450108012363]",2
14,AnaPetar,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.45954635024275403,-0.9720961510224138,"[-0.45954635024275403,-0.9720961510224138]",2
15,AnBn,0.9230769230769232,0.05952380952380953,1.0,"[0.9230769230769232,0.05952380952380953,1.0]",-1.0572589733812894,-0.8419710162223484,"[-1.0572589733812894,-0.8419710162223484]",0
16,Ando Saina,0.8461538461538461,0.0,1.0,"[0.8461538461538461,0.0,1.0]",-0.9779421809475847,-0.8416610879617679,"[-0.9779421809475847,-0.8416610879617679]",0
17,Andra�� ��unkar,0.8461538461538461,0.018518518518518528,0.9,"[0.8461538461538461,0.018518518518518528,0.9]",-0.9648028414153098,-0.7484956980470566,"[-0.9648028414153098,-0.7484956980470566]",0
18,andrea vlastelica,0.9230769230769232,0.05952380952380953,0.7272727272727273,"[0.9230769230769232,0.05952380952380953,0.7272727272727273]",-1.0186348870560622,-0.5778377891152036,"[-1.0186348870560622,-0.5778377891152036]",1
19,andrea zavorovic,0.6153846153846154,0.13888888888888887,0.2857142857142857,"[0.6153846153846154,0.13888888888888887,0.2857142857142857]",-0.6563676329523529,-0.21209883260641327,"[-0.6563676329523529,-0.21209883260641327]",2
20,Andrej_A,0.8461538461538461,0.2222222222222222,0.9,"[0.8461538461538461,0.2222222222222222,0.9]",-0.9760539214053685,-0.7890137583173846,"[-0.9760539214053685,-0.7890137583173846]",0
21,AndrejaN,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.45954635024275403,-0.9720961510224138,"[-0.45954635024275403,-0.9720961510224138]",2
22,Andro Zuanic,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",-0.40313370454025665,-0.6161155110036147,"[-0.40313370454025665,-0.6161155110036147]",2
23,andrzej,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]",-0.40006522817933154,-0.6050651309298889,"[-0.40006522817933154,-0.6050651309298889]",2
24,ane,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",-0.7820737651677296,-0.9922793727625516,"[-0.7820737651677296,-0.9922793727625516]",2
25,Anela,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",-0.40313370454025665,-0.6161155110036147,"[-0.40313370454025665,-0.6161155110036147]",2
26,anja menih,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.45954635024275403,-0.9720961510224138,"[-0.45954635024275403,-0.9720961510224138]",2
27,anja.r,0.9230769230769232,0.25,1.0,"[0.9230769230769232,0.25,1.0]",-1.067779463761604,-0.8798580336179798,"[-1.067779463761604,-0.8798580336179798]",0
28,Ankica,0.8461538461538461,0.375,1.0,"[0.8461538461538461,0.375,1.0]",-0.9986543963838291,-0.9162511534594171,"[-0.9986543963838291,-0.9162511534594171]",0
29,Annie,1.0,0.0,1.0,"[1.0,0.0,1.0]",-1.1300004593272972,-0.8186015586106593,"[-1.1300004593272972,-0.8186015586106593]",0
30,Annie Cornu,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]",-1.1046011800927051,-1.0124625945026895,"[-1.1046011800927051,-1.0124625945026895]",0
31,ante vrataric,0.4615384615384616,0.08333333333333333,1.0,"[0.4615384615384616,0.08333333333333333,1.0]",-0.6023991995396912,-0.9158854814501278,"[-0.6023991995396912,-0.9158854814501278]",2
32,anton jane��,0.8461538461538461,0.10000000000000002,1.0,"[0.8461538461538461,0.10000000000000002,1.0]",-0.9834654383972499,-0.8615517720944743,"[-0.9834654383972499,-0.8615517720944743]",0
33,Anze-G,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.45954635024275403,-0.9720961510224138,"[-0.45954635024275403,-0.9720961510224138]",2
34,Anzze99,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",-0.8104825536061703,-0.7519473399440626,"[-0.8104825536061703,-0.7519473399440626]",0
35,Apsirtgirl,0.5384615384615384,0.033333333333333326,1.0,"[0.5384615384615384,0.033333333333333326,1.0]",-0.6756667100047148,-0.8944103747082203,"[-0.6756667100047148,-0.8944103747082203]",2
36,babao,1.0,0.0972222222222222,0.5833333333333334,"[1.0,0.0972222222222222,0.5833333333333334]",-1.0763612721842635,-0.4344028489926527,"[-1.0763612721842635,-0.4344028489926527]",1
37,benjamin,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",-0.6208100577052419,-0.9821877618924827,"[-0.6208100577052419,-0.9821877618924827]",2
38,blaz02,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",-0.6208100577052419,-0.9821877618924827,"[-0.6208100577052419,-0.9821877618924827]",2
