,users,totalVidsRatio,intensityNormalized,order,features,probability,prediction
0,AB,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
1,Albert,1.0,0.025000000000000005,0.9166666666666666,"[1.0,0.025000000000000005,0.9166666666666666]","[0.9806870152172831,0.00025976157696957705,0.01905322320574736,1.4639078584556456e-17]",0
2,Aleksander Valant,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]","[9.590429475469496e-23,4.774096635499699e-09,1.7606872314700927e-12,0.9999999952241426]",3
3,Aleksandra,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]","[2.4133260389566124e-15,0.9015091086661161,0.0984908913338791,2.4133260389566084e-15]",1
4,alenka dornik,0.9230769230769232,0.04166666666666666,0.7272727272727273,"[0.9230769230769232,0.04166666666666666,0.7272727272727273]","[0.007381855290814032,0.003899441292517947,0.9887187034166681,1.0979519501421826e-16]",2
5,Alenka Neudauer,0.9230769230769232,0.007575757575757569,1.0,"[0.9230769230769232,0.007575757575757569,1.0]","[6.695283161877078e-08,4.4124297014989367e-10,2.652294360391568e-09,0.9999999299536311]",3
6,alesj,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]","[0.9801094097329934,0.001233515401713518,0.018657074865293,1.7372598063553125e-17]",0
7,alexhana,0.38461538461538464,0.02083333333333333,0.75,"[0.38461538461538464,0.02083333333333333,0.75]","[0.9883455977028363,0.0014782788850642564,0.010176123412099704,2.4374425640259658e-17]",0
8,alja,0.6153846153846154,0.0119047619047619,1.0,"[0.6153846153846154,0.0119047619047619,1.0]","[6.241960180070282e-11,6.263949794758649e-10,2.333530081476513e-10,0.9999999990778324]",3
9,Alja��,0.8461538461538461,0.00833333333333334,0.8,"[0.8461538461538461,0.00833333333333334,0.8]","[0.8784674893638952,0.002056004603493101,0.11947650603261173,4.4294529075039646e-17]",0
10,alma,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]","[5.743826181541948e-23,2.349505157551474e-09,1.9726475414403014e-08,0.9999999779240195]",3
11,amanita.amanita,1.0,0.13333333333333333,0.3333333333333333,"[1.0,0.13333333333333333,0.3333333333333333]","[1.5397267232513056e-14,0.18084998336517072,0.8191500166347985,1.5397267232513056e-14]",2
12,Ana Horvath,0.38461538461538464,0.0,0.75,"[0.38461538461538464,0.0,0.75]","[0.9856252886462894,0.00292646675276615,0.01144824460094445,5.388362196370477e-17]",0
13,Ana Stadler,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]","[1.0515241562991604e-15,2.9296457746865054e-10,1.798681713092685e-10,0.9999999995271661]",3
14,AnaPetar,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
15,AnBn,0.9230769230769232,0.05952380952380953,1.0,"[0.9230769230769232,0.05952380952380953,1.0]","[9.113083987839725e-08,6.543479267850293e-10,1.1258180478527161e-08,0.9999998969566317]",3
16,Ando Saina,0.8461538461538461,0.0,1.0,"[0.8461538461538461,0.0,1.0]","[1.2698617645317671e-08,5.046520179333659e-10,1.1120221011119287e-09,0.9999999856847082]",3
17,Andra�� ��unkar,0.8461538461538461,0.018518518518518528,0.9,"[0.8461538461538461,0.018518518518518528,0.9]","[0.9878659866345444,0.0005886131387670415,0.011545400226688667,1.1388646878189286e-17]",0
18,andrea vlastelica,0.9230769230769232,0.05952380952380953,0.7272727272727273,"[0.9230769230769232,0.05952380952380953,0.7272727272727273]","[0.00435827128086539,0.003782733410030079,0.9918589953091046,8.678510424497575e-17]",2
19,andrea zavorovic,0.6153846153846154,0.13888888888888887,0.2857142857142857,"[0.6153846153846154,0.13888888888888887,0.2857142857142857]","[1.9949078743539386e-15,0.39235804423191384,0.6076419557680822,1.994907874353937e-15]",2
20,Andrej_A,0.8461538461538461,0.2222222222222222,0.9,"[0.8461538461538461,0.2222222222222222,0.9]","[5.376436293413529e-07,0.026456524461946546,0.973542937894424,1.0272636823033488e-16]",2
21,AndrejaN,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
22,Andro Zuanic,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]","[0.8179682937478219,0.004870405348601164,0.17716130090357676,8.473084091451335e-17]",0
23,andrzej,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]","[0.9580836593940034,0.0028564763299286254,0.03905986427606778,5.987752720352299e-17]",0
24,ane,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]","[9.590429475469496e-23,4.774096635499699e-09,1.7606872314700927e-12,0.9999999952241426]",3
25,Anela,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]","[0.8179682937478219,0.004870405348601164,0.17716130090357676,8.473084091451335e-17]",0
26,anja menih,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
27,anja.r,0.9230769230769232,0.25,1.0,"[0.9230769230769232,0.25,1.0]","[2.2613678313961972e-17,2.708221449518879e-09,5.430993646738137e-08,0.999999942981842]",3
28,Ankica,0.8461538461538461,0.375,1.0,"[0.8461538461538461,0.375,1.0]","[1.7684627676807217e-23,5.742089156153659e-09,6.0990889903985994e-09,0.9999999881588219]",3
29,Annie,1.0,0.0,1.0,"[1.0,0.0,1.0]","[1.5605823585579424e-07,3.2127011603630895e-10,3.760475561140901e-09,0.9999998398600184]",3
30,Annie Cornu,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]","[2.2241434587280453e-20,2.887451803725555e-07,2.2241559180672922e-20,0.9999997112548197]",3
31,ante vrataric,0.4615384615384616,0.08333333333333333,1.0,"[0.4615384615384616,0.08333333333333333,1.0]","[4.2906445929109175e-13,5.620905215583569e-10,6.716105428702176e-10,0.9999999987658699]",3
32,anton jane��,0.8461538461538461,0.10000000000000002,1.0,"[0.8461538461538461,0.10000000000000002,1.0]","[5.281283701078254e-09,9.79328495382631e-10,1.6114910987461924e-08,0.9999999776244768]",3
33,Anze-G,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
34,Anzze99,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]","[0.9838493522420046,0.0011544977639360821,0.014996149994059333,1.0546350408122738e-17]",0
35,Apsirtgirl,0.5384615384615384,0.033333333333333326,1.0,"[0.5384615384615384,0.033333333333333326,1.0]","[9.376360882441856e-12,6.094468710712877e-10,2.5671138590576986e-10,0.9999999991244654]",3
36,babao,1.0,0.0972222222222222,0.5833333333333334,"[1.0,0.0972222222222222,0.5833333333333334]","[4.348702329733498e-13,0.0037810848391551613,0.9962189151604098,1.6844020231791988e-16]",2
37,benjamin,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]","[3.0280873117849243e-23,1.0001259284420074e-09,1.426333933321936e-09,0.9999999975735402]",3
38,blaz02,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]","[3.0280873117849243e-23,1.0001259284420074e-09,1.426333933321936e-09,0.9999999975735402]",3
39,Bojan1825,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]","[1.1136360929291298e-07,5.716395509099944e-10,7.194260399650442e-09,0.9999998808704907]",3
40,Bor,0.6153846153846154,0.5833333333333334,0.8571428571428571,"[0.6153846153846154,0.5833333333333334,0.8571428571428571]","[1.0131226227344191e-14,0.9999538378942455,4.616210573423603e-05,1.0131226227344191e-14]",1
41,BORIS MREVLJE,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]","[1.084559011269058e-19,1.5226251521667267e-09,1.844322725758825e-08,0.9999999800341476]",3
42,BorutKolar,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]","[1.0515241562991604e-15,2.9296457746865054e-10,1.798681713092685e-10,0.9999999995271661]",3
43,Bo��tjan M.,0.5384615384615384,0.013888888888888895,1.0,"[0.5384615384615384,0.013888888888888895,1.0]","[5.74191537769571e-12,5.759640777945253e-10,1.2443212743014816e-10,0.999999999293862]",3
44,BostjanH,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]","[8.826841468504394e-05,0.010901322451535658,0.9890104091337791,1.1600012465934197e-16]",2
45,Bo��tjanK,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]","[1.9811980396723955e-07,3.409352894580719e-10,4.667736343105331e-09,0.9999997968715243]",3
46,Branklo,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
47,BrunoB,0.6923076923076923,0.02380952380952382,0.875,"[0.6923076923076923,0.02380952380952382,0.875]","[0.98771289785511,0.0012319416479046699,0.011055160496985433,1.3056179327758691e-17]",0
48,Buda,0.4615384615384616,0.16666666666666666,0.4,"[0.4615384615384616,0.16666666666666666,0.4]","[5.144535653795655e-16,0.12454545426661491,0.8754545457333841,4.840598724931408e-16]",2
49,Buki,0.7692307692307693,0.0,1.0,"[0.7692307692307693,0.0,1.0]","[2.4077832553761627e-09,5.714700096890243e-10,5.818664806383552e-10,0.9999999964388803]",3
50,chibu79,0.9230769230769232,0.007575757575757569,1.0,"[0.9230769230769232,0.007575757575757569,1.0]","[6.695283161877078e-08,4.4124297014989367e-10,2.652294360391568e-09,0.9999999299536311]",3
51,Cromiza,0.8461538461538461,0.14583333333333334,0.8,"[0.8461538461538461,0.14583333333333334,0.8]","[0.004595864818606745,0.009394561145606538,0.9860095740357868,5.523710515632974e-17]",2
52,cvjetko,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]","[1.0424744900425528e-07,5.144888807370293e-10,4.900789804104222e-09,0.9999998903372723]",3
53,Dalka,0.6153846153846154,0.0119047619047619,0.5714285714285714,"[0.6153846153846154,0.0119047619047619,0.5714285714285714]","[1.3681204596092431e-05,0.017916053957551546,0.9820702648378522,1.5833903417065424e-16]",2
54,Damir Mulalic,0.9230769230769232,0.16666666666666666,1.0,"[0.9230769230769232,0.16666666666666666,1.0]","[3.227687506384855e-11,1.461677952364842e-09,5.6088828963397505e-08,0.9999999424172162]",3
55,damir.juretic,0.8461538461538461,0.0,1.0,"[0.8461538461538461,0.0,1.0]","[1.2698617645317671e-08,5.046520179333659e-10,1.1120221011119287e-09,0.9999999856847082]",3
56,Danilo4783,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]","[2.0820689059950716e-15,2.1707658960843676e-09,4.723476389954913e-08,0.9999999505944681]",3
57,Dario,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]","[5.564481937113285e-13,1.3279461575446225e-09,1.754750440253252e-08,0.999999981123993]",3
58,DarioR,0.5384615384615384,0.11111111111111112,1.0,"[0.5384615384615384,0.11111111111111112,1.0]","[1.4811401720784237e-12,7.609586406890201e-10,2.525925630072339e-09,0.9999999967116346]",3
59,Darko Babic,1.0,0.025000000000000005,1.0,"[1.0,0.025000000000000005,1.0]","[2.9356227011338655e-07,3.977887762498084e-10,7.894564714003598e-09,0.9999996981453765]",3
60,David Sirk,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]","[2.0820689059950716e-15,2.1707658960843676e-09,4.723476389954913e-08,0.9999999505944681]",3
61,Dejan Adamic,1.0,0.025000000000000005,0.5833333333333334,"[1.0,0.025000000000000005,0.5833333333333334]","[5.6070597143441895e-12,0.0017675253800098355,0.9982324746143829,1.9777792769839313e-16]",2
62,DejanJ,1.0,0.006944444444444438,0.9166666666666666,"[1.0,0.006944444444444438,0.9166666666666666]","[0.9823431255714854,0.0003144175987893858,0.01734245682972509,2.22950936942022e-17]",0
63,delimir,0.8461538461538461,0.2222222222222222,0.8,"[0.8461538461538461,0.2222222222222222,0.8]","[7.608080288842966e-08,0.024799975345183037,0.975199948574014,8.857989532123754e-17]",2
64,demirel,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]","[4.748508207374016e-09,0.027676842299475958,0.9723231529520153,4.563076242109587e-16]",2
65,Deni Oreb,0.8461538461538461,0.8333333333333334,1.0,"[0.8461538461538461,0.8333333333333334,1.0]","[3.848872049703953e-21,9.164633172212638e-08,5.842667047763042e-21,0.9999999083536683]",3
66,Dimen,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]","[0.9801094097329934,0.001233515401713518,0.018657074865293,1.7372598063553125e-17]",0
