,users,totalVidsRatio,intensityNormalized,order,features,prediction
0,AB,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",1
1,Albert,1.0,0.025000000000000005,0.9166666666666666,"[1.0,0.025000000000000005,0.9166666666666666]",2
2,Aleksander Valant,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",1
3,Aleksandra,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]",3
4,alenka dornik,0.9230769230769232,0.04166666666666666,0.7272727272727273,"[0.9230769230769232,0.04166666666666666,0.7272727272727273]",2
5,Alenka Neudauer,0.9230769230769232,0.007575757575757569,1.0,"[0.9230769230769232,0.007575757575757569,1.0]",2
6,alesj,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]",0
7,alexhana,0.38461538461538464,0.02083333333333333,0.75,"[0.38461538461538464,0.02083333333333333,0.75]",0
8,alja,0.6153846153846154,0.0119047619047619,1.0,"[0.6153846153846154,0.0119047619047619,1.0]",1
9,Alja��,0.8461538461538461,0.00833333333333334,0.8,"[0.8461538461538461,0.00833333333333334,0.8]",2
10,alma,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",2
11,amanita.amanita,1.0,0.13333333333333333,0.3333333333333333,"[1.0,0.13333333333333333,0.3333333333333333]",2
12,Ana Horvath,0.38461538461538464,0.0,0.75,"[0.38461538461538464,0.0,0.75]",0
13,Ana Stadler,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",1
14,AnaPetar,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1
15,AnBn,0.9230769230769232,0.05952380952380953,1.0,"[0.9230769230769232,0.05952380952380953,1.0]",2
16,Ando Saina,0.8461538461538461,0.0,1.0,"[0.8461538461538461,0.0,1.0]",2
17,Andra�� ��unkar,0.8461538461538461,0.018518518518518528,0.9,"[0.8461538461538461,0.018518518518518528,0.9]",2
18,andrea vlastelica,0.9230769230769232,0.05952380952380953,0.7272727272727273,"[0.9230769230769232,0.05952380952380953,0.7272727272727273]",2
19,andrea zavorovic,0.6153846153846154,0.13888888888888887,0.2857142857142857,"[0.6153846153846154,0.13888888888888887,0.2857142857142857]",0
20,Andrej_A,0.8461538461538461,0.2222222222222222,0.9,"[0.8461538461538461,0.2222222222222222,0.9]",2
21,AndrejaN,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1
22,Andro Zuanic,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",0
23,andrzej,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]",0
24,ane,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",1
25,Anela,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",0
26,anja menih,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1
27,anja.r,0.9230769230769232,0.25,1.0,"[0.9230769230769232,0.25,1.0]",2
28,Ankica,0.8461538461538461,0.375,1.0,"[0.8461538461538461,0.375,1.0]",2
29,Annie,1.0,0.0,1.0,"[1.0,0.0,1.0]",2
30,Annie Cornu,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]",3
31,ante vrataric,0.4615384615384616,0.08333333333333333,1.0,"[0.4615384615384616,0.08333333333333333,1.0]",1
32,anton jane��,0.8461538461538461,0.10000000000000002,1.0,"[0.8461538461538461,0.10000000000000002,1.0]",2
33,Anze-G,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1
34,Anzze99,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",2
35,Apsirtgirl,0.5384615384615384,0.033333333333333326,1.0,"[0.5384615384615384,0.033333333333333326,1.0]",1
36,babao,1.0,0.0972222222222222,0.5833333333333334,"[1.0,0.0972222222222222,0.5833333333333334]",2
37,benjamin,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",1
38,blaz02,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",1
39,Bojan1825,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]",2
40,Bor,0.6153846153846154,0.5833333333333334,0.8571428571428571,"[0.6153846153846154,0.5833333333333334,0.8571428571428571]",1
41,BORIS MREVLJE,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]",1
42,BorutKolar,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",1
43,Bo��tjan M.,0.5384615384615384,0.013888888888888895,1.0,"[0.5384615384615384,0.013888888888888895,1.0]",1
44,BostjanH,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]",2
45,Bo��tjanK,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]",2
46,Branklo,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",1
47,BrunoB,0.6923076923076923,0.02380952380952382,0.875,"[0.6923076923076923,0.02380952380952382,0.875]",2
48,Buda,0.4615384615384616,0.16666666666666666,0.4,"[0.4615384615384616,0.16666666666666666,0.4]",0
49,Buki,0.7692307692307693,0.0,1.0,"[0.7692307692307693,0.0,1.0]",2
50,chibu79,0.9230769230769232,0.007575757575757569,1.0,"[0.9230769230769232,0.007575757575757569,1.0]",2
51,Cromiza,0.8461538461538461,0.14583333333333334,0.8,"[0.8461538461538461,0.14583333333333334,0.8]",2
52,cvjetko,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]",2
53,Dalka,0.6153846153846154,0.0119047619047619,0.5714285714285714,"[0.6153846153846154,0.0119047619047619,0.5714285714285714]",0
54,Damir Mulalic,0.9230769230769232,0.16666666666666666,1.0,"[0.9230769230769232,0.16666666666666666,1.0]",2
55,damir.juretic,0.8461538461538461,0.0,1.0,"[0.8461538461538461,0.0,1.0]",2
56,Danilo4783,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]",2
57,Dario,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]",2
58,DarioR,0.5384615384615384,0.11111111111111112,1.0,"[0.5384615384615384,0.11111111111111112,1.0]",1
59,Darko Babic,1.0,0.025000000000000005,1.0,"[1.0,0.025000000000000005,1.0]",2
60,David Sirk,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]",2
61,Dejan Adamic,1.0,0.025000000000000005,0.5833333333333334,"[1.0,0.025000000000000005,0.5833333333333334]",2
62,DejanJ,1.0,0.006944444444444438,0.9166666666666666,"[1.0,0.006944444444444438,0.9166666666666666]",2
63,delimir,0.8461538461538461,0.2222222222222222,0.8,"[0.8461538461538461,0.2222222222222222,0.8]",2
64,demirel,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",0
65,Deni Oreb,0.8461538461538461,0.8333333333333334,1.0,"[0.8461538461538461,0.8333333333333334,1.0]",3
66,Dimen,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]",0
67,dkervina,0.6153846153846154,0.08333333333333333,1.0,"[0.6153846153846154,0.08333333333333333,1.0]",1
68,dmeic,1.0,0.13333333333333333,0.8333333333333334,"[1.0,0.13333333333333333,0.8333333333333334]",2
69,Domen S,0.9230769230769232,0.0,1.0,"[0.9230769230769232,0.0,1.0]",2
70,Dorsi,0.7692307692307693,0.125,1.0,"[0.7692307692307693,0.125,1.0]",2
71,dragana,0.5384615384615384,0.11111111111111112,0.5,"[0.5384615384615384,0.11111111111111112,0.5]",0
72,Dra��en,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",2
73,Dra��en Kralj,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]",2
74,drejc,0.8461538461538461,0.03125,0.7,"[0.8461538461538461,0.03125,0.7]",2
