,users,totalVidsRatio,intensityNormalized,order,prediction
0,AB,0.3076923076923077,0.027777777777777773,1.0,0
1,Albert,1.0,0.025000000000000005,0.9166666666666666,3
2,Aleksander Valant,0.6153846153846154,0.5833333333333334,1.0,1
3,Aleksandra,0.9230769230769232,0.4166666666666667,0.9090909090909092,1
4,alenka dornik,0.9230769230769232,0.04166666666666666,0.7272727272727273,3
5,Alenka Neudauer,0.9230769230769232,0.007575757575757569,1.0,3
6,alesj,0.38461538461538464,0.05555555555555556,0.75,2
7,alexhana,0.38461538461538464,0.02083333333333333,0.75,2
8,alja,0.6153846153846154,0.0119047619047619,1.0,0
9,Alja��,0.8461538461538461,0.00833333333333334,0.8,3
10,alma,0.6923076923076923,0.2916666666666667,1.0,3
11,amanita.amanita,1.0,0.13333333333333333,0.3333333333333333,3
12,Ana Horvath,0.38461538461538464,0.0,0.75,2
13,Ana Stadler,0.3076923076923077,0.08333333333333333,1.0,0
14,AnaPetar,0.3076923076923077,0.25,1.0,0
15,AnBn,0.9230769230769232,0.05952380952380953,1.0,3
16,Ando Saina,0.8461538461538461,0.0,1.0,3
17,Andra�� ��unkar,0.8461538461538461,0.018518518518518528,0.9,3
18,andrea vlastelica,0.9230769230769232,0.05952380952380953,0.7272727272727273,3
19,andrea zavorovic,0.6153846153846154,0.13888888888888887,0.2857142857142857,2
20,Andrej_A,0.8461538461538461,0.2222222222222222,0.9,3
21,AndrejaN,0.3076923076923077,0.25,1.0,0
22,Andro Zuanic,0.3076923076923077,0.08333333333333333,0.6666666666666666,2
23,andrzej,0.3076923076923077,0.027777777777777773,0.6666666666666666,2
24,ane,0.6153846153846154,0.5833333333333334,1.0,1
25,Anela,0.3076923076923077,0.08333333333333333,0.6666666666666666,2
26,anja menih,0.3076923076923077,0.25,1.0,0
27,anja.r,0.9230769230769232,0.25,1.0,3
28,Ankica,0.8461538461538461,0.375,1.0,1
29,Annie,1.0,0.0,1.0,3
30,Annie Cornu,0.9230769230769232,0.9166666666666666,1.0,1
31,ante vrataric,0.4615384615384616,0.08333333333333333,1.0,0
32,anton jane��,0.8461538461538461,0.10000000000000002,1.0,3
33,Anze-G,0.3076923076923077,0.25,1.0,0
34,Anzze99,0.6923076923076923,0.04166666666666666,0.875,3
35,Apsirtgirl,0.5384615384615384,0.033333333333333326,1.0,0
36,babao,1.0,0.0972222222222222,0.5833333333333334,3
37,benjamin,0.4615384615384616,0.4166666666666667,1.0,0
38,blaz02,0.4615384615384616,0.4166666666666667,1.0,0
39,Bojan1825,0.9230769230769232,0.04166666666666666,1.0,3
40,Bor,0.6153846153846154,0.5833333333333334,0.8571428571428571,1
41,BORIS MREVLJE,0.6153846153846154,0.25,1.0,0
42,BorutKolar,0.3076923076923077,0.08333333333333333,1.0,0
43,Bo��tjan M.,0.5384615384615384,0.013888888888888895,1.0,0
44,BostjanH,1.0,0.1875,0.9166666666666666,3
45,Bo��tjanK,1.0,0.006944444444444438,1.0,3
46,Branklo,0.3076923076923077,0.027777777777777773,1.0,0
47,BrunoB,0.6923076923076923,0.02380952380952382,0.875,3
48,Buda,0.4615384615384616,0.16666666666666666,0.4,2
49,Buki,0.7692307692307693,0.0,1.0,3
50,chibu79,0.9230769230769232,0.007575757575757569,1.0,3
51,Cromiza,0.8461538461538461,0.14583333333333334,0.8,3
52,cvjetko,0.9230769230769232,0.027777777777777773,1.0,3
53,Dalka,0.6153846153846154,0.0119047619047619,0.5714285714285714,2
