,users,totalVidsRatio,intensityNormalized,order,features,probability,prediction
0,0126c792-ca6a-61a6-a96a-42bf5fc1,0.38461538461538464,0.125,0.75,"[0.38461538461538464,0.125,0.75]","[0.999790837765204,4.265477667932252e-15,0.00020916223479174932,4.034249121120912e-17]",0
1,012d8099-01c6-f99f-55ef-151df7a5,0.4615384615384616,0.08333333333333333,0.4,"[0.4615384615384616,0.08333333333333333,0.4]","[1.9044249080940873e-07,1.7924057156726546e-16,0.9999797777491969,2.0031808312132317e-05]",2
2,01d960ae-5d88-45e9-e235-6f68599c,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]","[3.3335482378757875e-17,1.0,3.3335482378756876e-17,3.3335482378756876e-17]",1
3,0f165b85-0670-e6ac-bf14-cf00655a,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]","[7.076707341114847e-17,0.9999999999999997,7.076707341114878e-17,7.076707341114847e-17]",1
4,14b19a02-38a5-992d-2f4f-aebd2315,0.38461538461538464,0.3333333333333333,0.0,"[0.38461538461538464,0.3333333333333333,0.0]","[6.297847538962158e-12,1.0131785774393331e-16,0.999999999993702,1.0131785774393331e-16]",2
5,25a03b67-3ce1-77fc-c715-72ba385a,0.9230769230769232,0.08333333333333333,0.9090909090909092,"[0.9230769230769232,0.08333333333333333,0.9090909090909092]","[1.0195362501918739e-16,0.9999999999999996,1.0195362708994915e-16,1.0195362501918739e-16]",1
6,2888b741-780e-2c51-0772-617d7c33,1.0,0.4583333333333333,0.5833333333333334,"[1.0,0.4583333333333333,0.5833333333333334]","[1.853378408838806e-17,1.853378411176894e-17,1.853378408838806e-17,1.0]",3
7,2c89fe15-af0e-a900-7384-29f556d1,1.0,0.4583333333333333,1.0,"[1.0,0.4583333333333333,1.0]","[2.4716225859932622e-17,1.0,2.4716225860989878e-17,2.4716225859932622e-17]",1
8,2fba9116-a20d-ea5f-3980-a0c4226c,0.38461538461538464,0.125,1.0,"[0.38461538461538464,0.125,1.0]","[0.9999189138418002,8.108607324820885e-05,8.495160087372822e-11,1.0997216565788492e-17]",0
9,32c9bec6-bd73-18c6-9611-148b7b0e,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]","[7.709253168210022e-07,0.9997630383574131,0.00023619071726979437,1.959428423895201e-16]",1
10,3469f507-2f62-0e43-70e8-0c4bc6e3,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]","[6.284170735582817e-17,0.9999999999999998,6.285255276408967e-17,6.284170735582817e-17]",1
11,3db3466c-e5e5-3bc2-d72b-8fa46cd2,0.7692307692307693,0.75,1.0,"[0.7692307692307693,0.75,1.0]","[9.20928446663878e-16,0.999999999999999,2.006782181443955e-17,2.00678218144395e-17]",1
12,427905ff-8519-fc73-90ee-17ecae10,0.38461538461538464,0.3333333333333333,0.75,"[0.38461538461538464,0.3333333333333333,0.75]","[0.9999999999987855,1.7589523272817158e-15,1.2127548350949441e-12,1.8483782198923865e-17]",0
13,461e7201-9b62-2da4-aca6-9bc7e2aa,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]","[0.990789123204425,0.009210876795574974,3.358668289136064e-17,3.35671685421953e-17]",0
14,4fa0f410-5265-9be6-be9d-778ee66d,0.38461538461538464,0.3333333333333333,0.75,"[0.38461538461538464,0.3333333333333333,0.75]","[0.9999999999987855,1.7589523272817158e-15,1.2127548350949441e-12,1.8483782198923865e-17]",0
15,52656cee-d479-aed9-c14a-94a33208,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[0.9999299374071692,7.00625928304721e-05,7.702292451491235e-17,7.702291463659984e-17]",0
16,54ec8d85-fcb4-2695-6332-e8c53e6e,0.7692307692307693,0.75,1.0,"[0.7692307692307693,0.75,1.0]","[9.20928446663878e-16,0.999999999999999,2.006782181443955e-17,2.00678218144395e-17]",1
17,57fbd139-416d-e97c-42e1-e3d21786,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]","[0.990789123204425,0.009210876795574974,3.358668289136064e-17,3.35671685421953e-17]",0
18,5a064204-6bd4-8b83-adec-4f0196a2,0.38461538461538464,0.02083333333333333,1.0,"[0.38461538461538464,0.02083333333333333,1.0]","[0.9998648579085393,0.0001346309657565826,5.111257041041114e-07,3.692152201642269e-17]",0
19,5bb4be5d-066c-8d6b-ec52-55325830,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]","[0.9999920610398079,7.726412823273528e-17,7.938953946120196e-06,6.245935250743704e-12]",0
20,5de63720-f52d-3d98-8315-9cffae99,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]","[0.99976440096584,0.00023559903416010646,1.150993287398221e-17,1.1509337017137098e-17]",0
21,6ba67821-cac2-1015-fa83-7a8546b6,0.8461538461538461,0.14583333333333334,0.9,"[0.8461538461538461,0.14583333333333334,0.9]","[1.8523503346411001e-16,0.9999999999999656,3.417290493115401e-14,1.8523503346411001e-16]",1
22,6cb1567b-ce14-1c63-5c79-2d56cd65,0.6923076923076923,0.6666666666666666,1.0,"[0.6923076923076923,0.6666666666666666,1.0]","[6.727293009482562e-10,0.9999999993272707,3.386786317808082e-17,3.386786316516316e-17]",1
23,76223a87-2695-2b9d-ac3d-b8a7f469,1.0,1.0,1.0,"[1.0,1.0,1.0]","[9.34546278076861e-17,1.0,9.34546278076861e-17,9.34546278076861e-17]",1
24,8095dea5-2414-2dd8-96a5-94762161,0.38461538461538464,0.05555555555555556,0.5,"[0.38461538461538464,0.05555555555555556,0.5]","[0.0024013843566315705,9.732611465794117e-17,0.9975986147619933,8.813751524858525e-10]",2
25,823fb65f-7880-5b1e-2c81-c7fdda61,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]","[0.99976440096584,0.00023559903416010646,1.150993287398221e-17,1.1509337017137098e-17]",0
26,889c7103-b73e-f33a-594f-f207a4cd,0.8461538461538461,0.8333333333333334,1.0,"[0.8461538461538461,0.8333333333333334,1.0]","[1.9962217788762556e-17,1.0,1.9962114942104333e-17,1.9962114942104333e-17]",1
27,8bdf5cb3-35c1-f6f1-e618-f641fcc2,1.0,0.2777777777777777,1.0,"[1.0,0.2777777777777777,1.0]","[3.4451955445709114e-17,1.0,3.4451955448956676e-17,3.4451955445709114e-17]",1
28,921196a3-13fa-e4ce-3af8-6cbdc712,0.7692307692307693,0.19444444444444445,0.2222222222222222,"[0.7692307692307693,0.19444444444444445,0.2222222222222222]","[1.8529256039622864e-17,1.8529256039622864e-17,1.8529256073650022e-17,1.0]",3
29,979eea52-4e76-7700-5136-517b6799,0.8461538461538461,0.14583333333333334,0.0,"[0.8461538461538461,0.14583333333333334,0.0]","[1.8533757686960504e-17,1.8533757686960504e-17,1.8533757686960504e-17,1.0]",3
30,9f9f9fdf-92e7-af14-0692-647f88c2,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]","[4.282720544505798e-05,0.9999571727945545,9.595140066858844e-17,9.595124926288083e-17]",1
31,a3ec40af-975f-ba01-2db3-3caa97d9,1.0,0.2777777777777777,0.08333333333333333,"[1.0,0.2777777777777777,0.08333333333333333]","[1.8532763462431737e-17,1.8532763462431737e-17,1.8532763462431737e-17,1.0]",3
32,a52f2bc6-a117-0f22-9ee9-126d536e,0.8461538461538461,0.8333333333333334,1.0,"[0.8461538461538461,0.8333333333333334,1.0]","[1.9962217788762556e-17,1.0,1.9962114942104333e-17,1.9962114942104333e-17]",1
33,af4c2645-6fb3-16d2-5660-862ba713,0.7692307692307693,0.75,1.0,"[0.7692307692307693,0.75,1.0]","[9.20928446663878e-16,0.999999999999999,2.006782181443955e-17,2.00678218144395e-17]",1
34,b37edebf-8ae7-aa45-24a6-a71ab0cf,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]","[0.9999909367786882,9.063216228767599e-06,5.083131424105563e-12,4.8329748689787e-17]",0
35,b543862d-e79a-96e0-43de-2a3df236,0.38461538461538464,0.02083333333333333,1.0,"[0.38461538461538464,0.02083333333333333,1.0]","[0.9998648579085393,0.0001346309657565826,5.111257041041114e-07,3.692152201642269e-17]",0
36,bd5f2e42-b664-0cc9-37b0-15736f11,0.9230769230769232,0.25,1.0,"[0.9230769230769232,0.25,1.0]","[2.318423677248269e-17,1.0,2.356145829979028e-17,2.318423677248269e-17]",1
37,bd68cd15-7a72-7240-6a6d-11fdf386,0.5384615384615384,0.11111111111111112,0.8333333333333334,"[0.5384615384615384,0.11111111111111112,0.8333333333333334]","[4.2919466793191835e-05,4.963137694392812e-06,0.9999521173955123,1.6573396002763758e-16]",2
38,be606175-e63e-f12e-d947-27baefe1,1.0,0.4583333333333333,1.0,"[1.0,0.4583333333333333,1.0]","[2.4716225859932622e-17,1.0,2.4716225860989878e-17,2.4716225859932622e-17]",1
39,c1d60570-2cbc-37b1-9e8a-4883bae7,1.0,0.2777777777777777,0.9166666666666666,"[1.0,0.2777777777777777,0.9166666666666666]","[5.414487155650201e-17,1.0,5.4144871556528e-17,5.414487155650201e-17]",1
40,cd63ab01-8f40-afeb-0b3d-ca6de10f,1.0,1.0,0.9166666666666666,"[1.0,1.0,0.9166666666666666]","[5.404757547716624e-16,0.9999999999999983,5.404757547716624e-16,5.404757547716624e-16]",1
41,d240496b-e2cf-209d-80f4-6a24fbd7,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]","[2.386581940132408e-17,0.9999999999985529,1.4470755368313489e-12,2.3865819401323987e-17]",1
42,d48858c6-80ce-2e95-a74a-8d955a9e,0.38461538461538464,0.125,1.0,"[0.38461538461538464,0.125,1.0]","[0.9999189138418002,8.108607324820885e-05,8.495160087372822e-11,1.0997216565788492e-17]",0
43,db0c804a-a6ad-cb9d-d037-84256d49,0.3076923076923077,0.25,0.0,"[0.3076923076923077,0.25,0.0]","[8.979154166835813e-11,7.095415155060869e-17,0.9999999999102084,7.095415155060869e-17]",2
44,e84ee6a5-b0be-fe4d-cee9-c9846350,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]","[0.9999999999726589,7.392287099674449e-17,2.7340786199915528e-11,7.392287056987621e-17]",0
