,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.38461538461538464,0.125,0.25,"[0.38461538461538464,0.125,0.25]",0.3091481414920919,-0.29136886391181227,2
1,0064c3fd-7e6e-425c-f754-34b889c8,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",1.0957356795617155,-0.4234253168193934,1
2,037820a7-a143-422c-3ebd-3553d373,0.5384615384615384,0.5,0.5,"[0.5384615384615384,0.5,0.5]",0.6247302742699439,-0.625801244692541,2
3,04745589-295d-158e-c6c0-ef24f730,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]",1.0202799901845738,-0.012061493208920276,0
4,04a7d779-f053-b1a3-386e-82d69979,0.5384615384615384,0.5,0.8333333333333334,"[0.5384615384615384,0.5,0.8333333333333334]",0.95249362898527,-0.5651376861439692,1
5,068616a9-816f-e8e4-d737-6ddba1df,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",0.726693071283954,-0.2613276952673852,0
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.8461538461538461,0.8333333333333334,1.0,"[0.8461538461538461,0.8333333333333334,1.0]",1.1989338134678036,-0.9803282670708433,1
7,0781bbba-c179-f93c-1116-8d684911,0.38461538461538464,0.125,0.75,"[0.38461538461538464,0.125,0.75]",0.8007931735650813,-0.2003735260889546,0
8,08ee9ac0-7656-2b25-ce41-b44d758e,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]",1.0202799901845738,-0.012061493208920276,0
9,0a84077c-d3fa-56fc-803c-a863ca7e,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",0.726693071283954,-0.2613276952673852,0
10,0c9621b0-ff94-77e8-727f-5420882d,0.4615384615384616,0.016666666666666663,1.0,"[0.4615384615384616,0.016666666666666663,1.0]",1.0410533822581853,-0.12166108720356433,0
11,0e59235e-e51a-a5cd-e0ba-0fffe847,0.8461538461538461,0.8333333333333334,1.0,"[0.8461538461538461,0.8333333333333334,1.0]",1.1989338134678036,-0.9803282670708433,1
12,101c246c-3f77-d919-ca38-8d19141e,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1.0544564259992804,-0.2006641367188134,0
13,10355f7a-f86a-830c-cbf1-fb3c40b6,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",0.7039087807408164,-0.1355925995941231,0
14,135b42ab-ac52-d14a-c37c-6ffeca28,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",1.1370149331241508,-0.6461864969199733,1
15,1459b8fd-ecab-4e30-1fc9-3d649648,0.5384615384615384,0.5,0.3333333333333333,"[0.5384615384615384,0.5,0.3333333333333333]",0.4608485969122807,-0.6561330239668268,2
16,1496b095-5b5f-4c47-5066-49bcf5d6,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1.0544564259992804,-0.2006641367188134,0
17,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",0.7039087807408164,-0.1355925995941231,0
18,16ba8f74-d9b7-c724-98c5-f31f43be,0.4615384615384616,0.016666666666666663,0.8,"[0.4615384615384616,0.016666666666666663,0.8]",0.8443953694289895,-0.1580592223327074,0
19,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.6153846153846154,0.5833333333333334,0.8571428571428571,"[0.6153846153846154,0.5833333333333334,0.8571428571428571]",0.9965449239604394,-0.6721851648693612,1
20,195b9f52-3731-37a7-2c74-19d11cb6,0.5384615384615384,0.5,1.0,"[0.5384615384615384,0.5,1.0]",1.1163753063429331,-0.5348059068696833,1
