,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.38461538461538464,0.125,0.25,"[0.38461538461538464,0.125,0.25]",0.4246254432708737,-0.03531255931236704,"[0.4246254432708737,-0.03531255931236704]","[0.9999999999983633,5.642187441241414e-16,1.6361106726286493e-12]",0
1,0064c3fd-7e6e-425c-f754-34b889c8,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",1.1128048989946264,0.372942608588389,"[1.1128048989946264,0.372942608588389]","[0.0006016838984132821,0.9989602453435545,0.0004380707580321585]",1
2,0126c792-ca6a-61a6-a96a-42bf5fc1,0.38461538461538464,0.125,0.75,"[0.38461538461538464,0.125,0.75]",0.7437977060070761,0.3492906881349942,"[0.7437977060070761,0.3492906881349942]","[0.0716672820587931,9.009514376148277e-17,0.9283327179412068]",2
3,012d8099-01c6-f99f-55ef-151df7a5,0.4615384615384616,0.08333333333333333,0.4,"[0.4615384615384616,0.08333333333333333,0.4]",0.5342816846625653,0.0653272949804008,"[0.5342816846625653,0.0653272949804008]","[0.9999975463574109,4.1910349971187137e-16,2.453642588639638e-06]",0
4,01d960ae-5d88-45e9-e235-6f68599c,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]",1.6361443972790024,-0.061798423550155634,"[1.6361443972790024,-0.061798423550155634]","[3.5973653007420046e-06,0.9947554511106753,0.00524095152402382]",1
5,037820a7-a143-422c-3ebd-3553d373,0.5384615384615384,0.5,0.5,"[0.5384615384615384,0.5,0.5]",0.8808558859724865,-0.08411747754872956,"[0.8808558859724865,-0.08411747754872956]","[0.9999851667883366,6.13550564406756e-16,1.4833211662893716e-05]",0
6,04745589-295d-158e-c6c0-ef24f730,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]",0.7917210252800373,0.633287723464538,"[0.7917210252800373,0.633287723464538]","[0.00034574213936498246,0.9996533035062491,9.54354385862409e-07]",1
7,04a7d779-f053-b1a3-386e-82d69979,0.5384615384615384,0.5,0.8333333333333334,"[0.5384615384615384,0.5,0.8333333333333334]",1.093637394463288,0.17228468741617792,"[1.093637394463288,0.17228468741617792]","[0.03437095749190468,1.1776835611756274e-16,0.9656290425080952]",2
8,068616a9-816f-e8e4-d737-6ddba1df,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",0.7255768910756993,0.2614541210029965,"[0.7255768910756993,0.2614541210029965]","[0.19668553666798763,1.416542288405604e-16,0.8033144633320123]",2
9,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.8461538461538461,0.8333333333333334,1.0,"[0.8461538461538461,0.8333333333333334,1.0]",1.5489211475649396,0.010658415139601862,"[1.5489211475649396,0.010658415139601862]","[1.2842456117245658e-05,0.9936777828752263,0.0063093746686563625]",1
10,0781bbba-c179-f93c-1116-8d684911,0.38461538461538464,0.125,0.75,"[0.38461538461538464,0.125,0.75]",0.7437977060070761,0.3492906881349942,"[0.7437977060070761,0.3492906881349942]","[0.0716672820587931,9.009514376148277e-17,0.9283327179412068]",2
11,08ee9ac0-7656-2b25-ce41-b44d758e,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]",0.7917210252800373,0.633287723464538,"[0.7917210252800373,0.633287723464538]","[0.00034574213936498246,0.9996533035062491,9.54354385862409e-07]",1
12,0a84077c-d3fa-56fc-803c-a863ca7e,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",0.7255768910756993,0.2614541210029965,"[0.7255768910756993,0.2614541210029965]","[0.19668553666798763,1.416542288405604e-16,0.8033144633320123]",2
13,0c9621b0-ff94-77e8-727f-5420882d,0.4615384615384616,0.016666666666666663,1.0,"[0.4615384615384616,0.016666666666666663,1.0]",0.8781851001362845,0.5576329085830034,"[0.8781851001362845,0.5576329085830034]","[0.0005787962787971983,0.9994109475964086,1.0256124794137372e-05]",1
14,0e59235e-e51a-a5cd-e0ba-0fffe847,0.8461538461538461,0.8333333333333334,1.0,"[0.8461538461538461,0.8333333333333334,1.0]",1.5489211475649396,0.010658415139601862,"[1.5489211475649396,0.010658415139601862]","[1.2842456117245658e-05,0.9936777828752263,0.0063093746686563625]",1
15,0f165b85-0670-e6ac-bf14-cf00655a,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]",1.1938437954030574,0.2825804842757095,"[1.1938437954030574,0.2825804842757095]","[0.03935464808523145,0.7366473086681189,0.2239980432466497]",1
16,101c246c-3f77-d919-ca38-8d19141e,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0.9383583995665009,0.517856285967904,"[0.9383583995665009,0.517856285967904]","[0.0008604971802540113,0.9991115438073418,2.7959012404160257e-05]",1
17,10355f7a-f86a-830c-cbf1-fb3c40b6,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",0.6278186415513902,0.3384084126674191,"[0.6278186415513902,0.3384084126674191]","[0.12132663429277252,1.4732939374022733e-16,0.8786733657072273]",2
18,135b42ab-ac52-d14a-c37c-6ffeca28,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",1.2872513984227516,0.22802893120887424,"[1.2872513984227516,0.22802893120887424]","[0.0002141269837770462,0.9971661383215707,0.0026197346946522306]",1
19,1459b8fd-ecab-4e30-1fc9-3d649648,0.5384615384615384,0.5,0.3333333333333333,"[0.5384615384615384,0.5,0.3333333333333333]",0.7744651317270858,-0.21231856003118332,"[0.7744651317270858,-0.21231856003118332]","[0.9999999999991365,5.368774229254832e-16,8.630207262128325e-13]",0
20,1496b095-5b5f-4c47-5066-49bcf5d6,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0.9383583995665009,0.517856285967904,"[0.9383583995665009,0.517856285967904]","[0.0008604971802540113,0.9991115438073418,2.7959012404160257e-05]",1
21,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",0.6278186415513902,0.3384084126674191,"[0.6278186415513902,0.3384084126674191]","[0.12132663429277252,1.4732939374022733e-16,0.8786733657072273]",2
22,14b19a02-38a5-992d-2f4f-aebd2315,0.38461538461538464,0.3333333333333333,0.0,"[0.38461538461538464,0.3333333333333333,0.0]",0.3872371238081589,-0.3238070476165759,"[0.3872371238081589,-0.3238070476165759]","[0.9999999999999977,1.1913111581290083e-15,1.191311158129009e-15]",0
23,16ba8f74-d9b7-c724-98c5-f31f43be,0.4615384615384616,0.016666666666666663,0.8,"[0.4615384615384616,0.016666666666666663,0.8]",0.7505161950418036,0.40379160960405885,"[0.7505161950418036,0.40379160960405885]","[0.08479852188306916,1.610670777208206e-16,0.9152014781169308]",2
24,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.6153846153846154,0.5833333333333334,0.8571428571428571,"[0.6153846153846154,0.5833333333333334,0.8571428571428571]",1.1960593233552652,0.11814228908105673,"[1.1960593233552652,0.11814228908105673]","[0.021423138228200727,2.0136710620142208e-16,0.9785768617717991]",2
25,195b9f52-3731-37a7-2c74-19d11cb6,0.5384615384615384,0.5,1.0,"[0.5384615384615384,0.5,1.0]",1.200028148708689,0.3004857698986317,"[1.200028148708689,0.3004857698986317]","[0.00039060888435822627,0.9984008896171271,0.001208501498514774]",1
26,196bc15c-4aac-31e9-7c5d-3599ce10,0.38461538461538464,0.125,0.0,"[0.38461538461538464,0.125,0.0]",0.2650393119027725,-0.22761418303604766,"[0.2650393119027725,-0.22761418303604766]","[0.9999999999999961,1.93809475709005e-15,1.938094757090402e-15]",0
27,1acb1c12-47e9-e408-eaf9-8167947a,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]",0.7917210252800373,0.633287723464538,"[0.7917210252800373,0.633287723464538]","[0.00034574213936498246,0.9996533035062491,9.54354385862409e-07]",1
28,1b1cd7ac-2f24-1493-5d7e-d7873af1,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]",0.7917210252800373,0.633287723464538,"[0.7917210252800373,0.633287723464538]","[0.00034574213936498246,0.9996533035062491,9.54354385862409e-07]",1
29,1beb31a1-0aea-018e-a7e1-82085ffa,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",0.9383583995665009,0.517856285967904,"[0.9383583995665009,0.517856285967904]","[0.0008604971802540113,0.9991115438073418,2.7959012404160257e-05]",1
30,1c09a110-d9c3-2442-9f5d-aee802c0,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",0.7255768910756993,0.2614541210029965,"[0.7255768910756993,0.2614541210029965]","[0.19668553666798763,1.416542288405604e-16,0.8033144633320123]",2
31,1cb07e56-7b73-0087-0a17-3e9c1f88,0.6153846153846154,0.08333333333333333,0.8571428571428571,"[0.6153846153846154,0.08333333333333333,0.8571428571428571]",0.902784574782338,0.3490051640743246,"[0.902784574782338,0.3490051640743246]","[0.08958624372895103,1.7520819702668604e-16,0.9104137562710488]",2
32,1d3ed189-1162-0dd0-bcb2-fda83a50,0.4615384615384616,0.0,0.8,"[0.4615384615384616,0.0,0.8]",0.7407403700893727,0.4114870387705011,"[0.7407403700893727,0.4114870387705011]","[0.08696046143352394,1.7432026441983194e-16,0.913039538566476]",2
33,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.38461538461538464,0.125,0.75,"[0.38461538461538464,0.125,0.75]",0.7437977060070761,0.3492906881349942,"[0.7437977060070761,0.3492906881349942]","[0.0716672820587931,9.009514376148277e-17,0.9283327179412068]",2
34,1d90b45b-4d8d-42a1-43cd-38e1a241,0.38461538461538464,0.0,0.75,"[0.38461538461538464,0.0,0.75]",0.6704790188638443,0.40700640688331113,"[0.6704790188638443,0.40700640688331113]","[0.07007444627673974,1.364437694779135e-16,0.9299255537232601]",2
35,1e81aa64-c3c9-ee4f-ce3c-c4248be0,0.38461538461538464,0.3333333333333333,0.0,"[0.38461538461538464,0.3333333333333333,0.0]",0.3872371238081589,-0.3238070476165759,"[0.3872371238081589,-0.3238070476165759]","[0.9999999999999977,1.1913111581290083e-15,1.191311158129009e-15]",0
